{'短评内容': '酒店洗手间的下水管都是烂的', '短评打分': 3}
{'短评内容': '第一天安排住在1号旧馆,设备很旧且窄小,当时就想以后再也不能住这种旅馆了,第二天住在藏民家,因还定了隔1天的房又不能退,发现2号馆像是装修过,要求安排2号馆,2号馆宽好多设备也较新,所以还是可以推荐', '短评打分': 5}
{'短评内容': '房间比较小，卫生间有点味道。预定的时候并没有说使用空调要另外收费30。', '短评打分': 3}
{'短评内容': '酒店有股味道，但总体比想象的好', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '淡旺季价格相差悬殊，不过也就是因为网上预订方便才这么离谱，附近小旅店不少，但凡能网上预定的都这个价。胆子大而且时间充裕的可以到了以后四处找找，便宜的肯定会有。\n距离沟口步行十余分钟，旺季打车10元。有空调可是不给遥控器。有电热毯。卫生间淋浴下水不畅，水漫金山。住的是所谓前台后面一栋小楼，估计是附近一片小旅店都归他统筹了。\n隔音就别指望了，不过大家都是一大早出门，所以也没啥关系。', '短评打分': 1}
{'短评内容': '这家说是酒店算不上，顶多算是客栈，房间很小，有窗户但是开不了，唯一的好处就是有空调和电热毯。定的是三人间，其实是标间改的，放了三张小床。墙上的插座只有2个，找老板要接线板，老板还很不乐意。酒店离沟口很远，要走二、三十分钟，打车要10块钱。周围吃饭很方便。', '短评打分': 5}
{'短评内容': '这个价位的酒店就不能那么挑剔，还可以啦，下次有去还会住', '短评打分': 5}
{'短评内容': '亏我还是信用卡担保了的, 竟然把我转到一个叫九九的青年旅馆，那叫一个烂啊，没空调，没电热毯，没热水，连插座都是坏的，几角旮旯的一个房间，冻死了。。。还骗我说两家其实是同一家，这还有诚信吗？\n后来跟前台理论了一番，才给我转到他后面的吉祥人家，这个宾馆倒是不错的，也挺暖和。\n', '短评打分': 1}
{'短评内容': ' 条件一般 比青年旅社好一些。有电热毯。房间内有潮气味。', '短评打分': 3}
{'短评内容': '酒店整体感觉挺干净的，服务也不错\n九寨沟沟口的酒店都差不多挤在一起，差别不是很大\n就是住宿费淡旺季差别太大了', '短评打分': 5}
{'短评内容': '条件艰苦点', '短评打分': 3}
{'短评内容': '人太多，条件有限。勉强还行。', '短评打分': 3}
{'短评内容': '我订的是标准间，房间很干净，有被子毛毯和电热毯（个人认为电热毯比空调实用，晚上实在太冷了），没有任何一次性用品（牙刷、香皂等），400元一天的价格有点小贵。老板人不错，当时没有找到地方，老板主动多次打电话，最后出来接我们才找到宾馆（本人分不清东南西北）总的来说性价比有点贵.离沟口比较近，位置还算不错。', '短评打分': 1}
{'短评内容': '希望大家以后不要黄金周去，真觉得性价比不够高。', '短评打分': 1}
{'短评内容': '提前在网上预订的大床房，400元/晚，这个价格这种条件也只有在黄金周的九寨才能出现吧。先说说优点：1.从成都包车到九寨路上塞车，晚8点才到，店内员工亲自到下车处迎接还帮忙拿行李，当时的心里很温暖很温暖；2.距离景点虽不像介绍的那样近，但还在可以接受的范围内，大概步行20-30分钟吧。缺点：1.没有人打扫房间卫生；2.热水器在晚上基本无法使用；3.电视效果很差；4.空调遥控器不在房间，打开后要交回前', '短评打分': 1}
{'短评内容': '酒店离景区较近，走路也就10分钟。新建的房间很干净，相对也比较大。就是洗澡的龙头水太小了，而且热水器有点问题，少补了多少热水就不工作了。', '短评打分': 5}
{'短评内容': '整洁干净，有电热水器，有电热毯，比较温馨。夜晚12点到九寨沟口，店主还出来迎接，很赞！唯一的不足是，马桶有点堵，水流得很慢，其他的都很好。在十一期间出行，幸亏提前订了，每晚400元，如果当天去现场定的话，出1000元都没有房啊，10万人涌入九寨沟，什么概念。。。', '短评打分': 5}
{'短评内容': '酒店离沟口挺近的，饭菜价格也不贵，就个人来讲，货真价实，下次还住那里。', '短评打分': 5}
{'短评内容': '还比较卫生和干净，服务员人也不错，房间布置是麻雀虽小，五脏俱全！', '短评打分': 5}
{'短评内容': '好。', '短评打分': 3}
{'短评内容': '条件还行，比想象中好。', '短评打分': 3}
{'短评内容': '九寨沟九阳快捷酒店房间没有窗户，热水不热。', '短评打分': 1}
{'短评内容': '房间小 卫生没人收拾  房间空调遥控器拿走 无线网络极其不稳定！', '短评打分': 1}
{'短评内容': '将网上预订的低价客户转包至另外的旅店。转包的旅店房间小，设施差。窗外的热水器一晚上都在不停的响。\n之前网上预订后电话通知老板要求多保留隔天的房间并获同意。结果入住时宣称房间紧张，要求除网上预订以外的订单涨价，态度恶劣！', '短评打分': 1}
{'短评内容': '  帮老公定的，价格适中，房间还是不错，空调热水都有，主要是离沟口近，非常方便，下次还会住的', '短评打分': 5}
{'短评内容': '相对于这个价位，有空调、热水器和WIFI，实在是不错了！总体还是不错的。', '短评打分': 5}
{'短评内容': '有热水，有空调，但是温度都开的很低，电视的效果差的很的，经济方面还是经济的很的适合经济的人群居住，没有早餐等，怪的是4月30号晚上停电了以个多小时，但是是全部停电', '短评打分': 5}
{'短评内容': '还行，在九寨沟能找到这样的也算不错了。以后如果有机会，还会再住的。', '短评打分': 5}
{'短评内容': '说句实话，在九寨这样的景点。80元应该算可以！干净，就是环境一般！我们要求不能太苛刻了', '短评打分': 3}
