{'短评内容': '安排房间符合心意，前台服务好。', '短评打分': 5}
{'短评内容': '+不错,就是没早餐', '短评打分': 5}
{'短评内容': '门口就是机场大巴2号线第二站.房间有点小,卫生还可以,就是床很硬有待加强,早餐不错品种挺多的,西瓜很冰好吃.', '短评打分': 5}
{'短评内容': '位置还可以吧。是机场大巴的停靠点，对于商务，旅游人来说，这点还不错。\r\n卫生状况差。门前脏（可能是由于旅游旺季的原因？）。大堂给人的感觉还不错。可是进入房间的话，感觉很一般。房间太小，墙面是粉红色，上面有污点，房间小加上墙面的污点让人的心情一下很压抑，很不爽。隔音效果极差，周围房间的关门声，说话声一清二楚，让人很难入睡，这一夜就没怎么睡。早餐15元一位，钱倒是不多，不过性价比不好，咸菜很慷慨，种类', '短评打分': 1}
{'短评内容': '大床房太小了，旅游季节去价格还挺高', '短评打分': 5}
{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '门口就有机场巴士，非常方便。', '短评打分': 5}
{'短评内容': '性价比确实不错，服务业很好，要是卫生能更好些就完美了', '短评打分': 5}
{'短评内容': '交通方便，安静舒适', '短评打分': 1}
{'短评内容': '总体还不错，地理位置较好 离台东很近。交通也比较方便 下次还会选择住在这里', '短评打分': 5}
{'短评内容': '还不错的饭店', '短评打分': 5}
{'短评内容': '位置还不错，去台东比较方便，步行十几分钟即可到达，房间有些小，特价房的采光也不是很好，有时会有99元大床房，性价比较高', '短评打分': 5}
{'短评内容': '很好，那个特价房不错，也带窗户啊。还有发现华阳路的这个168酒店，现在机场巴士也有了。太方便了。\r\n', '短评打分': 5}
{'短评内容': '有噪音，外面声音大', '短评打分': 1}
{'短评内容': '性价比一般', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '规模较大，地点也可以。离商业区可以步行到达。条件一般，不过在青岛还算比较经济的。', '短评打分': 5}
{'短评内容': '感觉还不错，舒适，性价比挺高。唯一的缺憾是卫生间的灯有点暗。', '短评打分': 5}
{'短评内容': '觉得客房服务提供的太～多了，其它都还好', '短评打分': 3}
{'短评内容': '性价比不错，位置也可以~', '短评打分': 5}
{'短评内容': '我订的特价房感觉一般。其他房间应该好些。有点潮，隔音效果差。位置十分好，到哪里都挺近的。服务还不错了。如果不是要求十分高，住这里还是不错的', '短评打分': 5}
{'短评内容': '酒店装修不错  服务也可以  特价大床间确实很小   不过装修的可以  墙壁的颜色挺和谐的  网速也挺快的 ', '短评打分': 5}
{'短评内容': '如果作为快捷酒店的话莫泰不错了，除了隔音效果差点，设备陈旧点外，其他的都好不错！\r\n前些日子经常去，只是晚上12点以后水就不是太热了，早上7点以后就还不错了！\r\n总体来说还不错！价格多少高点了！', '短评打分': 5}
{'短评内容': '隔音效果太差了，房间有点小，饮食还没试过，其他还行，加强隔音后还是很值得住的。离台东，科技街都很近。', '短评打分': 5}
{'短评内容': '大堂很好，楼道也可以，就是房间给人的感觉不好，墙都有脱落的，窗帘也不好，位置在商业区还是很方便的', '短评打分': 3}
{'短评内容': '和其它莫泰没什么区别,特价房的面积就是小,不过卫生还是可以的,挺干净的,价格也挺实惠的.\r\n\r\n', '短评打分': 5}
{'短评内容': '地理位置好，周边交通方便，价格合适，卫生整洁，唯一缺点就是房间隔音系统不佳', '短评打分': 5}
{'短评内容': '这个酒店的位置有点远了，没有中山路的那个好，但是设施环境还是不错的，不过来玩的话还是选位置好点的。', '短评打分': 3}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，酒店的位置还可以的，交通很方便的，酒店的价格有点高了', '短评打分': 3}
{'短评内容': '酒店的干净卫生，价格也很便宜，位置便利，走几十米就有公交车站', '短评打分': 3}
{'短评内容': '    酒店地理位置很好，到各个地方都非常方便，设施齐全，跟网上图片相符，如果房间再大点就好了，住的很舒心，下次去还住那', '短评打分': 5}
{'短评内容': '地理位子太偏，和烟台的莫泰比房间很小；卫生间不干净，洗脸池漏水；睡房不隔音。', '短评打分': 1}
{'短评内容': '在青岛这个城市应该说，这家酒店还算很好的。建议将前台的pos机统一，不要打两种票据。', '短评打分': 5}
{'短评内容': '和其它莫泰没什么区别,特价房的面积就是小,不过卫生还是可以的,挺干净的,价格也挺实惠的.', '短评打分': 5}
{'短评内容': '和其它莫泰没什么区别,特价房的面积就是小,不过卫生还是可以的,挺干净的,价格也挺实惠的.', '短评打分': 5}
{'短评内容': '很实惠', '短评打分': 5}
{'短评内容': '还行吧，一般情况，', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '特价房性价比不错,特别是在奥运期间.缺点是特价房里有一根很大的圆柱......', '短评打分': 5}
{'短评内容': '这个酒店根本不能保证我的财产和人身安全，我的钱在房间丢了，还在我的包里放了一卷卫生纸代替。真是气死人了，找到酒店，监控居然看不清楚，绝对不会再去了！！！！！', '短评打分': 1}
{'短评内容': '这个酒店太差了，根本不能住，以下是我在该酒店的经历：&lt;br /&gt;\n1.价格上根本没有什么优惠，网上是148，前台直接去也是这个价格，还以为通过网络上定价格会便宜呢。结果一分钱也没少。&lt;br /&gt;\n2.前台服务态度很差，办理的很慢，还要两边跑，哪有商务酒店的快捷可言。&lt;br /&gt;\n3.再就是房间，说是有窗户，其是就是一条缝，憋的慌。&lt;br /&gt;\n4.房', '短评打分': 1}
