{'短评内容': '服务态度非常好，赞一个', '短评打分': 5}
{'短评内容': '已经习惯一到东莞出差就入住九天，感觉跟以前来时一样，没什么变化。', '短评打分': 5}
{'短评内容': '朋友推荐第一次入住，感觉还行，出行还算比较方便，周围环境还行，下次还让朋友帮我预订九天。', '短评打分': 5}
{'短评内容': '住的很舒服，就是房间门和走廊之间部隔音。外面的说话声走路声，里面都可以听到', '短评打分': 5}
{'短评内容': '都还行，房子也比较宽敞，酒店服务态度也不错', '短评打分': 5}
{'短评内容': '  房间干净，床上用品好，性价比极高，推荐！', '短评打分': 5}
{'短评内容': '每次安排去东莞出差很习惯选择九天商务酒店，每次去总感觉还是一样，没什么改变，提的问题也没改进。', '短评打分': 5}
{'短评内容': '“您好，您可以提前一天预订房间，我们会优先安排有窗的房间，欢迎您下次入住。” 可我提前好几天预订还是没安排有窗的房间！\n', '短评打分': 5}
{'短评内容': '价钱还蛮合适，酒店环境较舒适卫生，所处位置，周边餐饮店比较多，总体感觉还不错。', '短评打分': 5}
{'短评内容': '上一天刚表扬九天的早餐丰富点了，下一天去吃早餐又变回老样子了，嗨，郁闷！九天也太禁不起表扬了！', '短评打分': 5}
{'短评内容': '本次入住还是那么温馨、干净，下次到东莞还会选择九天。', '短评打分': 5}
{'短评内容': '价钱还蛮合适，酒店环境较舒适卫生，所处位置较偏僻，但总体感觉还不错。', '短评打分': 5}
{'短评内容': '很棒的酒店，干净整洁，下次到东莞继续选择入住九天。', '短评打分': 5}
{'短评内容': '到东莞出差，经同事介绍，第一次入住九天商务酒店，感觉还行，12元的早餐品种还算丰富，周边交通方便，餐饮店比较多，吃住比较方便，下次去东莞还住九天。', '短评打分': 5}
{'短评内容': '每次入住都安排有窗的房间感觉很好，可这次入住的是没窗的房间，房间味道很重，希望下次能安排有窗的房间。', '短评打分': 5}
{'短评内容': '我这次入住东莞九天发现早餐比以前丰富多了。', '短评打分': 5}
{'短评内容': '很棒的一家酒店，价格相当实惠，电话预订时告知无窗，入住后发现是临街且有窗户。房间非常宽敞，干净整洁，床很舒适，有凳子和茶几用于会客。浴室提供的洗发水是飘柔，沐浴露是两面针，不像一般酒店给那种不知名的便宜货，热水很猛，洗个澡一身疲惫都消去。宽带网速相当给力，2楼餐厅有12元的自助早餐可供享用，唯一缺点就是离南城汽车站还是有点距离，公交6站，打的17元左右。总体评价4.5星（5星满分），下次去东莞还会', '短评打分': 5}
{'短评内容': '不错，很安静', '短评打分': 3}
{'短评内容': '酒店房间装修还不错，环境较安静的，服务也挺好的，交通及附近的美食也还方便，缺点是没有窗。', '短评打分': 5}
{'短评内容': '三点钟到店，被告知房间还未收拾好，还得等半小时。进去后发现床单是脏的，要求更换，主管倒是二话没说同意了，服务员却拼命地告诉我是洗不干净的，不想换。换的时候就将被子随意一放，被子大部分就掉在地上，换好后又指着新换的说这也是脏的，你看吧，还要不要换。真真是无语。对服务无语，对洗不干净的床单无语，是我运气不好？', '短评打分': 1}
{'短评内容': '房间满大的，东莞的服务还是可以的 虽然这家前台有点生硬。地处偏僻，生活娱乐有点远了\n有免费的上网区域，但是电脑比较旧', '短评打分': 5}
{'短评内容': '不错的酒店！性价比高，房间够大，床很舒服，以后还会过来，', '短评打分': 5}
{'短评内容': '房间够大，床单不错。如果一定要挑骨头，那就是洗手间里面的杯架太脏，而且小包的洗头水不好用', '短评打分': 5}
{'短评内容': '好像已经习惯，去东莞出差就入住九天，九天挺不错的，继续给好评。', '短评打分': 5}
{'短评内容': '挺不错的，交通很方便，酒店也很干净，空间也大。11月过来还住九天。', '短评打分': 5}
{'短评内容': '这次入住九天，发现早餐比以前丰富多了，服务员的服务意识也比以前有进步，希望能继续保持，加油！！！', '短评打分': 5}
{'短评内容': '入住九天后感觉总台小姐的笑容好美，感谢你们的微笑服务！', '短评打分': 5}
{'短评内容': '挺不错的，交通很方便，酒店也很干净，空间也大。里面也有一些比较实用的东西。热水一直供应。我当时租的那间是没有窗户的，不过感觉还是非常不错', '短评打分': 5}
{'短评内容': '非常让人满意的酒店，房间宽敞明亮，干净且安静，前台和服务员非常职业化', '短评打分': 3}
{'短评内容': '继续给好评，继续给下次来东莞会再选择，环境不错，交通比较方便。', '短评打分': 5}
{'短评内容': '下次来东莞会再选择，环境不错，交通比较方便。', '短评打分': 5}
{'短评内容': '这次去入住东莞九天商务酒店，九天的早餐还是那样，没一点改进，不过酒店周围明显繁华了，选择的余地多了，下次去还会支持九天住九天。', '短评打分': 5}
{'短评内容': '位置很好，也比较安静，价钱合适,只是早餐比较简单', '短评打分': 5}
{'短评内容': '服务很好，条件不错，就是早餐种类太少,餐厅服务人员素质有待提高！', '短评打分': 5}
{'短评内容': '九天餐厅的服务人员的服务意识、服务质量有待提高，希望九天能对餐厅服务人员进行培训，期待下次入住能有所改进。', '短评打分': 5}
{'短评内容': '每次来东莞都入住九天商务酒店，好像已经习惯了！', '短评打分': 5}
{'短评内容': '第一次来东莞，同事推荐的，感觉还行，下次来还入住！', '短评打分': 5}
{'短评内容': '跟我每次来都一样，没什么改变！有点感觉意见白提！不知道是什么原因！！！', '短评打分': 5}
{'短评内容': '下下星期又要去东莞出差了，还想住九天，就不知早餐是否有改善，好期待！', '短评打分': 5}
{'短评内容': '酒店很新，房间很宽敞、干净、卫生，很舒适，非常适合商务或度假！\n好评！', '短评打分': 5}
{'短评内容': '很赞，服务很好，条件不错，就是早餐种类太少，餐厅菜分量不足', '短评打分': 5}
{'短评内容': '继续给好评，好处都说完了，就是好，继续办好酒店吧。', '短评打分': 5}
{'短评内容': '好的已经都说过了，就是上来支持下，我的首选。', '短评打分': 5}
{'短评内容': '房间很大，隔音不错，不过位置较偏僻，卫生间较小，有4个枕头选择也不错。', '短评打分': 5}
{'短评内容': '九天的性价比很好', '短评打分': 3}
{'短评内容': '继续给该酒店好评，好话都说完了，就是支持。', '短评打分': 5}
{'短评内容': '每次来东莞出差的首选酒店，好的我都说过很多次了。', '短评打分': 5}
{'短评内容': '房间不错，也挺安静的，下次过去还住这，呵呵', '短评打分': 5}
{'短评内容': '很满意，比想象中好很多。就是房间的排气扇声音大了点', '短评打分': 5}
{'短评内容': '同等差不多的价格比很多酒店都好，环境不错。', '短评打分': 5}
{'短评内容': '适合我去很多客户的地方，出门打的方便，不错。', '短评打分': 5}
{'短评内容': '出门有公交和的士，饮食不远就有， 有选择，价格适中。', '短评打分': 5}
{'短评内容': '地段不错，价格可以，周围旺中带静，交通方便，饮食无忧。', '短评打分': 5}
{'短评内容': '继续支持该酒店，来东莞出差的首选酒店，旺中带静。', '短评打分': 5}
{'短评内容': '特好，服务态度，环境设备好！就是不给多开发票', '短评打分': 5}
{'短评内容': ' 还行,下次去东莞还会选那入住.', '短评打分': 3}
{'短评内容': '我这次去东莞出差还是入住九天商务酒店，总体感觉还行，就是早餐品种少。', '短评打分': 5}
{'短评内容': ' 交通方便、卫生,就是早餐品种单一,房间隔音效果差.', '短评打分': 3}
{'短评内容': '  继续支持和选择入住', '短评打分': 3}
{'短评内容': '客户比我想象中的干净整洁。服务态度好，硬件软件设施很好', '短评打分': 5}
{'短评内容': '价格合理、交通方便，本次又要去东莞出差，我首选九天商务酒店。', '短评打分': 5}
{'短评内容': ' 不错  值得一住', '短评打分': 3}
{'短评内容': '交通方便，安静，娱乐饮食两不误，去哪都方便。', '短评打分': 5}
{'短评内容': '  继续选择九天', '短评打分': 3}
{'短评内容': '  好的酒店，推荐', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 3}
{'短评内容': '酒店价格合理，交通方便，离我们要去的企业很近。', '短评打分': 5}
{'短评内容': '很多次来东莞都选择了九天，住习惯了。交通方便！', '短评打分': 5}
{'短评内容': '12月初出差到东莞，很自然就入住东莞九天商务酒店，感觉没多大变化。', '短评打分': 5}
{'短评内容': '  我一直都支持的酒店  周边交通不错', '短评打分': 3}
{'短评内容': '一直以来都支持的酒店，周边交通不错，周边设施可以。', '短评打分': 5}
{'短评内容': '以后来东莞会继续在这里住，做为中转站。价钱合适，环境一般吧。', '短评打分': 5}
{'短评内容': '很多次来南城都选择了九天，住习惯了。支持。', '短评打分': 5}
{'短评内容': ' 在南城入住的第一选择', '短评打分': 3}
{'短评内容': '价格还行，地理位置还行，下次来还会入住。', '短评打分': 5}
{'短评内容': '我继续会选择九天，比其他所谓贵价钱星级酒店好。', '短评打分': 5}
{'短评内容': '价钱便宜，麻雀虽小五脏俱全，交通方便，出门有TAXI，饭馆附近有。', '短评打分': 5}
{'短评内容': '还想  还行VIWIBCBSIKCB S K', '短评打分': 5}
{'短评内容': 'hao   hao  zhenshi  hao  ', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '访客也要登记，有点麻烦，可能是亚运会来临了吧', '短评打分': 5}
{'短评内容': ' 房间巨大 舒服 还不错', '短评打分': 5}
{'短评内容': '九天的硬件设施真是很不错，环境很好，虽然没有四种枕头可以选择，但是觉得还挺值的。不过服务就很一般，而且地理位置真的不好，下雨天很难打到的士哦！', '短评打分': 5}
{'短评内容': '酒店卫生状况还不错，服务还比较周到，只是宽带上网区电脑少了点。', '短评打分': 3}
{'短评内容': '位置不错，环境还可以，', '短评打分': 5}
{'短评内容': '好好！', '短评打分': 5}
{'短评内容': '地方很大，设备齐全', '短评打分': 5}
{'短评内容': '在九天住了4天水龙头保修了二次，修理人员迟迟不到，不知什么原因！其余还行！', '短评打分': 5}
{'短评内容': '房间还算可以，床很大，但周边有点偏，服务效率有点低，让服务员换一下用品和打扫卫生，催了好几次才来，理由是客人太多了，忙不过来，让人无语。还有，早上的自助餐是12元，不算贵，但品种实在很一般，果汁喝起来像调制的。', '短评打分': 5}
{'短评内容': '不错的酒店，我已住了几次了，下月去东莞还住那！', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错的酒店，住了好几次了。', '短评打分': 3}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '早餐太差了，下次去希望能有所改进！', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，门口的喷泉和大堂很漂亮，客房看起来也比较有档次，楼下就有超市和公交站，买东西和出行很方便，只是吃饭的地方很少，找了一圈还是回酒店餐厅了，餐厅的消费价格有点高，味道一般。总体来说还是很不错的，已经住过几次了，下次还会住。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '环境不错，结构便宜。', '短评打分': 3}
{'短评内容': '感觉很棒哦！这种价格这种环境，相当不错，下次还是会去住的', '短评打分': 5}
{'短评内容': '我来东莞出差，一直住九天', '短评打分': 5}
{'短评内容': '房间挺大，比较干净、性价比也比较高。但酒店的电话收费比较高，同时计费系统存在很大问题，会出现离谱的通话时长和电话不通也收费的现象。', '短评打分': 5}
{'短评内容': '价格不错，服服务不错，酒店新，就是交通不够方便（公共交通），一共只有3班公交通过，而且需要等比较长时间。', '短评打分': 5}
{'短评内容': '这是一家性价比非常高的酒店！相对没车的人来说就是远了点，不过打车去也值了，谁让他性价比高呢，呵呵花不到两星的钱住四星的房，你说值吗？呵呵', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比比较高了酒店。', '短评打分': 3}
{'短评内容': '服务很好，且经常做客服调查；希望早餐品种能丰富些(现在价格贵且品种少）。', '短评打分': 3}
{'短评内容': '位置有点偏，且不送早餐（自费早餐一般而价格贵）；但房间很大，设施很新，是一家性价比不错的酒店。', '短评打分': 5}
{'短评内容': '性价比比较高，就是位置有点远。', '短评打分': 5}
{'短评内容': '酒店的整体感觉很好的,价格很实惠的,服务卫生都很好的房间的设施都很齐全的,整体感觉都很好的', '短评打分': 5}
{'短评内容': '酒店的服务挺好的，整体环境和硬件设施也都是不错的，就是感觉他那里交通不太方便，如果酒店可以提供接送服务就好了。', '短评打分': 5}
{'短评内容': '该酒店的设施和价格都非常好，还提供家庭房。只是位置稍偏一点', '短评打分': 5}
