{'短评内容': '还不错，就是位置在高价边上', '短评打分': 4}
{'短评内容': '酒店不错，但是周边没有吃的和玩的地方，交通比较不方便，不过好在酒店有车接送去火车站和机场。要提前和礼宾部预约出行时间。', '短评打分': 5}
{'短评内容': '离虹桥枢纽很近，有班车出来，不过9点多久没了，这个不太方便。', '短评打分': 5}
{'短评内容': ',酒店整体感觉不错，服务态度也不错。', '短评打分': 3}
{'短评内容': '酒店离机场和火车站直线较近，但走高架实在是太麻烦了。绕来绕去起码半小时才能到。\n有班车送，但不接。安静挺安静，服务设施一般，有点老，不过在上海这个价格性价比还可以。', '短评打分': 5}
{'短评内容': ' 环境确实不错，出行也很方便，第二次入住了。', '短评打分': 3}
{'短评内容': ' 酒店环境不错 比较安静 但吃的方面比较贵 一楼商店3元的饼干开口就十元 建议自己随身带点小吃 正餐去车站吃', '短评打分': 3}
{'短评内容': '有车接送虹桥火车站和机场。适合在上海中转第二天离开的人。酒店大堂比较大气。房间里面还行。入住结账速度较快。', '短评打分': 5}
{'短评内容': '酒店环境很好，房间内也很干净。服务态度也很好。', '短评打分': 5}
{'短评内容': '这个酒店除了位置比较偏以外，其他都可以，只是要提前预定', '短评打分': 5}
{'短评内容': '主要是靠虹桥机场近。酒店房间还算舒适，但是会听见飞机和高铁的声音，还满响的。房内送餐味道不太好。整体性价比算蛮高的', '短评打分': 5}
{'短评内容': '酒店设施不错，地方稍微偏了点，不过酒店有自己的班车接送。里面的服务态度可以。', '短评打分': 5}
{'短评内容': '环境很好，设配很新，服务也很好，下次继续去住。', '短评打分': 5}
{'短评内容': '离虹桥火车站很近，早上坐班车去的车站，酒店有去机场和车站的班车，临时住一晚上很方便，如果去市区的话就不太方便了。', '短评打分': 5}
{'短评内容': '酒店服务不错。', '短评打分': 3}
{'短评内容': '靠近虹桥最好的宾馆，除了打车不方便，其他都ok。', '短评打分': 5}
{'短评内容': '作为五星级酒店，外观符合，但室内装潢不达标。所提供的早餐味道很是一般。总地说本身达不到五星级的标准，但和价格还能比较好地匹配', '短评打分': 5}
{'短评内容': '酒店地点偏.交通不便.如果是赶动车和飞机就非常方便.房间偏小.硬件还好.早餐一般.每份108元相对来说价格好贵.但酒店附近没有地方吃.只能在酒店吃.', '短评打分': 3}
{'短评内容': '真是很不错，就是地点太偏了，出租车都找不到。', '短评打分': 3}
{'短评内容': '性价比高，酒店环境很好，就是交通不太方便', '短评打分': 5}
{'短评内容': '很方便，第二天一早的火车去南京。酒店服务一级棒！', '短评打分': 5}
{'短评内容': ' 酒店还可以，位置有点偏', '短评打分': 3}
{'短评内容': '酒店豪华，房间也不错，比较宽敞。早餐比较丰富。', '短评打分': 5}
{'短评内容': '酒店服务设施不错，房间比较新，即使有班车，但其他时间坐车就不大方便！', '短评打分': 3}
{'短评内容': '交通太不方便，对上海不熟悉的朋友，开车不好找。GPS里都没有这个酒店。酒店设施也老。', '短评打分': 1}
{'短评内容': 'good location good values', '短评打分': 5}
{'短评内容': '＋不错环境，早餐好贵', '短评打分': 3}
{'短评内容': '酒店离虹桥站很近，性价比很好', '短评打分': 3}
{'短评内容': '看着很豪华，很复古，不赖不赖，不赖不赖.看着很豪华，很复古，不赖不赖，不赖不赖.', '短评打分': 5}
{'短评内容': '还行，离虹桥机场不远。就是到机场的车一定要提前预约，还要提前十分钟到。我就是没有预约以为是定点开的所以没赶上。', '短评打分': 5}
{'短评内容': '房间有异味,淋浴水太少，洗个澡是一个痛苦的过程。', '短评打分': 1}
{'短评内容': '服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.服务态度好，环境好，下次还会来这里.', '短评打分': 5}
{'短评内容': '性价比很不高，服务态度好，就是没有早餐，如果能有就更好', '短评打分': 5}
{'短评内容': '酒店不错很好!坐飞机近不用赶!酒店还有接送车到机场', '短评打分': 5}
{'短评内容': '酒店位置有点偏，但若去虹桥机场还不错!机场出来打的好些司机不知入道', '短评打分': 5}
{'短评内容': '帮同事订的，靠近虹桥枢纽，地方有点偏，挺安静的，据说房间不错，性价比高。', '短评打分': 5}
{'短评内容': '感觉挺好，不错', '短评打分': 3}
{'短评内容': '环境，房间干净', '短评打分': 3}
{'短评内容': '很舒服的酒店，有班车穿梭于虹桥站，缺点是早餐太贵，而且附近没有吃早餐的地方', '短评打分': 5}
{'短评内容': '环境太偏僻了 连出租车师傅都说偏\n不过酒店环境不错，吃的也可以', '短评打分': 1}
{'短评内容': '不错。离虹桥交通枢纽距离其实不怎么远，但道路交通情况比较复杂，自己开车就不太好找。', '短评打分': 5}
{'短评内容': '不错，到虹桥很近有送迎车。但周边确实很荒凉。\n房间不大，卫生和服务还可以。开通外线用了将近1个小时，望改进。', '短评打分': 1}
{'短评内容': '非常好，离机场很近。\n大床房比标准房间要贵200块，挺不值得。', '短评打分': 5}
{'短评内容': '酒店内装修的不错，但周边环境比较荒凉。', '短评打分': 3}
{'短评内容': '第一次住，还可以，房间很大。就是周围什么都没有，地理上有些偏。', '短评打分': 5}
{'短评内容': '总觉得酒店的服务意识没有达到该品牌的水平，比一般的星级酒店多了个美丽的外壳而已 电话询问事情时候 没等我说完 就＂嘭＂给挂线了 没有礼貌', '短评打分': 5}
{'短评内容': '最大的问题是周围连个吃饭的地方都没有 太偏远了', '短评打分': 5}
{'短评内容': '健身房很狭小 设备也比较陈旧落后 需要提高一点', '短评打分': 1}
{'短评内容': '前台服务有待提高 简单的订单问题好像都不太明白', '短评打分': 5}
{'短评内容': '外观很宏伟 内部也还可以 就是过道黑咕隆咚的瘆人', '短评打分': 5}
{'短评内容': '酒店隔机场直线距离很近，但一开车才知道实际还是有一点距离的', '短评打分': 5}
{'短评内容': '还不错\n卫生也不错\n还有班车接送去机场\n貌似日本鬼子住进来的不少呢', '短评打分': 5}
{'短评内容': '给朋友和客户订的。诚如网友所言，有点小小难找，的士司机也不太清楚，不过可以问酒店怎么走，这点小小问题还是可以克服的。最主要是客人们对酒店非常满意。酒店的格调好，有气派，，装修好，新。客人还想再住，哈哈，不错的酒店。', '短评打分': 5}
{'短评内容': '东西有些旧！ 商品也不能挂房帐。早餐非常一般！', '短评打分': 1}
{'短评内容': '不错，这个是客户自己定的，后来需要再多住几天，还是续期了，客户很喜欢这个酒店', '短评打分': 5}
{'短评内容': '离虹桥机场火车站近，出差上海住这很方便，环境和卫生也非常好。', '短评打分': 5}
{'短评内容': '夜里电话总响 不知道谁打的没接 很吵人 没睡好 不会再去了 ', '短评打分': 3}
{'短评内容': '此酒店服务生服务态度不错，环境卫生条件好，距离虹桥机场较近，赞一个', '短评打分': 5}
{'短评内容': '主要离虹桥机场2号航站楼和虹桥火车站都很近', '短评打分': 5}
{'短评内容': '其实离机场不近', '短评打分': 3}
{'短评内容': '酒店比较豪华，设施也显高档，房间比较舒服，价格在网上订也不贵，就是出行不大方便，尽管离机场非常近。如果要出来，就要让他们叫车，不然，听开出租的说，基本上没有空车会转去那里。', '短评打分': 5}
{'短评内容': '感觉不错，李宾部服务很周到。一楼的按摩价格超贵！', '短评打分': 3}
{'短评内容': '房间布置有些老上海的感觉，如果来上海是办公出行比较方便，因为离虹桥机场和火车站比较近方便，如果到市区那就偏远许多。', '短评打分': 5}
{'短评内容': '干净、整洁，有班车，非常好，不过服务员的服务意识有待提高，总之性价比很高的一家酒店。', '短评打分': 5}
{'短评内容': '性价比还是不错的，但是热水不是很理想，须待提高。早餐中的中餐种类不是很多。', '短评打分': 5}
{'短评内容': '第N次入住了，除了地方偏僻了些，其他都还OK的', '短评打分': 5}
{'短评内容': ' very near airport.not so convenient to buy or have something.', '短评打分': 3}
{'短评内容': '外观很大气，里面很古典优雅。服务指南说虹桥机场可免费接送。总体来讲，很满意。', '短评打分': 3}
{'短评内容': '环境不错，也安静。主要离虹桥机场2号航站楼和虹桥火车站都很近，比较方便。', '短评打分': 5}
{'短评内容': '设施还都ok拉，就是早上不没有出租车…很郁闷', '短评打分': 3}
{'短评内容': '这个价钱非常值，特别是免费升级了大标间，已经是第二次住了，以后来上海还会住这儿。', '短评打分': 5}
{'短评内容': 'E龍推薦此酒店, 性價比高, 新蓋的酒店, 住起來很舒服, 吃飯也很方便', '短评打分': 5}
{'短评内容': '一般，只不过是按照5星级宾馆建设的，但里面的设施以及服务不能达到5星级的。所以也就是个中评吧', '短评打分': 1}
{'短评内容': '设施很好 服务周到，有接机服务可惜9点就停止了。\n蒋', '短评打分': 3}
{'短评内容': '不错的酒店，早餐也不错！性价比不错！下次还会入住。', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，但服务有待提高！酒店穿梭巴士无法有效满足客人出行，差点延误飞机。因为酒店附近打不到出租车！', '短评打分': 5}
{'短评内容': '不错，这家酒店比较新，都挺好的，就是位置有点偏，住的朋友可以打的去附近的地铁站', '短评打分': 5}
{'短评内容': '酒店装修很豪华很新，睡觉也很安静，不错，下次有机会还来。', '短评打分': 3}
{'短评内容': '第一次入住这家酒店，总体感觉还不错，推荐大家入住。', '短评打分': 5}
{'短评内容': '地点确实偏僻，晚上打车司机竟然都不认识，还是用我的手机导航过来的，设施还可以虽然有点小问题，但总体来说还可以，就是卫生间有点反味。', '短评打分': 5}
{'短评内容': '距离虹桥机场，高铁站10分钟车程，但位置较偏，周边无商业，硬件接近五星，早餐贵要108，总体而言适合转机客。', '短评打分': 5}
{'短评内容': '硬件不错，就是交通不便。酒店定点的接送车可在一定程度上弥补，总之，较适合在机场和高铁站中转的客人。', '短评打分': 5}
{'短评内容': '真的不错价格便宜', '短评打分': 3}
{'短评内容': '酒店硬件条件很好', '短评打分': 3}
{'短评内容': '性价比很高，适合早上赶飞机和火车，下次还会定', '短评打分': 5}
{'短评内容': '离虹桥机场很近，酒店提供免费接机服务。当天在大堂拍电影出行首选。', '短评打分': 5}
{'短评内容': '环境很好,但是就是地方边远了很多,如果是去火车站或者机场住一下的话,还是不错的.', '短评打分': 5}
{'短评内容': '酒店接送服务很给力，下飞机打电话正好，说了10点20到竟然一分不差，感受了上海人服务的专业。', '短评打分': 5}
{'短评内容': '酒店设施新，硬件大幅超过预期，因为是特价房，床比较小（比一般的小）。特别适合在虹桥机场和虹桥高铁站转机的旅客。早餐贵，要108', '短评打分': 5}
{'短评内容': '＋硬件设施不错，服务3星级', '短评打分': 3}
{'短评内容': '酒店相当不错，老外很满意', '短评打分': 3}
{'短评内容': '酒店点评：很好价廉物美服务一流', '短评打分': 3}
{'短评内容': '酒店环境很好。', '短评打分': 3}
{'短评内容': '酒店好的没话说啦！价位在那嘛。。。。。。', '短评打分': 5}
{'短评内容': '旁边有铁路，一边可能会吵，空调好像没有效果，打了半天也不暖。', '短评打分': 5}
{'短评内容': '酒店外观设计等还是不错。特价房这个价位很合适了。离虹桥机场很近。服务也不错。挺满意的。', '短评打分': 3}
{'短评内容': '酒店位置离虹桥机场很近 酒店班车很方便及时 服务员态度很好 下次还会选', '短评打分': 5}
{'短评内容': '虹桥枢纽用以搭乘飞机和高铁性价比最高的酒店', '短评打分': 5}
{'短评内容': '酒店接送非常及时，也很舒适，定的特价房，餐厅价钱贵些。', '短评打分': 5}
{'短评内容': '有班车到虹桥机场和虹桥高铁站接送，很方便', '短评打分': 5}
{'短评内容': '酒店设施较新，地点确实较偏，但对自驾游及坐高铁或换机的游客较方便，性价比高。', '短评打分': 5}
{'短评内容': '空调热水都不给力＇冬天有点冷＇住的大床房＇被子还是坏的＇杯具＇', '短评打分': 3}
{'短评内容': '环境很好舒适。同等档次价位很便宜。就是去虹桥机场火车站有点绕', '短评打分': 3}
{'短评内容': '很好的酒店。特别合适您赶飞机或火车时入住，酒店每35分钟的班车去机场和虹桥火车站的服务十分便利。\n只是酒店服务人员大都态度冷淡，不过这好像也是上海服务业的通病 - 和香港比，这个方面差距还是很大。', '短评打分': 5}
{'短评内容': '酒店的环境很好。但是地理位置还是比较偏都要打电话订出租车，我晚上到的就是等行李生的时间很长。别的都很好，房间也没话说！298特价绝对超值。', '短评打分': 5}
{'短评内容': '酒店硬件设施还不错，服务质量有待提高。', '短评打分': 3}
{'短评内容': '还可以，作为淡季贵了点，免费车没送到车站门口。', '短评打分': 3}
{'短评内容': '酒店很不错，交通也方便，打过折的价格很实惠', '短评打分': 5}
{'短评内容': '最喜欢这家酒店的床 枕头 浴巾，或者说是豪生的寝具会让你休息的很好。只要到虹桥，就住这里，价格适中，餐厅也很不错。酒店到虹桥火车站和机场的班车也很方便。', '短评打分': 5}
{'短评内容': '酒店很不错，离虹桥机场很近，免费送客，就是房间有点味道', '短评打分': 5}
{'短评内容': '环境还可以，就是位置太偏了,价钱还是比较合理的。', '短评打分': 5}
{'短评内容': '很舒适，很安静 ，吃饭不方便 ，宾馆内餐厅的西餐一般', '短评打分': 5}
{'短评内容': '酒店较新，位置偏了些，好在有班车接送，还挺方便，在虹桥机场赶飞机的朋友可以考考虑', '短评打分': 5}
{'短评内容': '绝对是住过的最差的五星酒店，酒店装修的不错，但是整个管理层混乱，服务不及一般快捷型酒店。其一淋浴房会一直往外溢水，叫了工程队的人来修，等了半个小时来，捣鼓了五分钟和我保证不会再漏水，保证是没有用的，继续漏水，洗个澡整个浴室都要铺满毛巾，忍了。其二，班车行同虚设，每次打电话问都要隔一个半小时才来，为了赶飞机忍了打的。其三，礼宾部的人会告诉你的很难打，会介绍黑车给住客，实属罕见。其三，最为震惊的是东西', '短评打分': 1}
{'短评内容': '物有所值，环境好！', '短评打分': 3}
{'短评内容': '地点有点偏。不过大堂很有气派，房间也很新，装修有档次。', '短评打分': 5}
{'短评内容': '对特加房来说还是很不错的。因为有车会接送到虹桥火车站，而且还可以免费停车（因为出差，车子在这里免费停了几天）。', '短评打分': 5}
{'短评内容': '专门选择的靠近虹桥机场和火车站附近的星级酒店，周边就只有这张档次算比较高了，总体而言还不错', '短评打分': 5}
{'短评内容': '挺郁闷的一次体验。先是酒店说好到虹桥来接的，让我到了再打电话，结果到了打电话给酒店，酒店说要等1个半小时才会来接，无奈，只能花36块钱打的到酒店；到了酒店，的确大堂很气派，但是感觉没有人气，总台接待员也是坐着看到有人来才站起来接待；到了房间，硬件还行，客房服务员也能够根据要求迅速提供服务。但是房间手机信号实在很弱，建议用联通的一定要换成移动的，因为联通的在房间里完全没信号。', '短评打分': 1}
{'短评内容': '作为特价房当然物超所值，不说1100，就以日常销售价660而论也只能说一般般了。房门保险链的安全槽居然安反了(大孔安在了下方）。\n服务好：退房后在大堂等待去机场的班车时，前台服务小姐找到我说我忘了水杯在房间，问还要不要了，我说要，小姐二话不说一溜小跑（因电梯一时下不来）上五楼替我取回了水杯。这就是五星级水平。', '短评打分': 5}
{'短评内容': '很不错，酒店很有气势的5星，我代国外客户定的，他也觉得太便宜了', '短评打分': 5}
{'短评内容': '酒店环境不错，到虹侨机场，火车站都比较方便，有接送站班车。', '短评打分': 3}
{'短评内容': '上海今古源豪生酒店内部装置较新，环境较好。', '短评打分': 3}
{'短评内容': '感觉还不错的。。。。离机场非常的近。。。。就是感觉有点陈旧。。。其他的还行', '短评打分': 5}
{'短评内容': '预定的普通标间，入住时被升级为豪华标间，感觉相当好，酒店周边配套没啥东西，酒店内还可以，离机场又近，挺好的，布草睡着舒服！', '短评打分': 5}
{'短评内容': '服务水准极差。服务人员素质和酒店管理极其糟糕。', '短评打分': 3}
{'短评内容': '是一家不错的酒店，离市区挺远的，但到虹桥机场和虹桥火车站很近哦。', '短评打分': 5}
{'短评内容': '酒店设施服务都不错，直线距离车站很近，不过打车也要10公里以上，还好有Shuttle Bus.', '短评打分': 5}
{'短评内容': ' 虹桥机场早班飞机，住宿便利去处，', '短评打分': 3}
{'短评内容': '帮朋友订的，他们说非常不错。性价比很好。', '短评打分': 5}
{'短评内容': '帮朋友订的，他们说非常不错。地段也不错。', '短评打分': 5}
{'短评内容': '酒店离虹桥火车站很近，但离市区很远。如果不用赶火车，住在离市区近的地方更好。否则交通不是那么方便的。', '短评打分': 5}
{'短评内容': '距离虹桥机场和火车站都很近，对于转乘的人们是个好地方，还提供送机服务', '短评打分': 5}
{'短评内容': '性价比不错,离虹桥火车站,机场不远.下次出差还先这里', '短评打分': 5}
{'短评内容': '就五星级酒店而言服务一般，员工路过不打招呼，拿着行李去电梯看到也不会有人帮着按电梯，房间相对比较小，房间里也没有吃的。床用的是普通床垫，而不是常见的乳胶床垫，床单上还有破洞，不过睡着还挺舒服的，设施还算比较齐全。', '短评打分': 5}
{'短评内容': '非常好，超值的酒店，很干净很清楚', '短评打分': 3}
{'短评内容': '酒店很好  值得住 酒店班车还等我们下动车', '短评打分': 5}
{'短评内容': '装修还不错，但是地点太偏僻，服务也很一般。', '短评打分': 3}
{'短评内容': '酒店条件非常好。是第二天赶飞机高铁的人最佳选择。', '短评打分': 3}
{'短评内容': '主要缺点酒店在高架桥下，我和小伙子前台要求安静一点的房间，他就给我窗朝向高架桥的房间了。并善意提醒我，如果看了房间不满意，可以再下来换房间，非常照顾人哦？', '短评打分': 1}
{'短评内容': '酒店的硬件很好，如果房间里能增加办公用品（如橡皮、直尺、修正液之类）和鼠标垫（因为桌子是玻璃桌面的）那就更好了。', '短评打分': 5}
{'短评内容': '靠近虹桥机场，到机场比较方便，酒店还有免费巴士', '短评打分': 5}
{'短评内容': '离虹桥机场比较近，对于乘飞机的旅客比较方便，还有免费巴士到机场', '短评打分': 5}
{'短评内容': '安静干净服务好,就是周围太偏了。', '短评打分': 3}
{'短评内容': '地理位置有点偏，但是离虹桥枢纽很近。房间很安静，酒店大堂也很漂亮。不错。', '短评打分': 5}
{'短评内容': '酒店有点偏，但是如果是经T2航站楼的就方便的，出去有车的话，就15分钟。\n去双人房的走廊有些弯曲，早餐一般。', '短评打分': 5}
{'短评内容': '酒店很好，外宾很满意', '短评打分': 3}
{'短评内容': '酒店位置很方便，有穿梭班车；\n房间设备稍微偏旧了', '短评打分': 5}
{'短评内容': ' 设施很新,从地铁站打的15块就到了,非常满意,定了个特价房,非常超值,建议入住', '短评打分': 5}
{'短评内容': '据说 还可以吧 自己帮别人订的 交通不错', '短评打分': 5}
{'短评内容': '离机场很近，很方便   ！！！！！！！！！！！             \n', '短评打分': 5}
{'短评内容': '离虹桥机场15分钟车程，有往返班车。挺有老上海的装修风格，睡着也挺舒服的。就是周围比较偏。早晨高铁过的时候会比较吵', '短评打分': 5}
{'短评内容': '酒店很新，条件好,旁边没有什么但打车方便', '短评打分': 3}
{'短评内容': '不错的酒店,距离机场近,就是穿梭巴士的服务人员表情严肃,不知为何没有笑容', '短评打分': 3}
{'短评内容': '帮朋友订的,因朋友第二天一早的飞机。同档次的酒店相比,这家酒店离2号航站楼算是近的。不错,下次还会考虑。', '短评打分': 3}
{'短评内容': '硬件不错，服务不是很好，近虹桥火车站和机场酒店有班车这个还不错。', '短评打分': 5}
{'短评内容': '房间有点异味，特价时可以入住，否则不推荐', '短评打分': 1}
{'短评内容': '据说是为了世博会而开的，应该算是个新酒店，不过也有一年多了，硬件设施不错，不过，前台的服务质量明显不行，慢慢吞吞的不说，对客人的态度也很冷淡，前台是酒店的窗口，如此服务，很不符合酒店的硬件', '短评打分': 1}
{'短评内容': '介绍朋友住了很多次了， 转机很方便， 听说也很不错， 尤其是他的床睡的很舒服', '短评打分': 5}
{'短评内容': '酒店十分豪华，服务也不错，入住退房速度都很快，特价房基本是靠铁路的房间了，不过关了窗基本也听不见。接送车服务还是非常不错的，赶飞机或者火车是最好的选择了。', '短评打分': 5}
{'短评内容': '离机场很近，第二天转火车也很方便，吃的也还不错。', '短评打分': 5}
{'短评内容': '酒店服务还可以，就是西餐厅打烊时间太早。', '短评打分': 3}
{'短评内容': '环境蛮不错的，距离机场很近，老外比较多哦，下次还来', '短评打分': 5}
{'短评内容': '环境蛮不错的，距离机场很近，早机比较方便，下次还来', '短评打分': 5}
{'短评内容': '酒店总体来说还行，就是格调有点太阴暗了。外观很漂亮，但是大堂装修显然不如酒店外观那么尽如人意，有些乱，而且格调太阴暗了，没有五星酒店该有的感觉。房间装修得很古朴，订的特惠房，去时没房间了，给升了三个级，直接入住了豪华大床房，很不错啦~~~房间可能是因为新装修，还是有点儿小味道。交通太不方便了，打车很远到市区。两天时间，加上今天去机场打车费已经七八百了。因为附近没有地铁。这交通的代价有点儿高。酒店总', '短评打分': 5}
{'短评内容': '很吵,门童服务很差,看到老外才服务,想赚小费,垃圾', '短评打分': 1}
{'短评内容': '服务不错，装修的很有档次，欧式化，住了很多外国人', '短评打分': 5}
{'短评内容': '酒店非常好!豪华的欧式风格.就是所处位置有点偏僻...', '短评打分': 3}
{'短评内容': '帮朋友订的，不错，就是早餐有点贵，别无选择。有点偏', '短评打分': 5}
{'短评内容': '帮同事定的。酒店还不错。就是有一点点的偏。', '短评打分': 5}
{'短评内容': '性价比高，比想象中好，欧式风格比较有特色，到机场免费班车很方便，服务热情。\n就是周边太荒凉，不包早餐的情况下实在没有可以接受的其他选择。', '短评打分': 5}
{'短评内容': '酒店很漂亮很豪华，就是位置好偏，打车去热闹点的地方都要40多块钱，房间很干净，床有点小。早上去虹桥火车站酒店车送过去还要收费30。', '短评打分': 5}
{'短评内容': '给老总定的，本来没有太高预期，只是为了方便他搭飞机，结果他说这个真是个不错的酒店，大大的好评。。\n设施不错，又近机场，会经常定这个酒店的', '短评打分': 5}
{'短评内容': '还不错的酒店，就是位置有些偏，不用导航很难找到，不过其他都不错，设施还是比较新的，服务也还挺周到，性价比不错，值得推荐', '短评打分': 5}
{'短评内容': '住的特价房 , 空调不行, 一晚下来都不太冷.  去年有住过500多的房间,冬天也制热也不行.   卫生间淋浴头水量小.  房间装修和床对得起这个价格 .\n特价房和500多的没有区别.  如果特价房推荐住,  不是特价房, 500以上, 可以考虑别的宾馆', '短评打分': 5}
{'短评内容': '酒店设施还可以，但是服务不好，象交通不方便的酒店应该在服务方面好一点，酒店有班车去机场和车站，礼宾部不告诉我们，却告诉我们打的，害的我们打车花了30多元而且是好几次，仅此一项我们就多花了200多元，太不行了！', '短评打分': 1}
{'短评内容': '宾馆不错！xiexie！', '短评打分': 3}
{'短评内容': '预定方便、入住实惠、好！', '短评打分': 3}
{'短评内容': '还可以，房间也比较豪华，就是酒店周边很冷清', '短评打分': 3}
{'短评内容': '很不错。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店服务完善，设施齐全，环境优雅。只是感觉费用有点高，虽然说距机场跟虹桥站都挺近的，但是火车路过时的噪声比较大，可能会影响晚间休息，除此以外，我感觉这家酒店都非常地好。', '短评打分': 5}
{'短评内容': '离机场很近，如果赶早班飞机，很方便！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '酒店新，性价比，高特别是去虹桥机场和高铁方便，适合准备到上海周边旅游，但不太适合出入市区的。而且难叫出租车。', '短评打分': 3}
{'短评内容': '酒店装修很欧化，房间的家具业也典雅。号称5星，好像没挂牌。\n不足处：虽离机场近，但从机场到酒店只能等酒店的班车，班车要等。', '短评打分': 5}
{'短评内容': '我定的特价房没有了，免费升了其他房间，超值啊！就是地点很偏，我走了1个小时才找到一个菜市场和几家小饭馆，不过，菜市场的肉夹馍和汉中凉皮超好吃。\n对了，酒店还提供虹桥机场和火车站的免费接送服务，很不错啊！', '短评打分': 5}
{'短评内容': '性价比相当的高，在虹桥西边的一个高架下面，里机场车站就是2公里吧，不过开车要注意路口，门口不好打车\n环境，停车位都很好\n装修也好\n一般人找不到，我在导航上设了标记点，下次去上海还会去住！首选', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '同样是豪生，应该向别的酒店学习学习。\n\n服务甚至不如上海之外的豪生。酒店设施也没有特色，表面有追求奢华的意愿，实际上与希尔顿级别酒店的确有设计实用性的差距。\n比如房间里除了写字台上有电源，其他地方竟然很难找到\n比如电视就在写字台处，在用电脑的时候不能听新闻，太近。\n\n酒店窗户不密闭，不仅仅不隔音，同时浪费能源。也为减排做做贡献吧。\n\n位置有些优势，其他不觉得有什么特色。', '短评打分': 5}
{'短评内容': 'close to Hongqiao airport,my guest like it very much!', '短评打分': 5}
