{'短评内容': '嗯嗯', '短评打分': 5}
{'短评内容': '已经住第三次了，不错，值得推荐。军招还是比较干净和安全。', '短评打分': 5}
{'短评内容': '酒店服务一般，价位偏高，尤其是1点退房不太人性化，现在大多数酒店都是2点退房。', '短评打分': 5}
{'短评内容': '价格不错，性价比还可以，就是晚上居然停电了', '短评打分': 5}
{'短评内容': '整体环境还行，性价比蛮高。就是酒店位置不太好找，指示牌应该放在更高的位置方便顾客观看到', '短评打分': 5}
{'短评内容': '条件非常一般，相对招待所强一点。服务员需要加强培训。不是离朋友家近真的不会选这里。特别是卫生间条件。差！', '短评打分': 1}
{'短评内容': '房间一般，唯一带电脑。卫生较差。服务态度较好！房间电脑打不', '短评打分': 5}
{'短评内容': '下水管门把手破损房间光线暗安防措施不够', '短评打分': 3}
{'短评内容': '交通便利，闹中取静，价格比较公道，安全系数很高', '短评打分': 5}
{'短评内容': '酒店很干净，很不错，而且周边环境挺好的，就在干休所旁边，很干净。和男朋友都感觉很好', '短评打分': 5}
{'短评内容': '环境安静', '短评打分': 3}
{'短评内容': '标准间太小，但还比较干净。因为被安排在一楼，感觉不太安全', '短评打分': 1}
{'短评内容': '干净，卫生，服务态度很好，酒店设施也很不错', '短评打分': 5}
{'短评内容': '房间挺安静的。设施干净整洁。就是床有点短。可能大床房会好一点吧。挺不错的。', '短评打分': 5}
{'短评内容': '环境不错 价格很公道 如果能多有几家分店就好了.', '短评打分': 5}
{'短评内容': '环境比较安静，但隔音效果不好，住的电脑单间，上网挺方便，总体来说性价比还行。', '短评打分': 3}
{'短评内容': '不错，很温馨，非常安静，是旅游休息的好地方。', '短评打分': 5}
{'短评内容': '＋环境不错', '短评打分': 3}
{'短评内容': '舒适，安静，内部也很温馨。停车位少了些。', '短评打分': 5}
{'短评内容': '还好，就是无娱乐设施', '短评打分': 3}
{'短评内容': '我住的是电脑单间，真的还不错，晚上非常安静，房间里面的设施也很齐全，唯一的不足就是洗手间里有小飞虫····', '短评打分': 5}
{'短评内容': '此酒店看上去不错，但我房间有个苍蝇，没法打死。房间也不打扫。住着不感舒适。', '短评打分': 1}
{'短评内容': '如果所住酒店房间电话只是摆设，既打不出去，也打不进来，试问有人愿意住吗？武汉艾仕丽宾馆（丁字桥店）在我的朋友入住时就是这种状况，我的朋友嘱咐我一定要在网上给这家酒店曝光，促进其改正。', '短评打分': 1}
{'短评内容': '总的来说还可以吧，性价比还不错，就是太隐蔽了点，不太好找到。', '短评打分': 5}
{'短评内容': '环境一般 卫生不好 刚住进来卫生间味道很大 而且我们住了两天白天竟然没有打扫房间 枕头有味道 空调声音很大  ', '短评打分': 3}
{'短评内容': '除了小以外都挺好的，所有房间都有电脑，房客可以不用带本本了', '短评打分': 5}
{'短评内容': '整体环境不错，周边环境不错。细节有待提高，入住后我自己拿着毛巾擦了玻璃墙和卫生间墙上的脏东西。之前住的人太可怕了，感觉。。。。。', '短评打分': 5}
{'短评内容': '还不错，就是地方有点不好找，性价比还可以。', '短评打分': 5}
{'短评内容': '非常不错，安静，干净，闹中取静，唯一缺憾的是洗澡水不够热。', '短评打分': 3}
{'短评内容': '大堂时尚，干净，房间的床很好，被子很漂亮有个性。 148元的单人房配有电脑，非常好。不足之处就是没有早餐。 ', '短评打分': 5}
{'短评内容': '位置离武昌火车站较近，总体比较干净，环境也安静，价格比较实惠', '短评打分': 3}
{'短评内容': '刚去的时候前台问我住一层可以么，没多想就答应了，这绝对是个错误，首先房间很潮，卫生间下水简直是灾难，退房的时候提了下卫生间的问题，前台居然很坦然的说是一层的原因，入住的时候怎么不说呢！刚进房间的时候发现被罩上有血点，换了个被子，但是房间里的电脑上网有问题找了几次都说一会儿来看，但是直到退房都没人来，后来懒得用了。\r\n酒店装修风格挺温馨的，服务人员的态度也不错，但是这样明知有问题就是不解决实在让人无', '短评打分': 1}
{'短评内容': '酒店房间不大床为1.5米 住要是有电脑 如果有需要滴还是比较合算的其他各方面还可以吧 不好也不差', '短评打分': 5}
{'短评内容': '店是新店 设施很不错 很干净 环境蛮安静 ', '短评打分': 3}
{'短评内容': '房间很漂亮，也很卫生，主要是很安静，房间还配备了电脑，很人性化。', '短评打分': 5}
{'短评内容': '在军区干休所内部，所以很安静，听不到街道的繁杂声，房间较小，设施都不错，以后还会继续住的', '短评打分': 5}
{'短评内容': '酒店环境不错，就是位置难找了点，其他的都还好。', '短评打分': 5}
{'短评内容': '性价比可以，不过服务有点一般，环境比较安静', '短评打分': 5}
{'短评内容': '环境还行 有点偏僻', '短评打分': 5}
{'短评内容': '位置上如果不是本地人或者来过，比较难找到，但是环境非常好，价格比较便宜，总的来说还是很不错的。', '短评打分': 5}
{'短评内容': '硬件设施不错，都比较新，装修可以，就是电话暂时不能打外线，不能刷卡，位置有点难找，总的来说还是性价比不错的！', '短评打分': 5}
{'短评内容': '位置一般 不好找。环境很安静 还可以 就是房间很小！东西一般！电视不错，电脑很新，还不错', '短评打分': 5}
{'短评内容': '酒店位置有点偏,司机在丁字桥转了两圈才找到.现在没有早餐,不过性价比还可以.对了,手机信号有点差.', '短评打分': 5}
{'短评内容': '环境还不错！电脑很方便！值得入住！！~~~@！！', '短评打分': 5}
{'短评内容': '环境安静，看上去很有档次，就是车位少了点。', '短评打分': 5}
{'短评内容': '总的来说，一般。如果需要的临时住的话，还是可以的。有时间还是可以有更好的选择的。', '短评打分': 5}
