{'短评内容': '热水不热，晚上太吵', '短评打分': 1}
{'短评内容': '如家的设施不错接待也热情但房间面积稍小地面死角打扫不太干净', '短评打分': 5}
{'短评内容': ' 房间很干净用品也很齐全，就是小了一些，整体感觉还不错', '短评打分': 5}
{'短评内容': '这是第二次入住，卫生环境都不错，就是房间小了点', '短评打分': 5}
{'短评内容': '这家新建的如家看起来比较新，不过如家的房间太小了。每次都很无奈！', '短评打分': 5}
{'短评内容': '这个酒店的位置只能说一般，虽然是东岗西路，但是在东岗西路的最东面，给人有些混淆视听的感觉。而东岗西路的西面才是比较方便的。房间实在是小，仅仅是一张床而已。', '短评打分': 5}
{'短评内容': '不含早餐，虽然写的含，请注意', '短评打分': 5}
{'短评内容': '这家店唯一给我感觉很不好的地方就是房间实在是太小了！价格有点偏贵！性价比不是很高', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '整体来说还不错，就是房间太小！', '短评打分': 1}
{'短评内容': '酒店性价比值得推荐 \r\n', '短评打分': 5}
{'短评内容': '不错的酒店每次都住', '短评打分': 3}
{'短评内容': '每次来兰州都住这家酒店', '短评打分': 3}
{'短评内容': '非常方便，环境很不错，就是中途有一次停水。不过影响不大。', '短评打分': 5}
{'短评内容': '到兰州都住这家 也因为出差方便', '短评打分': 5}
{'短评内容': '周边环境不错，干净卫生，空气清新，但由于在施工，会有点噪音，不过影响不大。', '短评打分': 5}
{'短评内容': '干净，离机场大巴近。', '短评打分': 5}
{'短评内容': '帮同事订的,凑合', '短评打分': 3}
{'短评内容': '一般吧,反正选择不多', '短评打分': 1}
{'短评内容': '出差住 没得选择 还可以', '短评打分': 5}
{'短评内容': '如家酒店 都一样 都不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置不错，不过没有吃早餐的地方！', '短评打分': 5}
{'短评内容': '就是没有电脑哦。别的都还可以的。大床很舒服。也很干净。', '短评打分': 5}
{'短评内容': '态度很好，但是本人认为作为在西北地区的酒店，总体价格方面还是有些偏高，和同类酒店相比，应该在价格上便宜一点。', '短评打分': 5}
{'短评内容': '位置挺好，总的来说还是不错的', '短评打分': 5}
{'短评内容': '房间有点小 没有电脑 其他都还可以', '短评打分': 1}
