{'descr': '前台略冷淡 房间还是蛮干净的 ', 'star': 4}
{'descr': '酒店有自己的公共区域，上上网，喝喝茶还是挺惬意的，而且房间采光也不错，很暖和住着很舒服.', 'star': 5}
{'descr': '位置好闹中取静，而且环境条件都非常不错，就是离地铁站远了点，其它各方面都很好.', 'star': 5}
{'descr': '服务人员态度非常不错，热情周到，办事效率也很快，在我们有需要时还是挺热情的，在此表扬一下.', 'star': 5}
{'descr': '客房类型还是挺多的，可供选择的也比较多，适合人群比较广，条件很不错.', 'star': 5}
{'descr': '位置好，交通便利，距离地铁站也挺近的，出行很方便，而且房间简洁大方，条件各方面都不错.', 'star': 5}
{'descr': '位置不明显，感觉有些不太好找，在巷子里不过离喧嚣之地远些，相当清静，休息不受打扰.', 'star': 5}
{'descr': '简单的四合院式的小院子，显得格外的温馨，房间简单大方，客房安全系数很高，环境也很好.', 'star': 5}
{'descr': '房间虽然不是很大，不过舒适度却是蛮高的，床很舒服，当晚睡得特别香，出行方便还是挺不错的.', 'star': 5}
{'descr': '房间很温馨，设计理念和装修效果都非常好，住宿环境也很好，挺不错的.', 'star': 5}
{'descr': '很有老北京四合院的特色，装修比较复古，不过环境却很不错，住着也很挺舒服的，服务热情周到，办事效率也好.', 'star': 5}
