{'短评内容': '不错，环境好，安静，服务态度有待提高。其余基本满意', '短评打分': 5}
{'短评内容': '  高档整洁，早餐丰盛，价位合适，京东出差首选。', '短评打分': 3}
{'短评内容': '三河燕郊唯一过的去的酒店，早餐很丰盛，4星级标准，房间很大，但细节还很不够5星级。', '短评打分': 5}
{'短评内容': '服务还可以，房间干净，比较大，服务还不错。性价比还可以', '短评打分': 5}
{'短评内容': '很不错环境很好', '短评打分': 3}
{'短评内容': '很不错。物有所值。推荐。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '服务好，房间宽敞，价格合理，卫生条件可以，', '短评打分': 5}
{'短评内容': '很不错，因为飞机晚点，预留到了很晚，免得我露宿街头，呵呵', '短评打分': 5}
{'短评内容': '酒店房间挺大，设施齐全，一楼自助餐价格实惠，58一位，食物丰富，物超所值，值得再次入住！', '短评打分': 3}
{'短评内容': '性价比很值', '短评打分': 3}
{'短评内容': '总的感觉还不错。装修，空间都不错。在燕郊算是不错的选择。', '短评打分': 5}
{'短评内容': ' 整体还可以......细节有待提高', '短评打分': 3}
{'短评内容': '每次去燕郊，都住福成，因为再没有其它像样的酒店。但是，它的管理和细节与其它同级别酒店比差距太大了，可惜配套的硬件设施了。最不能容忍的是，由于是在网上订的客房，所以安排房间时通常会把最小的最旧的拿出来，真是合作不起就别参与，鄙视！早餐差，淋浴的花洒真象浇花一样，退房时查房速度慢，前台冷漠。期待有所重视！', '短评打分': 5}
{'短评内容': ' 不错 就是细节有待提升......', '短评打分': 3}
{'短评内容': '感觉很不错，朋友来了安排在这很划算，并且是燕郊唯一的五星级酒店~很好~~~', '短评打分': 5}
{'短评内容': '福成国际大酒店应该算是燕郊的最高标准了，环境、服务等各方面还不错~', '短评打分': 5}
{'短评内容': '很不错的酒店。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '很不错的酒店。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '离办事地点近，性价比高，下次还会入住。。。。。', '短评打分': 5}
{'短评内容': '酒店很不错。早餐也很好， 要是去北京的东部还是很不错的选择。', '短评打分': 5}
{'短评内容': '装修很不错， 性价比也很高，就是吃饭的地方有点贵。 交通有点不方便。 如果是去大厂工业园区，还是很好选择。 ', '短评打分': 5}
{'短评内容': ' 整体不错 但细节有待加强~', '短评打分': 3}
{'短评内容': '非常不错！酒店的位置不错，酒店的房间面积很大，让人很少舒服！特别是酒店的自助餐更是特别棒！早餐、和晚餐也是很有特色！特别是晚餐，性价比更是很高的！', '短评打分': 5}
{'短评内容': '酒店很新，值得入住，就是不送早餐有点不好，再加60就是门市价，包含送两人早餐自助券', '短评打分': 3}
{'短评内容': '酒店不错，靠近出差地点，位置可能比较偏，所以价格相对便宜，设施和服务还不错，早餐券也可以吃午餐或者晚餐，自助餐也很好。', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也很好', '短评打分': 3}
{'短评内容': ' 不错 值得一住 性价比高~', '短评打分': 3}
{'短评内容': '第二次入住本酒店还是一如既往的好，这次早餐卷可以使用于中餐和晚餐了，非常不错，客房服务员很热情，就是前台服务员不够热情，希望能够改进', '短评打分': 5}
{'短评内容': ' 好不错', '短评打分': 3}
{'短评内容': '住过多次了，房间大，设施新，不错！\n是燕郊高档的酒店了！\n自助餐也味道尚可！\n希望能送简单的早餐！\n！！！！！！！！！！', '短评打分': 5}
{'短评内容': '硬件不错，服务一般', '短评打分': 3}
{'短评内容': '酒店的价格不错，但是商务中心价格太离谱了，打印10块钱一页，复印3块。有点过分。 另外酒店很奇怪两张床的标准有早餐，大床却没有，两张的只有一个早餐。太奇怪了', '短评打分': 5}
{'短评内容': '内容 酒店非常不错', '短评打分': 3}
{'短评内容': '挺好很舒服', '短评打分': 3}
{'短评内容': '不是第一次住了，一如既往的，还是不错的。\n这次吃的自助，味道还可以，就是螃蟹有个别的好像坏了。希望改进！！', '短评打分': 5}
{'短评内容': '这酒店不错，几乎能达到北京城里的普通5星级水平，\n还赠送自助餐，吃得也不错！\n', '短评打分': 5}
{'短评内容': '酒店房间比较大，设施齐全、干净，是个不错的酒店。\n服务也还不错。\n下次还会入住！', '短评打分': 5}
{'短评内容': '比看评论中想象的好，床简直太舒服了！！！以后入住燕郊肯定会首选这里，房间也比较大 厕所是亮点 ', '短评打分': 5}
{'短评内容': '酒店设施非常好，干净整洁；服务周到，入住酒店后服务员马上送来一盘水果，让我感觉非常好；而且酒店内用餐方便，一至四层都是餐厅，可满足不同客人用餐；一层的海鲜自助价格不贵可品种很多，味道也非常好。', '短评打分': 5}
{'短评内容': '整体还不错，空调系统一般，淋雨不是很舒服！', '短评打分': 5}
{'短评内容': '酒店卫生良好，装修新，服务好，设施齐全，性价比很高。', '短评打分': 5}
{'短评内容': '服务和设施都还不错，但交通不是很方便。如果没有自驾车入住可能会有些麻烦。', '短评打分': 5}
{'短评内容': '在燕郊是最好的酒店，性价比很不错，早餐也还行！', '短评打分': 5}
{'短评内容': '条件很好，是五星的条件，由于比较偏远因此价格非常划算，推荐', '短评打分': 5}
{'短评内容': '酒店环境很好，服务也不错。', '短评打分': 3}
{'短评内容': '交通便利，环境不错，交通便利，环境不错，', '短评打分': 5}
{'短评内容': '下次还来，非常好，推荐朋友入住，性价比很高，以后有机会还会住这里', '短评打分': 5}
{'短评内容': '条件很好，特别是性价比超级高，我们到酒店的时候已经很晚了，因为没有用信用卡等方式担保，特别担心会临时被告知没房，幸好一切都非常顺利，喜欢这个酒店，推荐', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '这次住,空调比以前好了很多,不错。', '短评打分': 3}
{'短评内容': '还不错，在国道边，只是外出吃饭要走10分钟去后面的一条小街上吃饭', '短评打分': 5}
{'短评内容': '非常不错的酒店，房间设施和服务都非常好，下次还会入住的', '短评打分': 3}
{'短评内容': '服务环境还可以。但和前台挂的5星酒店还有差距。', '短评打分': 3}
{'短评内容': '房间很大，设施还行，服务还行，就是空调不知怎么调整，或许是统一设置的吧。', '短评打分': 5}
{'短评内容': '环境不错，客房挺大，早餐挺丰富的，服务一般。', '短评打分': 5}
{'短评内容': '三河就这一家上档次的酒店，房间面积很大，也很安静。', '短评打分': 5}
{'短评内容': '去燕郊推荐的酒店，当然对方间内的一次性用品不要抱期望值', '短评打分': 5}
{'短评内容': '在燕郊另一家汇福酒店住过，感觉明显不如福成，价格差不多，以后还是福成', '短评打分': 5}
{'短评内容': '房间和卫生间都挺大的，订双人间比单间划算，房间设施一样的，只是双床和大床的区别，但是双人间多一份免费早餐而且便宜20元', '短评打分': 5}
{'短评内容': '住了很多次，今天一下子点评了很多次这家酒店，总的来说性价比不错', '短评打分': 5}
{'短评内容': '不错啦，每次到燕郊出差的唯一选择，各方面还都行，300多元的房价在北京只能是如家一类', '短评打分': 5}
{'短评内容': '是当地的一家企业开的号称五星的酒店，气派蛮大的，房间也够大，就是略显粗糙', '短评打分': 5}
{'短评内容': '燕郊最好的宾馆，去燕郊出差最好的选择了，虽然房间用品很一般', '短评打分': 5}
{'短评内容': '性价比较高的5星级宾馆，朋友住的也直夸，下次还去住~', '短评打分': 5}
{'短评内容': '，酒店房间的小冰箱在夏季居然被撤了，太奇怪了！', '短评打分': 3}
{'短评内容': '很好的酒店,喜欢', '短评打分': 3}
{'短评内容': '酒店的空调系统非常不好，天气很热，开空调和没开没什么区别。', '短评打分': 3}
{'短评内容': '酒店比较干净，服务尚可。', '短评打分': 3}
{'短评内容': '价位合理，服务周到，前台速度快，早餐偏贵。', '短评打分': 5}
{'短评内容': '挺好的，希望以后退房查房能快点。', '短评打分': 3}
{'短评内容': '性价比相当的高，只是很奇怪的是为什么单人间要比标准间贵，另外还不带早餐？', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间，服务都很好，就是卫生间的一次性用品盒气味冲鼻。', '短评打分': 3}
{'短评内容': '酒店除了早餐贵点一外都很好床也很软我很喜欢！', '短评打分': 5}
{'短评内容': '酒店硬件很不错值得一住！这里是燕郊最好的酒店了！', '短评打分': 5}
{'短评内容': '酒店环境不错，客房舒适、整洁，服务也不错。只可惜这次用手机订单，消费券不能使用。', '短评打分': 5}
{'短评内容': '酒店环境还不错', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': ' 酒店相当不错！', '短评打分': 3}
{'短评内容': '＋房间较好', '短评打分': 3}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '服务、卫生、房间格局、酒店环境、交通等等各方面都不错，性价比很高。', '短评打分': 5}
{'短评内容': '此酒店房间较大，设施较好，前台服务尤其好，价位适中，餐厅二楼口味不错。', '短评打分': 5}
{'短评内容': '酒店房间很舒适！', '短评打分': 3}
{'短评内容': '酒店环境不错，房间也宽，早餐也很好，就是前台人员态度有点牛B，建议提高软实力！', '短评打分': 5}
{'短评内容': '服务很好，因为有事儿很晚才到但房间一直保留。房间很干净，电卡也已插好。', '短评打分': 5}
{'短评内容': '，     。    。    。    。小偷真多， 不安全。', '短评打分': 1}
{'短评内容': '服务很好，入住快捷方便。房间设施齐全且很宽敞。停车位充足。', '短评打分': 5}
{'短评内容': '十不错', '短评打分': 3}
{'短评内容': '一直感觉不错，环境很舒适，如果再去燕郊，还会再次入住。', '短评打分': 5}
{'短评内容': '福成酒店非常宽敞舒适,离北京很近,还能吃到正宗的福成牛肉', '短评打分': 3}
{'短评内容': '服务好，环境优。', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '好酒店。虽位于北京以东30公里以外，在三河，确实不错。', '短评打分': 5}
{'短评内容': '房间大 服务也可以 特别是4楼的福城肥牛超级好吃 强烈推荐！！！', '短评打分': 5}
{'短评内容': '房间不错，服务也好，价格合理！………………', '短评打分': 5}
{'短评内容': '房间舒适，价格合理，交通方便。服务到位。此次去虽无人等候但结账稍慢。', '短评打分': 5}
{'短评内容': '    酒店环境很不错…房间很大…就是感觉暖风稍差点…服务还算可以吧…', '短评打分': 3}
{'短评内容': '交通便利，环境非常好，符合五星级标准。服务态度热情周到。前台办理入住、结账均很快捷。停车位充足。', '短评打分': 5}
{'短评内容': '服務挺好的我每次去都住那裏服務挺好的我每次去都住那裏', '短评打分': 5}
{'短评内容': '这酒店很好很干净服务台度也很好什么都基本上满意', '短评打分': 5}
{'短评内容': '还可以，还可以，确实还凑合！！\n\n是的！', '短评打分': 5}
{'短评内容': '酒店是够气派的，房间内部设施也具备五星级标准，只是房间内配备的东西太匮乏了，肯定达不到五星水准，没有冰箱，没有女士卫生袋，没有矿泉水，咖啡等饮料，很寒酸，房间地毯还有股臭味，在北京也就是个准四星水平。', '短评打分': 5}
{'短评内容': '酒店硬件条件非常好，服务需加强。\n有人在楼道大声打电话，让服务员告他小点声，服务员居然说人家是客人。那我们就不是客人了啊？', '短评打分': 5}
{'短评内容': '有些服务细节有待改善！', '短评打分': 3}
{'短评内容': '七楼服务员刘小姐在我结帐后查房拾到我的手机并立即通知前台，非常感谢！以后还会住福成国际酒店！', '短评打分': 5}
{'短评内容': '非常好的酒店，在燕郊这个地方这个酒店是最好的。 性价比还不错，', '短评打分': 5}
{'短评内容': '质高价低，消费合理，餐饮质量很到味！餐厅服务质量很差！', '短评打分': 5}
{'短评内容': '酒店很气派，也挺干净，就是电视感觉有些小，好像是29寸的，个人感觉和房间大小有些不匹配，要上32寸以上就更好了。', '短评打分': 5}
{'短评内容': '硬件还可以，交通便利，早餐品种可以，希望保持，服务还有待提高', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '各方面的都很好！设施很新，商务房空间很大，重要的是床很舒服！', '短评打分': 5}
{'短评内容': ' Good', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '娱乐项目不多', '短评打分': 5}
{'短评内容': '+酒店整体不错，地理位置好，性价比相对比较好，就是没有赠送的瓶装水有点遗憾。', '短评打分': 5}
{'短评内容': '性价比高，比较豪华，很舒适，很安静！酒店早餐也比较丰富！', '短评打分': 3}
{'短评内容': '整体比较豪华，主要很便宜，性价比比较高！', '短评打分': 5}
{'短评内容': '+很好', '短评打分': 5}
{'短评内容': '不错的酒店，在燕郊休息的首选。设施卫生都很不错。餐厅没有吃不知道怎么样。在燕郊有这样的酒店很好', '短评打分': 5}
{'短评内容': '房间，大堂，服务，设施，各个方面都好。下次我还想住', '短评打分': 3}
{'短评内容': ' 酒店非常满意', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '感觉服务比以前好了，是不是换了管理公司，门童主动打招呼问候！客房小吧台的镜子破碎了也没有提示。电水壶插座就在破碎的镜子上，使用很危险！', '短评打分': 5}
{'短评内容': '不足的就是一次性拖鞋和卫生纸与该宾馆不配套。', '短评打分': 5}
{'短评内容': '很值得推荐的酒店，环境和服务都不错~~~~~~~~', '短评打分': 5}
{'短评内容': '+酒店不错，房间大舒服，早餐也丰富，值得推荐', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '对北京福成国际大酒店的点评:除了位置以外,吃饭、服务、房间、各各条件不错.但保玲球的设备不好!其都不错!', '短评打分': 5}
