{'短评内容': '京东，京东非常好，非常方便，非常好。方便快捷，价格合意(ノ๑`ȏ&acute;๑)ノ︵⌨', '短评打分': 5}
{'短评内容': '酒店设施很好,家具的精致也另人意外,在细节处也很细心.前台服务员如果态度好些的话会更完美.', '短评打分': 5}
{'短评内容': '非常棒的别墅！餐饮有点贵呐！下次带妈妈来，她一定会很开心的！门囗陕西南路上的一家家小店也很小资哦！', '短评打分': 3}
{'短评内容': ' 非常不错哟,闹处独享静幽。', '短评打分': 3}
{'短评内容': '如果你想要上海特色，对价钱要求不高，这里很值得一来，尤其要在这里吃顿饭，到楼上看看，这建筑修的，没治了，牛！也让人感慨没有什么可以永远拥有，才几十年，物是人非了，珍惜当下吧。', '短评打分': 5}
{'短评内容': '早餐不错，床可以', '短评打分': 3}
{'短评内容': '一个很有历史的饭店，非常不错。交通尤其是方便。第一次来。以后还会再来的。', '短评打分': 5}
{'短评内容': '前台门市价格是1050。客房环境、服务都很满意，订的蛋糕提早送到了，酒店也安排冷藏。出行方便。下次还会入住。', '短评打分': 5}
{'短评内容': '酒店不错，舒适、感觉不错！', '短评打分': 3}
{'短评内容': '超赞的说，环境真不错，感觉比香港迪士尼乐园酒店还有城堡的感觉，最稀饭大堂的高挑空和彩绘玻璃窗。房间也8错，就是楼道窄了些，学过很像舱里。但是前台的服务经理态度很清高，难道是上海特色?还有就是购物超方便，长乐路、新乐路、陕西南路都是小资小店遍地的购物天堂。每年偶都想来一次。', '短评打分': 5}
{'短评内容': '有味道，有故事，不同一般星级酒店.感觉挺舒服的，下次最好在花园喝个下午茶。', '短评打分': 5}
{'短评内容': '真的好像住在城堡中， 很有氛围的别墅酒店。', '短评打分': 5}
{'短评内容': '酒店位置不错，离新天地、豫园和静安寺都很近，交通方便，临近地铁1号线和10号线，去哪里都方便，包括去机场，附近还有很多时尚小店，服装和皮包都很新潮；酒店环境超级棒，房间服务也很体贴，就是早餐简单了些，对不起价格。', '短评打分': 5}
{'短评内容': '风格很别致的酒店 大概只有上海才会有了吧 呵呵\n设施较为齐全，环境也不错，就是淋浴喷头有点问题，其它还好\n', '短评打分': 5}
{'短评内容': '酒店很干净，环境很优雅，酒店的来源故事很有意思；有小资情调。', '短评打分': 5}
{'短评内容': '位置好，内部环境优雅，具有人文底蕴的酒店，不错！', '短评打分': 5}
{'短评内容': '环境不错  地段好 交通方便 酒店内部设施很好', '短评打分': 5}
{'短评内容': '酒店环境很适合外国人居住，地处市中心，出行极其方便。', '短评打分': 5}
{'短评内容': '交通便利\u3000房间一般\u3000窗外就是小学早八点二十高音喇叭响起\u3000', '短评打分': 3}
{'短评内容': '＋入住1309', '短评打分': 3}
{'短评内容': '地理位置好，交通方便，有地铁直通机场，环境卫生，舒适。空气有点潮湿，有点味道。好象没有无线网络，对于常上网的人而言会很不习惯，房间和大堂非常气派，仿佛回到40年代的上海。\n\n', '短评打分': 5}
