{'短评内容': '酒店不错，就是前面在施工，看着有点乱', '短评打分': 5}
{'短评内容': '酒店地处闹事，房间很大，就是服务还有待改善。早上跟客房服务员说，打扫房间的时候不要把我的取电卡拿走，结果还是拿走了，叫她把窗户打开，回来还是锁着的。真的很无语。', '短评打分': 1}
{'短评内容': '黄金地段啊，逛街方便啊，四星级啊，贵啊！', '短评打分': 5}
{'短评内容': '位于沙坪坝中心市区的酒店，四星标准，房间干净，整洁，卫生。在沙坪坝中心商圈算较好的酒店。', '短评打分': 5}
{'短评内容': '好，中心地带，方便，三峡广场就在楼下。就是少了沐足！！', '短评打分': 5}
{'短评内容': '位置好，城市中心，但进入酒店的路对于外地人来讲有点不方便找，需要绕来绕去', '短评打分': 5}
{'短评内容': '酒店位置很好，城市中心位置，交通方便，老酒店了，感觉设施有点陈旧', '短评打分': 5}
{'短评内容': '酒店入住之后发现房间硬件设施很好，位置也不错，下次还会考虑这里。', '短评打分': 5}
{'短评内容': '在沙坪坝区唯一一个上点档次的四星级酒店。', '短评打分': 5}
{'短评内容': '帮朋友订的房，不作太多评价。帮朋友订的房，不作太多评价。', '短评打分': 5}
{'短评内容': '酒店内外环境很吵杂，早上走廊的服务员说话声很大，广场上敲锣鼓声从早上8：00持续了2小时，要命！', '短评打分': 1}
{'短评内容': '是这个区较好的酒店，在商圈中心，很方便。但房间设施一般。', '短评打分': 5}
{'短评内容': '环境不错,满干净的,服务也不错\n电梯有待升级', '短评打分': 5}
{'短评内容': '环境不错,蛮干净的,服务也很好\n就是电梯不太好,离店那天从八楼下来电梯就不受控制,中间不停,很缓慢地下到了地下一层才停止,再坐边上的上到一楼', '短评打分': 5}
{'短评内容': '建议更换电吹风 这种壁挂式的功率太低了 根本就吹不干头发', '短评打分': 5}
{'短评内容': '最近来重庆比较少，应该是好几个月前了吧，感觉丽苑是有点旧了，不过沙坪坝也就这家酒店像样点。', '短评打分': 5}
{'短评内容': '房间的方位太奇怪了。不知道怎么回事，总之两天都没怎么睡着。', '短评打分': 1}
{'短评内容': '整体感觉还可以，因为附近没有好的酒店了。', '短评打分': 5}
{'短评内容': '还可以，就是价格贵了点。还可以，就是价格贵了点。还可以，就是价格贵了点。还可以，就是价格贵了点。', '短评打分': 5}
{'短评内容': '位置还不错，就是房间不通风，有些闷!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '前几天都满房 今天好不容易订上了 沙坪坝没好酒店啊.... 赶快修赶快修', '短评打分': 5}
{'短评内容': '酒店设施老旧,我看连两星都不能算.', '短评打分': 3}
{'短评内容': '因为出差在沙坪坝，所以只能住丽苑，听说是沙坪坝唯一的一家四星酒店，但是说实话，里面的设施三星顶多了，床也不是很舒服，有点硬，而且卫生间设施陈旧..下次不回去了，唯一好的就是离三峡广场比较近，自助早餐不好吃，品种也少...', '短评打分': 5}
{'短评内容': '價錢貴，早餐比以前差，前台服務欠佳，酒店位置可以\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057\ue057', '短评打分': 5}
{'短评内容': '该酒店的确算较为合适的酒店，干净、整洁，交通方便，只的选择，尤其偶住的旅行者', '短评打分': 5}
{'短评内容': '本来想订附近其它酒店，但没房了，只好订这家，因为还算四星级酒店，但是到了以后发觉这个酒店确实不怎么样。首先，我10月14日下午入住的，但是前台有两个小姐，接待大概两三个客人，但是花的时间很长，我等了10分多钟，在此期间接待我那位接了好几个电话，不管对方是谁，她都很不耐烦，当然对方是听不出来了，我只有在她挂了电话所表现出的那种态度可以看出来，这个态度在四星级酒店简直不和思议。另外，房间非常一般，设施', '短评打分': 1}
{'短评内容': '性价比有点偏低，但似乎在三峡广场这也没啥其他好的选择，印象中是这样', '短评打分': 1}
{'短评内容': '周围过于杂乱，交通拥堵严重，几乎任何时候都打不到车。酒店设施陈旧，前台工作效率太慢~~反正以后是不住了~~', '短评打分': 1}
{'短评内容': '此酒店地点方便，附近就是购物广场，吃饭选择比较多。但是重庆很难打到的，外出办事等的士总是要等好久。\n特别推荐的是这家的早餐，真的是品种很多样化，味道也不错。', '短评打分': 5}
{'短评内容': '酒店卫生很干净，服务态度很好。下次去重庆还会住那里。', '短评打分': 5}
{'短评内容': '沙坪坝地区这地方算是不错了的。会推荐的。~~~', '短评打分': 5}
{'短评内容': '因为要拜访的客户就在沙坪坝，丽苑是没有选择的选择。酒店灯光太暗了，特别是卫生间。', '短评打分': 1}
{'短评内容': '酒店所处的位置很好，方便逛街，设施也不错，早餐时好时不行。', '短评打分': 5}
{'短评内容': '酒店所处位置很好，环境也好，服务态度不错，就在三峡广场边上，靠近地铁，出行方便，就是有些贵。', '短评打分': 5}
{'短评内容': '此酒店是三峽廣場旁較好的四星級酒店，飲食逛街購物交通街非常方便。', '短评打分': 5}
{'短评内容': '性价比不高，不过是沙坪坝里能找到挂牌酒店最好的了，装修老，早饭也不好，出差还凑合，地理位置不错。', '短评打分': 5}
{'短评内容': '住过很多次了，因为跟客户的公司比较近，所以每次都住这里。但是早饭真的不敢恭维，整体服务也一般，希望能有所改进。', '短评打分': 1}
{'短评内容': ' very good', '短评打分': 3}
{'短评内容': '酒店干净，酒店服务不错 价格也合理 下次还会光临', '短评打分': 5}
{'短评内容': '房间家俱很老.不是很温馨.细微的还可以.价位很高', '短评打分': 3}
{'短评内容': '还不错，交通方便，房间比较宽敞，价格也算公道。', '短评打分': 5}
{'短评内容': '地理位置很好，交通便利，但酒店的毛巾太旧，设备', '短评打分': 3}
{'短评内容': '同比其他同级的酒店，该酒店价格稍高，但位置确实好，楼下就是三峡广场。\n设施一般，符合四星级的级别但也谈不上出类拔萃。', '短评打分': 5}
{'短评内容': ' 酒店不错 ', '短评打分': 3}
{'短评内容': '还不错吧, 挨着步行街, 逛街非常方便', '短评打分': 3}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '就在三峡广场，很好，很方便，离出差的地方很近。', '短评打分': 5}
{'短评内容': '很好 态度不错 赞一个  很好 态度不错 赞一个  很好 态度不错 赞一个', '短评打分': 5}
{'短评内容': '非常满意 酒店服务和设施都非常不错 向大家推荐', '短评打分': 5}
{'短评内容': '好像都没有暖气，挺冷的，希望下次可以改进。', '短评打分': 1}
{'短评内容': '酒店位置很好，就在三峡广场，很方便，在沙坪坝区算是很好的酒店了，\n但有点陈旧了显得。', '短评打分': 5}
{'短评内容': '十早餐太差，面是素面、菜也很少，品种也很少，而且中途也不添加，与所谓四星有差距。', '短评打分': 3}
{'短评内容': '在沙坪坝的商业区算不错的了，房间设施较旧，但是面积够大，设施维护的也行。', '短评打分': 5}
{'短评内容': '重庆丽苑酒店很好，地理位置里三峡广场很近。酒店附近有火车订票点，订火车票也很方便。', '短评打分': 5}
{'短评内容': '店很新早餐也很丰富，就是前台结账速度太慢……', '短评打分': 5}
{'短评内容': '很好的，一直住的，下次也会住的~~~~~', '短评打分': 5}
{'短评内容': '这家酒店是我去到沙坪坝入住的定点酒店，也算是沙坪坝最好的酒店吧。', '短评打分': 5}
{'短评内容': '我已入住N次了，位置很方便，就是设施有点旧了，早餐也不怎么好。', '短评打分': 5}
{'短评内容': '除了停车不太好、早餐太差之外，其他还行，方便', '短评打分': 5}
{'短评内容': '不错。房间很大，空调很足，热水很快。位置也好。', '短评打分': 5}
{'短评内容': '如果不怕贵，住这里还是没问题的。但如果我个人到重庆旅游是不会住这里的！', '短评打分': 5}
{'短评内容': '第一次住重庆丽苑大酒店 环境还很满意 不错', '短评打分': 5}
{'短评内容': 'very interesting location with good services in the hotel.', '短评打分': 5}
{'短评内容': '已入住715。', '短评打分': 3}
{'短评内容': 'very interesting location with wonderful services in the hotel. strongly recommended.', '短评打分': 5}
{'短评内容': '是沙坪坝区的优良四星级酒店，会议、旅行、宴会皆宜。交通便利，對面即是火車站，搭计程车至机场約四十分，公车路线四通八达。且地处三峽廣场，购物饮食娱乐非常方便。', '短评打分': 5}
{'短评内容': ' 设施很一般，电视还是长虹的，感觉不到是4星', '短评打分': 3}
{'短评内容': '位置好，但设施明显有点古董味,大门广场集市化，很热闹。', '短评打分': 5}
{'短评内容': '入住时间比较久远了，所以具体情况记不太清了。\n印象中感觉不错，对得起它的价格，可推', '短评打分': 5}
{'短评内容': '还不错的酒店，对得起这个价格了，只是卫生再好点就更好了', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '繁华，适合逛街。就是有点吵。前台结账有点慢。', '短评打分': 5}
{'短评内容': '出行非常方便。但是今天晚到酒店一会儿，房间居然被取消，也没有电话通知。', '短评打分': 5}
{'短评内容': '很不错的酒店，沙坪坝的酒店好的不多，这家算不错的。', '短评打分': 5}
{'短评内容': '价格贵了点，但这个区域没有更好的选择！打车就太困难了！', '短评打分': 5}
{'短评内容': '较贵。前台工作人员态度一般，语言比较生硬。回答在哪里领取免费停车券时，表情极为不屑，还不如门口的保安态度好。实习生动作较慢。性价比实在谈不上。可能是大假期间，房间紧张吧，我想，若在平时，这个四星级的宾馆最多只能卖250元。早餐写的是10点钟结束，9点半到达时，已经没什么菜品了。等了很久吃的小面，居然没煮熟。电梯快。卫生好。电视是老式的，估计是10年前开业时买的。', '短评打分': 1}
{'短评内容': '位置绝佳，沙坪坝中心，挂牌四星，还过的去，就是老了点。', '短评打分': 5}
{'短评内容': '房间还过得去吧，有停车的地方，只是在网上订的没什么优惠。', '短评打分': 5}
{'短评内容': '位置不错，就在步行街边上，服务人员态度也不错。以前住过，这次来住还是老样子，除了价格觉得稍贵，其他都不错。', '短评打分': 5}
{'短评内容': '酒店设施比较老，虽然4星，但是不很很舒适，连窗都打不开。。。', '短评打分': 1}
{'短评内容': '丽苑酒店总体而言还错，干净整洁，房间比较大。', '短评打分': 5}
{'短评内容': '已入住重庆丽苑大酒店。', '短评打分': 5}
{'短评内容': '酒店环境还行.就是不好打出租车.楼道烟味太大.', '短评打分': 5}
{'短评内容': '这是一家国营企业，服务可想而知。早餐是重庆四星酒店中最难吃的，位置和设施属于四星一级。但前台的服务非常差！且前台接待是我见过重庆酒店中最没有礼貌的，前台财务人员对于结账流程的操作非常不熟练，住房水单、发票、结算容易出错，对出差需要报账的商务人员来说需要特别留神。', '短评打分': 5}
{'短评内容': '早饭的质量有下降的感觉，希望能保持。', '短评打分': 5}
{'短评内容': '酒店的房间还好,我不太喜欢它的卫生间,不太舒服.而起前台的服务很差.总的来说还ok', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比不错的一家酒店！', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '因为位置好,设施服务都还不错,只是价格稍微有些高,还可以接受.', '短评打分': 5}
{'短评内容': '地理位置不错，环境也不错', '短评打分': 5}
{'短评内容': '不是很好，但是离办事的地方近，所以将就了', '短评打分': 3}
{'短评内容': '无奈沙坪坝就这一家四星的，将就了，服务不好', '短评打分': 1}
{'短评内容': '1、草木皆兵，侵犯人权，居然把来访朋友当作大敌，实在不像四星大酒店；\r\n2、前台操作流程问题大，服务员业务生疏，加上服务意识差，仅仅二件登记\r\n即耗时十分钟以上，实在太不像四星大酒店。', '短评打分': 1}
{'短评内容': '就在商业街中心地段，服务生的态度还可以，干净整洁', '短评打分': 5}
{'短评内容': '1、酒店位置相当不错，下楼就是商业区和步行街，但是打车有点儿费劲\n2、早餐还可以，水果品种少了些\n3、房间设施没有什么可圈可点之处，显旧且有部分失修。床具是三星级的水平。\n4、游泳池不开，是一摆设\n5、桑拿部尽是推荐不正经的按摩\n6、前台服务员没事就在那里聊天，全然不顾结帐的着急，也就是比国企员工较好一点点的水平\n7、不知道是上次查房不力还是别的原因，在结帐时愣是说我房间放肥皂的小塑料盘被我摔个口', '短评打分': 1}
{'短评内容': '还有一点, 空调噪音大, 还不制热, 冬天入住有些冷.', '短评打分': 3}
{'短评内容': '早餐到10点, 可9点半就开始铺台, 服务员完全无视正在吃饭的客人, 台布甩起来既不卫生,也是对客人的不尊重. 其他的没什么说的.', '短评打分': 5}
{'短评内容': '不错，因为工作原因推迟入住，服务态度很好.', '短评打分': 5}
{'短评内容': '这家酒店卫生间一般，房间面积不错。电视机一般。', '短评打分': 5}
{'短评内容': '说实话，也是到店的时间比较晚了，不然我会换其他酒店。觉得我真的上当了，从酒店的外观和大堂来看，配得上四星，但是房间的设施超级陈旧，感觉这380元花得一点都不值。强烈不推荐！', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '沙坪坝唯一好一点的酒店，别无选择。', '短评打分': 5}
{'短评内容': '地理位置很不错，在繁华的三峡广场。订的时候只有双人间了，380元，价格有点贵，冰箱和空调比较老旧，噪音大。希望硬件设施能有所改进。', '短评打分': 5}
{'短评内容': '不错的酒店，购物吃饭都很方便，推荐', '短评打分': 3}
{'短评内容': '出行很方便，值得入住 ', '短评打分': 3}
{'短评内容': '酒店有点老，设施和服务一般 ', '短评打分': 1}
{'短评内容': '地理位置好，房间有点陈旧。在沙坪坝算是不错的酒店了', '短评打分': 5}
{'短评内容': '地理位置应该是沙坪坝最好的位置了，下次还会再住。', '短评打分': 5}
{'短评内容': '很不错的酒店，服务人员都很有礼貌，也很热情，下次去还住这里', '短评打分': 5}
{'短评内容': '还行,特别在沙坪坝.', '短评打分': 5}
{'短评内容': '空调很好，服务小姐态度好。设施有点偏旧', '短评打分': 5}
{'短评内容': '总的来说还可以，但感觉早餐的品种少了。', '短评打分': 5}
{'短评内容': '设施一般,服务更一般.性价比不高!', '短评打分': 1}
{'短评内容': '总体不错，只是中餐服务欠水准', '短评打分': 5}
{'短评内容': '离客户很近，省却了长时间坐车的烦恼，位置很不错，下次来还住这。其他条件都还可以，推荐', '短评打分': 5}
{'短评内容': '总体还可以，就是有点贵', '短评打分': 3}
{'短评内容': '总体满意', '短评打分': 5}
{'短评内容': '酒店的硬件条件挺不错的，位置也很好，比较方便，但是他们的服务真的需要加强，我人在房间离，他们的服务员没有敲门就直接用它们的钥匙开门进来的，给我的感觉非常不好。', '短评打分': 3}
{'短评内容': '房间比较干净，设施一般，相对于这样的设施来所价格有点高，不过酒店的位置挺好的，外出方便', '短评打分': 3}
{'短评内容': '酒店的地理位置还不错,蛮方便的,内部环境也还可以,就是价格有些偏高.', '短评打分': 3}
{'短评内容': '之所以给服务打2分，是这个宾馆的服务太不怎么样了。也许是重庆这个城市长期以来的码头文化的影响，重庆各方面的服务都差强人意。每次入住这个宾馆，吃早餐时，没有服务员来给倒咖啡或茶，需要客人自己去倒，然而在放咖啡的地方总有两个服务员背着手在那里发愣，总是闹不清楚她们在那里站着干嘛？就那么站着拿钱？\r\n总台服务质量也不行。6月6日我退房时，因为急着去车站，忘了开发票。而一般的宾馆在客人结完帐后总是要问客人', '短评打分': 5}
{'短评内容': '酒店确实太老了，他的棉品和硬件设施都很旧了，服务环境很一般，选择的时候就是离我要去的地方近，又是四星级的酒店才选择他，但是到了以后发现设施太旧了，我觉得应该翻新一下。', '短评打分': 1}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '不象是四星酒店啊，早餐要改！服务一般，不过地段很好啊！', '短评打分': 3}
{'短评内容': '&amp;lt;P&amp;gt;早餐太差&amp;lt;/P&amp;gt;', '短评打分': 3}
{'短评内容': '住过2次, 感觉房间设施偏旧.地方还算热闹,价格也可以接受.早餐要改进.', '短评打分': 3}
{'短评内容': '还是挂牌四星级，根本不具备应有的气质和设施，而且早餐也很单一！', '短评打分': 3}
{'短评内容': '优点：1、酒店的位置很好，靠近沙坪坝的步行街，就在重庆师范大学对面；2、房间还算干净；3、还有个方便会客的小圆台。缺点：1、我本来订了两间行政单人间，但到了酒店才告诉我没有房，只好改成一个标间；2、空调不冷，晚上睡觉一身汗；3、电梯速度慢，且不稳定，走着走着会突然停一下，又继续走。', '短评打分': 3}
{'短评内容': '可能是老酒店了，装修不好，只能算3星', '短评打分': 1}
{'短评内容': '我和我朋友住的商务间&lt;br /&gt;\n&lt;br /&gt;\n在房间有个红心,上面有I Love You关灯后,发现天花板上有星星,真的是好浪漫', '短评打分': 5}
{'短评内容': '这是服务和保安都很细致的酒店让我有在家的感觉', '短评打分': 5}
{'短评内容': '我们通过Elong预订房间，得到满房的通知；通过与酒店的协商，其大堂副理很富有人情味的帮我们解决了房间问题。', '短评打分': 5}
{'短评内容': '以后我是不会再住那了', '短评打分': 1}
{'短评内容': '这里总的来说环境一般了，而且灯光偏暗．不过早餐不错．', '短评打分': 3}
{'短评内容': '楼下的“GS”朋友，住丽苑感觉不好吗？是不是离火车北站太近的缘故（汽笛声）？我正打算下次去重庆选那儿试试呢。', '短评打分': 3}
{'短评内容': '每个月都有大约10天左右在丽苑住，感觉还不错。就是附近的环境不太好，太吵了一点。&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '我以后也不会再选这间酒店。&lt;br /&gt;\n那次是住在13楼。楼上的夜总会的夜半歌声让我彻夜难眠。痛苦！几经投诉，还是无结果。&lt;br /&gt;\n哼！&lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '上月和朋友在“丽苑”住过一晚，环境、设施都还不错，我想如果下次再到沙坪坝，一定还住那儿！', '短评打分': 3}
{'短评内容': '酒店郁金香西餐厅自助餐推出：商务自助午餐——48元/位（净价）；中西自助晚餐——68元/位（净价）；&lt;br /&gt;\n可享受多款川粤菜肴、西点甜品、10-15种水果，晚餐还有多款海鲜滚动推出、刺身、明档等任君选择。无论是享用午餐还是晚餐，可无限畅饮本地啤酒、5种软饮、中国茶、咖啡等。&lt;br /&gt;\n特别提示：按当日柜台价入住，可免费获得商务自助餐一份。&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '如果您每月的手机话费达到一定金额，就可以加入重庆移动“全球通”俱乐部，就可以在沙坪坝-丽苑大酒店的住房、餐饮、娱乐等项目享受非常、非常、非常优惠的价格！', '短评打分': 3}
{'短评内容': '新酒店，感觉不错，位置还可以！', '短评打分': 3}
{'短评内容': '6月世界杯期间住店，感觉餐饮有明显的变化，有几种新推出的菜品很合我朋友的口味。19楼茶楼包房很不错，是斗地主的好地方，每次来重庆，都和朋友去那里打牌，价格还可以接受，因经常去，每次消费都会有折扣优惠。若自己开车去重庆沙坪坝办事，找停车位是个问题，最方便的地方就是在这酒店，周围有三个广场并连接当地的商业中心。', '短评打分': 3}
{'短评内容': '商务客房内有宽带网，可免费使用，比较方便和实惠。', '短评打分': 3}
{'短评内容': '房间硬件设施不错，够得上四星级', '短评打分': 3}
{'短评内容': '还是挂牌四星级，根本不具备应有的气质和设施，而且早餐也很单一！', '短评打分': 3}
{'短评内容': 'mm太贵', '短评打分': 3}
{'短评内容': '我曾经在丽苑大酒店上过班的，那里给我留下了很美好，难忘的回忆。如果还能够从头来过，我一定会珍惜一切的一切，可是太阳不会从西边升起，时间永远无法倒流。。。。。。&lt;br /&gt;\n我不想说得太多太多了，最后我衷心地祝愿丽苑大酒店越来越好！  &lt;br /&gt;\n&lt;br /&gt;\n', '短评打分': 3}
