{'短评内容': '还行了了了', '短评打分': 5}
{'短评内容': '感觉很一般，相比同等价格的房间差很多。不建议住', '短评打分': 1}
{'短评内容': '不是很好', '短评打分': 1}
{'短评内容': '房间很宽畅，位置比较好，出去玩方便，干净舒适，但上次住但大床房里面空调不是很好用', '短评打分': 5}
{'短评内容': '就是没电梯 其他不错', '短评打分': 5}
{'短评内容': '隔音效果及其差！！！！！！！！！', '短评打分': 1}
{'短评内容': '特价房又舒服又便宜，非常满足', '短评打分': 5}
{'短评内容': '酒店一楼不好有些返潮.也不是很干净,3楼还可以,设施比较齐全,位置不错.性价比不好.', '短评打分': 3}
{'短评内容': '我们住的家庭房，价格房间都很好，因为向阳所以不是很潮的！', '短评打分': 5}
{'短评内容': '卫生条件很好,服务人员态度热情周到,地理位置交通方便,设施完善,住起来也很舒适,性价比不错,值得推荐的一家酒店.', '短评打分': 3}
{'短评内容': '我定了两个房间 一个一楼 一个三楼  ，三楼的还行，一楼的房间返潮发霉，墙纸都霉掉了。\r\n其他还行。性价比比较差 \r\n不过位置还行', '短评打分': 1}
{'短评内容': '我住在202，卫生状况一般，墙壁都霉烂了，也不重新刷刷，让人不敢住，床还比较大，但总体感觉不太整洁的样子。前台服务员居然不知道店子在江西路的东边还是西边，让人大跌眼镜。', '短评打分': 1}
{'短评内容': '还是比较干净的～ 就是厕所有点儿小，墙壁该刷刷了！', '短评打分': 5}
{'短评内容': '屋子比较潮湿，也不太干净，当时我们定两间房，有一间还不错，但另外一间很差，而且酒店的房间很少，下次不住这里了', '短评打分': 3}
{'短评内容': '我是8月13号入住的 啤酒节期间 住了4家不同的宾馆，酒店，这家真的不错，房间床挺大的，厕所特别大，住着蛮好的 性价比挺高的，推荐入住的', '短评打分': 5}
{'短评内容': '酒店房间比较小，服务态度也不是很好，不过房间很干净，而且位置交通也挺方便的，所以还是可以考虑的。', '短评打分': 3}
{'短评内容': '房间是没有窗户的,价格还比较适中,卫生也很好,地理位置还算比较繁华.总体还可以.', '短评打分': 3}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很号，酒店的位置以及设施都很好，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。房间没有窗户的。', '短评打分': 3}
{'短评内容': '位置不好，出行不方便。\r\n店内设施较差。\r\n距海边较远，距五四广场步行需30分钟。\r\n屋内墙面发霉，房间很小', '短评打分': 1}
{'短评内容': '酒店的服务卫生以及设施都很好的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '房间客房有些小，从它的的价格上看这个酒店不值这个价钱，而且酒店的位置离旅游景点没哪么进，要做几站地的车才到，我觉得这家酒店很一般', '短评打分': 3}
{'短评内容': '烧热水的壶是臭的，要衣架不给，衣服干不了。', '短评打分': 1}
{'短评内容': '酒店里没有电梯不方便,卫生服务还比较好,位置还可以,性价比不错.', '短评打分': 3}
{'短评内容': '设施不太齐全，太简陋，也比较旧，位置还可以，卫生服务一般', '短评打分': 1}
{'短评内容': '这次到酒店给我安排的房间楼层比较高，房间感觉很热，而且面积又小，对于这样的房间来说，我觉得价格稍微有点高，还有就是他们服务人员在打扫房间这方面，还是需要提高一下，其他方面都还可以，这个位置很好，很方便的，如果这个价格，能给我安排条件好一点的房间的话，我觉得也还是不错的。', '短评打分': 5}
{'短评内容': 'fangjia fa', '短评打分': 1}
{'短评内容': '当时到酒店后说没有房间了,不过协调之后还是给我们安排了；服务员没有及时打扫房间；等我们给前台打电话才收拾的；其他方面条件还是可以的；位置也不错；', '短评打分': 5}
{'短评内容': '房间里的墙设计的手绘画的不是很好,而且有些地方的墙体是脱落的,而且窗户还是坏的,其他方面都还是可以,地段也不错,价格在当地来说也算比较便宜的.', '短评打分': 5}
{'短评内容': '整体感觉不错，价格合适，服务和卫生条件也不错', '短评打分': 5}
{'短评内容': '酒店里没有电梯,提行李上楼很不方便,环境一般,地理位置还不错,价格比较适中.', '短评打分': 1}
{'短评内容': '酒店的价格还是合理的，内部没有电梯，走楼梯不方便，是新酒店隔音效果不好，我住的房间里的顶灯总是一闪一闪的，酒店说线路问题，人员的服务的服务还是很周到的，软件可以，硬件还是需要提高', '短评打分': 5}
{'短评内容': '酒店住着还可以，各方面服务都还是挺不错的，而且位置也比较理想，就是当时住的时候价格调高了6元，不过也没问其什么原因', '短评打分': 5}
{'短评内容': '是在是一般，没有电梯，拎着很重的行李箱得走上楼，而且居然没有服务员帮忙。', '短评打分': 1}
{'短评内容': '性价比总体来看还可以;不过房间的隔音效果不是很好;', '短评打分': 5}
{'短评内容': '总体感觉还不错吧，就是隔音不太好', '短评打分': 5}
{'短评内容': '酒店的环境设施很一般.价格比较合适卫生服务也就那样,商务连锁型酒店的标准,最好的是位置出行很方便.价格比较合适.', '短评打分': 5}
{'短评内容': '酒店不错。。满好的', '短评打分': 5}
{'短评内容': '总的来说还可以，房间比较干净，周边交通方便。', '短评打分': 3}
{'短评内容': '设施还算可以吧，就是没有电梯，我们住的三楼，要上楼梯，也没有人来帮我们提行李。里面的设施，我个人感觉不及如家好，但也是可以的。干净，这就行了。这个店还是比较新的。这类店主要就是新和干净，这就是我的首选，不过，它没有给我们像进入如家的那种喜悦就是了。服务员素质还需提高，我们曾向前台服务员咨询景点的事，她们听见的，在忙；比较熟悉的好像没听见，当然后来还是回答我们问题的，只是这样的服务总让人感觉有欠缺吧', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
