{'短评内容': '不错房间干净 安全 ', '短评打分': 5}
{'短评内容': '到湖北省公路局办事很方便，离商业区也比较近。', '短评打分': 5}
{'短评内容': '房间的隔音太差了 开空调 室外机吵死了 不开空调 又太冷了，硬件设施需要加强 服务水平一般', '短评打分': 1}
{'短评内容': '挺干净的一家店，只是一点，周围吃饭不太方便', '短评打分': 5}
{'短评内容': '房间陈设很温馨很干净，就是房间有点小，隔音不是太好。', '短评打分': 3}
{'短评内容': '酒店还不错，价位也挺低。吃早餐的房间较小。房间比较冷，晚上睡觉得一直开着空调。', '短评打分': 5}
{'短评内容': '环境还可以，交通便捷，就是吃饭的地方不多。。。', '短评打分': 5}
{'短评内容': '其实不错了服务态度不错 也算是比较安静 总体印象可以', '短评打分': 1}
{'短评内容': '确实有如家般的感觉呵，布局和环境都非常的不错，很好！', '短评打分': 5}
{'短评内容': '很不错··清洁卫生， 服务周到，价格也很优惠。床单很有爱', '短评打分': 5}
{'短评内容': '房间比较干净 前台也挺热情的 交通比较方便 总体不错 ', '短评打分': 5}
{'短评内容': '入住比较安静，服务态度好，停车安全，是商务人土首选宾馆。', '短评打分': 3}
{'短评内容': '除了房间比较小，前台也比较热情，其他还算满意', '短评打分': 5}
{'短评内容': '房间很干净，服务态度也不错。问前台有没有地方停车，服务员说虽然大院停满了，但旁边的小区有地方停，很热情。', '短评打分': 5}
{'短评内容': '很干净，服务很不错,不过房间隔音不太好...', '短评打分': 5}
{'短评内容': '这个店还可以', '短评打分': 3}
{'短评内容': '蛮好的，交通便利，早餐很好。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，卫生和其他如家一样', '短评打分': 3}
{'短评内容': '位置还行，靠街一面吵闹的要死，之后换房间了还不错~', '短评打分': 5}
{'短评内容': '很好床很大房间很干净', '短评打分': 3}
{'短评内容': '酒店房间有一种味道很刺鼻,就像是新装修好的房子的油漆味之类，连换3个房间都有,不好', '短评打分': 3}
{'短评内容': '感觉很温馨很舒适，有机会一定会再次光临的！', '短评打分': 5}
{'短评内容': '该酒店开业不久，房间环境很好，和其他如家一样温馨，前台服务热情周到，听说我自带的电脑上不了网，服务员亲自到房间调试，知道上网为止。交通很方便，在汉口的主干道之一的建设大道路旁，方便寻找，后院可以停车。顺带一句：建设大道上还有一家如家，是青年路店，请注意不要走错。', '短评打分': 5}
