{'短评内容': '好评……………', '短评打分': 5}
{'短评内容': '相当棒的一家国际连锁酒店，性价比很高，前台笑容真诚，酒店房间有设计感，服务很好，入住和离店非常完美，缺点是周边环境稍差，我一个多月来住了各地约10家五星酒店中最让人印象深刻，强烈推荐。以上纯属个人感受。', '短评打分': 5}
{'短评内容': '酒店硬件设施非常好，服务到位。唯房间还残留一点装修余味。', '短评打分': 3}
{'短评内容': '虽然房间不大但是很精致，细节很好，床很舒服', '短评打分': 5}
{'短评内容': '酒店整体不错 交通比较便利 套房只是拿电视柜隔了一下 略显简单 应该还会选择 ', '短评打分': 5}
{'短评内容': '蛮不错的酒店，建议朋友入住。服务很到位，设施很齐全。', '短评打分': 5}
{'短评内容': '酒店很好。环境安静。设施也很新。', '短评打分': 3}
{'短评内容': '很好的酒店，气氛很好，房间很大，早餐很丰富', '短评打分': 5}
{'短评内容': '酒店环境不错，楼下就是阳光100和沃尔玛超市。关键是宾馆的服务人员很热心周到，笑容可掬，十分舒服，宾馆房间宽敞，装修很清新，真的很赞！', '短评打分': 5}
{'短评内容': ' 酒店各方面条件都不错', '短评打分': 3}
{'短评内容': '很好，其他客人讲的卫生间味道看来已解决。喜欢这种酒店的风格，尤其是大堂小，感觉很温馨。', '短评打分': 5}
{'短评内容': '酒店不错，刚建的酒店很新，房间设施很好，门童的态度超级好，贴心的用手遮挡车顶, 就是通风风扇(或风机?)噪声蛮大, 关掉空调也没有.', '短评打分': 1}
{'短评内容': '服务非常不错 满足您的各种要求 环境也不错 周围吃饭购物方便', '短评打分': 5}
{'短评内容': '帮朋友定的\n\n济南以前好的酒店不多\n\n现在就方便多了\n\n很好', '短评打分': 5}
{'短评内容': '还凑合。酒店房间服务员太少，服务不算太到位。房间设施凑合', '短评打分': 5}
{'短评内容': '酒店很新，很棒。\n服务人员也很热情，不过可能是业务不是太熟悉的缘故，有些小插曲倒也无妨大碍。\n早餐价格不低，品种略少，另外地下车库略小。以上真诚建议改进。整体来说值得推荐。', '短评打分': 5}
{'短评内容': '酒店环境优越，服务态度好，房间干净整洁，值得入住！\n', '短评打分': 5}
{'短评内容': '酒店很新，虽然硬件设施由于刚刚开业还需要提高外，服务质量非常好。西餐厅吃的晚餐自助，服务不错，环境很好，非常宽敞，安静，并且菜品质量很高。在这里吃的是味道和质量。早餐也挺好的。停车非常方便。房间设施齐全，干净，床品非常舒服。总之物有所值。推荐。', '短评打分': 5}
{'短评内容': '总体还不错，但是细节还是差点啊。衣柜里全是灰尘，房间温度太低，空调竟然和整个房间的电是一起的，拔掉房卡空调也停了，调到26度，最后的温度显示就停留在21度上。夜床也没有问做不做。浴房的把手已经松掉了，推的时候差点摔倒。住的还是行政楼层，希望能改进，实际感受离标榜的星级差不少。', '短评打分': 1}
{'短评内容': '门童的态度超级好，贴心的用手遮挡车顶（很多酒店的门童在繁杂的工作中已经忘记这个细心的动作了）；前台工作人员很热心，一直保持着暖暖的微笑，办理入住速度很快，也不忘提示电梯位置，避免客户办理完毕还要找电梯的尴尬~~~\n房间的床垫和枕头、被子超级舒服~~屋子里打扫的也非常干净，洗手间热水即开就是，不像一般酒店都要稍微放一下才会热水~~打算回来就联系办理公司签约酒店了，哈哈，我以后都要住这个~~~~~', '短评打分': 5}
{'短评内容': '非常好的一家酒店，设计和硬件都非常符合法国酒店管理的标准，自助餐也非常不错。', '短评打分': 5}
{'短评内容': '酒店不错，刚建的酒店很新，房间设施很好，服务员服务态度也很好。', '短评打分': 5}
{'短评内容': '全新的酒店，价格合理，服务很好，希望能坚持，正象上位朋友说的自助晚餐不错，值得向朋友推荐，下次还会选择！', '短评打分': 5}
{'短评内容': '酒店一楼的自助餐不错，每人100的标准，非常划算。各种中西口味都有，还有个性化的中餐制作，可随便让他给你炒。', '短评打分': 5}
{'短评内容': '可以，不错的酒店，值得选择，以后还会继续选择的', '短评打分': 5}
{'短评内容': '新开业的酒店感觉各方面都不错!', '短评打分': 3}
{'短评内容': '不错，性价比挺好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '新开业酒店五星级， 大堂小了些，硬件设施尚可，软件服务不到位，卫生间马桶都未刷干净！可惜了美爵的名头。努力吧！从最基础的细节做起！', '短评打分': 1}
{'短评内容': '感觉不错，好象没有游泳池。', '短评打分': 3}
{'短评内容': '设施很好，服务不错，但是细节还需完善，比如：找不到拖鞋！', '短评打分': 5}
{'短评内容': '酒店是新的，但是一进去就感觉脏乱差，卫生间的排水也不好，洗脸池居然用的没溢水孔的，真是无语了~', '短评打分': 1}
{'短评内容': '酒店很新,设施很全,要了顶层,给免费升级为行政套房.大堂经理态度也非常好.床垫很舒服,不软不硬,休息的很舒服.而且酒店位置也不错,周围沃尔玛超市,和谐mall一应俱全,购物逛街也很方便.总之一个字:超值!', '短评打分': 5}
{'短评内容': '酒店硬件不错，服务态度也好，就是刚开业有些仓促，有些配套不完善，房间里除了两瓶水再没有其它的饮品，我住得还是行政套房。另外早餐品种也少，可吃的东西不多，希望能改进', '短评打分': 5}
