{'短评内容': '很不错，很好找，住的舒服。', '短评打分': 5}
{'短评内容': '房间地理位置不错，服务也挺好。就是水龙头出水比较小', '短评打分': 5}
{'短评内容': '环境不好.坐了一天就想换宾馆了', '短评打分': 3}
{'短评内容': '酒店还不错，离火车站很近。，801直接到...前台服务不错，但我住的房间的空调有点问题，开起来声音很大...个人感觉不错，下次去的话还会在住的', '短评打分': 5}
{'短评内容': '如家151元的，感觉还是132元一间的空间大，希望132元的能多推出几间，', '短评打分': 5}
{'短评内容': '离商贸城不远周边有一大一小两个超市很方便公交车站出门就是走出一条街还有个夜市真不错', '短评打分': 3}
{'短评内容': '酒店的位置还不错啦', '短评打分': 3}
{'短评内容': '和大家说的一样，很不错，下次来杭州还住这', '短评打分': 3}
{'短评内容': '好,很好,下次肯定再来,就是吃饭的地方稍少了点', '短评打分': 5}
{'短评内容': '不错!可以考虑!..........................', '短评打分': 5}
{'短评内容': '酒店位置离商贸城不远遛弯儿过去最好^_^房间非常干净就是卫生间下水比较慢总的来说不错下次来还会选这里^_^', '短评打分': 3}
{'短评内容': '虽然隔音效果不太好，但是总体还比较干净。', '短评打分': 5}
{'短评内容': '房间很大很干净，服务也非常好，只是稍微有一点吵，可能是因为窗户的密封不够好', '短评打分': 3}
{'短评内容': '酒店乾淨 黎小商品城蠻近的 (2站路)\n只是附近沒有什麼吃的', '短评打分': 5}
{'短评内容': '好,下次还会入住 ,房间也大,环境舒适,真有如家的感觉', '短评打分': 5}
{'短评内容': '如家的选择，很好。快捷，干净。早餐不错，值得推荐。', '短评打分': 5}
{'短评内容': '房间挺大的。。。环境还不错。。。感觉有点偏。。。其他都很好。。。', '短评打分': 5}
{'短评内容': '不错，价格比较优惠，地理位置比较好，非常喜欢，就是房间稍微有点小了。', '短评打分': 5}
{'短评内容': '酒店房间很大，设施齐全，距离国际商贸城一站路，走去就可以，公交超方便！前面有个中型超市，购物也方便。空调给力，网速也给力！下次来义乌，一定选择这家！超值的选择！赞一个~', '短评打分': 5}
{'短评内容': '位置设施还不错，但就是里面的味道实在是太难闻了～～～受不了，，，', '短评打分': 1}
{'短评内容': '还不错噢!值得去住!下次还会去!就是附近没什么吃的!', '短评打分': 5}
{'短评内容': '离商贸城挺近的，服务也还不错。早餐也很好吃。', '短评打分': 5}
{'短评内容': '如家就是如家，很不错，房间也很大，服务也很好。就是离贸易城并不是很近，要打车。', '短评打分': 5}
{'短评内容': '房间很干净，进来也没有那种潮潮的气味，很不错。离商贸城也非常近。', '短评打分': 5}
{'短评内容': '隔音不好……洗手间好小……', '短评打分': 3}
{'短评内容': '交通便利！服务很好！总体不错！唯一就是没找到吃早餐的地方。', '短评打分': 5}
{'短评内容': '服务还行，到火车站有直通车，但是没早餐，希望以后改善！', '短评打分': 5}
{'短评内容': '酒店的装修风格比较简洁、黄色基调是他的特色，入住手续、房间设施都比较简单随意。只是卫生间偏小、太紧凑了，不方便转身。', '短评打分': 5}
{'短评内容': '比想象中好很多，干净舒适，如家品质还不错！下次还会入住！', '短评打分': 5}
{'短评内容': '还不错 环境干净服务也不错 外面停车方便', '短评打分': 5}
{'短评内容': '还行，就是靠近路边的房间吵得很，住的525吧，卫生间一直有哗哗的水声，晚上听起来还是怕怕滴', '短评打分': 5}
{'短评内容': '前台亲切的指引，让入住者有宾至如归的感觉，保安亲切的态度，帮忙住户拦出租车等举动，都是前所未见！', '短评打分': 5}
{'短评内容': '酒店位置靠近义乌商贸城，但是酒店标志不明显，早餐一般。', '短评打分': 5}
{'短评内容': '义乌店挺好还不贵', '短评打分': 3}
{'短评内容': '满意，感觉像回家的感觉，非常舒服，服务很好', '短评打分': 5}
{'短评内容': '离国际商贸城很近，价格便宜，停车极其方便。', '短评打分': 5}
{'短评内容': '房间很好', '短评打分': 3}
{'短评内容': '干净 清爽 感觉各地的都差不多，我出差基本都住连锁的，如家常住！', '短评打分': 5}
{'短评内容': '就是挺好，每次到义乌都是住这家的，性价比很高啊', '短评打分': 5}
{'短评内容': '\u3000这个房子很大哒', '短评打分': 3}
{'短评内容': '已经是第二次入住了，挺好，停车什么的都很方便', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '整体效果还不错，但是在义乌这种地方，相同价格可以选择更好的门店。', '短评打分': 5}
{'短评内容': '狠不错，去商贸城近，门口就有801到，下次要去，还会住。', '短评打分': 5}
{'短评内容': '和三周前入住不同的是，房间的价格都向下微调了些，并且增加了自助早餐，挺好！如果自助早餐的包子的质量能再高点，就更好了。', '短评打分': 5}
{'短评内容': '环境设施都很好，因为临街就是晚上关了双层窗户还是感觉有点吵', '短评打分': 5}
{'短评内容': '还不错！特别讲一下5楼那个来自于汶川那边的服务员，真的很热情，工作很负责~!', '短评打分': 5}
{'短评内容': '酒店的位置不错，离商贸城一期挺近；前天人员的服务态度也挺好。', '短评打分': 5}
{'短评内容': '总体还不错，干净.原本订的132元特价房因电视机故障，自动升级到180元的家庭房，宽敞，舒服。', '短评打分': 5}
{'短评内容': '酒店很不错，从火车站坐801路到正华装饰公司下车酒到了。很明显很好找到。服务也不错。去商贸城也很方便，下次还回来！', '短评打分': 5}
{'短评内容': '环境不错。下次还会入住。', '短评打分': 3}
{'短评内容': '已入住。很好就是周边吃饭不方便。', '短评打分': 3}
{'短评内容': '很不错的一家店。前台的服务很好，对于客人的问题总是很耐心的回答。房间很大，视野不错。而且价格很实惠，下次还会选择', '短评打分': 5}
{'短评内容': '住宿的环境还可以，就是楼上的水流声音较大。服务员的态度比较好。早餐很好的..................................', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '价格便宜，环境比错，比较安静一点，总的来说性价比较高', '短评打分': 5}
{'短评内容': '有油漆味~~~~~~~~~~~还算不错总体~', '短评打分': 5}
{'短评内容': '酒店环境不错，也比较好找，离商贸城也蛮近的，以后有机还会来入住。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '硬件设备和服务还是不错的，由于新开的店，开始住四楼，门上新刷的油漆味让人受不了，服务员帮我换到7楼，味道没了，6楼在装修，敲墙声又吵，不过晚上停工的，我想过个半年去住应该可以满分了。', '短评打分': 5}
