{'短评内容': '酒店设施尚可 ，大堂不在一楼，服务还可以吧，交通方便', '短评打分': 5}
{'短评内容': '很不错的酒店，就是门面小点，大堂不错，房间也不错，卫生用品也不错', '短评打分': 5}
{'短评内容': '服务环境都不错', '短评打分': 3}
{'短评内容': '酒店的位置很好，临近机场大巴终点，楼下就是地铁站。酒店旁边有很多商场及商业街，不过天气太冷没能去逛。入住时前台办理很迅速，服务也很热情，等候时还送一杯热茶。早餐样式很丰富，价格适宜。游泳池也很好，宽敞明亮。值得一提的入住当天刚好赶上酒店周二女士之夜自助晚餐半价优惠，菜品很丰富价格超值。总体感觉都很不错，下次来沈还会住这里！', '短评打分': 5}
{'短评内容': '宾馆有点老，觉得不值那么多钱，但是服务很好，离太原街还算近。', '短评打分': 1}
{'短评内容': '酒店干净，房间非常大，早餐很好吃，最好吃的是牛排，酒店有家中餐在2层也非常好吃，晚上住在那儿非常安静！我去的时候带老人去的，行走不便，工作人员会帮忙帮我照顾老人。我去东北来回都入住那儿，不过就是离高速入口远了点。', '短评打分': 5}
{'短评内容': '去年底全家到12个人到沈阳给姑姑过90岁生日，开了7间房，大堂在6层，酒店的服务非常业余，下回绝不会再住了。。。。', '短评打分': 1}
{'短评内容': '酒店的地点不错，条件也很好，服务业不错。', '短评打分': 5}
{'短评内容': '交通方便,地段好,其他就很一般了,性价比很普通', '短评打分': 1}
{'短评内容': '酒店还行，但是自助餐有点差，128块钱基本上能吃的菜没几个。还有停车场有点脏\n', '短评打分': 5}
{'短评内容': '酒店还行，但是自助餐有点差，128块钱基本上能吃的菜没几个。还有停车场有点脏', '短评打分': 5}
{'短评内容': '不是标准意义上的五星级，四星当之无愧。物有所值吧，价格合理。酒店没有大堂，很长的超长的一条走廊，印象很深刻。酒店里面的餐厅，实在不怎么样。', '短评打分': 5}
{'短评内容': '酒店还算不错，就是前台太马虎了，居然把我的房号写错了，害我差点进别人的房间。', '短评打分': 5}
{'短评内容': '性价比不错的酒店，房间也很舒服，就是地毯的清洁做的不够好。', '短评打分': 5}
{'短评内容': '不错，特别是有地下停车场，很方便，就是又涨价了。', '短评打分': 5}
{'短评内容': '价格很优惠，房间有点小，隔音效果很差，总体来说一般。', '短评打分': 5}
{'短评内容': '在国内酒店管理里算是不错的，从前台服务员到楼层清扫服务员都很热情，房间设施也不错，值得推荐，请再接再厉。', '短评打分': 5}
{'短评内容': '挺新的，服务也不错，就是隔音效果差强人意啊。', '短评打分': 5}
{'短评内容': '   已入住', '短评打分': 3}
{'短评内容': '酒店很好，很豪华。早餐有点贵！上网还步免费！', '短评打分': 5}
{'短评内容': '房间设施还是不错的，但是布局感觉不太好，被分成了2个部分，所以感觉很局促，不过总体还算过得去。价格在350以内算比较合理', '短评打分': 5}
{'短评内容': ' 还可以 下次出差也可考虑 但离五星级宾馆标准还有差距 ', '短评打分': 3}
{'短评内容': '住宿环境一般，不够五星标准停车不方便，办理入住速度太慢整二十分钟，工作人员服务态度也一般，晚上前台的电话要反复打几遍才有人接，地下车库不好停车', '短评打分': 1}
{'短评内容': '环境还可以，交通挺方便的；400多不含早餐有点遗憾。', '短评打分': 5}
{'短评内容': '环境不错！服务也不错！地点很方便，淋浴的水流有一点小！', '短评打分': 5}
{'短评内容': '地理位置优越。\n内部设施不错。\n最爱泳池和健身房.\n服务跟上就更好了。', '短评打分': 5}
{'短评内容': '酒店环境好，前台服务也不错，下次还会选择这家入住', '短评打分': 3}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '+内容 不錯 性價比高', '短评打分': 5}
{'短评内容': '挺不错的，哈哈哈。但是房间有点小啊，还有地下的美美不错。', '短评打分': 5}
{'短评内容': '位置好，有地铁，还能有机场大巴，服务态度好，就是早餐贵了点', '短评打分': 5}
{'短评内容': '前台的一个服务员态度差了点，请她叫行李员来帮助寄存行李，她一直叫我们乘电梯到一楼自己去办，因为我们急着要去停车场。后来，另一位态度比较好，打电话叫了行李员上来，帮我们直接办理了寄存。', '短评打分': 5}
{'短评内容': '淋浴的水小得可怜，床的钢丝格的人没法睡觉。', '短评打分': 1}
{'短评内容': '还成吧。。。。。但是空调声音大，早餐太贵', '短评打分': 5}
{'短评内容': '性价比不错的酒店,如果有早餐就好了.没有热风,比较冷', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺', '短评打分': 5}
{'短评内容': '+不错，房间有点小', '短评打分': 5}
{'短评内容': '硬件环境都不错,就是一层的服务人员很生冷', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 5}
{'短评内容': '酒店有点旧了，位置还不错，服务人员素质有待提高。', '短评打分': 5}
{'短评内容': '还不错，但是电信CDMA信号不太强，需要改进', '短评打分': 1}
{'短评内容': '很好,', '短评打分': 5}
{'短评内容': '卫生非常好,服务非常好,设施非常好,位置非常好,性价比非常好', '短评打分': 5}
{'短评内容': '这家酒店不错很好很干净！算是沈阳同等价格比较好的了！', '短评打分': 5}
{'短评内容': '酒店设施还行，上网收费好象有点过份。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '除了有蚊子以外都还不错，地点和价格挺成正比的，沈阳的富丽华应该属于商务型的。\n', '短评打分': 5}
{'短评内容': '每次去沈阳都住这边，位置很好，前台服务也很好。。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '房间挺好。就是押金竟然收500杂费', '短评打分': 5}
{'短评内容': '地段佳，闹中取静，卫生条件好，价位略高，还算不错！', '短评打分': 5}
{'短评内容': '设施比较新，价格还可以。地点也靠近步行街，出行比较方便。', '短评打分': 5}
{'短评内容': '+环境 服务都不错', '短评打分': 5}
{'短评内容': '去年住过一次，感觉现在的卫星电视频道没去年多了，不过早餐种类比去年多，整体感觉不错。只是前台在6楼，不是太方便。', '短评打分': 5}
{'短评内容': '暂时处于试用期。check in比较慢，房间的设施倒是还不错。', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '交通便利，购物就住这家宾馆，房间很干净，只是淋浴有点太小了，应该改进一下，总的来说很不错', '短评打分': 5}
{'短评内容': '酒店的硬件不错，住着很舒服，就是前台服务差点火候，结帐人多了就手忙脚乱了。', '短评打分': 5}
{'短评内容': '地理位置比较好，是新装修的，唯一不足的是接招要在6楼，早餐一人要80.', '短评打分': 5}
{'短评内容': '酒店非常差，上网还收钱，毛巾床单都很旧。大厅还设在6层，很不便。下次一定不入住。5星这么差我表示遗憾。', '短评打分': 3}
{'短评内容': '感觉不错。酒店服务和房间都还可以。就是价格有点贵\r\n当天下大雨，门前路上有很深的积水。\r\n当然这不是酒店的错。但是出行的朋友要注意一点了。', '短评打分': 5}
{'短评内容': '价格越来不错的酒店，就是价格越来越高！别再涨啦！希望对老顾客有些优惠！别再涨啦！', '短评打分': 5}
{'短评内容': '很好，下次还会选择，我们已经合作过很多次了！推荐给我的朋友！', '短评打分': 5}
{'短评内容': '酒店环境相当差，所有毛巾被子相当旧，五星级酒店上网还要钱，二十四小时收费五十元，下次不住了，这么贵的房价还不含早餐。', '短评打分': 5}
{'短评内容': '富丽华酒店的条件相当好,服务很到位,而且性价比也很高.综合条件很棒.', '短评打分': 5}
{'短评内容': '环境卫生都不错，就是床太软了，有点深陷凹凸不平的感觉..还有前台在6楼，不仔细找找不到的..', '短评打分': 5}
{'短评内容': '网速超慢，床品有待提高，距离五星酒店有差距', '短评打分': 5}
{'短评内容': '整体非常不错，只是订的豪华房，实际上跟高级房似乎没什么区别。（面积上略大一些？）', '短评打分': 5}
{'短评内容': '之前看到别人评论说酒店大堂在6楼，抵达后很难找到方向，我感觉现在好多了，一楼有接待处，很容易找到。\r\n\r\n我入住的是1909号的行政房，这种价格的房型根本体现不出4星酒店的档次，600多元的价格，和其他酒店普通标房差不多，地毯很脏，设备一般般，电视节目大部分都是雪花，你酒店以为每位客人都是2.0的视力，这也算了，要喝水拿杯子时，里面还有半杯水，竟然忘记清理，极其恶心。大堂经理是过来了，只给出换房的', '短评打分': 1}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '大堂在六层，不太方便，另外一层大门口进出车辆也不方便。', '短评打分': 3}
{'短评内容': '性价比很高，值得向别人推荐', '短评打分': 5}
{'短评内容': '性价比很不错！', '短评打分': 5}
{'短评内容': '不错，就是前台在六楼，每次去都感到别扭。', '短评打分': 3}
{'短评内容': '地理位置很好，下面是美美百货购物满方便，房间感觉还可以。', '短评打分': 5}
{'短评内容': '酒店位置很好，位于商业区，服务态度很好，卫生间洗脸盆里不干净，装修也没有大连富丽华高档', '短评打分': 3}
{'短评内容': '酒店位置不错，设施一般吧，大堂在6层，比较奇怪，总的来说还是值得去的', '短评打分': 5}
{'短评内容': '好好好', '短评打分': 5}
{'短评内容': '帮领导定的，总的来说还不错，不过最近价格比前阵子高了', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '中规中矩', '短评打分': 5}
{'短评内容': '第三次入住了，我觉得酒店赚的不是住宿费，是早餐费。但没办法，所谓的星级酒店都一样。', '短评打分': 5}
{'短评内容': '总台在六楼，很不方便', '短评打分': 5}
{'短评内容': '硬件方面还说的过去， 主要是服务方面。另外，只接受美元等四种货币，我带的是英镑，不能兑换， 很希望。', '短评打分': 1}
{'短评内容': '地理位置非常优越。\r\n泳池和餐厅都不错。\r\n', '短评打分': 3}
{'短评内容': '装修很好，服务一般（服务人员见客人视而不见）。地理位置好，酒店天生残疾--总台在六楼，很不习惯，也不方便！', '短评打分': 5}
{'短评内容': '地理位置不错，很干净', '短评打分': 3}
{'短评内容': '环境还好，服务一般', '短评打分': 3}
{'短评内容': '很干净，位置也很好', '短评打分': 5}
{'短评内容': '酒店的环境、地理位置、客房服务都很好，只是店内的自助有些不尽如人意', '短评打分': 5}
{'短评内容': '酒店位置位于沈阳商业街附近，装修新颖，床很舒适，房间也很宽敞', '短评打分': 5}
{'短评内容': '酒店整体都是相当不错的，服务，价格都觉得很合适。美中不足的是一楼的保安，由于大堂不在一层，进去的时候蒙了一下不知道该往哪边走，眼看着两个保安站在那里，看见拖着行李箱的我们不打招呼不帮忙拿也不带路，还是跟着另外一个人后面走进的电梯，于是进酒店的第一印象很不好。不过其他没什么问题，房间里有奇怪的虫子，被咬了以为是蚊子，结果第二天整个手背都肿了，希望酒店方好好查查房间。', '短评打分': 5}
{'短评内容': '很好，挺喜欢这的', '短评打分': 5}
{'短评内容': '舒适的酒店', '短评打分': 3}
{'短评内容': '酒店硬件还行，服务一般，我入住的3天中，每天必需打电话后，才会有人来打扫房间。餐厅的服务也是，早餐到十点结束，九点下去吃，部分菜已经没有或很少，服务员不会主动添加，必须客人找到他们，才会给单独一位客人加点。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好的酒店 下次还会入住', '短评打分': 5}
{'短评内容': '床很好睡，整体感觉还不错。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '空调的声音象飞机起飞的声音，服务也一般，不符合5星的标准', '短评打分': 1}
{'短评内容': '总体很好，床太软了。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '挺好的一个酒店，就是门口停了多辆出租车，只去机场，不去火车北站。这一点不好，既然允许停在酒店外，就不能拒载。酒店管理需提升。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '比想象的好很多，就是从六楼登记有点意思', '短评打分': 5}
{'短评内容': '酒店的卫生间的地比较滑，另外酒店没有提供当日的报纸。其他地方的四星级酒店都有提供当地当日的报纸。', '短评打分': 5}
{'短评内容': '第一次入住此酒店，根据位置来说还是很不错的，设施也比较完善，舒适度很高，但是上网收费令人很不舒服，希望改进', '短评打分': 5}
{'短评内容': '宾至如归', '短评打分': 3}
{'短评内容': '沈阳市内很不错的酒店', '短评打分': 5}
{'短评内容': '单行线不方便，初次去觉得地下停车场到酒店前台好像走迷宫', '短评打分': 5}
{'短评内容': '很方便尤其是购物逛商店', '短评打分': 5}
{'短评内容': '酒店很新的，设施也不错', '短评打分': 5}
{'短评内容': '不错的酒店。只是交通拥堵，门前Taxi没有，世贸酒店门前有许多车在等候。', '短评打分': 5}
{'短评内容': '地理位置非常方便', '短评打分': 5}
{'短评内容': '特别不错，新装修！', '短评打分': 5}
{'短评内容': '位置处于闹市。不便打车。但酒店硬件很好！', '短评打分': 3}
{'短评内容': '优点：泳池很美。地理位置优秀。\r\n缺点：室外装修影响休息。\r\n      泳馆气味不佳。\r\n      1楼布置太差。\r\n      6楼电梯处布置差\r\n      7楼餐厅桌面卫生差。', '短评打分': 5}
{'短评内容': '整体来说很好~~不足的是早餐有点贵还有上网还收费', '短评打分': 5}
{'短评内容': '酒店比较新整体感觉很好。距离商业街太原街很紧。\r\n美中不足的是，酒店门前正在修地铁而且是单行道打车很不方便。\r\n另外，如果宽带能免费就更好了', '短评打分': 5}
{'短评内容': '酒店的位置离太原街很近，购物很方便。\n房间的床和枕头很舒服。整体环境卫生很好。\n房况很新，总的来说很值得推荐。\n', '短评打分': 5}
{'短评内容': '酒店很新，虽然房间小了点，但是无论大堂，还是房间设施都不错，就是上网要收费，有点遗憾！', '短评打分': 5}
{'短评内容': '单行道，交通不便。。周围吵闹。。但房间不错！', '短评打分': 1}
{'短评内容': '非常不错', '短评打分': 5}
{'短评内容': '总体感觉不错,虽然在市区但很安静;房间设施也还可以，对得起这个价格。只不过根据做酒店的经验，应该还不到5星的水平，介于3星到4星之间，呵呵\r\n下次去还会住', '短评打分': 5}
{'短评内容': '很不错的酒店  下次一定会去的 就是不明白房间上网为什么还收费呢 国内的五星很少有收费的 ', '短评打分': 5}
{'短评内容': '干净舒适安静!非常好!', '短评打分': 5}
{'短评内容': '干净、舒适、整洁、床单被罩舒适，枕头特别好', '短评打分': 5}
{'短评内容': '地点位置还可以，距离太原街和沈阳站很近，步行可达。周围商场较多，购物方便。门前正在修地铁，还是单行道，自驾车或者朋友来访，不是很方便，但地下车库较大。大堂在六楼，服务比较热情。房间设施较新，面积不算和大，毛巾等用品感觉质量稍差。七楼餐厅菜品味道不错，服务也很好。', '短评打分': 5}
{'短评内容': '这是一家入住后就不想去外面逛的酒店，很适合在旅行途中选择这个暂住地儿，内部设施都挺人性化，床有些软，不过很大，真的很大，住房三口人都没问题的。', '短评打分': 5}
{'短评内容': '很新的酒店，性价比超高，强烈推荐~\r\n是个新酒店，不错，看过以往的评论才住这家的。\r\n1．\t大堂在六楼，很漂亮，一楼也有一个是礼宾部，有个小姑娘帮我们拿行李\r\n2．\t我是晚上到的，六楼很大气，感觉也好，有个经理还直接给我送个小热毛巾，办完手续后，前台的把我送到电梯口。赞一个。\r\n3．\t房间没的说，我的是朝南的，安静，没声音，能看到一个公园，在这么一个较脏的城市中心，难得的。窗子好大，可以打开，让我', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 5}
{'短评内容': '环境,条件不错!浴室水龙头开关坏了,需要修理!', '短评打分': 5}
{'短评内容': '很舒适，就是房间小点', '短评打分': 3}
{'短评内容': '很干净的酒店，很温馨。但是服务员的衣服皱皱巴巴的不好看。呵呵', '短评打分': 3}
{'短评内容': '就一个字~ 好', '短评打分': 5}
{'短评内容': '挺好的啊', '短评打分': 5}
{'短评内容': '酒店喷头是坏的', '短评打分': 3}
{'短评内容': '此酒店停车不方便.餐饮太少,没特色,价格也贵.', '短评打分': 1}
{'短评内容': '第五次住在富丽华了，住在这有种回家的感觉，服务很不错，只是这次发现毛巾有些旧了，希望下回入住的时候可以改进！', '短评打分': 5}
{'短评内容': '已经无数回去了，推荐给大家啊', '短评打分': 3}
{'短评内容': '赞的，经常去的！各方面的品质都依旧的', '短评打分': 5}
{'短评内容': 'the hotel is new, both service quality and facility are good, as well as the price.', '短评打分': 5}
{'短评内容': '吃饭的问题有点儿不理想。', '短评打分': 5}
{'短评内容': '上网收费50元确实很让人讨厌.还不如直接加在房费里面.', '短评打分': 5}
{'短评内容': '酒店很好，就是旁边有地铁施工', '短评打分': 5}
{'短评内容': '不错的酒店设施和服务.值得一住', '短评打分': 5}
{'短评内容': '当你有事与前台交涉时，总是以酒店规定给你挡回来。', '短评打分': 3}
