{'descr': '还行，在火车站旁，方便', 'star': 5}
{'descr': '酒店确实不错，靠近站前。房间收拾得很干净，以后每次去都都住这里。早餐一般，旁边一家粥店不错。', 'star': 5}
{'descr': '酒店确实不错，很干净，我每次去都住这里，去那里都方便，这两天还要去，还住这里。', 'star': 5}
{'descr': '做为商务酒店，配置和地理位置都算不错，可以推荐。', 'star': 5}
{'descr': '酒店内部环境设施都还算是可以了，总体感觉实在是太一般般了', 'star': 5}
{'descr': '挺好不错的', 'star': 3}
{'descr': '地理位置不错，交通很方便，房间很大，卫生也不错。缺点是离火车站太近，略微有点吵，另外早餐厅有点小，过于拥挤了。', 'star': 5}
{'descr': '经常出差到这里，这家酒店还算可以的吧。经常出差到这里，这家酒店还算可以的吧。', 'star': 5}
{'descr': '不错 交通方便 就是早餐依然很少---------', 'star': 5}
{'descr': '早点并不是很丰富，也没什么吃的。\n环境，比较好。服务也比较好。热情。很干净。周边有很多吃的。离火车站，汽车站都很近。', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店还可以，就是网速有点慢', 'star': 3}
{'descr': '房间很好，就是现在这样的季节还没给暖风空调，房间有点冷。', 'star': 3}
{'descr': '干净，服务好，速度', 'star': 3}
{'descr': '只是个招待所吧，服务一点都不规范，接待员工一看就没有经过培训，好像你爱住不住！', 'star': 1}
{'descr': '只是火车站对面太吵，车站周边治安环境也另人担心，房间还算干净，', 'star': 1}
{'descr': '酒店很舒适，装修不错，地理位置也很好，靠近汽车站和火车站，很方便', 'star': 5}
{'descr': '十价格公道。', 'star': 3}
{'descr': '方便，离车站很近！下次还会考虑这里！方便，离车站很近！下次还会考虑这里！', 'star': 5}
{'descr': '房间宽敞，床也很大，房内有电脑可以上网，网速不错。就在火车站前交通也很便利，唯一美中不足的是通风不好，房间里都是洗手间的味道。', 'star': 3}
{'descr': '交通，环境都还不错。性价比比较高。缺点是门前在修路不好走', 'star': 5}
{'descr': '酒店的装修还是蛮新的，位置也不错，在汽车站和火车站边上\n早餐不咋地，还有就是，不能刷卡的～\n凑字数凑字数凑字数凑字数凑字数', 'star': 5}
{'descr': '没有任何特色的一家酒店，唯一是新开的。。。里面的设施还算比较新。。。就在火车站的对面。。。还有一点点的优势。。。。', 'star': 5}
{'descr': '不能刷卡，早餐品种单一，交通还算方便，就在火车站对面，离着客运站也不远----------------', 'star': 1}
{'descr': '交通比较方便，紧挨着火车站和汽车站，但是不能刷卡，早餐品种比较少，有一天去了连鸡蛋也没有了，信封也没有，打印个水单打印机还坏了，没有给我。', 'star': 1}
{'descr': '早餐不好，交通方便，对面有个小学可以打球。', 'star': 5}
{'descr': '还不错，第二天的时候来了旅游团，经理过来跟我们商量能不能换一下房间，把我们换到了套房，价格还是算标间。态度不错，下次来四平还会光顾的！', 'star': 5}
{'descr': '干净，服务很好，交通便利，设施齐全，很喜欢 ', 'star': 5}
{'descr': '不错的宾馆，刚刚开业半年，早餐种类虽然不多，但是很可口，美中不足之处是室内空调风机有噪音。今后到四平还会入住华宇商务酒店，望保持。', 'star': 5}
{'descr': '好。。。。。。。。。。。。。。。。。。。。。大呀', 'star': 5}
{'descr': '态度挺好的.环境也不错.卫生间也干净\n总之很喜欢', 'star': 5}
{'descr': '好像和事实有点不符，有点被忽悠感觉，倒是很干净', 'star': 1}
{'descr': '好像和事实有点不符，有点被忽悠感觉，倒是很干净', 'star': 1}
