{'descr': '不错的酒店', 'star': 5}
{'descr': '干净，整洁。', 'star': 3}
{'descr': '房间给人的感觉很干净，空调的噪音也不大。总的来说很不错。唯一的一个小缺点就是电视的电视台不是很多，不知道是没会调呢还是就没安装数字电视。', 'star': 5}
{'descr': ' 酒店离地铁站很近，出行方便，室内装修整洁，卫生安静。', 'star': 3}
{'descr': '性价比还不错，定的自主大床房，虽然不含早餐，但是床很舒服，而且有无线网络，推荐', 'star': 5}
{'descr': '交通方便，环境还不错，房间比较大，干净。\n周围没有什么像样的餐馆。', 'star': 5}
{'descr': '交通方便，环境挺好，服务好，住的挺舒适的，明年上海展会的，我们也会来这里暂住的，谢谢！', 'star': 5}
{'descr': '服务很满意', 'star': 3}
{'descr': '房间还可以，被子太单薄了，开了空调又干燥。。。终于感冒了', 'star': 5}
{'descr': '酒店挺干净的，房间设施虽然简单，但住着挺舒适的，浴室也很干净，很满意！唯一稍稍欠缺的是电视台频道太少，电视机有点小，嘿嘿。。。酒店服务员也很热情，我们出门的时候还特地来关照因为车位少，怕我们回来没车位停车，建议我们别开车去逛街！总之，下次还会继续选择锦江之星的！', 'star': 5}
{'descr': '厕所里一股那种臭臭的味道。。。弥漫到房间里', 'star': 1}
{'descr': '服务态度不是很好，有些房间比较吵，希望网上预订时能够说明', 'star': 1}
{'descr': '位置不错，交通比较方便，外面也比较安静，房间蛮干净的，就是网络太差，经常断网', 'star': 5}
{'descr': '酒店很干净。。', 'star': 3}
{'descr': '离复旦很近的，可以走路去学校，考试什么的要提前订才有', 'star': 5}
{'descr': '连锁酒店，设施、服务就不用点评了，有保障的。只是晚上骚扰不断，一会儿有人敲一下门。第二天早上起来一看，哇，不得了，门缝里塞进了6张名片。至于是什么名片，不用多说，大家都明白的。虽然很多酒店都存在这类问题，但是作为连锁型的，又是品牌信誉良好的酒店，还是希望酒店以后加强管理。', 'star': 5}
{'descr': '房间比较干净', 'star': 3}
{'descr': '给偶的整体感觉是舒适，经济，实惠，就是进房间貌似有股消毒液的味道', 'star': 5}
{'descr': '非常的不错哦！离着五角场很近，环境也还可以！距离四平路有点距离，所以比较安静！', 'star': 5}
{'descr': '非常好，交通方便,干净卫生。但是附近吃快餐的小店基本没有。', 'star': 5}
{'descr': '干净、服务好，锦江之星是我出行住宿的安心选择。', 'star': 5}
{'descr': ' 干净，入住时前台临时找的房间，不知道房间紧张时，网上定好后入住时会不会有房间预留', 'star': 3}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评\n酒店交通方便，离地铁10号线仅几分钟路程。房间很干净，也很安静，早餐也很不错，总之性价比很好。以后还会住。', 'star': 5}
{'descr': '房间的性价比很好，整洁干净，交通方便，十号线就在旁边，值得推荐', 'star': 3}
{'descr': '锦江之星众多加盟店中品质上乘的一家~ 总台服务到位。商务房房型节约但是很舒适。有需要会常来。', 'star': 5}
{'descr': '房间不算很大，但是干净整洁。出门走一点点就是地铁站了，非常的方便。', 'star': 5}
{'descr': '非常卫生干净，地点也很好，虽然靠近主干道，但不是很吵，隔音很好。经理非常热心。以后会常住。', 'star': 5}
{'descr': '还不错，就那样吧。。字数字数字数字数字数字数字数字数', 'star': 1}
{'descr': '离复旦距离还不错，就是周边在装修有点吵\n字数字数字数字数', 'star': 5}
{'descr': '地理位置不错，离五角场很近，早餐也是标准化。', 'star': 5}
{'descr': '离地铁十号线确实很近   入住办理也很快  选的是双人床 给的是二楼的房间  里面很干净，就是小香皂三天竟然没换  难道是我们没有用完就没换？  每天都有打扫，前台服务也还好。下次还住这里。  也就第一天有人塞黄色小卡片 后两天就没有了，但还是吓了我一跳哇 。。。。  不过这家算是好的了  总之。。推荐入住', 'star': 5}
{'descr': '一般，房间布局简单，不值这个价。隔音效果差，早晨被隔壁出门的吵醒，电视也很小。', 'star': 3}
{'descr': '床很大，卫生也很干净，但不能上网，很遗憾', 'star': 5}
{'descr': '总的来说还行。就是散发黄色小广告的太多。', 'star': 3}
{'descr': '标间房间干净 通风不错  位置较好 临近地铁站 毗邻五角场', 'star': 3}
{'descr': '房间很干净，服务也好！闹中取静。', 'star': 3}
{'descr': '很不错的酒店，离地铁很近，出行很方便。早餐18块钱还是挺划算的，性价比比较高。酒店也很干净，下次还会住的。', 'star': 5}
{'descr': '性价比较好，优点：安静、生活必需品的购买较便利。缺点：单人间的窗户太小（例如：506房间）；早餐价格过高', 'star': 5}
{'descr': '就这个档次来说性价比不高，不过位置还可以，交通算便利。', 'star': 1}
{'descr': '旅店位置好找，卫生条件不错，服务态度也好，就是单人间屋小床小。', 'star': 3}
{'descr': '条件不错。', 'star': 3}
{'descr': '酒店离同济很近,到同济很方便', 'star': 3}
{'descr': '满意', 'star': 3}
{'descr': '距离地铁十号线很近，性价比比较高。锦江之星的一贯风格。住过别的城市的锦江之星单人间，都是可以住两个人的。不知道是不是上海的单人间真的只能做住一位。一开始订的单人间住不开，改到商务间的。', 'star': 5}
{'descr': '锦江之星服务诚信，周到！', 'star': 3}
{'descr': '不错', 'star': 3}
{'descr': '位置很好，酒店价格公道，周围也比较方便，餐馆很多，酒店环境也不错~\n就是网速有点慢了，呵呵', 'star': 5}
{'descr': '酒店比较安静，装修简洁，实用就好！最好能送点早餐劵之的。', 'star': 5}
{'descr': '交通很便利，周围设施也很齐全，挺干净的，但是就是房间小了一点！', 'star': 5}
{'descr': '酒店不错，装修很新，房间蛮大，也比较干净。还有前台服务人员态度不错，我走的时候落下手机充电器，他们很负责任地给我寄回来了，非常感谢！', 'star': 5}
{'descr': '客房设施很新、很好，很安静。交通方便，距地铁10号线国权路站仅1分钟路程，到五角场很近，散散步就到了。唯一不足就是电视机太小了，尽管是海尔的。', 'star': 5}
{'descr': '订的单人房，超级迷你。 离地铁口近 推荐', 'star': 5}
{'descr': '酒店前台服务规范,在走道遇见客房服务人员会主动问好,感觉很亲切,自助早餐性价比好,值得尝试,我推荐这家酒店', 'star': 5}
{'descr': '经济实惠，干净整洁，服务专业，适合老百姓。', 'star': 5}
{'descr': '入住环境、酒店设施、服务都不错。房间比较大，比同类型酒店的房间大，比较舒适。\n房间配有不断电插座，比较人性化，值得推荐。\n就是网速比较慢，还经常掉线，需要改进。', 'star': 5}
{'descr': '经济实惠，交通便利，出门就是地铁10号线，还有910，147等公交车。卫生条件挺好，有热水，空调，免费宽带。安静舒适。只是没到傍晚时分有人从门缝塞一大堆不健康的名片，由于我带着小孩，怕对小孩的影响不好。我给服务人员讲了几次，他们说没有办法...', 'star': 5}
{'descr': '房间很精致，条件不错', 'star': 3}
{'descr': '离地铁口很近，出行比较方便', 'star': 3}
{'descr': '房间不错，离地铁很近很方便，以后还会选锦江之星', 'star': 3}
{'descr': '我们认为酒店整体环境、卫生、服务都还好，位置也方便，当然是离我们办事的地方。', 'star': 5}
{'descr': '不错哦,靠近大学和五角场,吃饭购物方便,经济实惠。', 'star': 3}
{'descr': '酒店不错，离地铁站很近，性价比很高，还会住', 'star': 3}
{'descr': '还蛮干净的，服务也还好，希望锦江之星未来还要做的更细致一些，更人性化一些。', 'star': 5}
{'descr': '不错的，挺干净的酒店，经济类型的酒店，可以选择的酒店 ', 'star': 5}
{'descr': '不错，经济类型的酒店，挺舒服的，网点也比较多的', 'star': 5}
{'descr': '不错，挺干净舒服的。\n服务人员态度很好\n不错不错不错不错不错不错不错不错不错不错不错不错不错', 'star': 5}
{'descr': '不错！\n挺干净的，人性化，服务不错！    \n挺干净的，人性化，服务不错！   \n挺干净的，人性化，服务不错！                                                ', 'star': 5}
{'descr': '距离10号线国权路站真的十分近，挺方便从机场直接到酒店，房间的电视机过于小了点，就像个电脑的液晶显示屏，其他还行。', 'star': 5}
{'descr': '地理位置不错，就在10号地铁国权路站的对面，很方便', 'star': 5}
{'descr': '我还没到那呢。谢谢。', 'star': 3}
{'descr': '位置很好，就在地铁站旁边。服务很专业，很好。', 'star': 5}
{'descr': '安静舒心，离地铁很近。交通便利', 'star': 3}
{'descr': '非常好的酒店，地理位置很不错  离地铁很近', 'star': 5}
{'descr': '明显这家锦江和上次住的张江那家不好比,前台服务是一样的不错,虽然没有独立的吹风机，但是去前台签了字就拿了一个。但是太吵了，晚上9点多在五角场吃好饭回到酒店走廊外面就一直有吵架的声音，不知道是哪个客人还是什么，但是酒店应该有人出面解决的呀~但这吵杂声断断续续一直持续到凌晨。早上7、8点又有阿姨在走廊上大声说话，像是交代打扫房间的事情还是什么。', 'star': 1}
{'descr': '房间太吵了，隔壁说话听得一清二楚。交通倒是非常方便。', 'star': 1}
{'descr': '房间很干净，布置很简洁。但是为什么所有电视频道的声音和影像不同步啊？！', 'star': 3}
{'descr': '坐地铁非常方便，出门过马路就是10号线，离五角场很近。', 'star': 5}
{'descr': '感人感觉挺清爽的,还是不错的，房间感觉简洁方便', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '实在一般，不像是锦江系列的酒店。倒是离地铁很近', 'star': 1}
{'descr': '还不错,就是房间太小了,没早餐。', 'star': 3}
{'descr': 'good good good good good', 'star': 5}
{'descr': '适中适中适中适中适中适中适中适中适中适中适中适中适中适中适中', 'star': 5}
{'descr': '前台大妈速度慢 什么都不懂~~接个电话 就不管别人了~电视也就巴掌大~~而且全是雪花台~~', 'star': 1}
{'descr': '酒店设施简陋', 'star': 3}
{'descr': '干净通透，停车方便，不错', 'star': 3}
{'descr': '酒店很安静、干净，比较舒适。最重要的是交通及其方便，地铁10号线国权4号出口就在酒店跟前，对公交出行的旅客来说，太好了。', 'star': 5}
{'descr': '交通便利，性价比较高，服务态度好，房间干净。', 'star': 5}
{'descr': '，酒店蛮整洁。', 'star': 3}
{'descr': '还不错，隔音要差一些，总体都能接受。服务态度和早餐也还OK。', 'star': 5}
{'descr': '住房的非常舒服', 'star': 3}
{'descr': '离地铁口很近，服务不错，就是清扫员下班太早了', 'star': 5}
{'descr': '锦江之星给我的体验一直不错，这次也是，而且让我惊喜的是，出门不到50米就是地铁口，服务他态度质量都值得表扬', 'star': 1}
{'descr': '还不错，蛮干净的就是房间的空间太小！隔音不好', 'star': 5}
{'descr': '非常清洁,交通方便,下次还考虑住,就是停车不方便,汽车被罚了', 'star': 5}
{'descr': '干净，服务态度也挺好的！而且现在还有优惠活动，挺好的。', 'star': 5}
{'descr': '离地铁站很近，交通方便，服务态度也很好，只是房间内有的设施有点小问题，但服务员解决的很及时，不错', 'star': 5}
{'descr': '去同济办事，挺方便。就在地铁口。干净卫生。性价比挺不错。', 'star': 5}
{'descr': '房间很干净 就是从里面听外面的声音很清楚 不过还是挺喜欢的', 'star': 3}
{'descr': '服务态度不错，但房间隔音效果不太好。位置还可以，靠近五角场，地铁也不太远。', 'star': 5}
{'descr': '酒店房间很大，很干净，感觉很舒服。对锦江之星一如既往地好感。', 'star': 5}
{'descr': '+蛮干净的\u3000很简单\u3000卫生间有些小\u3000还有就是世博期间价格贵', 'star': 5}
{'descr': '比较安静  卫生不错  但是世博期间有点贵  ', 'star': 5}
{'descr': '酒店干净整齐简单，服务态度不错。', 'star': 5}
{'descr': '晚间直达该酒店的地铁十号线19:30停运,交通不便利，其他尚可', 'star': 1}
{'descr': '干净、舒适，价格嘛。。。借世博会一飞冲天，性价比根本谈不上', 'star': 3}
{'descr': '服务不错，卫生挺好，交通比较方便，隔音不好。', 'star': 3}
{'descr': '离复旦和同济大学很近，交通也很方便的，推荐', 'star': 5}
{'descr': '还可以，世博会让上海酒店赚的盆满钵满。。。。。。。。。', 'star': 5}
{'descr': '卫生和服务都还不错，就是隔音差了些，早餐不贵。', 'star': 5}
{'descr': '各方面都很好，离地铁很近，出来就到了，对面在装修，以后再来吃放娱乐就更方便了。外面很热闹，房间很安静，是非常值得选择的酒店。', 'star': 5}
{'descr': '锦江之星整体打分:比较满意', 'star': 5}
{'descr': '交通很方便  离地铁口非常近  离五角场商业区两站路  靠近复旦大学和同济大学  ', 'star': 5}
{'descr': '位置偏远，服务太差，设施简陋，价钱虚高。相比我们在杭州入住的四季酒店差远了，价钱还特别贵，强烈不推荐入住！', 'star': 3}
{'descr': ',很好', 'star': 5}
{'descr': '还可以，就是周围没有什么饭店，要到五角场才热闹！！！', 'star': 5}
{'descr': '比较好', 'star': 5}
{'descr': '周围吃饭都找不到地方，不方便，出行打车咯只有，其它都还好吧', 'star': 5}
{'descr': '环境卫生都还可以,就是门口没店面,总体来说还不错', 'star': 3}
{'descr': '酒店非常好！大厅让人有四星级的感觉。房间十分干净，空调很棒！离10号线只要2分钟步行。唯一欠缺的是周围吃的比较少。', 'star': 5}
{'descr': '卫生，环境还可以，位置不太好，门口没有店', 'star': 5}
{'descr': '离十号线国权路站很近，交通很方便，服务也挺好，就是上网不是很稳定，早餐也不错', 'star': 5}
{'descr': '相比之下，此酒店入住方便', 'star': 5}
{'descr': '还可以，价格觉得贵点。', 'star': 5}
{'descr': '这家酒店很安静，服务人员彬彬有礼，服务热情，还帮我们找地图提供出行路线。结账入住都比较快。被子柔软干净，有挂在墙上的液晶电视，有宽带网线，室内装饰温馨洁净，一直喜欢这家。', 'star': 5}
{'descr': '离地铁10号线很近，房间虽然不大，但很干净，很舒适，早餐品种很多，味道也很好，楼下有免费的上网房，真的很方便，有机会还来！', 'star': 3}
{'descr': '离地铁10号线很近，卫生很好，服务很好，值得一提的是一楼免费上网很方便！早餐也很好！总之很舒适的一个旅馆！下次还会去的！', 'star': 5}
{'descr': '别的都还好，就是服务态度比较差。', 'star': 3}
{'descr': '一切都很好，就是服务态度太差了！', 'star': 1}
{'descr': '性价比较高的经济性酒店，交通很方便', 'star': 5}
{'descr': '应该铺上地毯，网线不工作，商务房房间太小', 'star': 1}
{'descr': '里面的服务卫生都是挺好的，就是没有数字电视！', 'star': 5}
{'descr': '经济型酒店，满意，就是隔音有点不行', 'star': 5}
{'descr': '酒店条件还可以，在这个附近办事的话，住这里还是比较方便的，价格也比较合适，干净，挺不错的。', 'star': 3}
{'descr': '还不错', 'star': 5}
{'descr': '酒店的服务环境都不错，，硬件的配备和位置都挺好的，但是我订的是商务大床房，房间却很小，应该再宽敞一点。', 'star': 1}
{'descr': '我住的时候他的热水器坏了，所以后来一直就没用，不过房间比较干净，整体来说还可以，就是离地铁站有点远。', 'star': 5}
