{'descr': '比较方便', 'star': 5}
{'descr': '位置离地铁很近，但是房间隔音不好，晚上小姐声音大，另外早餐准备不足，有一个同性的山东旅游团竟然不够吃，', 'star': 5}
{'descr': '位置不错，服务可以，但是自己房间里热水器的淋浴头坏了，洗澡时候郁闷了下', 'star': 3}
{'descr': '在上海，找到这么便宜的住处不容易啊，怎么的也给个好评。', 'star': 5}
{'descr': '还可以，挺干净的。就是周边配套不怎么样，很难像样的吃顿早饭。', 'star': 5}
{'descr': '卫生很干净  设备齐全   空调预热很快  给个好评', 'star': 5}
{'descr': '交通一般，走6，7分钟有地铁8号线，距离人民广场两站地。店内环境还可以，就是隔音效果太次了，有点风吹草动都能听到，所以晚上很影响睡眠。服务还行。', 'star': 5}
{'descr': '房间不错', 'star': 3}
{'descr': '环境还行，就是晚上太冷了。空调开了没有效果。问服务台居然说没被了。', 'star': 1}
{'descr': '隔音太差，都是小姐叫床的声音。下次一定不住这家店！！', 'star': 1}
{'descr': '交通很方便，四周便利，水果店、菜场、便利店比比皆是。房间比较陈旧，不过比7天的房间宽敞，我挑了朝阳的，住着很舒服。前台的服务不冷不热的。', 'star': 5}
{'descr': '卫生还行 房间一般 电视较老 非液晶 乘电梯需刷房卡', 'star': 1}
{'descr': '环境很好', 'star': 3}
{'descr': ' 满好', 'star': 3}
{'descr': '我是给我父母定的，据他们讲：被褥很舒服、淋浴水也很大、服务环境也还可以。', 'star': 5}
{'descr': '一般般吧，前台的工作人员态度不好。别的都还好。', 'star': 5}
{'descr': '蛮好的，世博最后几天，还是这么贵，挺方便坐8号线', 'star': 5}
{'descr': ',环境不错，闹中取静，在市中心，出行较方便，总之还可以。就是价格偏高，不过世博期间，也难怪。', 'star': 5}
{'descr': '位置还可以，去地铁挺方便，就是酒店大堂太小', 'star': 5}
{'descr': '感觉一般般，但是距离火车站挺近。感觉一般般，但是距离火车站挺近。感觉一般般，但是距离火车站挺近。', 'star': 1}
{'descr': '干净，离8号地铁线路较近，出行交方便,就是停车的地方太小。', 'star': 5}
{'descr': '还不错！地铁8号线出来几分钟就走到了！就是酒店附近的环境差了点。', 'star': 5}
{'descr': '酒店设施还可以，就是房间有点小，靠近街的地方很吵，前台人员态度比较冷漠，让人心里不舒服，实在有待提高服务素质', 'star': 1}
{'descr': '酒店设施还可以，就是房间有点小，靠近街的地方很吵，前台人员态度比较冷漠，让人心里不舒服，实在有待提高服务素质', 'star': 1}
{'descr': '挺好的！！！！就是卫生条件不好。不过去世博会的话很方便', 'star': 3}
{'descr': '挺好的！！！！就是卫生条件不好。不过去世博会的话很方便', 'star': 3}
{'descr': '这个地方还好。就是地板有点脏。。去世博很方便', 'star': 3}
{'descr': '这个地方还好。就是地板有点脏。。去世博很方便', 'star': 3}
{'descr': '去世博的话是非常方便的！！！地板比较脏，其他的都还好', 'star': 5}
{'descr': '去世博的话是非常方便的！！！地板比较脏，其他的都还好', 'star': 5}
{'descr': '服务员态度很差', 'star': 1}
{'descr': '服务员态度很差', 'star': 1}
{'descr': '地段还行，服务不好，房间隔音超级烂！', 'star': 1}
{'descr': '地段还行，服务不好，房间隔音超级烂！', 'star': 1}
{'descr': '酒店位置还行，离8号线不是很远，挺方便。前台服务员态度不好。', 'star': 5}
{'descr': '酒店位置还行，离8号线不是很远，挺方便。前台服务员态度不好。', 'star': 5}
{'descr': '其他的都不错，168还是性价比比较高的，但是我去的那天下雨，拿着很多行李，宾馆的人看到后没有帮忙开门，比较冷漠。其他的都很好。', 'star': 5}
{'descr': '其他的都不错，168还是性价比比较高的，但是我去的那天下雨，拿着很多行李，宾馆的人看到后没有帮忙开门，比较冷漠。其他的都很好。', 'star': 5}
{'descr': '房间很舒适，前台有个年轻女孩服务态度不错，其他服务员态度一般，以后要重点注意，负责卫生打扫的阿姨很好，能及时收拾好房间；酒店的交通很方便，房间里的床单，是白底紫色小花的，看起来很温馨、干净，电视可以收到很多台，空调不错，浴室设计的也蛮好，洗澡水很好；附近有超市和市场，买东西吃早饭都很方便，不足的是酒店的保安措施应该加强，大点的饭店很少。总的来说，这家酒店的性价比不错，值得推荐。', 'star': 3}
{'descr': '房间很舒适，前台有个年轻女孩服务态度不错，其他服务员态度一般，以后要重点注意，负责卫生打扫的阿姨很好，能及时收拾好房间；酒店的交通很方便，房间里的床单，是白底紫色小花的，看起来很温馨、干净，电视可以收到很多台，空调不错，浴室设计的也蛮好，洗澡水很好；附近有超市和市场，买东西吃早饭都很方便，不足的是酒店的保安措施应该加强，大点的饭店很少。总的来说，这家酒店的性价比不错，值得推荐。', 'star': 3}
{'descr': '刚下车看到酒店的外观有点小失望，有些陈旧，但是进入酒店内就感觉不错了，房间设计得很舒适、合理，前台有个年轻女孩服务态度不错，其他服务员态度一般，以后要重点注意，负责卫生打扫的阿姨很好，能及时收拾好房间；酒店的交通很方便，离地铁8号线和公交车站很近，去上海站打车只需12元左右，到市中心坐地铁也才两三站，去世博园的几个入口都很方便、快捷；房间里的床单，是白底紫色小花的，看起来很温馨、干净，电视可以收到', 'star': 3}
{'descr': '刚下车看到酒店的外观有点小失望，有些陈旧，但是进入酒店内就感觉不错了，房间设计得很舒适、合理，前台有个年轻女孩服务态度不错，其他服务员态度一般，以后要重点注意，负责卫生打扫的阿姨很好，能及时收拾好房间；酒店的交通很方便，离地铁8号线和公交车站很近，去上海站打车只需12元左右，到市中心坐地铁也才两三站，去世博园的几个入口都很方便、快捷；房间里的床单，是白底紫色小花的，看起来很温馨、干净，电视可以收到', 'star': 3}
{'descr': '刚下车看到酒店的外观有点小失望，有些陈旧，但是进入酒店内就感觉不错了，房间设计得很舒适、合理，前台有个年轻女孩服务态度不错，其他服务员态度一般，以后要重点注意，负责卫生打扫的阿姨很好，能及时收拾好房间；酒店的交通很方便，离地铁8号线和公交车站很近，去上海站打车只需12元左右，到市中心坐地铁也才两三站，去世博园的几个入口都很方便、快捷；房间里的床单，是白底紫色小花的，看起来很温馨、干净，电视可以收到', 'star': 5}
{'descr': '刚下车看到酒店的外观有点小失望，有些陈旧，但是进入酒店内就感觉不错了，房间设计得很舒适、合理，前台有个年轻女孩服务态度不错，其他服务员态度一般，以后要重点注意，负责卫生打扫的阿姨很好，能及时收拾好房间；酒店的交通很方便，离地铁8号线和公交车站很近，去上海站打车只需12元左右，到市中心坐地铁也才两三站，去世博园的几个入口都很方便、快捷；房间里的床单，是白底紫色小花的，看起来很温馨、干净，电视可以收到', 'star': 5}
{'descr': '此店感觉有些旧，刚进去突然停电，网线也不好用，有时接触还不良', 'star': 1}
{'descr': '此店感觉有些旧，刚进去突然停电，网线也不好用，有时接触还不良', 'star': 1}
{'descr': '离地铁站和火车站还算近 去火车站起步费就到\n第一 这个酒店外面不是一般的脏和差\n我们被安排在一楼 不在主楼里面 从后面一个小院子里进去\n阴森森的 感觉安全也没有保障 我在上海生活了两年了 也没住过这么潮湿阴暗的房间 及其不推荐 房间很小 很昏暗 服务态度也不好 ', 'star': 1}
{'descr': '离地铁站和火车站还算近 去火车站起步费就到\n第一 这个酒店外面不是一般的脏和差\n我们被安排在一楼 不在主楼里面 从后面一个小院子里进去\n阴森森的 感觉安全也没有保障 我在上海生活了两年了 也没住过这么潮湿阴暗的房间 及其不推荐 房间很小 很昏暗 服务态度也不好 ', 'star': 1}
{'descr': '以后再也不住莫泰168了，还是头一遭住地下室。酒店离市场很近，周边环境脏乱差。前台把房间安排在地下室，感觉非常不好，房间小很压抑，还发现蟑螂，房间离餐厅厨房近，早上5、6点就被炒菜声吵醒。管理混乱，莫名其妙早上4点morning call打进房间，住了三天差点崩溃。 ', 'star': 1}
{'descr': '以后再也不住莫泰168了，还是头一遭住地下室。酒店离市场很近，周边环境脏乱差。前台把房间安排在地下室，感觉非常不好，房间小很压抑，还发现蟑螂，房间离餐厅厨房近，早上5、6点就被炒菜声吵醒。管理混乱，莫名其妙早上4点morning call打进房间，住了三天差点崩溃。 ', 'star': 1}
{'descr': '总体来说还不错', 'star': 5}
{'descr': '总体来说还不错', 'star': 5}
{'descr': '不太挑剔的人可以选择这家，我们住的是一楼的，浴室很小，离地铁8号线大概7分钟路程，交通还是比较OK的，尤其是去看世博！便利店也几步就有一家，但吃的地方不多，而且感觉比较像老区，貌似附近没啥可逛的~！', 'star': 5}
{'descr': '不太挑剔的人可以选择这家，我们住的是一楼的，浴室很小，离地铁8号线大概7分钟路程，交通还是比较OK的，尤其是去看世博！便利店也几步就有一家，但吃的地方不多，而且感觉比较像老区，貌似附近没啥可逛的~！', 'star': 5}
{'descr': '我住的是标间，大小一般，卫生也不错，就是隔音不好，走廊上有人讲话听得很清楚，半夜隔壁电视的声音也较大。交通便利，距离地铁8号线中兴路站300米左右，步行5分钟。附近多家便利店，有菜场、水果店，供应早餐的小饭店也不少。', 'star': 5}
{'descr': '我住的是标间，大小一般，卫生也不错，就是隔音不好，走廊上有人讲话听得很清楚，半夜隔壁电视的声音也较大。交通便利，距离地铁8号线中兴路站300米左右，步行5分钟。附近多家便利店，有菜场、水果店，供应早餐的小饭店也不少。', 'star': 5}
{'descr': '位置偏，地方小，环境差，隔音太差。。。以后应该不会再来了', 'star': 3}
{'descr': '位置偏，地方小，环境差，隔音太差。。。以后应该不会再来了', 'star': 3}
{'descr': '实说实说 酒店房间比较大 装修还行 但是地毯我感觉就从来没消过毒 我进房间就觉得身上痒 前台服务很差 跟欠她N多钱一样 隔音不好 早上有大车路过 湿气中 离地铁站远', 'star': 1}
{'descr': '实说实说 酒店房间比较大 装修还行 但是地毯我感觉就从来没消过毒 我进房间就觉得身上痒 前台服务很差 跟欠她N多钱一样 隔音不好 早上有大车路过 湿气中 离地铁站远', 'star': 1}
{'descr': '刚从世博回来，大家千万别住这家店。\r\n1、离8号线比较远，而不是象酒店介绍的5,6分钟，估计用跑的差不多，而且途中还要过好几次大大小小马路，弯来拐去。\r\n2、晚上周围很闹的，并且房间的隔音效果极差，感觉门和墙就是纸糊的，过道上的人走路、说话听得一清二楚。\r\n3、前台的服务态度极差，这点非常不满，你去问个事情老是爱理不理，偶尔一次理了也是语气生硬，难道这就是所谓的排外？要拽就别来做服务业啊。\r\n4、', 'star': 1}
{'descr': '刚从世博回来，大家千万别住这家店。\r\n1、离8号线比较远，而不是象酒店介绍的5,6分钟，估计用跑的差不多，而且途中还要过好几次大大小小马路，弯来拐去。\r\n2、晚上周围很闹的，并且房间的隔音效果极差，感觉门和墙就是纸糊的，过道上的人走路、说话听得一清二楚。\r\n3、前台的服务态度极差，这点非常不满，你去问个事情老是爱理不理，偶尔一次理了也是语气生硬，难道这就是所谓的排外？要拽就别来做服务业啊。\r\n4、', 'star': 1}
{'descr': 'the front office was too slow of handleing check-in', 'star': 1}
{'descr': '毛巾有非常明显的窟窿 一次性洗漱用品中没有提供小肥皂 希望改进 房间的装修 较小 就一扇 服务一般 交通位置略有些不太方便 出门走不远有车站 但是到各个景点都需要转车 最近的地铁口需要走6 7分钟左右 如果熟悉道路的还好 ', 'star': 3}
{'descr': '   我入住的卫生间的淋浴龙头是坏的 无法切换  酒店前台业务不熟练 告诉他是ELONG 网上预订的 结果搞了半天 刷了两次卡才成功   和其他网友评价一样 酒店隔音效果非常差 走廊的声音听的很清楚 其他尚可', 'star': 5}
{'descr': '不管去哪个城市一般只要有莫泰的，住宿的宾馆一般都选它，但是莫泰的这家店真的是觉得一般般，地址是在一个小弄堂里面，打车过去都不好找。浴室和卧室隔着半透明的玻璃，在浴室洗澡基本上卧室都能看得见（不知道其他房间的格局是怎样），喷头也是坏的，懒得去和客服说了。住了两天，只打扫过一次，由于行程匆忙付完钱就走了，没有仔细检查包里面的东西，后来才发现一直留在房间里没有拿出去的数码相机不见了，打电话让客服找一下，', 'star': 1}
{'descr': '毛巾有非常明显的窟窿 一次性洗漱用品还不错 房间的装修风格比较温馨 也蛮大 窗户在洗手间里 较小 就一扇 服务一般 交通位置略有些不太方便 出门走不远有车站 但是到各个景点都需要转车 最近的地铁口需要走6 7分钟左右 如果熟悉道路的还好 在那里丢了一个弗拉格慕的发夹 打电话回去找 说是没看见 反正很郁闷 ', 'star': 1}
{'descr': '我是今年五一去上海  住在那里 很方便 距离8号地铁走路6分钟左右 转其他线路也很方便\r\n其实我感觉外地人去上海 只要住在地铁附近的酒店就可以 真的好方便 ', 'star': 5}
{'descr': '一般', 'star': 3}
{'descr': '酒店有点久了，卫生条件不是那么理想', 'star': 3}
{'descr': '在一个小巷子里，还不算太难找。但是基础设施差了些。', 'star': 1}
{'descr': '不理解为什么ELONG订酒店时是楼上的, 入住时却说是楼下的, 必须要出示莫泰的会员卡才能住楼上!!!!  什么原因不知道. 有点晕!', 'star': 1}
{'descr': '一般而已', 'star': 1}
{'descr': '服务态度还需要提高,服务员总不幅不食人间烟火的表情,其它条件都还不错.性格比也不错.', 'star': 5}
{'descr': '总体很好，价位也不错，就是房间没有纯净水。', 'star': 3}
{'descr': '距火车站较近~出门方便~', 'star': 5}
{'descr': '位置不错，价位也适当，房间也不错，总体来说比较满意。', 'star': 5}
{'descr': '隔音不太好，走廊里说话房间里听得很清楚，也没有人制止。但是离地铁站还算比较近，而且距人民广场，大世界，南京西路都很近，一会就到了，还是很方便的，下回去还住那', 'star': 5}
{'descr': '卫生不错, 但窗外的空调噪音太大, 无法睡眠.', 'star': 5}
{'descr': '市井生活~~~周围就是民居~~~菜场，面包店，饭馆一应俱全~~~地铁八号线就在旁边，交通方便的&#183;~', 'star': 5}
{'descr': '还可以，下次继续住', 'star': 5}
{'descr': '物有所值吧，不过我那件房间有霉味。服务蛮好，尤其是那两个小姑娘，其中一个是顾小姐吧，点名表扬', 'star': 5}
{'descr': '附近在施工，卡车，拖垃圾的车声音太大了，太不适合住宿了', 'star': 1}
{'descr': '周边的商铺等不是很多，但是基本需求还是满足的。地方偏了点，环境什么都还不错，但是有些房间的洗澡的地方有点小~~', 'star': 5}
{'descr': '酒店的位置不错，交通方便，硬件条件和他们的服务我觉得都不错，如果还到这附近，还是可以考虑。', 'star': 3}
{'descr': '离火车站比较近，交通挺方便，不过周围没有比较好的吃饭的地方', 'star': 5}
{'descr': '酒店的内部环境挺好的,设备也还算齐全,也蛮干净的,就是感觉价位有点偏高,其他的都挺好的.', 'star': 3}
{'descr': '这是距离上海火车站最近的莫泰了, 在小区内,较安静.\r\n总体还可以.就是地点有点偏.', 'star': 5}
{'descr': '大床很舒服，房间布局都是168的统一风格，附件有个菜场，熟食水果什么的很好买到，还有个小商场卖卖小衣服小挂件饰品什么的，女孩子应该蛮喜欢逛的，性价比蛮高的一家168，唯一不足的是交通不太方便，当然喜欢走走的朋友还是蛮推荐的。', 'star': 5}
{'descr': '服务不是很好.看上去象私营企业不大象莫泰的风格.', 'star': 5}
{'descr': '我住的是148元的特价大床房，还可以免费上网，附近有便宜又好吃的街头小吃，就是旁边的菜场脏乱了点。位置靠近火车站，坐出租几分钟就到火车站了。综合感觉性价比还不错。', 'star': 5}
{'descr': '这个莫泰是我这次出门最便宜的酒店了，比杭州什么的都便宜，酒店的硬件条件和环境也都不错，服务也挺好的，感觉比较满意的。', 'star': 3}
{'descr': '这个酒店的卫生条件，环境服务都是挺不错的，几个也合适，就是位置交通不太方便，下次我可能换个交通方便点的酒店。', 'star': 3}
{'descr': '酒店的整体 感觉可以，位置交通很方便，靠近地铁，不过我房间发现了一只虫子', 'star': 3}
{'descr': '酒店的整体条件感觉一般，周围是菜市场感觉比较的脏乱', 'star': 1}
{'descr': '内部有蟑螂，大礼包服务不合适', 'star': 1}
{'descr': '房间靠近马路,有点噪音.电视差了点,很老式电视.', 'star': 5}
{'descr': '我住的是168的特价大床房，综合而言，性价比不错，前台服务也可以。交通其实还算方便，坐八号线2站可以到人民广场~无非过来的时候位置一开始没找到，在西边的小路里~个人还是推荐这个酒店的~', 'star': 5}
