{'descr': '挺好的 一直住的这家 方便 车位也多', 'star': 4}
{'descr': '我预订的是商务大床房，傍晚时才入住的，前台很热情。整个酒店应该是装修不久的，很新很整洁，光线也很不错，进入房间就被那鹅黄色的的空间吸引了，绿色的地板，点缀有黄色和蓝色的台灯等，整个房间很清新的感觉，很大的一张床，喜欢那小碎花的被子。最舒服的还是卫生间，虽然不大，可是很整洁，有专门的吹风机（梳洗台旁边的墙壁上）很方便，174的价格，应该来说，这是我住的同价位里相当舒适的一次了，让我对如家快捷的印象瞬', 'star': 5}
{'descr': '我预订的是商务大床房，傍晚时才入住的，前台很热情。整个酒店应该是装修不久的，很新很整洁，光线也很不错，进入房间就被那鹅黄色的的空间吸引了，绿色的地板，点缀有黄色和蓝色的台灯等，整个房间很清新的感觉，很大的一张床，喜欢那小碎花的被子。最舒服的还是卫生间，虽然不大，可是很整洁，有专门的吹风机（梳洗台旁边的墙壁上）很方便，174的价格，应该来说，这是我住的同价位里相当舒适的一次了，让我对如家快捷的印象瞬', 'star': 5}
{'descr': ' 整个装修风格很田园很温馨，很新，房间也不错，值得入住。', 'star': 3}
{'descr': ' 整个装修风格很田园很温馨，很新，房间也不错，值得入住。', 'star': 3}
{'descr': '很好的一家酒店，有家一般的温馨，以后有机会还会再来的', 'star': 5}
{'descr': '很好的一家酒店，有家一般的温馨，以后有机会还会再来的', 'star': 5}
{'descr': '相当不错，离景点交通方便，住宿也比较舒适，工作人员也都很热情，推荐。', 'star': 5}
{'descr': '相当不错，离景点交通方便，住宿也比较舒适，工作人员也都很热情，推荐。', 'star': 5}
{'descr': '房间不大，环境一般，价格还算合理，扬州的住宿总体还较贵。', 'star': 5}
{'descr': '房间不大，环境一般，价格还算合理，扬州的住宿总体还较贵。', 'star': 5}
{'descr': '新装修的，在居民区比较安静，但房间较小，空调声音太大，附近交通不方便，没有什么好的饭店。', 'star': 1}
{'descr': '新装修的，在居民区比较安静，但房间较小，空调声音太大，附近交通不方便，没有什么好的饭店。', 'star': 1}
{'descr': '＋不错，下次还去', 'star': 3}
{'descr': '＋不错，下次还去', 'star': 3}
{'descr': '环境很好很安静，前台服务态度好，门前还能停车，下次还去住。就是酒店不远有个山寨的如家，差点住错到那个如家。', 'star': 5}
{'descr': '环境很好很安静，前台服务态度好，门前还能停车，下次还去住。就是酒店不远有个山寨的如家，差点住错到那个如家。', 'star': 5}
{'descr': '环境不错，服务也好，主要是有停车场比较方便', 'star': 5}
{'descr': '环境不错，服务也好，主要是有停车场比较方便', 'star': 5}
