{'短评内容': '房间、环境还可以，服务态度蛮好的，晚上比较安静。', '短评打分': 5}
{'短评内容': '設施和條件還算可以，但是“叫餐服務”的時間是否能夠加長一點，期望能夠改善！', '短评打分': 5}
{'短评内容': '服务台态度冷淡服务极差，在这季节入住更添一份寒意> <！房间设施又旧又破，地毯上到处是污迹，貌似前面的客人走了根本没清理过，感觉到处脏兮兮的，因为当天到达太晚，勉强住了一夜就逃了～', '短评打分': 1}
{'短评内容': '价格和设施一致，但是卫生清洁好像有待加强，到处可见斑斑点点，住的有点不如意。不过总体还可以。推荐。', '短评打分': 5}
{'短评内容': '不错不错，非常不错。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '简爱酒店不错，简单爱。', '短评打分': 3}
{'短评内容': '非常不错的酒店，地理位置好，房间很舒服，空调也很好，但是有点不好，就是早餐不行，需要改进，不过还是推荐!', '短评打分': 5}
{'短评内容': '酒店比较干净和安静，值得去，而且周边的饭店也很多的', '短评打分': 5}
{'短评内容': '比较方便，周边有很多的饭馆，吃饭很方便，可以去住', '短评打分': 5}
{'短评内容': 'GOOD!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '酒店一般。交通还算方便。 ', '短评打分': 3}
{'短评内容': '非常好的宾馆,是按照四星级的标准建造的,房间很大,位置也很好,卫生状况也很好,强烈推荐!', '短评打分': 5}
{'短评内容': '一个很好的酒店，在无锡属于性价比很高的酒店，卫生不错，位置也可以，就是早餐太一般！', '短评打分': 5}
{'短评内容': '很不错，性价比高！', '短评打分': 5}
{'短评内容': '酒店干净简洁，比较安静，挺舒服的，不过隔音似乎不太好。', '短评打分': 3}
{'短评内容': '位于黄金海岸酒店的对面，附近有台球厅等，餐饮也很方便。', '短评打分': 5}
{'短评内容': '酒店位置还不错，房间也比较安静，就是没有桌子，有电脑的时候比较麻烦；不过，房间里的24小时电影电视剧点播还是不错的', '短评打分': 5}
{'短评内容': '很差，房间在最角落，房间很小。', '短评打分': 1}
{'短评内容': '住的麻木了，感觉电视很大，有免费的水提供，不过有些房间窗户小，有些闷。', '短评打分': 3}
{'短评内容': '马马虎虎吧，感觉一般。', '短评打分': 3}
{'短评内容': '对于这家酒店，我的感情比较复杂，先后住过三四次，总体来说硬件不错，不过前台服务员的热情有待提高。', '短评打分': 5}
{'短评内容': '别被假象蒙蔽，根本没有什么“豪华标间”。入住这里的恐怖经历：房间有霉味，窗子不能开，并且布满灰尘；地毯恶心得想吐，配置简陋连把椅子都没，床单是深色的有一块块的褪色，卫生间到处的污渍，那浴巾有黄斑，隔音很差，边上洗澡都听得到。。。。勉强住了一个晚上，感觉皮肤都在发痒。旁边就有格林，莫泰等很多快捷酒店，真后悔住这里。唯一的好处就是位置还好，在闹市边上，价格也就值100。', '短评打分': 1}
{'短评内容': '没想象中好，很失望的说', '短评打分': 1}
{'短评内容': '地段很好，离火车站比较近，也是美食一条街，酒店内设施也还算新，就是房间太小了点，靠近马路比较吵，液晶电视比较大，是一般商务宾馆最大的', '短评打分': 5}
{'短评内容': '这个价位还行', '短评打分': 3}
{'短评内容': '除了设施比较少之外，其他都算可以，这个开业没多少年有关系吧', '短评打分': 5}
{'短评内容': '房间较小，没有写字台。说有写字台的房间要另加30元。卫生还过得去。', '短评打分': 3}
{'短评内容': '酒店位置很好，附近很多风味饭店，干净卫生，大厅装修一般。', '短评打分': 5}
{'短评内容': '价位与设施均可', '短评打分': 5}
{'短评内容': '没桌子放电脑', '短评打分': 5}
{'短评内容': '窗户太小了。', '短评打分': 5}
{'短评内容': '位置是很不错的。在无锡最旺食街的十字街头。房间小了一点，卫生还可以。但对于商务的朋友们就有一个缺陷是房间没有桌子。电脑得抱着坐床上看。', '短评打分': 5}
{'短评内容': '位置还不错，比较方便。房间有一点点味道，床很舒服，服务还不错。希望下次去把房间里的味道除了。', '短评打分': 5}
{'短评内容': '在欧风街，但是稍微有点不好找。。。其他还行~', '短评打分': 5}
{'短评内容': '位置好，从火车站到酒店很方便。酒店干净简洁，设施比较新，液晶电视装了数字电视，电视内容比较多还有电影。旁边青石路是美食一条街，中山路是闹市区。性价比不错。推荐', '短评打分': 5}
{'短评内容': '早餐应该更好些', '短评打分': 5}
{'短评内容': '比第一次住的房间要设施什么都要好点 但靠街边比较闹 希望下次在去不要安排在街边', '短评打分': 3}
{'短评内容': '其他一般 性价比可以喝', '短评打分': 5}
{'短评内容': '房间装的是中央空调，挂式的超薄电视能收很多频道，房间设计很时尚，喜欢~离市中心崇安寺、中山路商业区很近，打车在起步价以内就能到，很不错', '短评打分': 5}
{'短评内容': '房间舒服，干净，酒店周边设施也齐全非常的不错。', '短评打分': 5}
{'短评内容': '酒店还不错，附近有美食街，吃东西很方便。', '短评打分': 5}
{'短评内容': '这是我住过的性价比较高的酒店\r\n就是没有早餐但青石路是美食街问题也不大了', '短评打分': 5}
{'短评内容': '酒店位置是在市中心的中心地带出门酒友便利店和疙瘩shoppingmall~~~可以很方便的出行  距离不远处有第二人民医院  对于旅行者和商务人士是十分适合的  酒店的3楼还有温泉桑拿  58元一位 ', '短评打分': 5}
{'短评内容': '比较好 新开的酒店 位置不错', '短评打分': 5}
{'短评内容': '大床房间的床太小了，似乎都是开钟点房的多。\r\n前台不主动提供餐券，并且不能把几天的一起领了，需要每天去拿！太不方便。\r\n前台服务也不怎样。', '短评打分': 1}
{'短评内容': '非常一般的酒店，房间比较大，但是没有什么特色，枕头太硬，睡得很不舒服，早餐没啥吃的。', '短评打分': 1}
