{'descr': '老板很好，很给力，老板很实在。', 'star': 5}
{'descr': '酒店位于周庄景区很近，周边环境清新淡雅.园林式的风格很不错.', 'star': 5}
{'descr': '客房配置挺齐备的，而且价格适中，整体还算达标.', 'star': 5}
{'descr': '酒店看着挺新挺干净的，设施方面也不错。', 'star': 5}
{'descr': '感觉挺好，挺干净，服务态度也挺好，价格也能接受。', 'star': 3}
{'descr': '从滨河路过来很方便，周边超市饭店挺多的。', 'star': 3}
{'descr': '服务态度挺好，办事效率也挺快的，设施和卫生方面也不错，住的挺舒适。', 'star': 5}
{'descr': '酒店整体感觉很不错，性价比挺高，值得推荐。', 'star': 5}
{'descr': '宾馆下面就是超市，购个物还是挺方便的。', 'star': 3}
{'descr': '房间不大，但是设施很齐全，打扫也挺干净，网速也挺快的，用着很方便。', 'star': 5}
{'descr': '酒店看着挺新挺干净的，设施方面也不错。', 'star': 5}
{'descr': '酒店整体感觉很不错，性价比挺高，值得推荐。', 'star': 5}
{'descr': '房间不大，但是设施很齐全，打扫也挺干净，网速也挺快的，用着很方便。', 'star': 5}
{'descr': '感觉挺好，挺干净，服务态度也挺好，价格也能接受。', 'star': 3}
{'descr': '房间里挺干净，电视空调网线都有，服务也挺不错，这次住的挺满意。', 'star': 5}
{'descr': '环境还不错，周边交通挺便利的，价格也挺合理。', 'star': 5}
{'descr': '从滨河路过来很方便，周边超市饭店挺多的。', 'star': 3}
{'descr': '在桃园这边，出行还是蛮方便，服务卫生都挺好，整体感觉不错。', 'star': 5}
{'descr': '宾馆下面就是超市，购个物还是挺方便的。', 'star': 3}
{'descr': '在桃园这边，出行还是蛮方便，服务卫生都挺好，整体感觉不错。', 'star': 5}
{'descr': '服务态度挺好，办事效率也挺快的，设施和卫生方面也不错，住的挺舒适。', 'star': 5}
{'descr': '房间里挺干净，电视空调网线都有，服务也挺不错，这次住的挺满意。', 'star': 5}
{'descr': '环境还不错，周边交通挺便利的，价格也挺合理。', 'star': 5}
{'descr': '酒店服务态度很好，卫生条件很干净，价格也不贵，住宿环境还是很好的', 'star': 5}
{'descr': '酒店位置不错，交通还算方便，门口就能打车，另外它是那种花园式的酒店，环境很好，去周庄景区出行还是很方便的', 'star': 5}
