{'短评内容': '不错，每次从重庆走都住那，也比较方便', '短评打分': 5}
{'短评内容': ' 其他还可以，就是隔音太差了', '短评打分': 3}
{'短评内容': ':奥蓝酒店坏境可以，卫生干静，就是价格较高，整体感觉与预想的四星极酒店有些差别，价格更低一点应该更好一些。', '短评打分': 3}
{'短评内容': '奥蓝酒店，硬件设施不错，大床的硬度也很好。就是早餐9点去吃，基本没东西了，虽然10点才结束，但这里的服务人员并没有做任何补充。', '短评打分': 3}
{'短评内容': '房间很舒服，还有一个按摩浴缸在卧室，感觉挺豪华的。房间里送的茶叶不太好，要买的茶叶还不错。', '短评打分': 5}
{'短评内容': '酒店服务还挺不错的，房间很一般，我在南京住158的室内环境比这个还不错', '短评打分': 3}
{'短评内容': '不错很好，就是起太早赶飞机，没有吃早餐，下次再来试试。', '短评打分': 5}
{'短评内容': ' 酒店不错下次还会考虑', '短评打分': 3}
{'短评内容': '酒店离机杨很近，重庆北火车站过来有地铁，很方便。房间很安静，服务很好。', '短评打分': 3}
{'短评内容': '服务设施好1111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '此酒店距离机场比较近，要是赶航班的话此酒店是不错的选择，酒店比较卫生，干净，服务生素质比较好', '短评打分': 5}
{'短评内容': '酒店环境相当不错！\n房间隔音效果较好，前台服务态度也相当好！\n值得推荐！', '短评打分': 5}
{'短评内容': '离飞机场很近,交通非常方便,硬件,软件都不错', '短评打分': 5}
{'短评内容': '1、位置显著\n2、价格偏高\n3、设施维护不到位，感觉像乡村旅社\n4、周边环境尚可\n5、服务人员热情\n6、周边餐饮街很多，可以品当地美食', '短评打分': 5}
{'短评内容': '离机场很近，很方便，饮食也不错！！！！！', '短评打分': 5}
{'短评内容': '1、四星级标准，但设施维护不到位，桌面、地毯有污渍或者水印.楼层的装饰给人感觉像是招待所\n2、卫浴用品：提供的一次性用品很全，但全无四星酒店的水平，沐浴和洗发为大瓶装，感觉像是经济连锁酒店。\n3、餐厅较多，但没有在当地形成气派或者高端餐厅，只有少数酒店客人就餐，菜品质量低。\n4、提供的电视节目丰富，网速快，浴袍、拖鞋还算高档。\n5、酒店的服务人员比较热情，但对我提出的叫车服务给的答复是可以现叫车，', '短评打分': 1}
{'短评内容': '机场附近比较好的酒店，安静！早餐一如既往的**！', '短评打分': 1}
{'短评内容': '奥蓝酒店住宿条件尚可，服务质量一般。', '短评打分': 3}
{'短评内容': '环境不错，到机场比较方便，店里还可以换登机牌。', '短评打分': 5}
{'短评内容': 'excellent hotel for overnight stay, very close to airport!', '短评打分': 5}
{'短评内容': '为该酒店装潢不是很新，但是配置还是可以，比较安静，适合在两路附近办事住宿。\n就是早餐不是很丰富。', '短评打分': 5}
{'短评内容': '性价比挺高的，就是早餐不怎么样，几乎每什么吃的，离机场挺近的，交通也方便', '短评打分': 5}
{'短评内容': ',已入住,酒店的硬件软件都不错,很喜欢。', '短评打分': 3}
{'短评内容': '还不错，交通很方便，坏境也很干净，舒适度也不错。 下次还会光顾\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '餐饮一般还贵。打车司机都说找不到，打的回酒店很辛苦', '短评打分': 1}
{'短评内容': '除了早餐不太丰盛外，其他的一如既往的好。很安静，旁边还有个大超市', '短评打分': 5}
{'短评内容': 'good,很好，服务和卫生条件都很好。价格如果再优惠一点就完美了。', '短评打分': 5}
{'短评内容': '酒店环境差，服务态度不好！', '短评打分': 3}
{'短评内容': '住的是娱乐间，房间挺大的，有麻将桌，不知道是隔壁还是对门的，麻将打了一整晚，有点吵，希望能管管，考虑考虑其他客人', '短评打分': 5}
{'短评内容': '在重庆机场附近还是不错的酒店了，比较干净，离机场也就是起步价左右的距离，但是正是因为近，很多出租车师傅都不是很愿意去。', '短评打分': 5}
{'短评内容': '可以，就是布局不是很合理，早餐一般。房间比较安静，创业舒服。', '短评打分': 5}
{'短评内容': '如果它是4星，那么它是我入住过的4星里最差的。如果它是3星，那么以后也会在朋友别无它选的条件下谨慎推荐。地毯简陋肮脏，楼层灯光灰暗，房间装修陈旧，服务员几乎看不到，早餐简单到只有20来个盆。一切让我感到是否是到了一家地区招待所。', '短评打分': 1}
{'短评内容': '酒店环境不错，位置离机场很近，价位适中，值得推荐的～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '退奥兰酒店订房', '短评打分': 3}
{'短评内容': '11111111111111111111111111111111111111111111111111111111111', '短评打分': 5}
{'短评内容': '酒店环境好，离机场很近，价位适中，值得推荐～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '酒店环境很好，价位合适，值得推荐哦～～～～～～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '房间有点小，床很舒服，也比较干净，不错。就是却是早餐太一般。', '短评打分': 5}
{'短评内容': '离机场很近，十分钟路程，到的比较晚，定的大床房，酒店免费给升级成行政套房，房间里有个很大的双人浴缸，哈哈，爽~可以早上六点多都起来赶飞机，早餐一般。', '短评打分': 5}
{'短评内容': '离机场很近，卫生和环境可以接受，服务可以接受，早餐一般，主要是一直没有变化，持续没有米饭类的提供。', '短评打分': 5}
{'短评内容': '离机场的距离有些尴尬,重庆的出租车又服务不是很正规.房间还可以.信价比不错.', '短评打分': 5}
{'短评内容': '酒店不错，住宿环境很好，服务不行。', '短评打分': 3}
{'短评内容': ' 成功入住并感觉比较满意', '短评打分': 3}
{'短评内容': '酒店总体感觉可以，比较干净。地理位置稍偏但安静。赞一个', '短评打分': 5}
{'短评内容': '第三次入住了，一如既往的好，特别是大床，特别舒服。床单质量非常好。还有浴巾很厚。不像有些酒店很薄，还很旧！！', '短评打分': 5}
{'短评内容': '除了早饭，交通，房间等都还不错。\n早饭的饮料，牛奶和豆浆非常烂，全部是兑的，味道非常差。', '短评打分': 1}
{'短评内容': '酒店不错，干净，环境好，4星级酒店的服务也还可以，就是房间送餐的种类少了点', '短评打分': 5}
{'短评内容': '第二次入主了。房间很大，位置还可以。飞机场附近的酒店他还可以。离渝北中心也还方便，吃饭也还方便。总体不错！！！', '短评打分': 5}
{'短评内容': '离机场比较近，房间干净卫生，很不错的酒店，值得推荐！', '短评打分': 3}
{'短评内容': '酒店离机场较近，酒店隔壁就是永辉超市，对面有个富侨，酒店内的送餐很不错哦～～\n而且南航、深航、重航都在此家酒店入住，看见空姐空少的机会较多\n\n个人认为比较实惠～～', '短评打分': 5}
{'短评内容': '第一次入住，房間隔音不夠好，重慶天氣那麼熱，四星級酒店房間內沒冰箱,太遜了...，不然其他方面都還可以。', '短评打分': 5}
{'短评内容': '住过很多次，环境不错，性价比可以，就是房间送餐可选的少了点，另外像豪华间的话最好要有冰箱，可供客人使用，毕竟现在天气太热，都希望喝点冰的凉快下', '短评打分': 5}
{'短评内容': '我订的高级单人间，后免费上级为豪华单人间。服务态度好，房间干净卫生，也比较安静。总体感觉不错。', '短评打分': 3}
{'短评内容': '酒店条件不错，干净，安静。有冲咖啡工具，但无咖啡。总体还不错。', '短评打分': 3}
{'短评内容': '酒店设备比较陈旧，与图片不完全相符。希望酒店能改善房间品质。', '短评打分': 1}
{'短评内容': '位置还行，服务挺好。早餐一般，味道不是很好。', '短评打分': 5}
{'短评内容': '房间特别大，很舒适！但细节需要注意。比如密码箱无说明书，工作人员重庆话跟你交流。', '短评打分': 5}
{'短评内容': '离机场近，环境很好，值得推荐啊～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '酒店地理位置及设施都还不错，挺喜欢这家酒店的。', '短评打分': 5}
{'短评内容': '豪华单人间房间很大，装潢也是大气的风格，住起来很舒服~位置也不错，买东西，打车都很方便。离机场近，离观音桥和龙头寺也不算太远，打车的话30min内可到，30块左右，反倒比在渝中区住打车更快，因为较少堵车。\n这个酒店的性价比挺高，下次去重庆估计还会再选择！', '短评打分': 5}
{'短评内容': '酒店离机场不远，但是晚上很安静，对得起这个价格和四星级的标准，只是早餐简单了些。', '短评打分': 5}
{'短评内容': '酒店等级还行，房间还不错！不过早餐是在是。。。。。。真的像一些网友说的，似乎比连锁酒店还差', '短评打分': 5}
{'短评内容': '房间很大，很安静，够标准，主的很舒服，服务很好，结款也很快', '短评打分': 5}
{'短评内容': ' 酒店管理一般，连房卡都能写错。呵呵', '短评打分': 3}
{'短评内容': '性价比不错的酒店，空姐空少经常出没。周边的小吃很多，感受简洁悠闲的生活，很喜欢宽敞的落地窗，有点遗憾的就是豪华单人间浴室没有浴缸。', '短评打分': 5}
{'短评内容': '我怎么去消费你们送的券', '短评打分': 3}
{'短评内容': '干净卫生 交通便利 服务态度很好 设施完备', '短评打分': 5}
{'短评内容': '房间很好，挺干净.就是早餐比较简单,建议改进.', '短评打分': 5}
{'短评内容': '离机场特别近,空姐空少特别多入住,赏心悦目', '短评打分': 5}
{'短评内容': '到机场五分钟车程，非常方便，要在渝北办事最好\n', '短评打分': 5}
{'短评内容': '还可以,附近实在没有更好的酒店了.到长安研究院方便', '短评打分': 5}
{'短评内容': '除了离机场近，其它各方面均没有优点。房间在装修，感觉乱遭遭，另外房间隔音差，隔壁房间的打呼噜声，折腾得一晚上没休息好。', '短评打分': 1}
{'短评内容': '馬馬虎虎，唯一好處是靠近機場還有附近走路五分鐘就能到的大排檔(蠻好吃的!)', '短评打分': 5}
{'短评内容': '奥蓝这里还不错', '短评打分': 3}
{'短评内容': '服务还可以，房间干警，就是住的这间没有景色，价钱偏贵', '短评打分': 3}
{'短评内容': '去机场很方便。酒店的房间也很不错。早饭稍微单调了一些。', '短评打分': 5}
{'短评内容': ' it is not so bad as for location, price, service as well as hardware.', '短评打分': 5}
{'短评内容': '侧楼顶层的电机系统还是有噪音，关了窗也能感受到嗡嗡声。\n要求入住无烟房还是有烟的。\n酒店拖鞋没有更换，还是上批客人穿过的。\n酒店沐浴液很好，滑的很。', '短评打分': 5}
{'短评内容': '不错的酒店，服务业好，就是晚上有点吵，下次还会继续考虑入住。', '短评打分': 5}
{'短评内容': '还可以吧，价格比较便宜。和四星级还是差距的。', '短评打分': 5}
{'短评内容': '帮客户订的，客户反映说酒店还不错，比较满意 \n', '短评打分': 5}
{'短评内容': '帮客户订的，客户反映说酒店还不错，比较满意', '短评打分': 5}
{'短评内容': '第一印象还不错，前台的服务很到位的。。。。', '短评打分': 5}
{'短评内容': '位置好，距机场近，性价比高。不过，卫生、服务等还有待提高。呵呵', '短评打分': 5}
{'短评内容': '离机场近，离福特近，楼下有超市，附近有饭店，酒店卫生不错，价格实惠，推荐', '短评打分': 5}
{'短评内容': '离飞机场很近，但宾馆就像迷宫，评价一般吧！......', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '总体不错，就是早餐没以前好，早餐水果品种太少，只有一种，今后能不能增加多些品种？', '短评打分': 5}
{'短评内容': '不错的酒店，每次去重庆我都是订的该酒店，去机场只需10来分钟，周边购物餐饮都有，楼下就是一个小超市，今次是带棚友一块去的，朋友也说该酒店不贵，环境不错，下次去重庆也会住该酒店。', '短评打分': 5}
{'短评内容': '挺不错的，环境服务都可以，离机场很近，非常方便', '短评打分': 5}
{'短评内容': '酒店硬件设施不错，晚饭价格有点贵，自助早餐不怎么样，吃的品种不多', '短评打分': 5}
{'短评内容': '奥蓝酒店服务太度好,环境也可以.', '短评打分': 3}
{'短评内容': '±可以', '短评打分': 3}
{'短评内容': '感觉还好,就是电视实在是有点旧了，这价也就这样了', '短评打分': 5}
{'短评内容': '酒店房间大非常舒适', '短评打分': 3}
{'短评内容': '离机场很近，到市区比较远，设施和服务很好。', '短评打分': 5}
{'短评内容': 'DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD', '短评打分': 1}
{'短评内容': 'BUHAO DDDDDDDDDDDDDDDDDDDDDDDDDDDDDD', '短评打分': 1}
{'短评内容': '评定的4星级酒店\n硬件设施还是不错，但是高级单间向内开窗，房间比较闷，服务员的服务水平还是比较满意的~早餐单调一般\n交通便利离机场打的10元钱！！！', '短评打分': 5}
{'短评内容': '交通方便，服务很好，设施不错，价位适中。\n早餐稍显单调。', '短评打分': 5}
{'短评内容': '房间超大，卫生好，早餐不错，交通不算便利，不过还是值得推介。', '短评打分': 5}
{'短评内容': '装修比较新，卫生也还好。去机场就一个起步费。\n但是感觉服务很一般，服务生送东西给我的时候还在讲电话，前台效率也比较低。', '短评打分': 5}
{'短评内容': '酒店环境、卫生、服务都挺好，交通也变利离机场也近', '短评打分': 5}
{'短评内容': '在重庆转机，奥蓝酒店是个好的选择。因为要从九寨沟到重庆转机回家，奥蓝酒店离机场近，就订了这家。因飞机误点，半夜一点多才到酒店。没有高级间了，就升级到豪华间。房间很不错，宽敞，干净，设施维护很好。我觉得要想更舒服些，不如订豪华间。就是酒店离机场近，出租车不愿打表。从机场到酒店，司机要价50元，太离谱了。最后我们给了20元。从酒店到机场，酒店门卫帮拦车，告诉我们要15元，我们知道打表只要10元，懒得理', '短评打分': 5}
{'短评内容': '酒店离机场很近，挂4星酒店，感觉一般！！！', '短评打分': 5}
{'短评内容': '  光线昏暗，房间设施沉旧，不如快捷酒店', '短评打分': 5}
{'短评内容': '奥兰酒店', '短评打分': 5}
{'短评内容': 'every good!', '短评打分': 5}
{'短评内容': '房间内部设施还不错，就是早餐太差,还不如经济型酒店的早餐，品种太单一', '短评打分': 5}
{'短评内容': '很不错，下次还住，房间很宽敞，服务态度非常不错。', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '奥蓝酒店的房间不错，宽敞明亮，设备运转正常，服务员的态度也是值得表扬，只是免费早餐实在够不上4星标准，也许比不上快接酒店。', '短评打分': 3}
{'短评内容': ':住了，感觉不错！', '短评打分': 5}
{'短评内容': '+ 奥蓝的房间很大、很干净,服务态度不错,够四星标准。', '短评打分': 5}
{'短评内容': '酒店的早餐不错，深圳航空的空姐和飞行员也住在该酒店，在该酒店用早餐。', '短评打分': 3}
{'短评内容': '酒店位置很好！旁边就有超市，临时想买点东西非常方便。', '短评打分': 5}
{'短评内容': ' 很好', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '可以住', '短评打分': 5}
{'短评内容': '预算所限，算不错的酒店了。', '短评打分': 5}
{'短评内容': '说不出来的感觉……还行吧', '短评打分': 1}
{'短评内容': '在机场的 不错的酒店，赶时间可以考虑的', '短评打分': 5}
{'短评内容': '酒店的服务、设施都不错，尤其是性价比高。但是在酒店门口打车不是太方便，建议门口的保安能主动帮客人拦车。', '短评打分': 5}
{'短评内容': '是距机场最近的一家星级酒店。各方面都还不错，就是早餐不如以前好了。', '短评打分': 5}
{'短评内容': '很不错的酒店来着，性价比很好', '短评打分': 5}
{'短评内容': '离机场很近，内部设施还不错。', '短评打分': 5}
{'短评内容': '整体感觉不错，部分只是设施太龌龊哦--沙发、桌子。隔音也太差了点。', '短评打分': 5}
{'短评内容': '设施服务都是不错的..但是确实不敢确定浴缸的卫生程度,,毕竟是公用的...', '短评打分': 3}
{'短评内容': '酒店整体很不错..就是位置比较偏但是离机场很近不用担心会错过飞机..', '短评打分': 5}
{'短评内容': '奥蓝我5月19日是第二次入住，还不错，离机场近', '短评打分': 5}
{'短评内容': '房间的被子害我一晚上基本没睡着，一身痒', '短评打分': 1}
{'短评内容': '房间卫生不错，干净，但房间不太隔音，能听到隔壁的说话和电视声。\r\n去机场很方便，周围吃饭也很方便', '短评打分': 5}
{'短评内容': '离机场近，好', '短评打分': 5}
{'短评内容': '设施还说得过去，但窗口和酒店内部有差异，建筑原本设计不是作为酒店专用，所以房间布局不太合理，电视太小，不太符合4星级标准和收费。', '短评打分': 1}
{'短评内容': '最不满意的就是没有宽带（我住的房间没有，别的不知道）\r\n其他的还行，服务质量一般，下车后门口是站了好多人，但是没人主动上来帮拿行李...\r\n', '短评打分': 1}
{'短评内容': '离机场近，四星级的也差不多了，就是有的房间没有网线比较烦~~~', '短评打分': 5}
{'短评内容': '设施比较好，服务态度不错。', '短评打分': 5}
{'短评内容': '应该在房间内，放置一些诸如方便面等食品。', '短评打分': 5}
{'短评内容': '不错的酒店，早餐味道不错！', '短评打分': 5}
{'短评内容': '卫生不错很干净，房间内的设施完善，地理位置交通方便，服务热情周到，性价比不错的酒店', '短评打分': 3}
{'短评内容': '房间的卫生和设施方面都很不错,住着很舒适,而且出行也很方便,我很满意.', '短评打分': 3}
{'短评内容': '它的服务、内部设施都不错，就是位置比较偏，没有公交站点，经过的出租车也比较少，出行不是太方便', '短评打分': 3}
{'短评内容': '卫生、装修、设备都不错，就是沙发摆在液晶电视下不实用。', '短评打分': 5}
{'短评内容': '条件挺好的，服务态度也好，性价比较高的一家酒店', '短评打分': 5}
{'短评内容': '酒店里面环境还是不错的,二百多块钱也不是很贵,条件基本上都还是可以接受的,而且去机场也很方便.', '短评打分': 3}
{'短评内容': '酒店的地理位置挺方便的，服务环境应该设施都还行，整体来所都挺不错的。', '短评打分': 3}
{'短评内容': '酒店里面的各方面条件都还是不错的,环境也比较理想,蛮好的,可以推荐.', '短评打分': 3}
{'短评内容': '这边出行还可以，交通还是比较方便的，房间的卫生和设施还不错，服务也可以，整体感觉性价比还是比较高的 值得推荐', '短评打分': 3}
{'短评内容': '整体感觉还是不错的,性价比方面还是挺不错的,值得推荐.', '短评打分': 3}
{'短评内容': '地理位置还是挺不错的,房间也还行设施和卫生都挺不错的,性价比还是比较好的,感觉还是挺不错的.', '短评打分': 3}
{'短评内容': '卫生和服务方面都很不错,打扫的很干净,位置也很好,位于机场附近,出行很方便,就是楼层布局的不太好,拐弯的地方太多了.', '短评打分': 3}
{'短评内容': '感觉还不错，下次还会选择这家酒店。', '短评打分': 5}
{'短评内容': '酒店就是离机场近，当时因为飞机延误才临时住的这里，价格不便宜，设施条件又很一般。', '短评打分': 3}
{'短评内容': '酒店位置很好,不过从机场过来打车不太方便,可能是因为离的太近了,酒店的条件还是很不错的,而且房间里面也很干净,就是前台办理入住和离店手续比较慢,还有第一天住的时候没有配拖鞋,不知是什么原因,总体来说价格还是比较合适的.', '短评打分': 3}
{'短评内容': '房间的面积很小，卫生和设施一般，位置还可以，出行是很方便的，服务也不错，我觉得这家酒店性价比一般', '短评打分': 3}
{'短评内容': '房间蛮干净卫生的,而且人员服务也比较热情,价格也不贵,挺满意的.', '短评打分': 3}
{'短评内容': '这家酒店离机场近，交通算是比较方便，服务员态度也挺好的，总体来说还是不错的，但唯一美中不足的就是房间太小了，感觉没有那么舒适。但是性价比还是比较不错的。', '短评打分': 5}
{'短评内容': '酒店条件很不错，服务态度也挺好的，价格又合适，位置离机场近，我再去肯定还住这。', '短评打分': 3}
{'短评内容': '酒店没有明显的标帜指路，所以不好找，不过他们的设施和服务都还是不错的，离机场比较近，虽然他们有接机服务，但是却没有送机服务，我觉得他们既然是按四星级标准建造的，这点应该能做到才对，其他都还不错。', '短评打分': 3}
{'短评内容': '整体来讲还是一家很不错的酒店,位置很好,离机场很近,出行都很方便,房间的卫生和设施也都很不错,住着很舒适.', '短评打分': 3}
{'短评内容': '房间卫生和设施上都很不错,住着很舒适,而且价位也很符合,但就是酒店的位置不是太好,其它的还可以.', '短评打分': 3}
{'短评内容': '房间的卫生和设施都很好,住着很舒适,服务人员也很热情,但就是酒店的位置稍微有点偏,其它的都很好.', '短评打分': 3}
{'短评内容': '位置靠近机场,酒店的硬件设施和服务员的服务都很好，环境也挺干净的，性价比比较好.\n', '短评打分': 3}
{'短评内容': '酒店隔音效果很差，其他还可以。', '短评打分': 5}
{'短评内容': '比较新的酒店,舒适度还可以,服务员很少.里面的设施很好和它的价格也是匹配,地理位置也不错,挺好的酒店.', '短评打分': 3}
{'短评内容': '服务很好，价格合理，周边出行也很方便，感觉非常舒适', '短评打分': 3}
{'短评内容': '最大的优点是距离机场很近，前台漂亮妹妹的可爱笑容也是推荐的原因之一哦。', '短评打分': 5}
{'短评内容': '还比较舒适，价格也还合理，附近出行交通也方便', '短评打分': 3}
{'短评内容': '酒店早餐比较单挑品种很少,我是来这边办事的所以位置很好,其它性价比也不错总体感觉很好.', '短评打分': 3}
{'短评内容': '离机场很近，硬件设施也很好，附近就有美食街，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': '差点忘记说啦，早饭相当一般，服务员都阴着脸，好像欠他钱一样，有一次9垫去吃早饭（他们的早饭是到十点的），竟然全部是空的，解释说客人多吃完啦！真搞不明白住多少客人他们难道不知道呀！', '短评打分': 3}
{'短评内容': '我是第一次到重庆，酒店位置太偏，司机素质也不高，去机场嫌近，竟然说不知道路，聚载！！！下次去重庆不住那边啦！', '短评打分': 1}
{'短评内容': '酒店位置很好,房间舒适干净,设施齐全,而且出了酒店门口旁边的街上就可以吃到美味,有点类似北京的簋街呢~\r\n离市中心有些远,不过交通还是便利的,公车和出租车都是很方便乘坐的.有机会去成都还住那里.\r\n要是早餐能更早些提供就好了,7点稍微有点晚,呵呵~', '短评打分': 5}
{'短评内容': '我订的时候就是想找个离机场稍微近点的，这个酒店的位置就还不错，硬件条件也还可以，价格能接受，挺不错的。', '短评打分': 3}
{'短评内容': '位置非常好.离机场很近,打车只需要6块钱就到了,而且酒店的服务很好,可以提供免费早餐,设施方面也比较齐全,下次如果再来的话我还会选择这家酒店.', '短评打分': 3}
{'短评内容': '离机场特近，房间不错！', '短评打分': 5}
{'短评内容': '很不错。除了离市中心远点，没什么缺点。', '短评打分': 5}
{'短评内容': '酒店的早餐提供的比较晚，服务卫生以及设施都不错的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '酒店的早餐提供的比较晚，服务卫生以及设施都不错的，酒店的位置不错的，出行很方便的，性价比不错的酒店。', '短评打分': 3}
{'短评内容': '酒店的性价比还是蛮不错的,值得推荐', '短评打分': 3}
{'短评内容': '酒店靠近机场挺近的,赶飞机还是蛮方便的.住宿条件也还可以了,房间打扫的蛮干净的,价格方面如果再实惠点就更合适了.', '短评打分': 3}
{'短评内容': '酒店总体来说还可以,没什么不满意的,价格也能接受.', '短评打分': 3}
{'短评内容': '酒店离机场比较近，打车10块钱就能到机场，环境还不错，价格也还可以，值得推荐', '短评打分': 5}
{'短评内容': '对了，奥蓝送礼活动中的水果也没看见！', '短评打分': 3}
{'短评内容': '很好的酒店，基本没有可以挑剔的地方。下次去重庆还是会选择在次住宿的。', '短评打分': 5}
{'短评内容': '位置很好,酒店的环境也不错,没什么不满意的,整体住着比较舒适,价格也很合适.', '短评打分': 5}
{'短评内容': '整体感觉还可以的,服务卫生方面还是不错的,周边交通也蛮方便的,价格方面稍微再便宜点就更好了.', '短评打分': 5}
{'短评内容': '酒店比较新,地理位置离机场比较近适合赶飞机朋友选择,性价比比较好,卫生干净,住着也很舒适.', '短评打分': 5}
{'短评内容': '这家酒店整体感觉还可以了，大堂的面积不是很，但是房间里的面积还可以了，设施方面也比较齐全的，服务卫生也很不错的，价格方面也比较合适的，感觉还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店服务卫生以及设施都很好的，酒店的位置还可以的，出行不是很方便的，价格还可以的，', '短评打分': 5}
{'短评内容': '酒店挺好的，环境不错，位置也方便，而且价格适中，值得推荐', '短评打分': 5}
{'短评内容': '酒店的整体不错的，服务卫生以及设施都很好的，位置不错的，离机场很近的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店交通倒是很方便,就是周围景点少,房间里面的环境不错,服务也很好,就是早餐品种少.', '短评打分': 5}
{'短评内容': '这家酒店第一次住，在重庆来说挺好的，服务态度也说的过去，环境也比较不错', '短评打分': 5}
{'短评内容': '酒店的环境不错的，设施服务都很好的，酒店的位置以及交通很好的，性价比不错的酒店', '短评打分': 5}
{'短评内容': '酒店环境还可以,不过位置有点偏,很难找,其他方面都比较一般的', '短评打分': 1}
{'短评内容': '酒店还不错,环境和服务都挺好的,而且地理位置也比较理想,性价比蛮高的.', '短评打分': 5}
{'短评内容': '感觉酒店很一般了，没什么特色。', '短评打分': 5}
{'短评内容': '房间挺干净的，服务也不错，而且位置也特别方便，值得推荐', '短评打分': 5}
{'短评内容': '整体感觉性价比还是蛮不错的，服务也很不错的，卫生弄的也挺干净的，住起来挺舒适的。值得推荐', '短评打分': 5}
{'短评内容': '酒店的环境还不错，服务也还也可以，地理位置也挺好的，交通很方便，', '短评打分': 5}
{'短评内容': '酒店的餐饮方面不太好,品种太少了,而且供应时间太短了,还有前台办理业务的时候太慢,其他方面都还是可以的,价格也蛮合理的.', '短评打分': 5}
{'短评内容': '酒店的服务卫生方面还是不错的，设施条件也比较齐全，周边交通也蛮方便的，价格也比较合适的。', '短评打分': 5}
{'短评内容': '酒店的位置距离机场很近，离市区很远，如果是要入住机场附近的酒店还是可以考虑入住的，服务卫生都很不错，价格算是合理适中的，配置硬件设施齐全达标，值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店已经老化了，卫生服务都不好，位置也不太方便', '短评打分': 1}
{'短评内容': '酒店的早餐需要改进,服务卫生以及酒店的设施都非常好的,酒店的位置不错的,价格有点高了,', '短评打分': 5}
{'短评内容': '酒店的离机场很近的,出行很方便的,务卫生以及房间的内部设施都可以的,酒店的价格不错的,酒店整体来讲,不错的', '短评打分': 5}
{'短评内容': '酒店的服务很好，设施也非常好，就是隔音稍差了一点', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行交通也很方便硬件设施舒适度也很好，位置地段都还不错，价格合理，不是特别好的酒店，但是各个方面都比较达标，会考虑入住的酒店。', '短评打分': 5}
{'短评内容': '酒店各方面都挺好的,价格也很便宜,服务和卫生也都很不错,还是比较满意的', '短评打分': 5}
