{'descr': '房间很大，很不错', 'star': 4}
{'descr': '不错哟，干净、舒适。位置也很棒！电器齐全，隔音也很好。朋友有需要一定推荐！', 'star': 5}
{'descr': '酒店就位于观音桥对面，位置绝佳，我住在35楼，一个观景阳台，能一览观音桥全集，窗户对面就是一个广场，很美，酒店内部设施应有尽有，交通业十分便利，性价比那是绝对的高，以后来重庆，我肯定还住这里', 'star': 5}
{'descr': '第一次入主,不过感觉还不错,地段也很不错,很方便', 'star': 5}
{'descr': '新装修的公寓式酒店。位置也没错，房间也很漂亮、干净，特别喜欢它的床，很舒服，性价比高，下会去重庆出差还会选择。', 'star': 5}
{'descr': '还差我456元的住宿发票呢？已经一个多星期了，请尽快快递到武汉给我。\n酒店位置很好，环境不错，硬件不错，还有WIFI。', 'star': 5}
{'descr': '选这里也算是个意外的惊喜，之前也没住过酒店公寓，上次朋友推荐来这，只想试试，这次是第二次住了，住过A，和C媳妇都挺喜欢，和她逛街压公园也方便下楼就是，还省打车费，呵呵。下次来还住这，服务挺好挺亲切，特此赞一个', 'star': 5}
{'descr': '第二次入住了，观音桥步行街上，交通便利，干净舒适！', 'star': 5}
{'descr': '环境非常棒！！从窗户向外看夜景非常美！！前台的接待员很热情！！有回家的感觉！！下次还会入住！！', 'star': 3}
{'descr': '蛮干净蛮温馨蛮不错的一个酒店，虽然楼层高了点，不过电梯灰常速度~然后老板态度也很好，我们找不到地方老板还来接我们~就是卫生间里干湿分区做的不是很好，那个胶裂了还是怎么，反正洗完澡水就漫了一地~其他都很好~', 'star': 5}
{'descr': '酒店环境不错，离步行街稍微有点距离，总体来说还是不错！', 'star': 3}
{'descr': '空間寬敞,地理位置好,就在观音桥步行街旁,超方便,', 'star': 5}
{'descr': '非常不错的酒店，现实和照片基本无差别，下次还来', 'star': 5}
{'descr': '酒店干净，房间干净整洁，设施齐全。 虽然地处重庆繁华地带，但是晚上睡觉很安静，而且交通方便，夜景美，体现重庆特色，赞！有需要还会再来光顾的。', 'star': 5}
{'descr': '很棒的酒店，非常干净，地理位置又好，阳台视野也好，下次去重庆还会选择这里。', 'star': 5}
{'descr': '非常不错，很干净，很舒服。价格也可以，交通方便。', 'star': 5}
{'descr': '态度很好，房间也比较干净，地理位置不错，打车比较方便，下次有机会再去', 'star': 5}
{'descr': ' 房间很宽敞。床太舒服了。值得入住。', 'star': 3}
{'descr': '赞一个，很不错！！！下楼就是观音桥步行街，餐饮娱乐银行商场很多；轻轨线 公交 出门太方便了。是高级公寓，超大平板电视很爽、无线上网畅通。晚上宵夜回来还看到保安巡逻，安全没问题，因为是高楼层，所以很安静，还有景观视野非常不错，可以看得很远。总之，出差，旅游来这里还是很划算很安逸的......下次还来。', 'star': 5}
{'descr': '非常非常不错。房间很干净，配套设施齐全，没想到还有钢琴！！！交通，购物都相当方便！ 下次还要入住！~~~', 'star': 5}
{'descr': '很好很不错，地理位置超级好，交通很是方便，也很好找，房间很干净，很漂亮，比较安静 晚上看夜景也很棒。服务人员也很好，很周到，热情。下次还会选择这里的。真的，地段好，环境好，服务热情，价格公道，好评呀！！', 'star': 5}
{'descr': '感觉不错，就是卫生间有异味。', 'star': 3}
{'descr': '本次入住非常满意，爱尚公寓酒店的住宿环境非常好，干净整洁，房间装修风格我也很喜欢，时尚温馨，简洁大方。老板人也好，很好相处。酒店的地理位置很好，出门就是观音桥，吃饭购物娱乐，都挺齐全的。交通便利，坐轻轨三号线出行很方便。', 'star': 5}
{'descr': '酒店服务态度很好撒，地理位置很好撒，29楼撒，窗外的夜景很美撒。房间干净整齐，毛巾很香撒。总之一句话，非常好撒。', 'star': 5}
{'descr': '在一个大厦里的29楼，整体来说酒店服务不错，但是大厦门卫太可气。我们赶早班飞机，6点就出大厦的们，两个门卫在沙发上休息，其中一个指着我们的行李箱用方言说个没完，只听懂 行李，一大早怎么怎么的，我说我听不懂他说的方言，他还指着我们行李没完没了地说，随后我没法子跟另一门卫说，我们是住店的，他说知道，没事走吧.....这叫什么事！！一大早的晦气！！', 'star': 1}
{'descr': '晚上因为航班的原因到店已经很晚了，到店后店员还是很热情的帮着提拿行李到房间。房间宽敞干净（最喜欢那张床了实在是太舒服了），和之前在网上看的一样，很舒服（房间里居然还有冰箱洗衣机微波炉！！！）。在阳台上就可以看到全部的观音桥公园的外景，重庆真是不夜城，晚上十一二点人都还很多，一下楼就是步行街和公园，离地铁也近，游玩购物很方便，下次来还来这！ ', 'star': 5}
{'descr': '酒店的位置很好不错，就是卫生间渗水。。。\n感觉一般吧。', 'star': 1}
{'descr': '酒店各方面都很好，住31层，景观不错，设施也不错，交通很便捷，下次还住！', 'star': 3}
{'descr': '到的时候订的房间被别人住掉了… \n最后住了这家的备用房… 房间小了点… 电器卫生设施什么的都还可以~\n地段很好~ 公交车超级方便… 楼下的小苑站… 各种公交车… \n买东西什么的也很方便~ 离观音桥很近~\n附近还有地铁站，去机场也方便~~~~\n下次还会来，不过希望别再运气不好住到备用房了…', 'star': 5}
{'descr': '酒店性价比比较高，下次来肯定还会再住这里', 'star': 5}
{'descr': '干净清爽，装修设施非常不错，交通方便，下次还住。', 'star': 5}
{'descr': '非常不错的公寓式酒店，老板人很热情、负责任。', 'star': 5}
{'descr': '房间不错，就是太高了…逛街出行很方便', 'star': 3}
{'descr': '好位置，好景观，好房间，好老板，推荐入住！', 'star': 3}
{'descr': '老板人很好，房间位置好，逛街吃饭出行都很方便，房间很大哦', 'star': 3}
{'descr': '总体很满意。环境舒适干净，安静，设施齐全。房间宽敞明亮，位于江北观音桥商圈，娱乐和出行都很便捷。价格优惠，服务到位。真的感觉很实惠，下次还会来住！', 'star': 5}
{'descr': '我觉得相对于同价格的酒店，这种酒店式公寓还算是比较可以的，唯一的不足就是因为是商住两用的房子，很可能和居民混住在一起，晚上房间的隔音差点，小狗十一点多还在楼道里蹿，还不错', 'star': 5}
{'descr': '俯瞰嘉陵公园，地理位置很好，第二天的火车，住了一晚，环境很不错，有家的感觉，周围交通很方便，老板人也很好，由于订的房型客满，免费升级了客房。', 'star': 5}
{'descr': '很不错，房间里还有植物，窗子正对着步行街可以看夜景，很方便。', 'star': 5}
{'descr': '和图片一样的~用心服务~地位也好，出门就是步行街，特别方便超值啦 下次还住', 'star': 5}
{'descr': '很值，在步行街上，环境很好，也很干净，并且也比较新。地段方便，出行便利。刚好遇上酒店升级体验房，据老板说床上用品在逐步升级更新为五星级的用品，很是舒适！ \n', 'star': 5}
