{'短评内容': '很好！！！！！', '短评打分': 5}
{'短评内容': '房间很干净,布置也不错,服务很好.交通也方便', '短评打分': 3}
{'短评内容': '服务很好,客房布置非常人性化,还有小沙发很舒服', '短评打分': 5}
{'短评内容': '酒店的客房时尚理念不错，但是所处位置不理想，大堂及门前太小气，很拥挤，且周围有KTV酒吧，晚上周围环境人员复杂，价格偏高。', '短评打分': 1}
{'短评内容': '酒店房间各方面都不错，感觉很好。晚上还送了水果，虽然只是桃子，苹果之内的，但能感觉到酒店的服务态度很好。', '短评打分': 5}
{'短评内容': '位置很方便，已经是第二次入住这里了。以后有机会还会住这里。', '短评打分': 5}
{'短评内容': '中档经济型酒店，超过低档经济型酒店；25寸液晶、可惜只有国内频道、周围是商业步行街，小客厅沙发对着电视、布艺墙纸，光线充足', '短评打分': 5}
{'短评内容': '非常好的酒店!!!!', '短评打分': 3}
{'短评内容': '非常棒的酒店！性价非常高！', '短评打分': 5}
{'短评内容': '环境还行就是价格有些贵了，卫生设施还可以，位置也很好找，服务跟他的价格比的话挺一般。', '短评打分': 5}
{'短评内容': '酒店房间很舒服', '短评打分': 5}
{'短评内容': 'Not bad hotel.', '短评打分': 5}
{'短评内容': '一、\t优点\r\n1、\t地理位置优越，非常繁华。\r\n2、\t大堂及房间装修很时尚，是我喜欢的风格。\r\n3、\t有免费赠矿泉水及咖啡，晚上8点还送来了水果盘（两个梨）。\r\n4、\t服务指南做的很不错，简单扼要，里面还夹了郴州地图\r\n5、\t衣柜的设计很特别，里面的衣架超多，而且还有大鞋拔、吹风、扫灰刷、一次性的拖鞋质量超好！\r\n6、\t卫生间比较超，很舒适，还有健康秤，很贴心。\r\n7、\t淋浴水量很量，也很热。\r\n', '短评打分': 1}
{'短评内容': '很不错的风格，值得推荐。', '短评打分': 5}
{'短评内容': '服务不错，配套设施可以加强', '短评打分': 5}
{'短评内容': '在郴州，这是一个不错的酒店。', '短评打分': 5}
{'短评内容': '这家酒店的装修格调有些特色，感觉还比较休闲，前卫吧！\r\n至于服务态度，价格各方面真的很一般。。。。', '短评打分': 5}
{'短评内容': '房间很舒适，出门很近就是公交站，所以出行很方便的。卫生也就一般了', '短评打分': 5}
{'短评内容': '这次入住感觉没有之前那么好。没有以前那么干净~而且餐厅也关了', '短评打分': 5}
{'短评内容': '房间很新，很干净，装修的很有特点。客房不算大很别致~~希望大家有机会的话去试试。', '短评打分': 5}
{'短评内容': '非常不错的酒店，干净舒适、交通方面，性价比高，值得推荐。', '短评打分': 5}
{'短评内容': 'Good decoration in the room', '短评打分': 5}
{'短评内容': '价格稍贵了点，卫生间设施还可以。房间隔音效果不太理想，半夜隔壁活动相当激烈。', '短评打分': 5}
