{'短评内容': '不错的酒店，出入方便，好评', '短评打分': 5}
{'短评内容': '酒店很新！性价比不错！出门吃饭很方便！下次还是这里！', '短评打分': 5}
{'短评内容': '還行吧！房間裝修挺高檔的！配置液晶電視和電腦，', '短评打分': 5}
{'短评内容': '这个酒店的地理位置不错，服务员的态度也可以，不过就是价格有点点贵！', '短评打分': 5}
{'短评内容': '房间不错,很新,位置也很好,在动物园出口对面,有电脑很方便.只是价格是有点贵.', '短评打分': 5}
{'短评内容': '比较普通的酒店,无新意,房间设施不值得438这个价钱,如不是返券高应该不会入住,现在好象返券更少了,唉...', '短评打分': 5}
{'短评内容': '不错的酒店。。。。。。。。。。。。。。。。。。。。。。。。。。。。。                                                                                                                    ', '短评打分': 5}
{'短评内容': '环境很好，很安静，仅是早餐品种太少，尤其是青菜类', '短评打分': 5}
{'短评内容': '一直去住的全新的时尚酒店，很温馨的，很舒服，这酒店真的很好', '短评打分': 5}
{'短评内容': '这是家非常新的酒店，房间很舒服，特别是早餐，特别丰富', '短评打分': 5}
{'短评内容': '房间太小 装潢一般 大堂也很小气 房间里的功夫茶具对于不喝茶的人而言毫无意义 优点是该酒店服务员很专业 早餐比较简单 各方面而言 不值418这个价钱 广州地区这个价位可选择的酒店很多', '短评打分': 1}
{'短评内容': '房间很大，物品啥的都很新，交通也可以，早餐挺丰富，还有麻辣烫呢，唯一的遗憾是没有免费赠矿泉水，需要自己烧开水。希望酒店能考虑这一点。', '短评打分': 5}
{'短评内容': '有泡茶的工具，很好玩，楼下的迎宾小姐好热情啊，哈。有泡茶的工具，很好玩，楼下的迎宾小姐好热情啊，哈。有泡茶的工具，很好玩，楼下的迎宾小姐好热情啊，哈。有泡茶的工具，很好玩，楼下的迎宾小姐好热情啊，哈。', '短评打分': 5}
{'短评内容': '总体来说还行，早餐没去考察。。。。。。。                                                                \n                           ', '短评打分': 5}
{'短评内容': '还不错的酒店，环境也还可以，就是房价过高了，希望能有所调整，而且这么高的房价竟然不送水，洗手间里有直饮水龙头，但相信不会有谁会去喝，成了摆设', '短评打分': 5}
{'短评内容': '前台服务员的年纪都很小, 但是态度很好, 酒店的教育很完善. 房间也不错. 一般出差很足够了. 定这里的最主要的原因是因为离地铁近, 广州出行不坐地铁很难控制时间了', '短评打分': 5}
{'短评内容': '离动物圆地铁大概5分钟路程, 很方便. 酒店本身也有4星的标准, 出差可以使用. 前台的服务员都很亲切, 不会有不耐烦的情况.', '短评打分': 5}
{'短评内容': '酒店位置很好，交通方便。酒店设施很新，也很舒适。枕头是羽绒的，床垫软硬也适中。值得推荐。\n值得推荐  \n值得推荐\n', '短评打分': 5}
{'短评内容': '感觉不是很好，首先是难找，酒店的招牌还不如其餐厅的呢，另外，吃饭较贵，还是对面街上的好，还有，电梯又少又慢，真不象是给酒店配的，每次都要等很长时间，总体感觉，这酒店就是民居改的。', '短评打分': 1}
{'短评内容': '很新的一家酒店，给朋友定的，住得很满意，就是早餐简单了点，交通十分方便，不错不错！很新的一家酒店，给朋友定的，住得很满意，就是早餐简单了点，交通十分方便，不错不错！', '短评打分': 5}
{'短评内容': '非常好的酒店,意想不到的好.雖然房間有點小,但是很舒適,值這個價格,下次去還住這個,特別是還有一個茶座的設計,很有廣州特點,離地鐵站較近,出行挺方便', '短评打分': 5}
{'短评内容': '位置方便  交通便利  性價比高\n位置方便  交通便利  性價比高\n位置方便  交通便利  性價比高\n位置方便  交通便利  性價比高\n位置方便  交通便利  性價比高', '短评打分': 5}
{'短评内容': '酒店房间带电脑，上网速度很快，再有就是卫生间的淋浴还不错。\n缺点就是只有两部电梯，等梯时间较长。               ', '短评打分': 5}
{'短评内容': '酒店客房安静， 环境优雅，交通便利，唯一美中不足的是电梯有点慢， 但是就性价比来说是一家不错的酒店。', '短评打分': 5}
{'短评内容': '硬件尚可，大堂的服务员有点G眼看人低。我与家人办完事情，带着几个穷亲戚到酒店，到房间里坐坐，在大堂，服务员就跟上来，问我们去哪里！\n还有，8月14日下午，我与家人正在1003房间休息，居然有人用门牌开门而入，说修改什么灯泡，说得到房务的信息是房间无人，真是可恶啊！', '短评打分': 1}
{'短评内容': '房间环境不错，但是热水不够热，早餐不够丰富。。', '短评打分': 5}
{'短评内容': '不错的酒店，房间大概是新装修的关系会有一点味道，换了个房间还是同样情况', '短评打分': 5}
{'短评内容': '该酒店性价比还行，客房有个功夫茶座。谈点业务也还方便。缺点是酒店名头大小一般出租车还找不到，要讲明地址才行。建议酒店做个配目招牌。', '短评打分': 5}
{'短评内容': '位置还好。111111111111111111111111', '短评打分': 5}
{'短评内容': '酒店装修较新，地理位置还算不错，周边吃饭的地方也不少。', '短评打分': 5}
{'短评内容': '酒店地理位置还不错，离广州动物园南门很近，想带孩子去动物园的可以考虑住这。\n房间装修较新，还可以泡功夫茶。', '短评打分': 5}
{'短评内容': '房间异味太大，感觉头晕。住一晚赶快退房换酒店。', '短评打分': 1}
{'短评内容': '酒店房间竟然有茶道的工具，给了自己一个小惊喜。早餐一般，还有就是酒店前台太小气了。', '短评打分': 5}
{'短评内容': '位置比较尴尬,设施非常一般.没有大堂吧供商务用.优点是服务人员热情.', '短评打分': 1}
{'短评内容': '房间面积有点小，由于开张不久，所以房间略有家具的味道，早餐实在不敢恭维', '短评打分': 1}
{'短评内容': '酒店位置比较尴尬,早餐品种少,质量很难让人接受,和其他同等级酒店相比,性价比低.', '短评打分': 1}
{'短评内容': '酒店很新，可能就是这个原因，使得早餐的配置比较低，与4星的标准差的比较大。还请尽快改进，以便下次入住。', '短评打分': 5}
{'短评内容': '给领导定的，感觉地点还不错，交通比较方便。吃饭等都挺多。房间很不错，可是就是早餐太简陋了，根本与四星的标准差比较大。还请改进。', '短评打分': 5}
{'短评内容': '酒店位置好，办事方便；酒店很新，床很舒服，价位还可以。', '短评打分': 5}
{'短评内容': '酒店点地点很好，很方便，就是空调不够凉，开了很久才凉快。退房速度有点慢。服务很好', '短评打分': 5}
{'短评内容': '，不如预期', '短评打分': 3}
{'短评内容': '干净,舒适.挺好', '短评打分': 3}
{'短评内容': '服务不错，房间略小，交通方便，价格再低点就好了，早餐品种略少', '短评打分': 5}
{'短评内容': '地理位置很便利 过天桥斜对面就是地铁站 房间也蛮舒适的 设施还比较新 特别要提到浴室 水压够大也稳定 冲凉很给力~ 综合性价比还是比较高的，可以参考！', '短评打分': 5}
{'短评内容': '以這個房价及水準,房間略細,坐厠边有糞便,厠所內有臭味,希望能改善,整体上还可以.', '短评打分': 5}
{'短评内容': '位置比较好，房间里面还可以泡功夫茶，比较有特色。每个房间都有电脑，还有摄像头和音响，喜欢网上冲浪的朋友不要错过了。呵呵。不过房间面积偏小。总体感觉不错。', '短评打分': 5}
{'短评内容': '环境舒适，交通方便，设施齐全，服务良好，值得推荐', '短评打分': 5}
{'短评内容': '酒店比较干净，服务态度也不错。下次会再次入住', '短评打分': 5}
{'短评内容': '我住的是478价位的！采光好，总体感觉还行，就是面盆的排水口坏了，不过服务生帮忙换了房间！', '短评打分': 3}
{'短评内容': '酒店装修较新，还有个泡功夫茶的窗台，赞一个：）', '短评打分': 5}
{'短评内容': '酒店非常干淨, 服務員態度也很好, 只是泊車地方有點遠不太方便, 希望可以直接泊在酒店旁停車場', '短评打分': 5}
{'短评内容': '位置不错，地铁站就在马路对面。 \n房间也比较干净。\n下次还会住这间酒店。', '短评打分': 5}
{'短评内容': '交通方便,就在五号地铁口动物园站边上.房间较舒适,是不错的酒店', '短评打分': 5}
{'短评内容': '不好意思，刚才不小心点错了，应该是推荐。性价比非常高的酒店，下次还会入住。', '短评打分': 5}
{'短评内容': '新开的酒店，房间内非常干净，舒适，前台服务也不错，只是早餐太简单了，稍去得晚点，就没什么东西吃了。', '短评打分': 1}
{'短评内容': '交易会期间入住, 算性价比不错的酒店了. 服务还好, 早餐品种少.', '短评打分': 5}
{'短评内容': '房间环境还不错，地段也可以，就是早餐太次了', '短评打分': 5}
{'短评内容': '几好', '短评打分': 3}
{'短评内容': '很不错，酒店是新开张的，里面的房间很有特色，可以在窗台上喝功夫茶', '短评打分': 5}
{'短评内容': '在广州订过多次酒店，属这次最成功，非常不错的酒店，环境好，房间大，主要是很敞亮。服务态度也不错，下次肯定还会选择这里！值得推荐！', '短评打分': 5}
{'短评内容': '酒店房间很干净，也很舒适、就是大堂门面小了一点，另早餐很简单！', '短评打分': 5}
{'短评内容': ' 很新的酒店！位置也不错！支持！', '短评打分': 3}
{'短评内容': '性价比很高，酒店环境很新。感觉不错。。。。。。。', '短评打分': 5}
{'短评内容': '房间的装修卫生都还可以挺好的，价格也一般，位置还是挺不错的。服务态度也不错。', '短评打分': 3}
{'短评内容': '卫生还可以，网速快，厕所热水够热，总体来说比较好，但电梯有点慢，比较难等，！', '短评打分': 5}
{'短评内容': '酒店很新，硬件不错，也许是新的缘故管理不行，特别是热水供应不好，要开水20分钟才能有够洗澡温度的热水，真浪费哦！', '短评打分': 1}
{'短评内容': '新酒店，價格有點貴，因為新，廣州比較少見新的酒店，喜歡乾淨的可選', '短评打分': 5}
{'短评内容': '房间设备不错', '短评打分': 3}
{'短评内容': '酒店不错..设施非常新..服务态度很好.房间的飘窗坐着真的舒服..房间电脑上网很好..下次一定还会选择这间的.', '短评打分': 3}
{'短评内容': '酒店也是新开的里面装修还是很不错，服务态度挺好的，不过价格还是稍微高了些，床感觉可能硬了些，房间也不是太大，电梯也是挺慢的，酒店的位置还行。', '短评打分': 5}
{'短评内容': '房间很新，整体过得去，细节有待提高', '短评打分': 3}
{'短评内容': '酒店性价比不高 电梯熳 早餐太简易了', '短评打分': 3}
{'短评内容': '比较i一般的酒店，房间设施挺齐全的，卫生很好，比较干净，其他方面都很普通', '短评打分': 3}
{'短评内容': '酒店很新  价格合适  服务水平再提高点就更好了', '短评打分': 3}
