{'短评内容': '哈哈哈哈哈哈，取消了没么去住', '短评打分': 5}
{'短评内容': '环境一般，标准的如家，环境挺静谧的。洗澡水水流小。位置在小巷里。不过也不难找 ', '短评打分': 1}
{'短评内容': '大众化的快捷酒店，性价比还是可以的；值得推荐。', '短评打分': 5}
{'短评内容': '5月7日晚上住的，一开始订的是一楼内窗的大床房，太小了。后来加了60元，总价303，换到二楼的带电脑的双床房，感觉就好了。真是一分钱一分货。', '短评打分': 5}
{'短评内容': '出行方便，快捷，房间不大，总体还是很不错。', '短评打分': 5}
{'短评内容': '就在南宋御街门口，地理位置挺方便。离灶丰年间很近，这个赞。卫生方面不错，就是环境稍稍有点吵闹，也许是我被派到的房间离街最近的原因吧。其他都还不错', '短评打分': 5}
{'短评内容': '环境不错，房间也很干净，离西湖和火车站也很近，对面就是南宋御街，虽然后来宝宝的衣服丢在酒店没找着，但服务还很不错，给个好评。\n', '短评打分': 5}
{'短评内容': '房间小而精致，挺干净的，交通方便！张靖', '短评打分': 3}
{'短评内容': '非常好的距离西湖近', '短评打分': 3}
{'短评内容': '很干净，服务什么的一般，地理位置相当的好，离西湖太近了，价格不便宜，但也算物有所值。说一个缺点，特惠大床房床倒是蛮大的，但房间有点小，还有点压抑！', '短评打分': 5}
{'短评内容': '内容', '短评打分': 3}
{'短评内容': '离河纺街近', '短评打分': 3}
{'短评内容': '环境卫生还可以，离西湖景区近！', '短评打分': 3}
{'短评内容': '地方比较安静，就是房间太小,周边也有不少酒店', '短评打分': 5}
{'短评内容': '离西湖近，这个最重要。游赏西湖的朋友留住这里还是很适合滴！', '短评打分': 5}
{'短评内容': '很好的，离西湖风景区很近呢！隔音是不太好，但是不影响休息，南宋御街也算个风景区呢！', '短评打分': 5}
{'短评内容': '位置很好，离着火车站比较近，购物也方便，交通也方便，不错。', '短评打分': 5}
{'短评内容': '宾馆环境不错 出门就是南宋御街 去清河坊很方便 后门处正在进行地铁施工 走西湖大道不太方便 不过房间很安静  不错 ', '短评打分': 3}
{'短评内容': '还算干净 其中有一间实在太小了，就是416，大家不要定这个房间，其他都挺好。', '短评打分': 5}
{'短评内容': '住在还行', '短评打分': 3}
{'短评内容': '住了一天，就换酒店了，房间太小，笔记本都放不开，卫生间的马桶太脏了，还有毛发，地上还有瓜子皮。电热壶还是塑料的，很不卫生。', '短评打分': 1}
{'短评内容': '交通还比较方便  去火车站也很近  主要本人比较喜欢去吴山广场  这家店离吴山广场很近   走过去也就十来分钟  一路过去也可以逛到很多有趣的小店  只是这家店的地理位置稍微难找了点   其他都还不错的说', '短评打分': 5}
{'短评内容': '离火车站比较近，房间比较干净，也不贵~都还可以咯', '短评打分': 5}
{'短评内容': '这家酒店离西湖很近，房间也干净，很好！', '短评打分': 3}
{'短评内容': '还不错\u3000房间不大', '短评打分': 3}
{'短评内容': '各方面都不错，尤其地段特满意,去西湖很近的', '短评打分': 5}
{'短评内容': ' 卫生和硬件都还可以，就是房间面积比较小。', '短评打分': 3}
{'短评内容': '就是晚上睡一晚，也谈不上啥好的！就是睡觉的地方！', '短评打分': 5}
{'短评内容': '房间小了点，其他都挺好的。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间很小,卫生间的水挡不住能流到房间里来,隔音不好,电楼上下,在房间里都能感觉的到', '短评打分': 1}
{'短评内容': '环境不错，就是房间小点，被的颜色很好看，推荐一下', '短评打分': 5}
{'短评内容': '＋房间还算舒服，不错…', '短评打分': 3}
{'短评内容': '挺好的，离火车站较近，干净，安静，服务也没什么可挑剔的。下次还会去。', '短评打分': 5}
{'短评内容': '房间挺小，服务员的态度还不错，唯一的问题就是隔音效果真的很差！！走道的说话声可以听得一清二楚，而且住的房间隔壁是酒店的洗衣房，有服务员晚上10点多还在洗衣服，隔音本来就差，所以很吵！', '短评打分': 1}
{'短评内容': '还不错，蛮干净的，里火车站也蛮近。杭州南宋御姐原来也在这里，但是对面还是有很不错的汉庭和锦江之星，相对较还是其他好', '短评打分': 5}
{'短评内容': '还不错，蛮干净的，里火车站也蛮近。杭州这个地段还是蛮不错的，物有所值的', '短评打分': 5}
{'短评内容': '给人很温暖的感觉，很干净。地方不太好找，交通还不错', '短评打分': 5}
{'短评内容': '房间比较小，位置一般吧，去西湖还要走点路的', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '位置还是很方便的，离火车站步行20分钟，到四季青两站路，在马路对面就可以坐到，到吴山广场步行20分钟也可以到了。唯一一点不太方便的地方就是如果很累的话想在非常近的地方吃点东西选择很少，只有一家面馆。', '短评打分': 5}
{'短评内容': '房间舒适度还可以，就是有点小,二楼窗户没安全窗，安全感稍差', '短评打分': 1}
{'短评内容': '就在南宋御街里面，位置很不错~就是停车的地方很小，底楼的窗外老有人走来走去，所以不能拉开窗帘透气', '短评打分': 5}
{'短评内容': '地段还是不错的，就是旁边的施工严重影响睡眠质量啊', '短评打分': 5}
{'短评内容': '卫生还不错，就是房间太小了。', '短评打分': 5}
{'短评内容': '条件挺好的的，就是旁边在建设，比较乱，建好以后就好了。位置很好，很方便。', '短评打分': 5}
{'短评内容': '住的一楼，订的是无窗的大床房，结果还是有窗的，不过窗外总是有人走动，不得不时刻把窗帘拉着。信号不好，电话打不进来，接通了也听不清楚。电视很奇怪的上倾，得坐直了才看得到。', '短评打分': 5}
{'短评内容': '住的是没有窗户的房，第二天就撤了，旁边的格林豪泰好很多', '短评打分': 1}
{'短评内容': '如家快捷酒店（杭州西湖大道店）离西湖有点远哦，要做K7到湖滨路，房间小了点，还有蜘蛛网 ', '短评打分': 3}
{'短评内容': '离西湖有点远哦，要做K7到湖滨路，房间小了点，还有蜘蛛网', '短评打分': 5}
{'短评内容': '酒店位置不错，\r\n是我住的如家里最差的一家，房间是对走廊的窗户，开始住的那家淋浴头，门上的锁都是坏的，房间里太潮，隔音很差', '短评打分': 3}
{'短评内容': '酒店比较干净，位置也不错，离西湖比较近，走路10多分钟能到。', '短评打分': 3}
{'短评内容': '酒店很潮，没有对外的窗户，前台的人说对着走廊的窗户就是带窗户的房间，刚入住的房间淋浴就坏了，又换了一家，在加上廊的窗户，隔音真是差到家了', '短评打分': 1}
{'短评内容': '服务态度很好 卫生很好 感觉很温馨 就是房间面积感觉小了点', '短评打分': 5}
{'短评内容': '差。。。。。不是一般的差~~~~~~~~~~~~~~~~~~~~~~~~~~~~~&#183;', '短评打分': 3}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '差。。。差。。。。不是一般差。。。。。大床房那就像甲板房。还不注明。欺骗人', '短评打分': 1}
{'短评内容': '房间很小，不过什么都有。空调有点声音，床是1.5的，还挺温馨的。', '短评打分': 5}
{'短评内容': '位置很好，价格也算便宜，卫生尤其值得表扬，但是房子小了点', '短评打分': 5}
{'短评内容': '便宜方便，服务态度好。很不错！', '短评打分': 5}
{'短评内容': '有家的感觉', '短评打分': 5}
{'短评内容': '比较满意', '短评打分': 5}
{'短评内容': '房间舒适，位置不错。', '短评打分': 5}
{'短评内容': '感觉很亲切。很舒服~装修的相当棒。屋里设施应有尽有。非常爽~', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '住的商务大床房。有的房间的空调悬挂位置值得商榷，晚上睡觉无论采用何种风向，都会直接吹到，建议入住的时候多注意一下。前台人员服务不错，无论是入住、借电吹风、退房、寄存物品办理的都比较有效率。房间卫生也很好，延续了如家的一贯风格。推荐入住！', '短评打分': 5}
{'短评内容': '交通方便 房屋干净 但通风不好 导致屋内潮气太重 总体不错 以后还会入住', '短评打分': 5}
{'短评内容': '价格适中，其他都还不错，除了房间不怎么隔音。。这向来是如家的弱点。总体还是挺满意的。', '短评打分': 5}
{'短评内容': '不错啦 大众价位 比较温馨 我住的是标准间 感觉还行吧', '短评打分': 3}
{'短评内容': '前台服务态度值得肯定，推荐', '短评打分': 3}
{'短评内容': '出门在外的 不错了 这个店', '短评打分': 5}
{'短评内容': '位置十分好，去哪都方便！价钱比较合理。推荐推荐！', '短评打分': 5}
{'短评内容': '前台的服务一直是如家最大的特点，就是不知道为什么这家店湿气非常大，我住的房间地板“出汗”很多', '短评打分': 5}
{'短评内容': '入住下午在路边绕了半天，后来打电话给西湖大道店服务台，没想到服务台提供的路线由于修地铁，全改为单行，最后撞着胆逆行过去才找到了。房间虽然小了点，但是卫生还算可以，适合工薪层入住。', '短评打分': 5}
{'短评内容': '房间小的可怜~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '由于那里正在建造地铁，所有周围环境比较差，灰尘较多', '短评打分': 1}
{'短评内容': '房间实在是太小了，小的可怜！从外面看实在是很不起眼，难找！隔音效果极差。有一点好处，就是离西湖比较近。', '短评打分': 5}
{'短评内容': '房间比较潮，通风条件不好，一层的房间太潮了，换到二层感觉还可以，卫生还成，服务不错，设施过于简单了些，价格能再低一些会更好。', '短评打分': 5}
{'短评内容': '地理位置不错很方便，房间蛮干净的，服务不错，性价比很好的酒店，下次如果在附近出行还会选择。', '短评打分': 5}
{'短评内容': '服务态度还可以，位置还是可以。价格也还行，当时也是在附近办事所以找的这附近的酒店，酒店里面也都还行和一般的连锁酒店都差不多。', '短评打分': 1}
{'短评内容': '我是去杭州旅游住的这家酒店，离西湖不远，感觉很舒适。', '短评打分': 5}
{'短评内容': '我是比较喜欢如家的，出门在外少的就是家的感觉，酒店的服务，装修，给人以家的温暖。', '短评打分': 5}
{'短评内容': '房间看起来很整洁清爽，之前订的是普遍大床房，结果空间太小，另外没有窗，感觉有点闷，无奈换了商务大床房。总的来说性价比还不错', '短评打分': 5}
{'短评内容': '该酒店的服务还不错，就是房间的隔音效果比较差，第一夜都没睡，第二天换了房间才睡个觉，郁闷啊。', '短评打分': 1}
{'短评内容': '很不错的酒店，就是门口不太美观，好像在个工厂旁边，酒店内部不错的，卫生也干净，服务也很到位，设施完善，都不错的，下次还会仔光顾。', '短评打分': 5}
{'短评内容': '我去的时候已经是晚上七点，只剩为数不多的几间房，二楼是对着高架和厨房，吵且有油烟，无奈选择了一楼，隔音很差，房间格局也不好，是个角落改的，被子有点潮，不知道是否是一楼的缘故。\r\n前台的服务态度很好，告诉我哪里有吃饭的地方，西湖怎么走等等。\r\n位置还好，离火车站和西湖都只有两站路。\r\n\r\n', '短评打分': 3}
{'短评内容': '我去的时候已经是晚上七点，只剩为数不多的几间房，二楼是对着高架和厨房，吵且有油烟，无奈选择了一楼，隔音很差，房间格局也不好，是个角落改的，被子有点潮，不知道是否是一楼的缘故。\r\n前台的服务态度很好，告诉我哪里有吃饭的地方，西湖怎么走等等。\r\n位置还好，离火车站和西湖都只有两站路。', '短评打分': 5}
{'短评内容': '位置不明显，在胡同内，距离步行街很近过一个马路就是。\r\n\r\n房间很小，但还干净，觉得和价格不相称。\r\n\r\n优点：安静。', '短评打分': 5}
{'短评内容': '1、位置还不错，步行到西湖10分钟左右\r\n2、不太好找，在一条弄堂里，中山中路251号没有门牌号，在西湖大道的北侧，大家要抬头看哦\r\n3、房间很小，我住的大床房像是阁楼，窗也很小，感觉很压抑\r\n4、感觉像是旧房改造的\r\n5、个人感觉大床房价位在150元差不多，218元性价比不高\r\n', '短评打分': 1}
