{'descr': '可以', 'star': 5}
{'descr': '服务员，想方设法推荐贵的，一直说没有房间了。这么多层楼空这么多。就不给开出来。非要推荐贵的。  坑人。\n\n我订了还想给取消掉，推荐贵的。 房间都一样，太不厚道了。', 'star': 1}
{'descr': '服务态度很不错，地理位置也很方便，出门就有大型超市和车站。房间很舒适，空调也容易降温，期待下一次的入住！！', 'star': 5}
{'descr': '总的来说还可以，屋内设施和清洁都不错4.8分吧', 'star': 5}
{'descr': '挺好的，服务很到位，就是房间有点小了，洗澡时水会喷到房间里，洗脸盆没有隔到卫生间里，看着感觉不是很舒服，不过住的还是挺安逸的。', 'star': 5}
{'descr': '还可以，就是空间小。不过还挺满意的。、、、、、、、', 'star': 5}
{'descr': '一个人短住一下还可以，也比较安静，就是洗浴间小了点，不注意开门的时候容易碰头啊。。。', 'star': 5}
{'descr': '我想下次去重庆的话，我还是会住在这里的，很不错的一家酒店哦！', 'star': 5}
{'descr': '会向您的朋友推荐这家酒店,会向您的朋友推荐这家酒店', 'star': 5}
{'descr': '很有信誉，很好，环境不错，下次继续选择这个网站定酒店', 'star': 3}
{'descr': '交通便利，公交地铁方便', 'star': 3}
{'descr': '交通便利，价格合理，房间干净。', 'star': 3}
{'descr': '位置很方便，去各个景点都有公交。周围吃饭的地方不是很多，但是推荐对面的老麻抄手，豌杂面特别好吃！', 'star': 5}
{'descr': '位置不错，交通方便，服务质量也好。但漱洗台外置，就在床边，这种布局不太好。\n电话长途还需开通，并且收费七角每分钟，感觉不太合理。', 'star': 5}
{'descr': '不错，干净舒适，服务也挺好的，就是打电话要钱', 'star': 5}
{'descr': '还不错，卫生还是不错的，就是楼层8楼，没有电梯，有点郁闷！', 'star': 5}
{'descr': '還很安靜的地方，交通也很便利，是商務旅遊不錯的選擇。 ', 'star': 5}
{'descr': '酒店位置不错，步行至地铁站1、2号线也就5分钟，房间也算干净，前台可以看出是训练过的人员，很有礼貌，而且对服务的不足会有歉意，这是很多急速扩张却没注重人员培训的宾馆所比不了的', 'star': 5}
{'descr': '环境很安静，交通也很方便，有公交车、轻轨、地铁到那里都可以。', 'star': 5}
{'descr': '位子非常方便，出门不远就是公交站和地铁站，公交站叫大坪百盛。周边也比较热闹。房间很温馨干净，以后去一定还要在这里住。', 'star': 5}
{'descr': '还好。。很友好，卫生也还行。。出门方便！就是刚到是早上，去了说要到下午2点才可以，，但是订房的时候没说，，所以刚到那天都没能休息下，就只能直接去玩了，晚上又回到酒店的。。', 'star': 5}
{'descr': '已入住,设施较旧,位置稍偏,但还算卫生', 'star': 3}
{'descr': '不错值得一住', 'star': 3}
{'descr': '安静的睡眠环境，周到的服务干净卫生。不足的是隔音效果太差。', 'star': 5}
{'descr': '很干净，环境也不错，出门就是地铁，方便出行。', 'star': 3}
{'descr': '房间还不错 周围环境也还好 下次来 还会住这里', 'star': 5}
{'descr': '如家重庆大坪店环境很好，交通便利，住起来也很舒服', 'star': 3}
{'descr': ' 房间小巧但是五脏俱全，地理位置也很方便。装修很有趣，服务员态度也很好。总之很是经济实惠。我跟同学都很满意(⌒▽⌒)', 'star': 3}
{'descr': '不错，挺干净的。。。。。。。。。。。。。。', 'star': 5}
{'descr': '不错。挺实惠的。。。。。。。。。。。。。', 'star': 5}
{'descr': '不熟悉就是位置有点难找，环境还是可以的，洗澡都是现场直播了，呵呵', 'star': 5}
{'descr': '酒店干净、卫生、房间面积适中，网速也不错。早餐可以。值得推荐！', 'star': 5}
{'descr': '酒店干净卫生、有早餐、就是空调一般，有点冷。总体性价比较高，值得推荐！', 'star': 5}
{'descr': '優：交通方便，距地鐵一、二號大坪站不遠，公交也方便，往東去解放碑或往西去沙坪壩都很方便。價格實惠，在刑警隊旁，安靜。如家的品質可以信賴。\n缺：還是有小卡片塞進門縫，有小朋友同行要注意。', 'star': 5}
{'descr': '不错  好评。。以后还会去。。环境好  干净 布置合理 有情调   有网线网速还可以。。', 'star': 5}
{'descr': '安全没问题了，就在派出所旁边，另外离消防队也很近，呵呵，所以安全系数那是相当高啊，房间卫生也还可以，不过我的那个房间下水管道不通，还有就是没有WIFI，其他都还可以。', 'star': 5}
{'descr': '还不错，前台服务好，大厅电脑速度也还行，就是有点点难找啊，', 'star': 5}
{'descr': '位置还是很好的，条件还行，下次还会考虑的', 'star': 5}
{'descr': '依然很不错。', 'star': 3}
{'descr': '很不错，就是广告牌太小了，找了老半天才找到', 'star': 5}
{'descr': '旁边就有地铁，很方便！就是附近没什么吃饭的地方！', 'star': 5}
{'descr': '非常不错，如家一如既往的给人温馨的感觉，服务态度也很好，酒店就在地铁站不远处，周围也有比较多的小吃。虽然住8楼需要乘电梯到7楼，再走一层，但是一点都不影响我们对这家店的好感。另外，是不是有发小广告的混进来？某天晚上门缝塞进来一张看起来有些不和谐的小广告。', 'star': 5}
{'descr': '还不错吧，下次出去如果方便的话还住如家。', 'star': 5}
{'descr': '酒店环境不错，房间装修得也很时尚，值得推荐', 'star': 5}
{'descr': '在那里周围就这家店还比较划算。。。。空调不行。。。。', 'star': 5}
{'descr': '酒店被子笨重而且不保暖，不提供早餐，房内装修清一色的把浴室放在房间中间而且透明，不是所有客人都喜欢这么情调的。', 'star': 3}
{'descr': '交通方便，房间干净。就是小卡片很烦人。房间的厕所有一点味道', 'star': 5}
{'descr': '很方便，房间也很干净。如家还是一如既往的好', 'star': 5}
{'descr': '房间布局蛮独特。', 'star': 3}
{'descr': '1.口岸不错，往东可到渝中区解放碑和朝天门码头游玩，往西可到沙坪坝瓷器口古镇游玩。2.价格便宜。3.房间较卫生。4.在刑警总队旁，安全。5.所住605号标间没有浴帘，酒店告知是轨道坏了。朋友定的606就安了浴帘，解决了房中部独立玻璃浴室使用时某些尴尬场面，；浴室中的喷头也从原来的顶喷改为侧柱上设可移动花洒。看得出酒店在关注网友们的评论，做了积极地改进，赞一个！6.下水道声音有点响。7.同时定了2间', 'star': 5}
{'descr': '酒店还是比较安静，就是房间小了点，还是多干净的，属于闹中取静的酒店', 'star': 3}
{'descr': '不错，比较实惠，主要是在刑警队旁，心里踏实。', 'star': 3}
{'descr': '服务好，位置好，打的就说到大坪消防队，房间与其他如家一样。', 'star': 5}
{'descr': '很好，态度很好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '其实挺不错的，比较安静，房间也挺干净，服务员的态度也还可以', 'star': 5}
{'descr': '如家一同往昔的不错', 'star': 3}
{'descr': '就是比较难找，长江二路下坡时看不到的，就在苏宁电器的路口进去。\n\n房间很有特色，淋浴间在房间正中间。就是淋浴间里没有架子放眼镜等。\n\n出行很方便。', 'star': 5}
{'descr': '整个如家连一台电脑都没有，无比郁闷。相机照的照片都无法倒出来', 'star': 1}
{'descr': '不错呢,很安静的地方，很干净，就是不咋好找。', 'star': 5}
{'descr': '房间太小了进门就是床.转身都困难,算胶囊客房吧!', 'star': 5}
{'descr': '房间还可以。就是卫生间不好。漏水。卫生也比较好。床铺很不错。', 'star': 5}
{'descr': '虽然房间不大，但是蛮干净的，环境很安静，还是对得起这个价钱的', 'star': 5}
{'descr': '地方有点偏，特价房没有窗户，空气闷，优点就是旁边就是重庆市公安局刑警总队，安全有保障，哈哈', 'star': 1}
{'descr': '服务态度很好，环境干净，就是地方有点不好找，总体还是很满意的', 'star': 3}
{'descr': '酒店位置不错   就是一楼旁边有点吵    服务还算热情  其他都还好', 'star': 5}
{'descr': '除了酒店位置不好找，床窄了些而外。整体不错！', 'star': 5}
{'descr': '房间干净舒适，酒店人员很细心超级喜欢', 'star': 3}
{'descr': '喷淋装置能调高或低的话，那就更好了。还有如果有自助厨房的话，也更好的。', 'star': 5}
{'descr': '特惠大床房还不错，环境很干净，工作人员也很热情！', 'star': 3}
{'descr': '酒店服务很好 和其他的如家一样 洗手间太夸张 呵呵', 'star': 5}
{'descr': '除了电梯里的味道有点怪怪之外，其他的都很满意··建议更换电梯里面的地垫，大床房的床稍显小了一些，沐浴的开关位置有些不合理，洗澡的时候手肘容易碰到。', 'star': 5}
{'descr': '电梯异味太重，其他的还行，比较满意。', 'star': 3}
{'descr': '房间比较整洁，交通也较方便，服务态度好。不足之处就是觉得房间较小，卫生间的气味排不出去,排气扇的噪音较大。', 'star': 3}
{'descr': '这家如家快捷酒店距离机场还是远了点儿。不过靠着地铁线，交通很方便，处于比较中心的位置了。另外，在公安局旁边，感觉很安全。', 'star': 5}
{'descr': '交通很方便，附近轻轨公交都很近，酒店服务也很热情', 'star': 5}
{'descr': '第二次入住如家，感觉和第一次一样好，干净整洁舒适！', 'star': 5}
{'descr': '服务很好，很安静。时尚房的淋浴房在房间之间，有点怪怪的感觉，虽然时尚但不方便。', 'star': 5}
{'descr': '还好吧，我住的那间隔音也不错，周围交通也方便', 'star': 5}
{'descr': '\n总体还不错，上次没预定一晚花了我169大洋，有点小贵，这次用消费券，价格113，性价比差不多了～', 'star': 3}
{'descr': '唧唧歪歪的好，太好，非常好，十分好，如果、万一、确实好', 'star': 5}
{'descr': '如家大平店,很好,干净,就是水温凉了点', 'star': 3}
{'descr': '内容:服务好', 'star': 3}
{'descr': '好，很好，非常好。很好很强大。。\n不好不要钱', 'star': 5}
{'descr': '地理位置不错，靠近轻轨车站房间内部装修也较为前卫，推荐', 'star': 5}
{'descr': '好，很不错，以后再去都会选择这家酒店，服务态度特别好！', 'star': 5}
{'descr': '很不错，在那里住了三天，交通很方便，也很安静，记得要给出租车司机说是大坪百盛旁边那个刑警队那里！', 'star': 5}
{'descr': '服务好', 'star': 3}
{'descr': '交通很便捷 如家一如既往的好 服务很好 推荐', 'star': 5}
{'descr': '房间小，其他还好。交通方便。总体不错。不过没和其他的酒店比较', 'star': 5}
{'descr': '魏民。干净整洁，房间偏小。性价比不错。', 'star': 3}
{'descr': '房间环境和酒店所处的位置确实非常不错 交通很方便 周围有永辉超市新世界百货 苏宁电器和百盛 前台的服务也非常的热情 但是稍微美中不足的是 为什么我们入住了6天 床单就没怎么换过??', 'star': 5}
{'descr': '位置相当不错，去解放碑打车15元，离轻轨2号线也很近，还可以去吃陈眼睛火锅，和开半天猪耳朵面', 'star': 5}
{'descr': '还可以，就是楼下有火锅店，有点味道。服务啊，卫生啊都不错。双人间窗有点窄了而已！', 'star': 5}
{'descr': '房间不错哈，喜欢浴室的设计！', 'star': 3}
{'descr': '还不错啦，位置很方便，但设施有点旧了，服务人员也还比较热情。', 'star': 5}
{'descr': '价格实惠，紧邻着刑警总队，安全可靠。大家可以自己尝试一下。', 'star': 5}
{'descr': '房间不错，干净的，但是位置太偏了，重庆的司机拒载情况太可怕了，根本没车去解放碑，靠，1小时内被拒了10次，大爷的', 'star': 1}
{'descr': '不错。由于是单人所以选择了标准大床房。。环境卫生安全都很好。。唯一差点的就是房间太小。。', 'star': 5}
{'descr': '还不错，交通方便。安静性价比很好！服务也比较热情', 'star': 5}
{'descr': '地方交通方便，但酒店有些地方潮湿，应该修理一下了', 'star': 5}
{'descr': '还行，设施旧了一点。旁边就是刑警大队，感觉比较安全。', 'star': 5}
{'descr': '+如家大坪非常一般，感觉小，旧。穿花衣服的是店长？态度像借了她钱没还似的。其他态度很好。总体感觉比石桥铺差很多。应该不会再来', 'star': 5}
{'descr': '酒店的硬件设施非常不错，看上去都比较新，准三星的标准。酒店位处渝中区，出门公交和打车都比较方便，性价比突出，推荐需要在附近办事的朋友入住。 \r\n', 'star': 5}
{'descr': ' 比较干净，价格便宜', 'star': 5}
{'descr': '挺好，赞一个，服务态度好！地里位置不错，很容易就找到了，还在刑警总队旁边，有安全感，嘿嘿！', 'star': 3}
{'descr': '干净舒适，服务周到，好评送上！', 'star': 5}
{'descr': '房间好小，不过很干净，透明的浴室玻璃确实不太方便，交通很便利', 'star': 3}
{'descr': '还好吧\r\n\r\n\r\n\r\n交通还算便利，服务热情。', 'star': 5}
{'descr': '房间好小，是我住过的最小的宾馆房间了，不过挺干净的', 'star': 5}
{'descr': '前台服务态度好，每问必答。地理位置不错，去哪儿都比较方便。浴房有意思。', 'star': 3}
{'descr': '地理位置好，到哪儿都方便。浴房有意思。前台服务态度很好，想去哪儿怎么走就问她吧，必然给一个满意的答复。', 'star': 3}
{'descr': '地理位置不错，感觉很安全。房间有点小，其他的还行。', 'star': 5}
{'descr': '我住的标准间 虽然床比较小 但是睡起很柔软 保证了我的睡眠质量 而且比较干净整洁\r\n 但是如果非会员能延长到下午一点退房就好了 即便是会员也才延长至1点 我认为这个没有七天做得人性化', 'star': 5}
{'descr': '比较安静，离车站近，环境不错。就是开始去时没有找到，太隐蔽了，呵呵', 'star': 5}
{'descr': '服务态度很好，卫生也不错。唯一觉得需要改进的是卫生间，淋浴头高了些，出水温度感觉有些冷，同时地漏很慢（淋浴后地面一层水），希望是个例。', 'star': 5}
{'descr': '+如家大坪店不错。很干净。以后还去住。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '特惠标准房,房间不大,很安静,淋浴房很有特色,独立在卫生间之外.坐车买东西都很近,还不错啦', 'star': 5}
{'descr': '如家大坪店地位位置不错，独立的沐浴间也比较特别，总体感觉还不错。网速慢了一点、、、', 'star': 5}
{'descr': '房间墙壁需要整改一下，有点发潮了。服务还不错，', 'star': 5}
{'descr': '很干净整洁的宾馆，服务也挺不错的，离车站也很近，推荐给大家，', 'star': 5}
{'descr': '好，不错，就是没有午饭晚饭提供，不方便，要加强这方面的服务啊', 'star': 3}
{'descr': '酒店不错，服务好、干净整洁、设施齐全。价格也便宜。', 'star': 5}
{'descr': '位置不好找，放在路边招牌也没做灯光，晚上根本看不见', 'star': 1}
{'descr': '早餐还不错，客房也比较干净', 'star': 3}
{'descr': '很好，客房比较干净', 'star': 5}
{'descr': '比较不错，还是很好的', 'star': 5}
{'descr': '还是不错的,房间也有一定的特色,价格也很好.下次来渝还会选择这里.', 'star': 5}
{'descr': '还是不错的。有窗户/室内淋浴室独特。', 'star': 3}
{'descr': '连续住了三天，服务还不错，值得推荐。', 'star': 3}
{'descr': '这个地方离重庆站（重庆长途汽车站）打车12元，还算可以，挺方便的。\r\n属于渝中区，位置挺好的。特惠标准房网上价格123，可使用消费券，减免20元，店内价格129元，都不高。房间内的淋浴房，竖在房子中间，特有个性的。', 'star': 5}
{'descr': '房间太小，而且看上去不是很干净，与如家的形象有误差。', 'star': 1}
{'descr': '酒店设施服务都不错，交通也还比较方便', 'star': 5}
{'descr': '前台就只有一个人忙，另外一个看到有3个客人排队时面对我的问询还是摆手说不关她事。入住就耽搁了很久', 'star': 5}
{'descr': '酒店的性价比很好，位置出行也还可以，卫生服务配置硬件都算是合格达标的，可以推荐入住的酒店。', 'star': 5}
{'descr': '非常好。像家一样。', 'star': 5}
{'descr': '地理位置和房间和价格总体来看，性价比还可以！', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '建议多设个垃圾篓，那个用的很不方便', 'star': 5}
{'descr': '参加重庆公考期间入住如家大坪店，第一次住如家，感觉很不错，房间温馨干净，服务也很好，就是隔音稍差，早上7点有几个人在走廊大声说话把握吵醒了。床好像太软了一些，睡的有点腰疼。推荐入住。', 'star': 5}
{'descr': '房间略显小一些,其它不错!', 'star': 5}
{'descr': '那个酒店据说在重庆比较偏的地方，房价倒是不高，主要离我办事的地方比较近，不过那边打车还是比较的方便，比较有意思的是这个酒店的两边好像有两个保镖，一个是消防队，另一个刑侦总队。', 'star': 5}
{'descr': '就是浴室感觉有点闷', 'star': 5}
{'descr': '离轻轨站稍远了一点，主要是卫生间的玻璃不好，只有1米2高的磨沙玻璃，上部全是普通玻璃，洗澡和上厕所都很别扭,并且没有锁，对带小孩的人不方便。', 'star': 1}
{'descr': '入住过几次，还不错。开始有点难找，呵呵', 'star': 5}
{'descr': '前台服务人员的态度感觉很好，很亲切~~房间也不错，就是浴室的充气系统感觉不是太好，排气不太通畅。房间基本跟照片一样，很舒服。', 'star': 5}
{'descr': '位置偏一点，酒店在小巷中，但是出来后交通比较方便。\r\n', 'star': 5}
{'descr': '酒店的退房还是只能最晚到中午十二点,这点觉得不是很方便,建议能延长,不过酒店的内部住宿条件都还是可以的,就是位置偏了点,不太适合旅游.', 'star': 3}
{'descr': '对我来说位置不错的酒店，下次还是会继续住', 'star': 5}
{'descr': '总体感觉不错，开始订的特惠大床房，真的是特惠的价格就有特别的设施（比较陈旧），于是就更换了时尚大床房，感觉还是不错的。', 'star': 5}
{'descr': '酒店的整体感觉很好，环境好比较安静的。卫生也很好。性价比比较高，交通方便。', 'star': 3}
{'descr': '国庆长假去重庆了，在如家定好的房间，住了有7天时间吧，酒店总体感觉不错，出行也很方便，服务人员也非常的有礼貌。再次谢谢如家的工作人员！', 'star': 5}
{'descr': '典型的经济型酒店，温馨，经济，卫生，早餐不错。值得推荐', 'star': 5}
{'descr': '各方面都不错,以前来看评价的时候还发现有位置很偏这个问题,但是现在我觉得都解决了,只要到了消防队就能看到如家的牌子,很卫生,设施也比较齐全,下次还会入住如家.', 'star': 5}
{'descr': '真的很不错，价钱便宜，干净卫生。下次还住如家。', 'star': 5}
{'descr': '酒店的地理位置还不错,而且价格也比较便宜,其他方面的都还是可以的,没遇到什么不满意的地方.', 'star': 5}
{'descr': '酒店还可以,设施很好,性价比还不错,地理位置很好出行很方便.', 'star': 5}
{'descr': '酒店本身环境还可以，挺干净的，就是位置稍微有点偏，不过离城铁不远，交通还可以，价格适中', 'star': 5}
{'descr': '酒店就是位置有点偏，别的还不错，价格也适中，值得推荐\n', 'star': 5}
{'descr': '环境和整体设施不错...不过位置确实有点点偏...车站是很近...出门就有...不过如果初到重庆..想找到还是得费点功夫', 'star': 5}
{'descr': '酒店挺不错的,干净舒适,价格也很适中；可以推荐一下；', 'star': 5}
{'descr': '卫生条件挺干净，价格是相当的便宜，自费出行是挺合适的', 'star': 5}
{'descr': '房间很个性,适合情侣住,但是房间的隔音效果不好,在房间里能听到隔壁房间洗澡和电视的声音,而且很大,希望酒店改进下房间隔音设施', 'star': 5}
{'descr': '酒店的服务啊卫生啊都还可以，价格也还可以，整体来说性价比还算不错。我特别喜欢这家酒店的大床房。', 'star': 5}
{'descr': '洗澡设备不好用', 'star': 5}
{'descr': '此酒店地理位置很好，很多公交車都經過，附近也有輕軌。在一小巷裡面，所以很寧靜。旁邊是百盛，有超市買東西也方便。入住了個性單人房，沐浴間和馬桶在同一個小房間，水龍頭從天花灑水下來，馬桶和衛生紙一定被弄濕的。建議還是入住時尚大床房比較好。', 'star': 3}
{'descr': '还可以,. 如果下次去重庆还可以考虑. 唯一的就是.位置不太好.不是很方便..', 'star': 3}
