{'短评内容': '酒店就在夫子庙旁边', '短评打分': 5}
{'短评内容': '优点：房间干净、明亮，套间宽敞、像家一样温馨，适合全家度假，进楼门和上电梯要刷卡很安 全，离夫子庙近。\n缺点：早餐实在是太简陋，总共就三、四张桌子，去晚就没有了，坐地铁还需走一段，服务员姑娘不是很热情。\n      发票不能随时开，寄了2周才收到。', '短评打分': 5}
{'短评内容': '非常不错的家庭式旅店。离夫子庙很近，附近交通便利。唯一不足就是热水只够一人用，第二人洗澡水就凉了。别的都满意；）', '短评打分': 5}
{'短评内容': '离夫子庙很近，离地铁口还是有点远。房间挺大，设备很全。但床上用品及一次性用具质量太差。早餐很好，很实惠。', '短评打分': 5}
{'短评内容': '第一次尝试，果然没有让我失望。这种价位能享受到这么整洁温馨的酒店，很惊喜！下次还会去。另外，酒店餐厅的大爷真是热情，有家的感觉！', '短评打分': 5}
{'短评内容': '很好很不错。房间很温馨，而且闹市中也很安静，很方便', '短评打分': 5}
{'短评内容': '房间很大，很温馨，很不错，就是这次给我的房间靠马路，有点吵，唯一不足的', '短评打分': 5}
{'短评内容': '优点：距离夫子庙很近，步行也就4-5分钟时间，房间真的挺大的，而且有冰箱洗衣机等电器。\n缺点：卫生打扫的不好，洗手盆、淋浴间都有毛发及污迹，冰箱还有以前住客留下的东西。\n总的来说，就地段而言，这家酒店性价比是很不错的。', '短评打分': 5}
{'短评内容': '还不错啊。房间挺大的。。。就是进车库不太方便、、、支持', '短评打分': 5}
{'短评内容': '设施一般，服务一般，价格不一般。', '短评打分': 3}
{'短评内容': '除了入住的时候比较难找以外，别的都蛮好，很安静，所有的人都很客气热情，交通也方便。', '短评打分': 5}
{'短评内容': '住的是二房一厅，只有厅里有电视机比较失望，房间里没有，郁闷啊！！！', '短评打分': 5}
{'短评内容': '酒店挺干净的，服务也比较人性话，热情周到，满意！再接再厉吧！', '短评打分': 5}
{'短评内容': '非常好 很干净 很卫生 下次还会选择', '短评打分': 5}
{'短评内容': '前几天在这家酒店住了两晚，两个不同的房间，感觉非常好。先说房间，干净整洁，装修的很漂亮，很有家的感觉。再说酒店老板，老板非常热情，给我们介绍旅游景点和线路，为我们的出行计划提出了很恰当的建议。酒店离夫子庙很近，步行几分钟就到了。向大家推荐这家酒店~  ', '短评打分': 5}
{'短评内容': '我是宁夏的客人，一早上的奔波，辗转三个城市来到南京，一进房间，真的很温馨，很干净，设计也不错，就像我回到家了一样，老板很好很热情，对每个客人都彬彬有礼，不错不错，极力推荐！！！', '短评打分': 5}
{'短评内容': '极力推荐，房间设备齐全，洗衣机微波炉冰箱什么都有，出差在那有家的感觉，喜欢，下次来南京还是住那，老板人也很好，介绍了很好吃又经济的饭店给我们，离店没发票还给我邮寄到家里，顶一个~~', '短评打分': 5}
{'短评内容': ' 一家很好的公寓式酒店，住的是豪华大床，房间很大，家电一应俱全，而且都是新的。老板人也很好，有回家的感觉。干净、安全，很推荐', '短评打分': 5}
{'短评内容': '到达酒店的时间已经非常之晚接近晚间12点，老板出来接应，人很好，当时因为国庆用电负荷多导致酒店电闸爆掉，老板亲自带着去入驻规格更高的酒店，本来订的是208的大床房，转到一个三星的酒店只有豪华套间420一晚，老板自掏腰包补上了差价，以诚为本信誉至上，令人感动，来评价晚了些，都有些过意不去了，下次去南京一定要住一住城市国盟！', '短评打分': 5}
{'短评内容': '家庭公寓式酒店，图片真实，服务良好，老板态度不错，紧邻夫子庙，楼下多路公交，给与强烈好评', '短评打分': 5}
{'短评内容': '酒店在公寓里面，安全、安静。距离夫子庙很近，也就100米。交通也很方便，去雨花台、总统府、大屠杀纪念馆都有车直接到。有个长小胡子的男老板，很热心，会给你推荐吃饭的地方，耐心地告诉你去哪去哪坐什么车。总之，还不错。', '短评打分': 5}
{'短评内容': '房间很大，全新的装潢，大屏幕三星液晶电视看的很爽，无线网络速度很快，还配有三星冰箱等大品牌的全套家电，真的很不错，真的是居家旅行的最好选择。小小建议下，把浴巾换成全棉的就更好了，呵呵！不过，我下次去还会选择你家。', '短评打分': 5}
