{'短评内容': '干净 在古城里 位置不错 很好', '短评打分': 5}
{'短评内容': '客栈的位置很好，很方便，院子不大但感觉很好，房间干净整洁，热水大大的洗澡很舒服。老板和小妹针对我们的时间安排了行程。很好哦，支持！', '短评打分': 5}
{'短评内容': '位置很好 方便的同时很安静。酒店内院子不大，住宿环境清洁。有家的感觉。值得推荐', '短评打分': 5}
{'短评内容': '我今天刚到..住的是分店..就在主店边上...刚到大理的主客可能会有点难找...不过只要稍微温下路人..还是很简单就找到的.....小院环境不错...相对于驿站的价格....内设还是想到满意的...干净清爽.....老板和她家人都很热情....去丽江票源紧张..还帮我定了票...十分感谢.....=.=..', '短评打分': 5}
{'短评内容': '干净整洁,安静舒适。老板热情接待,,连洗衣服都有洗衣机。价格超值,绝对值得推荐。一切好评!', '短评打分': 5}
{'短评内容': '我们住的是分店，环境很新，带有洗衣机，属于自助类的，还是不错的哦', '短评打分': 5}
{'短评内容': '去到时以人满为由安排我们去了它的分店美家园,不过老板也不错，很热心的帮我们规划了行程。驿站的窗子靠另一家的院子,早上有狗叫可能有点吵', '短评打分': 3}
{'短评内容': '干净整洁,安静舒适。老板热情接待,特别是开车接送我,连洗衣服都有洗衣机。价格超值,绝对值得推荐。一切好评!', '短评打分': 3}
{'短评内容': '老板波哥很热情，最值得推荐的是此客栈的三宝~晚上大家围坐在小院子里唱歌吹牛喝酒喝茶，惬意~~~~房间也干净', '短评打分': 5}
{'短评内容': '第一次比较难找,找到后很方便.闹中取静,  外面街上的好吃NE的夫妻店菜很实惠也和好吃！！推荐。。。门口大路有直接去三塔的公交！！', '短评打分': 5}
{'短评内容': '环境不错，就在大理古城里，老板也很热心，就是热水小了点。', '短评打分': 5}
{'短评内容': '老板人很好。88元的价格也很合适。屋子很干净，设施齐全。唯一不好就是离繁华地段有点远，不过这样很安静！', '短评打分': 5}
{'短评内容': '我们去住的时候水云被人包了，我们便住在她们的分店，美家园。老板娘很漂亮又温柔，客栈的环境也很好。大赞。', '短评打分': 3}
{'短评内容': '当时订的价格是70，但到了老板说是单人的价格，两个人价格是100，有点晕！\n现在还真不知道一个房间收两个价格！', '短评打分': 5}
{'短评内容': '房间打扫的很干净，里面布置和设计的很不错，硬件齐全，服务很到位，卫生条件也很好', '短评打分': 5}
{'短评内容': '酒店的洗澡水很热，洗澡很舒服，是个闹中取静的地，这的老板待我们很热情，住宿环境挺好的', '短评打分': 5}
{'短评内容': '客栈服务很好，房间卫生条件不错，周边绿化做的很不错，仙境一样，舒适度很好', '短评打分': 5}
{'短评内容': '住宿环境很好，周边青山绿水的，房间干净卫生，服务员对我们都很周到热情，住宿条件很不错', '短评打分': 5}
{'短评内容': '客栈环境很优雅，当时是座火车过去的，老板还去接了我们，沿途给我们讲解，房间很干净，墙上还画了各种花花草草，很诗情画意', '短评打分': 5}
{'短评内容': '很不错的客栈，老板待客热情，很友善，房间舒适度很好，卫生间洗澡的热水不错，住宿条件还可以', '短评打分': 5}
