{'短评内容': '酒店服务态度可以，房间很大，早餐一般，', '短评打分': 5}
{'短评内容': '酒店的位置不错面对着千岛湖，但为了面朝湖景房间的朝向都是朝西的，只能说是鱼和熊掌不可兼得啊。由于是高温天去的，酒店的中央空调不足，室温有点热。', '短评打分': 5}
{'短评内容': '酒店客房走道味道不好，早餐与酒店档次不配，环境还可以！', '短评打分': 3}
{'短评内容': '环境不错，湖景很美', '短评打分': 3}
{'短评内容': '很好很好 很好很好 很好很好 很好很好 下次还会入住  已经第3次入住了 ', '短评打分': 5}
{'短评内容': '假日里千万不要去风景区，酒店价格太贵了，真的住不起。', '短评打分': 5}
{'短评内容': '酒店挺好找的，也接近闹市区挺方便的，房间设施整洁干净，湖景很好，还在酒店游了会泳，如果下次去还会入住绿城', '短评打分': 5}
{'短评内容': '酒店不错  湖景也很好  就是外面的路在施工  显得有点脏  吃早饭的人好多啊', '短评打分': 5}
{'短评内容': ' 入住的湖景房，很美的视野，酒店设施有家的温馨，顺便提句早上的自助餐不错哦', '短评打分': 3}
{'短评内容': '房间蛮大，窗外风景一流，就是感觉周边配套还不是很成熟，早自助餐一般。', '短评打分': 5}
{'短评内容': '环境不错，温馨舒服。站在十楼阳台望下，风景胜美。', '短评打分': 3}
{'短评内容': '酒店不错，就是有会议，显得很杂乱', '短评打分': 3}
{'短评内容': '该酒店目前有3幢楼，2、3是绿城度假酒店，办理入住是到2号楼。酒店的整体位置不错，硬件装修也不错。但相关细节需要加强：\n1、不知绿城度假算不算5星，早餐3、4星级的标准\n2、园丁未穿工作服，开始还以为是外面进来的闲杂人员\n3、管理上有待加强，5次关照打扫房间竟然都没打扫', '短评打分': 5}
{'短评内容': '酒店住的非常舒服，房间很大很宽敞，阳台朝湖，景色也很美，', '短评打分': 5}
{'短评内容': '环境不错，设施很好，放松心情的好地方。', '短评打分': 3}
{'短评内容': '湖景房很不错。。不过要选择房号小的房间，否则会被前面的酒店遮住。。。', '短评打分': 5}
{'短评内容': '该酒店是喜来登的兄弟品牌，酒店式公寓的感觉很不错。硬件设施相当到位。', '短评打分': 5}
{'短评内容': '酒店非常漂亮 环境很舒适 湖畔景色优美 入住很满意 下次来千岛湖首选绿城', '短评打分': 3}
{'短评内容': ' 很不错的酒店，位置好，环境好，性价比不错', '短评打分': 3}
{'短评内容': '先说缺点，酒店的早餐一般，周末客人多，更显得品种少；然后酒店前台的服务效率有点低，可能是忙吧；  优点是啥？无敌湖景呗，在这个酒店要是不订湖景房，那不亏大了!', '短评打分': 5}
{'短评内容': '干净、整洁，有停车场，去千岛湖广场不算太远，如能提供直饮水就好了，早餐厅是开放式的，冬天入住吃早餐会觉得冷。门口接送客人的电瓶车服务生不够热情。', '短评打分': 5}
{'短评内容': '酒店挺棒的~房间很大很宽敞，阳台的景色也很美，确实是湖景房~卫浴看了下都是科勒的，真不错；送的双早很丰富~可以当午饭吃啦！比较不足的是我们去的时候是十月份了，室外的游泳池水好凉，完全不能下水了~如果可以是温水的话就好了', '短评打分': 5}
{'短评内容': '酒店很不错 风景很好 就是前台服务人员有点木', '短评打分': 5}
{'短评内容': '房间真不错，可是没有餐饮，可惜', '短评打分': 3}
{'短评内容': ',酒店很好,但不是全湖景房噢!', '短评打分': 3}
{'短评内容': '酒店团队客很多，早餐质量很差。不过服务还是不错的，有问题立马解决。', '短评打分': 1}
{'短评内容': '总体感觉是性价比非常高的一家家庭式度假酒店,这次预定秀水亲子套餐,酒店给免费升级了高级套房.对于酒店的硬件非常满意,房间内的设施齐全,特别是厨房设备,一应俱全,的确可以开个HOME party.除了早餐,酒店没有其他餐时提供,不过因为酒店地处市中心,周边餐厅很多,所以也不觉得不方便.\n酒店的私密性差了点,儿童乐园,泳池有很多外来人员,估计都是周边居民带小孩来玩的,这点酒店应该加强管理,所以也就造成', '短评打分': 5}
{'短评内容': '挺满意的，就是房门的设计有点不好，别间关门的声音能听到，并震一下，不明白设计原理。', '短评打分': 3}
{'短评内容': '酒店的硬件设施很棒，在酒店阳台上就可欣赏千岛湖的美景，但在服务及管理上距离５星还是有一定差距，接待柜台太小，入住和退房时总是听到客人的抱怨声，酒店的早餐确实如大家说得很一般。', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '看风景不错，但酒店的配套设施实在太少，早餐不行，性价比不高。', '短评打分': 1}
{'短评内容': '这家酒店不错哦  很好的江景房  是一次愉快的千岛湖之旅 下次到这边来还是入住这家', '短评打分': 5}
{'短评内容': '周日和周一的特惠湖景房，性价比非常高，房间正气大气，但如果按正常价格1000左右一晚的标准来说，早餐太差了一点', '短评打分': 5}
{'短评内容': '环境很好，硬件服务都也不错，对于480的价钱来说应该算是非常物有所值的。', '短评打分': 5}
{'短评内容': '酒店性价比很高，员工服务态度也非常不错，出行也比较方便，在当地算不错的酒店了', '短评打分': 5}
{'短评内容': '酒店不错，每次来千岛湖都住这边，推荐！环境不错，风景秀丽', '短评打分': 5}
{'短评内容': '位置很好 ，服务到位，住的很舒心，下回还会去。', '短评打分': 5}
{'短评内容': '酒店硬件很不错   服务也非常好   但我遇到了酒店自己的发电机坏了   被困电梯无人发现的事情  很生气', '短评打分': 5}
{'短评内容': '湖景房风景超棒，特别是那个大阳台～酒店的风景也很好，有种在海边度假的感觉', '短评打分': 3}
{'短评内容': '非常好的酒店，大家都好满意！服务好！景观好！酒店高级！一个字--赞！', '短评打分': 3}
{'短评内容': '酒店很不错,房间够大,还有阳台,就是入住的时候前台有点慢', '短评打分': 3}
{'短评内容': '在大堂吃早饭的可怕经验，感觉非常不舒服。', '短评打分': 1}
{'短评内容': '风景好.房间大.但周围环境不太好.出入口小.少.', '短评打分': 3}
{'短评内容': '酒店环境一级棒，水景很美。早餐品种再多一点就好了', '短评打分': 5}
{'短评内容': '酒店很漂亮，非常喜欢，只是第二天的早饭酒店上餐很慢，食物很多都空了，希望以后能改进', '短评打分': 3}
{'短评内容': '酒店不错，风景很好设施也很好，服务也不错有专车接送往返于酒店中值得推荐！', '短评打分': 3}
{'短评内容': '已入住,酒店风景很好', '短评打分': 3}
{'短评内容': '新酒店设计不错，豪华大床间阳台观景佳；早餐品质差，服务未能达五星，比起开元有一定的差距，这是亟待提高之处，客人满意才会有回头客。', '短评打分': 5}
{'短评内容': '环境很不错，床虽然小，但被褥舒适！阳台上看风景很享受。就是，厕所透明，遮住大玻璃的帘可不可厚实点？', '短评打分': 3}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错哦。。。客户对酒店还算很满意。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，设施一应具全，所有房间都带景观阳台、简易灶台，非常不错~', '短评打分': 5}
{'短评内容': '\n1、床太小，不像5星标准配套\n2、早餐品质太差，在大堂吃早餐的拥挤有点像逃难\n3、湖景局促\n', '短评打分': 1}
{'短评内容': '同事住的 据说不错哦。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '1500元的房间，但是前面一半的江景被挡住了，感觉很不值得。 住的这么贵，就出想来看江景的，结果不如意。房间很大很宽敞，卫生什么的都不错，但是这不是收1500的唯一理由。附近其他高档酒店一半的江景700-900元就够了。所以这次旅行不够满意。性价比不高。', '短评打分': 3}
{'短评内容': '+酒店很好，风光无敌，服务还行，性价比高', '短评打分': 5}
{'短评内容': '房间还是很不错的，位置还是挺方便的，价格还可以差不多。环境是蛮好的。', '短评打分': 5}
{'短评内容': '位置还可以，卫生设施整体都蛮好的，服务态度还可以，价格还是比较适中。', '短评打分': 5}
{'短评内容': '房间不错风景好，但周围有工地有嘈音服务一般', '短评打分': 5}
{'短评内容': '很不错的酒店，待着都不想走了。。', '短评打分': 5}
{'短评内容': '环境不错，可以看到千岛湖的景色，附近交通很方便。', '短评打分': 5}
{'短评内容': '环境不错，住着很舒服，对面就是开元度假村。室内装修、设施都不错，唯一美中不足的是边上在施工，噪音很大，从早到晚的，不舒服。', '短评打分': 5}
{'短评内容': '设施齐全，房间里有棋牌室，方便娱乐，价格不高。', '短评打分': 5}
{'短评内容': '硬件设施还好但是可能整个酒店有别的楼还没有装修完吧就是晚上休息的时候还是有些吵，服务态度还可以，房间也很干净，价格也差不多，位置还是比较好找的，酒店也是比较新的酒店装修完之后应该以后会更好吧。', '短评打分': 5}
{'短评内容': '硬件设施还好但是可能整个酒店有别的楼还没有装修完吧就是晚上休息的时候还是有些吵，服务态度还可以，房间也很干净，价格也差不多，位置还是比较好找的，酒店也是比较新的酒店装修完之后应该以后会更好吧。', '短评打分': 5}
{'短评内容': '环境不错，价格贵，', '短评打分': 5}
{'短评内容': '对这家酒店的环境还是比较满意的，卫生服务都还好，价格合理适中，配置硬件也很达标，卫生服务也很好，整体来讲算是比较好的酒店，值得推荐入住。', '短评打分': 5}
{'短评内容': '位置还是挺好找的，房间的卫生和设施都还行，但是房间里面就是看不到景色，全部都被前面的楼给挡住了，服务态度都还比较不错，但是要是下次的话我还是会选择其他的酒店，因为这家房间里面看不到外面的任何东西。', '短评打分': 1}
