{'descr': '哈哈哈', 'star': 1}
{'descr': '房间比较小，卫生条件比不上如家，但这个价格在北京这个地段很值得了！', 'star': 3}
{'descr': '我今年6.4号入住的168一间的，首先地理位置还不错离北京站近，但是环境不算太好。大热天本想冲个凉，他家的热水就是不热啊，去楼下找他们说等会就热了，等了快2小时也没热啊，洗手间的地漏也不好使地面积水多留不下去！下次我是不去了', 'star': 1}
{'descr': '我只能说 物非所值吧  实在不值得138.', 'star': 1}
{'descr': '住得还可以，房间虽然不是很大，但一个人住没问题的！很舒服！', 'star': 5}
{'descr': '太差太脏了。地理位置较偏，像家庭作坊。大堂值班等很不规范。', 'star': 1}
{'descr': '旅店附近就有公交站牌，在崇文区转很方便。旅馆设施基本齐全，为什么我订这么早却给我一个没网线的房间，隔音效果也不是很好，其他的还行。', 'star': 3}
{'descr': '价格还是很便宜的，房间设施还是比较旧了些，位置还是很不错离我办事地方比较近，服务态度都是一般。', 'star': 3}
{'descr': '整体还可以，就是房间有点小，晚上没有暖气有点冷', 'star': 5}
{'descr': '还不错，就是屋小点', 'star': 3}
{'descr': '好冷  设施陈旧  但是服务态度挺好，价格很便宜，长期租住价格更低', 'star': 1}
{'descr': '水龙头坏了，房间小。服务还行，被薄', 'star': 3}
{'descr': '价格挺便宜的，服务卫生都很好，周边还有商场，逛街购物挺方便，这家酒店我住的挺满意。', 'star': 3}
{'descr': '迷你形式的酒店，干净卫生，服务周到，价格合理，我觉得挺不错。', 'star': 5}
{'descr': '服务挺热情的！住的还满意，交通也挺方便的。下次继续光临！', 'star': 3}
{'descr': '房间不大，以淡黄色为主，打扫的挺干净，让人感觉很温馨很舒适。', 'star': 3}
{'descr': '房间挺小，但是很干净，能提供24小时热情，使用很方便，价格上也比较便宜。', 'star': 3}
{'descr': '这家酒店主要是价格比较吸引我，价格很经济实惠，很适单独旅行者。', 'star': 5}
{'descr': '还可以，性价较好。', 'star': 3}
{'descr': '房间布置的挺温馨，打扫的也很干净，有网线能上网，办公还是挺方便的。', 'star': 3}
{'descr': '位置很好，购物吃饭很方便，服务态度很热情，服务也很周到。', 'star': 3}
{'descr': '酒店挺不错，干净卫生，价格实惠，值得推荐。', 'star': 5}
