{'短评内容': '老酒店，服务不错，房间面积大，设施略陈旧，性价比颇高', '短评打分': 4}
{'短评内容': '说实话，房间相对豪华，但不值2000大元。从价格，地理位置，设施来讲，都比不上裕景饭店。早餐不错，当然价格也不菲。。。', '短评打分': 3}
{'短评内容': '酒店没得说的，棒!浴室超一流,BOSS音响效果很不错,床也很舒服.我喜欢这个酒店.', '短评打分': 5}
{'短评内容': '非常好的酒店 没的说', '短评打分': 5}
{'短评内容': '这酒店还能叫好啊。。。。&lt;br /&gt;\n&lt;br /&gt;\n四季无论是在纽约的还是在伦敦都比上海的强多了上次住了一次上海的四季感觉好像是3星的酒店这回听人强力推荐 就来了这个什么红塔&lt;br /&gt;\n&lt;br /&gt;\n说实话装修还不错不过很多东西不是镶金镀银就代表好 首先枕头是我住过最不舒服的要求换一个枕头 服务生倒挺好给我拿来一个一模一样的！！ 我气得没话说了。加', '短评打分': 3}
{'短评内容': '名不虚传！', '短评打分': 5}
{'短评内容': '你们都是地主的儿子！钱多了高死兴！这里舒服，那里好，什么超五星的酒店！2100块钱一个晚上！这还用你们说好！二百五都知道啊！想想农民伯伯一年都挣不到2100块钱！', '短评打分': 3}
{'短评内容': '我觉得红塔要金茂得服务还要好&lt;br /&gt;\n首先客房很宽大，感觉很舒服，采用深色和白色搭配，赞&lt;br /&gt;\n其次服务很周到，半夜的时候我叫了一分宵夜，他们很快就送来了，而且，分量十足，哈哈我一个人没吃完，还剩了半分。因为太晚了，剩下的零钱，我让服务人员从门缝下边给我塞进来，他们塞不进来，第二天我起床的时候他们很恭敬的送还给我，感觉服务很贴心&lt;br /&gt;\n我预订了早', '短评打分': 3}
{'短评内容': 'The greatest hotel I have ever been to. I used to think that Grand Hyatt is the best of shanghai, but after this tour to St.Regis shanghai, I have changed my mind. I was quite moved by their well-trai', '短评打分': 3}
{'短评内容': '说是超五星的酒店一点都不过分，一切的一切都很完美，特别是在热带雨淋冲淋头下洗澡，不愧为冲淋的最大乐趣。圣思园的西式早餐不错，服务也很好。唯一让我觉得不怎么自在的是，我感觉我一直让我的专职管家看着，有点象回到了幼稚园里一样，呵呵！', '短评打分': 3}
{'短评内容': '什么叫豪华，什么叫舒服，什么叫开心，什么叫体贴，在这里你都能感受到的，感谢我的管家，他们的服务真的很好，下次还来这里。', '短评打分': 3}
{'短评内容': '昨天刚住了一个晚上，真不错，的确舒服，还有可口的点心及鲜花送，哈哈哈！！', '短评打分': 3}
{'短评内容': '竭尽奢华之能事！', '短评打分': 3}
{'短评内容': 'Very nice hotel. The lobby is very impressive. It would cost three or four times more in an equivalent hotel in US.The room is very spacious and the bathroom is very comfortable. The service is attent', '短评打分': 3}
{'短评内容': '真的很好,五星的酒店住的较多,但是只有这一次是真的觉得是最好的五星,很奇怪亿龙的价格比协程要高,下次就通过协程订了.&lt;br /&gt;\n如果去上海,去浦东,希望去试试,相信没有一个人会失望的!当然荷包要满一点!&lt;br /&gt;\n红塔集团真牛b', '短评打分': 3}
{'短评内容': '好得不得了，装修豪华舒适，特别是4楼的潮洲菜虽然贵但值。&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': 'good! just a little expensive on food.', '短评打分': 3}
