{'短评内容': '位置可以，吃饭乘车都很方便', '短评打分': 5}
{'短评内容': '酒店位置不错，公交方便，离雁塔三站地。就是楼下歌厅晚上太吵', '短评打分': 5}
{'短评内容': '位置、环境、服务还都可以，以前住过5楼，楼下KTV很吵，这次定的高楼层还可以.本来预定了两天，现在想再续一天，却被告知要提价，幅度还很大，这样就比同档次、同位置的酒店费用要高，实在没什么优势。', '短评打分': 5}
{'短评内容': '缺点：位置较偏。说是离大雁塔2站路，其实是离大雁塔北广场（喷泉）2站，而且这2站还挺长，如果走路，要走好长时间。尤其是晚上看完喷泉之后（说实话，这个喷泉真心一般，看过其他城市喷泉的不用看了），既打不到车，也挤不上公交（这个时间只有19路，人巨多）。早上一楼的自助餐12元一位，有几种凉菜、小菜。热菜只有2个，已经凉了，还很辣。包子、馒头也是凉的。不过后来老板又买来了热包子。鸡蛋、小米粥、炒米是热的。', '短评打分': 5}
{'短评内容': ' 非常不错的环境 美中不足的就是房间隔音效果有点问题 隔壁房间老有水声 不过睡着了就不知道了！', '短评打分': 3}
{'短评内容': '总体感觉不错。', '短评打分': 3}
{'短评内容': '离大雁塔有2-3站，环境不错。。。。。。。。。。', '短评打分': 5}
{'短评内容': '交通还算便利，前台服务比较到位和热情。性价比挺高。', '短评打分': 5}
{'短评内容': '隔音不好临近街道还有K房，服务一般.周围环境很一般', '短评打分': 1}
{'短评内容': '入住时是中午，因为人很多，所以感觉前台的速度不是很快。晚上回酒店后，发现无法上网，通知前台后，来了个女的前台经理，态度非常好。唯一不足的是，酒店没有餐厅，楼下有一个餐厅，无法挂在房费中。', '短评打分': 5}
{'短评内容': '条件不错推荐', '短评打分': 3}
{'短评内容': '还不错，设施都很新，交通也比较方便，推荐推荐！', '短评打分': 5}
{'短评内容': '如家不错呀！', '短评打分': 3}
{'短评内容': '房间比较干净，周围环境也不错，下次去西安还会光顾。', '短评打分': 5}
{'短评内容': '之前没有告知只能刷信用卡或使用现金，晚上到了后才被告知不能使用储蓄卡，只能再去取钱，事后居然没有道歉。此外，电视效果极差，上网速度超慢。退房后不让在大堂上网，退房当日电梯还坏掉了，又等修电梯。。。\n', '短评打分': 1}
{'短评内容': '卫生条件可以，美中不足没有衣柜，电视效果较差！', '短评打分': 5}
{'短评内容': '需要改进淋浴水龙头固定支架，否则淋浴比较麻烦', '短评打分': 5}
{'短评内容': '    没有停车场，有点不方便', '短评打分': 3}
{'短评内容': '房间挺满意的，就是位置有些偏', '短评打分': 3}
{'短评内容': '挺舒适的，而且交通也比较方便，周围也有餐馆', '短评打分': 5}
{'短评内容': '还算干净整洁，服务态度好，虽然设施简陋一点，没有衣柜，两晚借电吹风都说已经借完了。', '短评打分': 5}
{'短评内容': '方便很不错', '短评打分': 3}
{'短评内容': '还不错,蛮干净的,只是电梯只有一部,不过还不算紧张,前台服务很不错!', '短评打分': 5}
{'短评内容': '楼下有KTV，非常吵。晚上睡不好。酒店隔音差。', '短评打分': 1}
{'短评内容': '服务还行，房间整洁，就是因为临街，有点吵！', '短评打分': 5}
{'短评内容': '房间还不错~位置很好~\n服务也不错。\n就是电视实在寒碜了点。\n是21寸的创维电视，不是液晶的也就罢了，还看不了几个台。', '短评打分': 5}
{'短评内容': '干净舒适温馨！就是地有点偏呵呵', '短评打分': 3}
{'短评内容': '周边环境差了点，较干净，在大马路边，故靠马路边房间会很吵', '短评打分': 5}
{'短评内容': '不好，不是我喜欢的类型。设施太简单了。应该不会再去住了。', '短评打分': 1}
{'短评内容': '房间很大，交通方便。希望分一下无烟楼层。', '短评打分': 5}
{'短评内容': '大床房内陈设极其简单，连个柜子都没有，东西只能搁台子上。入住第2天晚上就遇上停电，7点开始直到半夜。值班人员的应对措施极其失败，对客人的抱怨没有任何具体措施，只是拖延等待送电，值班经理甚至躲进办公室不出来。电梯，用水都没了。也没有应急灯，等到10点多，只能摸索着爬上10多楼的客房。在外游玩一天，回来累坏了，还受气。第2天就退房走了，唯一的补偿措施是停电当晚的房费8.5折。我宁愿多给他1.5折房费换', '短评打分': 1}
{'短评内容': '稍离商业区稍远了点。第二次定单入住时，酒店停电了，他们的自发电也坏了，只好换别的酒店了。', '短评打分': 5}
{'短评内容': '不错，定的18点前到，打了个电话留房给留到20点，服务也不错，干净', '短评打分': 5}
{'短评内容': '酒店很干净，服务很好。就是离大雁塔还是有点远，我走路过去，累死了。', '短评打分': 5}
{'短评内容': '还算比较方便，离大雁塔比较近。吃的方面就不太理想了。房间很安静，这点很好。', '短评打分': 3}
{'短评内容': '房间较大，交通比较方便，靠近大雁塔。如果想吃到正宗小吃就费点时间了', '短评打分': 5}
{'短评内容': '由于是新开的店，打的司机都找不到，找了很久，其他很不错，新装修的，卫生挺好，', '短评打分': 5}
{'短评内容': '卫生设施都挺好，位置还行。，价格都差不多。', '短评打分': 5}
{'短评内容': '这家酒店是新开业的，店里的设施都很新、很干净，服务人员也都很有礼貌、服务态度很好。酒店附近有市场、有超市买东西方便。公交也方便。到大雁塔走着去就行了。', '短评打分': 3}
{'短评内容': '这家酒店是新开业的，卫生不错，设施也挺好，服务人员也都有礼貌。酒店地理位置也很好，交通方便，周围有市场、超市。早餐12元/人自助餐也很卫生。总之，该酒店性价比不错。', '短评打分': 5}
