{'短评内容': '第一次在京东定酒店 体验不错', '短评打分': 5}
{'短评内容': '虽然酒店处于市中心，但是门面实在太小。而且出租车不能停靠在酒店门口，如果拿大件行李或者是重物的话，就不方便了。而且酒店大堂设在7楼，不方便。房间还算可以。', '短评打分': 1}
{'短评内容': '位置不错，步行5分钟就到市中心喷水池，停车场太小、早餐一般', '短评打分': 5}
{'短评内容': '不错各方面都挺好的！！！就是停车场小了点！！！', '短评打分': 3}
{'短评内容': '停车场小了一点！价格稍微高了点！其他都还可以！', '短评打分': 5}
{'短评内容': '好！早餐不理想。', '短评打分': 5}
{'短评内容': '性价比还可以，床睡着挺舒服的。', '短评打分': 5}
{'短评内容': '                   客房不错,早餐不怎么样                   ', '短评打分': 5}
{'短评内容': '酒店的硬件在同档次的酒店里算比较好的，服务也还算好', '短评打分': 5}
{'短评内容': '+大堂在七楼不舒服,房间里面还不错有电脑网速不行', '短评打分': 3}
{'短评内容': '价格还算可以 装修也还可以  这样的  价格是可以接受的', '短评打分': 3}
{'短评内容': '还可以  价格高了点 也就准四星  交通好  服务有待提高  装修距离五星太多', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '酒店房间设施确实是很不错的，也很干净，性价比还是很好的 ', '短评打分': 5}
{'短评内容': '酒店的位置很好，在贵阳市中心位置出行交通更方便，性价比也很合理，配置硬件都比较达标，值得推荐入住的酒店。', '短评打分': 5}
{'短评内容': '位置还是挺好找的，服务态度还行，房间也还可以，价格还是有些贵了，酒店其实还是挺一般的，没什么特别的地方。', '短评打分': 1}
{'短评内容': '位置还行。大堂不在一楼，不喜欢。性价比不高。', '短评打分': 1}
{'短评内容': '住的时候还是蛮好的，酒店也还可以，价格都是能接受的，硬件设施上面是挺不错的，但是酒店的服务还是稍微有些差希望还是可以加强一下服务，其他都还是挺不错的。', '短评打分': 1}
{'短评内容': '本来对该酒店的印象挺好的，但结账的时候账单上列出许多根本没有的消费，让服务员去查，又很久都没结果，因为要赶飞机，只好给服务员留下了电话号码，等他们查清楚再通知我们，谁知就再也没有回应，月底查账单却被扣了两天的房费，实际我们才住了一天半，所以提醒各位退房的时候一定要看着服务员查房，以免被多收费还说不清楚。', '短评打分': 1}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店位置确实非常好，位于市中心黄金地段。\n\n停车场小，贵阳的酒店这个是通病，不过服务生会帮你停车。\n\n电梯只有两部，慢，大堂在7楼，等电梯的时间稍微长点。\n\n入住4天，其中3天听到隔壁房间通宵麻将声，隔音一般。\n\n卫生还可以。\n\n前台服务欠佳，我下午4点入住，居然说房间还没有打扫好，让我等。好的酒店，一定会说抱歉，并且免费升级房。', '短评打分': 5}
{'短评内容': '酒店不错，设施很新，房间比较大，还有电脑，电视是液晶的，就是停车场太小了，停车不方便。', '短评打分': 5}
{'短评内容': '位置不错，这边出行还是很方便的，房间的卫生和设施也不错，服务也挺好的，整体感觉这家酒店的性价比还是很高的', '短评打分': 3}
{'短评内容': '酒店服务很好,卫生也不错\r\n周围挺繁华,离商业街很近,出行也挺方便\r\n总体挺满意,相比周围酒店价格也还可以', '短评打分': 5}
{'短评内容': '酒店的服务一般，电梯比较慢，停车场非常小，第二天看到车尾被刮花了，但是保安没有说明原因。房间内电脑基本是摆设特别慢，早餐品种非常少。除了位置好之外其他的一般般。\r\n', '短评打分': 3}
{'短评内容': '地理位置不错，比较有特色，只是房间会有蟑螂，靠山崖的房间空气不好卫生间有异味，服务态度不错，早餐一般。', '短评打分': 5}
{'短评内容': '感觉不是很规范，每天晚上较晚之后还有按摩中心的打电话打过来；装修很舒适，但房间气味太重，应该是含对身体不好的物质太多；房间卫生打扫和整理一般，不是很细心。', '短评打分': 5}
