{'descr': '汉庭连锁酒店，正常', 'star': 5}
{'descr': '房间有点小，卫生间的格局实在不敢恭维，大家冲凉的时候记得吧帘子放下来，要不可。。。 \r\n另外，南京的计程车司机给我印象深刻，不是没素质，而是人心坏了，完全没有服务意识。 ', 'star': 3}
{'descr': '房间有点小，卫生间的格局实在不敢恭维，大家冲凉的时候记得吧帘子放下来，要不可。。。\r\n另外，南京的计程车司机给我印象深刻，不是没素质，而是人心坏了，完全没有服务意识。', 'star': 3}
{'descr': '＋汉庭比较方便，地处市中区繁华地段。缺点是房间空间十分狭小。', 'star': 5}
{'descr': ' 酒店要从一个巷子里进去,前台很小,没有自己的餐厅，总体感觉还可以', 'star': 5}
{'descr': '快捷酒店小巧方便，但酒店没有早餐有点遗憾。', 'star': 5}
{'descr': '地点十分隐蔽，巷子口居然连个指示牌都没有，小气的嘞！！因为靠马路边，所以隔音很差，半夜也能听到汽车轰鸣（谴责那些没素质的司机，深更半夜摁tm什么喇叭！）。这家店唯一的可取之处就是前台小商品比较多，不过价格也黑的可以。哎，啥也不说了，玛丽隔壁的。', 'star': 1}
{'descr': '酒店在湖南路上，离地铁不远，位置比较好找，就是大门朝向在一个小巷子里，所以要费点心思，但出行和吃饭都很方便', 'star': 5}
{'descr': '地点不错，就是开在巷子里，奇怪为什么不对着马路！', 'star': 5}
{'descr': '淋浴房下水道不好用，其他的还可以', 'star': 5}
{'descr': '位置很好，就是房间太小了，床跟桌子自己都要横着过去，前台办事效率也很慢，希望能提高', 'star': 1}
{'descr': '酒店整体服务不错，打扫卫生很勤快，前台也比较热情，位置就在湖南路上，出行很方便，离地铁口也不远。不过房屋内比较简陋，性价比不高。', 'star': 5}
{'descr': '前台处理问题太差，不会推荐', 'star': 1}
{'descr': '房间太小。', 'star': 3}
{'descr': '离湖南路很近,太方便了', 'star': 5}
{'descr': '湖南路附近的都住过一遍了~还是觉得汉庭住的最舒服。就是隔音真的不好~', 'star': 5}
{'descr': '性价比不错！', 'star': 5}
{'descr': '位置很好,就是地方太小了', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '百元房很划算', 'star': 3}
{'descr': '住的新春百元房，交通很方便。定了双床一开始还搞错了，沟通之后换了，蛮好。浴室和厕所的门很奇特哈，还有数字电视，房间不大，不过个人觉得够了。其他都还好，就是被子上一股很浓很浓的烟味，怀疑……有没有洗换，睡了一晚头痛死了。不过还是很好的，下次应该会再去吧', 'star': 5}
{'descr': '总体还可以', 'star': 5}
{'descr': '好', 'star': 1}
{'descr': '隔音效果一般，能听到隔壁的声音，很不好，影响休息！其它的都挺好的', 'star': 3}
{'descr': '房间有点小，其它还行', 'star': 5}
{'descr': '特价很好啊~', 'star': 5}
{'descr': '房间略小点，干净整洁，推荐', 'star': 5}
{'descr': '就是觉得卫生间太小了，淋浴房跟厕所用一个玻璃门，很不方便。淋浴房太小太小了闷~~，其余都不错！汉庭的服务一向都是我最欣赏的！百元房太实惠了！', 'star': 5}
{'descr': '有点小，其他都很好', 'star': 5}
{'descr': '酒店的房间之间隔音效果太差，站在门外能非常清楚的听到房间内的讲话', 'star': 5}
{'descr': '还可以！谢谢！', 'star': 5}
{'descr': '不错，推荐去', 'star': 5}
{'descr': '还可以', 'star': 5}
{'descr': '交通便利，设施很不错', 'star': 3}
{'descr': '不错', 'star': 5}
{'descr': '位置很好,靠近马路,只是如果住临街的房间会有些吵,房间里面很干净,就是没有一次性剃须刀,不太方便,总体来说还不错,价格也比较合适.', 'star': 3}
{'descr': '上次订的是周日百元房，价格实惠，环境也不错，我就是觉得房间有点小', 'star': 3}
{'descr': '酒店就在湖南路旁的一个小巷子里，离狮子桥很近，里面蛮干净的，接待的小姐服务很好，推荐', 'star': 5}
{'descr': '地理位置很好，出行都很方便，购物也很不错，周围更是美食一条街，环境也很好，卫生也不错，总之性价比来说十分高，下次还会来住', 'star': 5}
{'descr': '酒店地段不错，附近就有八佰伴，星巴客，屈臣氏等购物场所，走不远就到狮子桥，餐饮场所也比较多。酒店可能有点不好找，在一个小巷内，看见“裴家桥”的标识进去就能找到了。我住的那间房有点小，空调还会响，走的那天前台会打电话提醒你退房。总体来说，我觉得这家酒店有待提高。', 'star': 1}
{'descr': '不错，很方便', 'star': 5}
{'descr': '服务挺不错的,房间的设施也还行,就是酒店的位置有些偏了出行还是挺方便的,性价比挺高的,还是比较不错的一家酒店.', 'star': 3}
{'descr': '其它都还可以，只是房间有点小，而且隔音效果不是太好，能听到隔壁的声音，挺郁闷的！', 'star': 5}
{'descr': '都很满意，只有一点，房间还是小了一点，', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '这次入住的是百元房 各方面都不错 性价比非常高 关键是地理位置好 离玄武湖和狮子桥都很近 下次去南京还会考虑住这里', 'star': 5}
{'descr': '什么都好，我给5星，要是酒店再提供一次性的剃须刀的话那就完美了，总体来说是个性价比很高的酒店！！！', 'star': 5}
{'descr': '离商业区很近，步行就可以逛街。周日有特价房哦。', 'star': 5}
{'descr': '环境不错，服务很好，就是酒店大门比较难找。', 'star': 5}
{'descr': '各方面还说得过去，较突出的一点是：住店可以免费打印文件，每天5页，虽然少了一点，但在其他酒店还没见过，在大堂休息时还有免费饮料。缺点是门前停车位太少，二、三、四层都是公司，把仅有的停车位都占满了。', 'star': 5}
{'descr': '酒店整体的性价比还是蛮不错的,里面也蛮干净的,人员服务也很热情,挺不错的.', 'star': 3}
{'descr': '性价比挺高，旅行住宿选择还是不错的', 'star': 5}
{'descr': '整体来讲还是不错的,出行都很方便的,服务上也是很热情的,就是房间太小了,呆着感觉不太舒适.', 'star': 3}
{'descr': '性价比很好', 'star': 5}
{'descr': '干净简单的小酒店，服务很热情，位置也比较方便。', 'star': 5}
{'descr': '不错，干净便捷', 'star': 5}
{'descr': '周末特价房去住的，性价比很高。地理位置不错，离湖南路商业街和狮王路美食街很近。缺点是酒店非常难找，在一条叫裴家桥的小巷子里，而且巷子口树着机动车禁止驶入的标志，非要违反这个禁令才能找到这个酒店。', 'star': 5}
{'descr': '这家酒店就是房间面积小了点,其它方面还是不错的,价格方面挺合适的.整体感觉还可以了.', 'star': 5}
{'descr': '很干净，设施很全，位置也不错，在湖南路商业街附近。不过房间太小了。总的来说还是挺满意的。', 'star': 5}
{'descr': '整体感觉还是不错的,服务卫生方面还是可以的,周边交通也还可以了,价格方面也比较实惠的.', 'star': 5}
{'descr': '这家酒店很满意，环境很好，特别干净，价格也实惠，值得推荐 ', 'star': 5}
{'descr': '感觉酒店还可以，就是隔音效果太差，第一次去的时候有点不太好找，酒店在一个小巷子里，走路5分钟左右就可以到地铁站了，服务也不错，就是觉得服务人员有点少，总要等', 'star': 5}
{'descr': '搞错了，把玄武门的评论发这儿来了，sorry', 'star': 3}
{'descr': '住的是大床间，床真的很大（大概是6尺的），但房间的空间就给挤小了。不过经济型酒店也不能要求太高，干净舒适就好。卫生洁具比较高档，好像是toto的，干净铮亮，洗澡水很大舒服。卫生间浴室公用一扇门且上方不封闭，如厕抽烟会弥漫整个房间。位置不错，对面有大润发，早餐可以到对面的永和豆浆，还有米线店和其他一些饭店，吃饭没问题（酒店的早餐实在不敢恭维）。门口就是公交车站，出行方便，但选房间就最好要窗户对着后面', 'star': 5}
{'descr': '位置很方便,靠近湖南路,房间里面也很干净,前台接待也比较热情,很满意的.', 'star': 5}
{'descr': '很好的很舒服', 'star': 5}
{'descr': '我从来没有住过这么差的经济性酒店！\r\n\r\n1、房间恶小。床和书桌之间做一个人都困难，另一个人根本不要想路过。床和一侧墙壁之间的空间，只够侧着走。相反的，进门玄关却空了一大块地方不知道干什么用。\r\n\r\n2、开放式的厕所。厕所与浴室共用一个门，关上浴室门，厕所就是完全敞开的；而关上厕所门，浴室就变成完全开放的了。这种经典的脑残设计，真不知道是谁想出来的。\r\n\r\n3、从床单到毛巾，都是一种灰里透白的颜色', 'star': 1}
{'descr': '环境很好，推荐入住。', 'star': 5}
{'descr': '各方面都还可以,主要是位置比较方便', 'star': 5}
{'descr': '除了地点好点，价格没什么优势，房间和卫生间是在一个空间里面的，', 'star': 1}
{'descr': '经济型酒店要求不能太高，硬件设施是比较简单的，不过他们的服务挺好，比较干净，而且选址不错，地理位置方便，价格优惠。', 'star': 5}
{'descr': '补充，房间很干净，服务员态度也很好，也不是那么糟糕，还是可以住的。', 'star': 3}
{'descr': '门口难找 房间很小 电梯只有一部 还公用，整体感觉很压抑，不过南京现在的房价也偏高，227元也只能住到这个水平了。', 'star': 1}
{'descr': '比想象中的要好', 'star': 5}
{'descr': '酒店的房间小了一些，其他都挺不错的，对于经济型酒店来说这家店挺不错的', 'star': 5}
{'descr': '酒店的交通还算方便，环境设施，服务卫生都挺不错的的。', 'star': 5}
{'descr': '09年元月,春节前出差时,住过,酒店不是很大,房间都在5-7层,有一部电梯.房间挺干净,服务也不错,特价房100元超值.紧邻狮子林,饮食方便.离鼓楼和玄武湖也不远,交通挺便利.下次去还会住.', 'star': 5}
{'descr': '环境服务都不错，设施也很好，就是位置有点偏，价格稍高一点', 'star': 5}
{'descr': '酒店的位置虽然临近湖南路，但是在一条小路上，比较难找，外面的环境很一般。房间还不错，设施比较新。汉庭这家酒店，感觉性价比还是比较低。', 'star': 3}
