{'descr': '还不错，有停车位', 'star': 5}
{'descr': '喜欢床上的粉粉的被子，感觉象家里一样。不象以前都是白色的床上用品。黄和蓝的配件很不错，朋友来看我时看到我用黄色的杯子喝水还以为是我从家里带来的，哈哈。就是隔音效果不太好，还有电视机如果用遥控器关的话上面会有鲜红的TCL三个字母显示在上面（好大的字），所以总得自己爬起来去关掉电源，有点麻烦。', 'star': 5}
{'descr': '生意很好，提前一天到达，居然没房间。只能按照原先计划入住才行，这次定的房间巨大，感觉空空的，家具不多，挺好！就是房间点播电视反应有点慢，其他一切都好。早晨也不错', 'star': 5}
{'descr': '住过几次了，就是感觉出行方便。如家，感觉到哪里都差不多吧。', 'star': 5}
{'descr': '喜欢被子的颜色，喜欢床头灯，喜欢家一样的感觉。挺舒服的，下次还住。。。。', 'star': 5}
{'descr': '感觉还不错，卫生也不错，位置也比较适宜，价格也能接受', 'star': 5}
{'descr': '泰州就这一家如家，还算可以吧，早餐比想象的好些。电视节目丰富。', 'star': 5}
{'descr': '这家酒店地点不错，整洁、干净，房间还比较大，每次出差都住那', 'star': 5}
{'descr': '酒店位置、硬件都还算不错，比较干净\n性价比高', 'star': 5}
{'descr': '这家酒店地点不错，更重要的是整洁、干净，房间还比较大，总的来说性价比不错', 'star': 5}
{'descr': '服务硬件非常好，当然价格也不贵，总之性价比还不错', 'star': 3}
{'descr': '服务非常好，硬件一般，当然价格也不贵，总之性价比还不错。', 'star': 3}
{'descr': '交通方便，设施齐全，尤其是酒店的服务，前台都很热情，行李生很彬彬有礼', 'star': 5}
{'descr': '前台的态度太差，还从来没有经历过这种服务态度的。冷漠没素质。', 'star': 1}
{'descr': '比较明亮，我喜欢这类型的房间，性价比高，值得推荐。', 'star': 5}
{'descr': '第一次去 酒店的环境很干净 就是离商业区有点距离', 'star': 5}
{'descr': '+环境和地理位置好，性价比高，推荐入住', 'star': 5}
{'descr': '性价比很好，地段好找，周边方便，很满意', 'star': 5}
{'descr': '出差去泰州总住这家的，硬件也比较新 就是吃饭不方便', 'star': 5}
{'descr': '前台服务水平及质量需进一步提高,特别是网上预订信息掌握不够及时', 'star': 5}
{'descr': '服务比别的地方的如家差些，给我感觉不是很好。', 'star': 5}
{'descr': '卫生不错，硬件也比较新。不能吃饭不方便', 'star': 3}
{'descr': '性价比上来说还可以', 'star': 5}
{'descr': '值得一住，吃饭不方便，只有早餐！', 'star': 5}
{'descr': '地理位置不错,很安静.离汽车站也不远,一个起步价就到了.就是工作人员有点少,我看前台都很忙,但还是忙不过来啊!还有,早餐太油了,多点清淡的早餐就好.', 'star': 5}
{'descr': '位置不错.', 'star': 5}
{'descr': '离办事的地方较近，所以选择了这家，总体还凑合吧', 'star': 5}
{'descr': '虽然如家泰州店的地理位置相对比较偏，但是鉴于如家的定位和口碑，我仍然非常坚定地选择了它。不过住了三晚，感觉比较失望。\r\n首先是床铺的舒适度，我认为这是一个经济型酒店最应该关注的。个人认为如家的枕头比较高，睡着不太舒服。被褥比较单薄。\r\n其次在服务方面，泰州店的服务几乎让人恼火。\r\n虽然我未在门上挂请勿打扰的牌子，但是也不应该有服务员在早上7点多猛敲房门，而且在半小时候之内，连续有两人来敲房门，开门', 'star': 1}
{'descr': '很不错，价格也不高，卫生，干净', 'star': 5}
{'descr': '服务很到位，毕竟是泰州唯一的一家如家酒店 还不错哦', 'star': 5}
{'descr': '宾馆整洁，性价比高。只是宾馆服务员不是很尽职，因为我退房比较早，扒在总台上睡觉，一点形像都没有。而且连客房都没有进行例行检查就让我办了退房手续。搞到最后你们发了个短信给我，说没有我的入住记录！服务员差劲啊！', 'star': 5}
{'descr': '没想到泰州的如家搞得这么好，完全星级标准，不错，下次还会住', 'star': 5}
{'descr': '位置有点偏，其他还好', 'star': 5}
{'descr': '窗帘不行、太小， 还有就是隔音效果太差', 'star': 3}
{'descr': '酒店位置不是很好,要去商场这些地方要走比较远,性价比也是很一般,比大城市的如家会差一些.', 'star': 3}
