{'短评内容': '支付完了就退款，酒店原因没住成', '短评打分': 5}
{'短评内容': '整体性价比比较高，有些细节做的稍微不好，考虑到价格的话还是很合算', '短评打分': 5}
{'短评内容': '交通比较便利，环境很干净，服务还可以，下次还会选择', '短评打分': 5}
{'短评内容': '房间还行，只是卫生间有点小，服务也不错，离地铁口略微远点，要走10来分钟。', '短评打分': 5}
{'短评内容': '标准间还行，只是卫生间有点小，服务也不错，离地铁口略微远点，要走10来分钟。', '短评打分': 5}
{'短评内容': '是一家不错的酒店，下次来一定还住。主要是有停车的地方', '短评打分': 5}
{'短评内容': '酒店硬件可以，距离石景山游乐园、301医院比较近，可以考虑入住。', '短评打分': 5}
{'短评内容': '环境很好，但是价格少许有些贵，服务还不错', '短评打分': 5}
{'短评内容': '  不错就是有点贵了', '短评打分': 3}
{'短评内容': '酒店设施 不错 以及房间内部设施一应俱全 就是没有早餐 有点可惜', '短评打分': 5}
{'短评内容': '服务很好 酒店设施很不错 要是有早饭就更好了 停车费用有点贵 别的都还好', '短评打分': 5}
{'短评内容': ' 房间很大，设施不错，服务更好', '短评打分': 3}
{'短评内容': '酒店还是不错的，特别是豪标好一点，卫生间大，但是现在价格越来越高了，价格再低点就更好了', '短评打分': 5}
{'短评内容': '给客户订的，说还会去！饮食很方便！！！！！！！', '短评打分': 5}
{'短评内容': '给客户订的，很喜欢那里，离万达很近，吃饭很方便！价格比较合理，经常爆满！', '短评打分': 5}
{'短评内容': '商务间还不错。位置方便在石景山办事，万达广场在旁边，晚上看电影方便。', '短评打分': 5}
{'短评内容': '雅高旗下的4星，都不会差到哪去~~开车去的，入住2天，每天只免12小时的停车费用~~所以，不推荐自驾前往~~', '短评打分': 5}
{'短评内容': '不错的酒店，环境不错，下次有机会还会入住。', '短评打分': 5}
{'短评内容': '服务很好，客房为大床房。位置远，，，，，，，，，', '短评打分': 5}
{'短评内容': '环境不错，客房干净，感觉挺好的，仅临万达广场，吃饭购物都方便。', '短评打分': 3}
{'短评内容': '位置有点偏，但酒店的管理不错，以后有机会还会入住雅高集团管理的酒店。\n\n房间内的地毯感觉太脏了，不知有没有可以解决的好办法？', '短评打分': 5}
{'短评内容': '整体还不错，性价比较高，值得推荐！', '短评打分': 3}
{'短评内容': '该酒店经常安排朋友去住，条件还可以就是早餐贵了点。提一个要求：同一标准的房间的大床或双床房可以分开选择，免得造成不便。', '短评打分': 5}
{'短评内容': '酒店住宿情况还好，条件也不错，就是价格太高了。尤其是早餐，居然要80块钱，品种还很少，别我吃过的30块的都差，简直可用垃圾形容。', '短评打分': 1}
{'短评内容': '设施很差，办理入住手续需要从一个楼走到另一个楼，非常不方便，办完后还得拖着行李几乎横穿整栋大楼。浴室水龙头居然也是坏的，最让人不理解的是，做为一个四星级酒店，服务员的交流居然基本靠吼，睡一个下午觉不到一小时被吵醒三回。', '短评打分': 1}
{'短评内容': ' 内部不错，位置有些偏', '短评打分': 3}
{'短评内容': '环境不错,但是价格太贵,前几个月还四百,现在一下涨了一百七十,有点无法接受,另外五百七十五的价格应该含早餐,可是这家酒店没有..', '短评打分': 1}
{'短评内容': '房间很大，条件可以，房价有点高', '短评打分': 3}
{'短评内容': '一般般吧嗒 价格有时飞常贵啊呀，，，，，，，，，，，，，，，，，，，，，，，，＂，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，，＂，，，，，，，，，，', '短评打分': 5}
{'短评内容': '环境不错，卫生条件极好，设施齐全，很满意。', '短评打分': 3}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错', '短评打分': 5}
{'短评内容': '太贵了啊太贵了啊太贵了啊太贵了啊太贵了啊太贵了啊', '短评打分': 5}
{'短评内容': '酒店在石景山算是很不错的了,可能边上的伯尔曼更好一些，但是价格贵了很多', '短评打分': 5}
{'短评内容': '各方面都不错，设施齐全，物有所值。就是床有点硬。', '短评打分': 5}
{'短评内容': '酒店不错，早餐特好，位置离市中心有点远，但乘地铁还算方便。', '短评打分': 5}
{'短评内容': '干净卫生，有游泳池和健身，就是有点远。还不错。', '短评打分': 5}
{'短评内容': '位置不错就在西边万达广场后面，有空可以逛逛商场，酒店卫生条件很好，打扫的比较干净，结账也比较快，就是房间太小了', '短评打分': 1}
{'短评内容': '环境还不错，就是酒店大堂的布局有点诡异：接待处在最里面，电梯在最外面。而且办完入住手续以后工作人员也没有指引，我直接就往后走，进后面的运动中心了，还找上楼的电梯呢= = 找了一圈才发现电梯是在大堂门口的左手边', '短评打分': 5}
{'短评内容': '性价比较高。酒店配套设施健身房游泳馆感觉不错。有机会下次还会选择这家。', '短评打分': 5}
{'短评内容': '预付414含双早，还是不错的，房间宽大，阳台飘窗很惬意！床品还算大但是有点硬，反正我觉得睡得很舒服！！！酒店的游泳健身设施不错，虽然也面向社会开放，可是环境也还不错，早餐不错，东西齐全，现做的华夫饼很不错，法国人管理的酒店，不得不说还是与众不同，很有一套，不服不行！！！周末好好休闲玩耍了一下！！！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '价格飞涨，比最初的时候已经贵了150元每夜，失去了性价比。 走廊里一直很吵，电话投诉说马上就解决，结果还是依旧，懒得说了，下次换地方，铂尔曼虽然贵点，但是给人感觉是物有所值，万商花园518的价格给我的感觉就是一个词：不值。', '短评打分': 1}
{'短评内容': '还能接受；\n豪华房间比标准间好就好在淋浴房大，水好。其他感觉还不如。', '短评打分': 5}
{'短评内容': '干净 不错\n大堂也很不错 \n其他服务设施也很好', '短评打分': 5}
{'短评内容': '这个酒店怎么越来越贵了啊？以前价格四百多还可以，现在就不值了...', '短评打分': 1}
{'短评内容': '现在价格怎么这么贵啊？太不值了啊...不推荐不推荐', '短评打分': 1}
{'短评内容': '不错.住起来还是比较舒服的!就是价钱有点高', '短评打分': 5}
{'短评内容': '不太好找，房间还可以，就是感觉价格偏高……', '短评打分': 5}
{'短评内容': '总的来说，性价比还是不错的。\n入住后感觉的缺点，就是淋浴的水，水量太小了。', '短评打分': 5}
{'短评内容': '还算比较舒服，设施也比较全.价格相对合理.', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 3}
{'短评内容': '基本上还可以，一直这个价格还不错。有的房间没窗户', '短评打分': 5}
{'短评内容': '这个季度的价格还可以，人多的时候感觉服务员态度就不那么好了', '短评打分': 5}
{'短评内容': '酒店干净，位置优越，是公出的好选择', '短评打分': 3}
{'短评内容': '性价比还是挺高的，毕竟也是Mercury', '短评打分': 5}
{'短评内容': '还不错就是第一天入住时发现打扫的不太干净地上有些脏', '短评打分': 3}
{'短评内容': '环境很好，就是早餐太贵了，总的来说还可以入住。', '短评打分': 5}
{'短评内容': '酒店环境不错但个人睡不惯太空棉的被子和枕头。', '短评打分': 3}
{'短评内容': '套房特别好，服务不错，离万达广场超近。豪华间也足够大！！！！必须说一下，我是当婚房的，当初来考察这里房间时，门童小伙子特别亲切，介绍得也很明白，让我很有信心，就给定了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '酒店房间干净，周围有华联和万达广场，购物吃饭等很方便。还有游泳池很不错的。\n\n只是非周末的订房是没有免费早餐的，一人是近90元，有点贵！\n\n', '短评打分': 5}
{'短评内容': '帮朋友订的，他说很不错。就在西万达广场旁边，很好找。', '短评打分': 5}
{'短评内容': '住过三次，非常不错的酒店，地理位置和早餐都不错。希望再有机会入住。', '短评打分': 5}
{'短评内容': '酒店装修后房间宽敞明亮，非常整洁。我喜欢。', '短评打分': 5}
{'短评内容': '整体感觉不错，服务意识挺好，酒店硬件一般，卫生间很大很不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '周边很繁华，服务质量一般，但态度还算可以改进，希望可以更好，还有服务人员的英文，念得更像英文就更好了。', '短评打分': 5}
{'短评内容': '较好', '短评打分': 3}
{'短评内容': '房间很大，隔音不错，性价比较高，周围环境也很好。早餐挺好吃的', '短评打分': 5}
{'短评内容': '位置有点偏，但酒店干净整洁，服务也有4星水平，整体感觉不错。', '短评打分': 5}
{'短评内容': '价格便宜，位置很好，说是五星级，我觉得不错，希望下次在入住这家酒店，1号我还在这住', '短评打分': 5}
{'短评内容': '房间很温馨。我喜欢窗台的设计，变成一道长沙发，可以很舒服的坐着喝喝茶。', '短评打分': 5}
{'短评内容': '住过多次，环境非常安静，餐厅物美价廉，还有很好的健身中心，周边很方便，设备很新\n\n', '短评打分': 5}
{'短评内容': '性价比很高的酒店，唯一的缺点是床太硬了,房间的设施新颖', '短评打分': 5}
{'短评内容': '我们本来是想住标间，恰好有特价套件，可能因为是特价，感觉性价比特高。', '短评打分': 5}
{'短评内容': '价格对于品牌来说比较合理，房间设施整体不错。', '短评打分': 5}
{'短评内容': '酒店还是不错的，值得推荐，交通方便，房间舒适', '短评打分': 5}
{'短评内容': '还不错，万达广场旁边，性价比较高，交通、购物方便，服务、卫生很好，周边餐饮类型很多。', '短评打分': 5}
{'短评内容': '免费停车，环境很好，也不贵，就是离市区稍微有点远，值得推荐。', '短评打分': 5}
{'短评内容': '早上九点多到的，酒店一直不给安排入住，等了好久后打投诉电话投诉后，酒店才给安排了入住。对酒店很气愤觉得服务很差劲。', '短评打分': 3}
{'短评内容': '干净,周边环境也不错,有一个万达广场,有很多吃的地方!还会去!', '短评打分': 5}
{'短评内容': '非常不错的酒店，硬件设施非常好，服务也很好，想躺床上上网，他们可以提供很长的网线，要出门，他们会帮你叫车，有电话打进房间，前台会先征求意见是否接过来。\r\n位置也不错，就在万达广场，很好的酒店', '短评打分': 3}
{'短评内容': '位置还可以，不太好找，酒店还是不错的。特别是卫生，很不错', '短评打分': 5}
{'短评内容': '一般的三星级酒店，看前台以为是连锁店呢！可能是酒店没有几层楼，所以住该酒店有一种说不出的难受。天冷时住在二楼，室内黑乎乎的，好像被囚禁似的感觉。花许多银子住这样的酒店太不值了！叫花钱买罪受！', '短评打分': 1}
{'短评内容': '+还不错', '短评打分': 5}
{'短评内容': ' Nice Room', '短评打分': 5}
{'短评内容': '不错，很干净', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 5}
{'短评内容': '性价比很高，环境舒适，附近的设施齐全，靠近万达广场，吃喝玩一条龙', '短评打分': 5}
{'短评内容': '僻静，房间大。前台经理比较专业。遗憾的是咖啡厅布满地插，却没有电。离地铁/商场都不远。下次有机会还来。', '短评打分': 5}
{'短评内容': '房间设施不错，也很安静，停车方便，对得起四星', '短评打分': 3}
{'短评内容': '安静。早餐不错。停车比较方便，\n\n貌似这里是石景山中心，旁边是万达广场。购物比较便利。', '短评打分': 5}
{'短评内容': '酒店很好，房间干净。', '短评打分': 5}
{'短评内容': 'g干净舒适，隔音差一些', '短评打分': 5}
{'短评内容': '还算不错,酒店感觉很舒适.下次还会入住', '短评打分': 5}
{'短评内容': '入住行政房，设施很好，也很干净，房内配电脑就更好了', '短评打分': 5}
{'短评内容': '一般条件都很好,性价比较高.只是市话也要收费的,略显小气.', '短评打分': 5}
{'短评内容': '帮同事订的房间，很舒适。下次有机会还会再订的。', '短评打分': 5}
{'短评内容': '挺不错的', '短评打分': 5}
{'短评内容': '非常卫生，好', '短评打分': 5}
{'短评内容': '房间不大 但干净卫生 安静 很舒适的商务酒店', '短评打分': 5}
{'短评内容': '最早好像是2005年住过这家酒店，一直比较关注这家酒店的发展，酒店的确是越做越好了，交通便利，停车免费，很好。推荐！', '短评打分': 5}
{'短评内容': '酒店环境和卫生都还不错，周边设施齐备，旁边几个超市方便购物。', '短评打分': 5}
{'短评内容': '酒店很新，各方面条件都不错，位置有点偏。值得推荐。', '短评打分': 3}
{'短评内容': '酒店很新，各方面条件都不错，位置有点偏。值得推荐。', '短评打分': 5}
{'短评内容': '住的行政房间,刚进房间的时候感觉房间的布置跟往常入住的酒店有些不同的,很宽敞,.房间很干净,还算舒适.', '短评打分': 5}
{'短评内容': '实实在在的四星级酒店，服务好，客房条件好,会再次入住', '短评打分': 5}
{'短评内容': '感觉非常好', '短评打分': 3}
{'短评内容': '很赞，卫生间很大很干净。泡个澡很舒服啊', '短评打分': 3}
{'短评内容': '感觉就非常喜欢，卫生间很大，有浴缸，床很舒服。', '短评打分': 5}
{'短评内容': '以前住过感觉很好,所以再次入住,设施和服务确实不错,毕竟是雅高管理的,停车也方便,可能是最近入住率低,热水要放一会才有.总体很好.推荐', '短评打分': 5}
{'短评内容': '春节期间入住，可以免费升级为豪华房，房间内有玻璃浴室，可以边泡澡边看电视，而且入住酒店，还可以免费使用健身房和游泳池，游泳池真是非常好，有温泉理疗池，非常适合老人、小孩或不会游泳的人，关键是人少，比较幽静。酒店整体也不错，位置非常好，紧挨石景山华联和万达广场，吃玩徒步5分钟就可以到达。', '短评打分': 5}
{'短评内容': '服务、设施总的说不错，就位置差点，但离地铁还算较近。 ', '短评打分': 5}
{'短评内容': '标准四星。。很干净室内设施也不错', '短评打分': 5}
{'短评内容': '总体来说还不错,游泳馆健身房很舒服,就是游泳馆里面有个姓柴的教练服务太差,叫人难以接受', '短评打分': 1}
{'短评内容': '推荐朋友入住，也很满意！', '短评打分': 3}
{'短评内容': '免费的健身房和游泳馆让我惊喜！', '短评打分': 3}
{'短评内容': '第一次入住，整体很满意。\r\n特别是免费的健身房和游泳馆，让我感到惊喜！！', '短评打分': 5}
{'短评内容': '好像降价了，感觉很值，位置和伯尔曼差不多，但是价格便宜不少呵呵', '短评打分': 5}
{'短评内容': '设施不错，空间够大，卫生可以，比较僻静，就是室内温度不能自我调节，室内湿度太低，发干，一晚上干醒好几回', '短评打分': 3}
{'短评内容': '总体不错，就是这个季节房间温度不能自行控制，温度有点偏高、空气太干', '短评打分': 5}
{'短评内容': '酒店设施较新，并且价格合理，但是由于位处石景山地区，如果办事的地点在那边，推荐入住！', '短评打分': 5}
{'短评内容': '还不错，就是贵了点，由原来322提到了403……', '短评打分': 5}
{'短评内容': '在石景山核心区,周围很热闹,吃东西选择很多.有很大很大的游泳池,而且还有仿温泉的设施,可以享受水按摩和高温浸池,很舒服', '短评打分': 5}
{'短评内容': '距八角地铁站10分钟左右步行距离，出门就有饭店、商场、娱乐，离万达广场步行5分钟距离，里面应有尽有；而酒店不在主路上、南面客房临花园，正好远离吵杂，有闹中取静的意思，除了离市区稍远些，我觉得真没有什么不好的。', '短评打分': 5}
{'短评内容': '总体来说不错，下午2点退房，总台及楼层服务员都非常有礼貌，服务到位。下次还会选择。', '短评打分': 5}
{'短评内容': '住宿的性价比还可以，就是早餐太贵了，80多一位，还加收15%的服务费，很不地道！！！', '短评打分': 5}
{'短评内容': '这家酒店新装修的,设施方面还是比较新的,整体感觉环境还是不错的,周边交通一般了,靠近地铁站但还要走很长一段路.价格方面还是蛮合适的.', '短评打分': 5}
{'短评内容': '酒店挺一般的，位置还可以，总的来说性价比不高 ', '短评打分': 1}
{'短评内容': '酒店的整体环境都很好,服务,卫生都很好,酒店的位置很方便,', '短评打分': 5}
{'短评内容': '房间很大的,配套设施比较简陋. 位置比较偏,在南四环外面,但是距离我要去的地方比较方便,价格很优惠.', '短评打分': 5}
{'短评内容': '房间太小,设计风格还可以,针对地点.交通.房间来讲,价格太高了,总之,不建议入住.', '短评打分': 3}
{'短评内容': '房间太小,设计风格还可以,针对地点.交通.房间来讲,价格太高了,总之,不建议入住.', '短评打分': 1}
{'短评内容': '酒店还可以，就是整体的光线较暗！没有好的景色！', '短评打分': 5}
