{'短评内容': '很不错，窗外夜景漂亮，就是有点小吵。', '短评打分': 5}
{'短评内容': '酒店退房时间是中午十二点，不够人性化，其他还好。', '短评打分': 3}
{'短评内容': '还不错，不过早餐没吃，起晚了，灯跳了很快就修好了', '短评打分': 5}
{'短评内容': '为公司员工预定,反映不错,适合经济型出差.', '短评打分': 5}
{'短评内容': '环境不错啊，周围也很热闹啊。很干净，很温馨。', '短评打分': 5}
{'短评内容': '很不错的喔。第三次住进去了。挺干净的。很温馨。以后去合肥了还是会住进去的', '短评打分': 5}
{'短评内容': '硬件较差,性价比不高.服务态度还可以.大部分房内的东东一拿就收费,包括洗漱包,茶叶包这些最基本的.这点让人不太好接受.房价在周边相比之下也偏高.', '短评打分': 1}
{'短评内容': '房间很干净，服务员很热情，我住在七楼，吃早餐在八楼很方便，而且早餐的品种很多，什么东东没了，就再上。我喜欢吃鸡蛋，结果鸡蛋没了，本来查随便吃点别的吧，结果服务员告诉因为今天考试的人特别多，鸡蛋在煮一会儿就好了。', '短评打分': 5}
{'短评内容': '住房条件还可以！', '短评打分': 3}
{'短评内容': '酒店位置不错，周围啥都有。但电梯需要修一下了！那天一进电梯，见工人正在撤按键面板，吓坏了俺！！还有，因为周围在修路，希望酒店提供一些指引，类似如何上高速路之类的，那天害的我转了一个小时！', '短评打分': 5}
{'短评内容': '酒店交通超级方便，酒店还算干净，可惜窗户的朝向有点奇怪，都朝走道的~~~~(>_', '短评打分': 5}
{'短评内容': '位置很好找，国购广场对面，购物也很方便，交通也很便利，这点挺好的。', '短评打分': 5}
{'短评内容': '酒店位置不错，离办事要去的地方很近，房间里设施和卫生条件都还好，格调比较素净，下次再去应该还会继续入住。', '短评打分': 5}
{'短评内容': '交通便利，市口好，就是房间装修简陋，设施比如家要差。房间隔音效果差，而且早餐很差。', '短评打分': 1}
{'短评内容': '房间小，外面闹市比较吵，服务还比较好', '短评打分': 5}
{'短评内容': '+有点窄，有点吵，很方便', '短评打分': 5}
{'短评内容': '大堂不大，很安静，前台的服务态度很好。上楼有观光电梯。房间很大，颜色搭配有让人眼前一亮的感觉。不如如家的温馨，但是给人一种商务的感觉。房间很干净，总体来说不错。', '短评打分': 5}
{'短评内容': '我住的是标间，条件一般，晚上睡觉时外面有些嗡嗡的噪声', '短评打分': 1}
{'短评内容': '我订的双床间，性价比还不错，服务什么的挺好。卫生有待改进，床单上有污渍Orz..', '短评打分': 5}
{'短评内容': '环境还可以，交通也方便，就是隔音不好！基本上什么声音都能听到！', '短评打分': 5}
{'短评内容': '位置不错。卫生和服务都说得过去。装修也让人感觉比较好。 就是隔音比较差，楼下是路口，汽车喇叭的噪音，无论是清晨还是深夜，始终不断。 价格就酒店条件来说有点高', '短评打分': 5}
{'短评内容': '挺干净的。隔音效果不好，夜里服务员推车子哐啷哐啷的，影响睡眠。', '短评打分': 3}
{'短评内容': '出行和购物都很方便，设施很差，不值得推荐，如果能改善一下早餐就更好了', '短评打分': 1}
{'短评内容': '没有一次性拖鞋，没有浴帽。房间又小，浴室不是很干净。性价比不高。', '短评打分': 1}
{'短评内容': '酒店位置还可以，外观有些老旧，服务态度很好，房间有些异味。', '短评打分': 3}
{'短评内容': '酒店位置比较好，对面就是国购广场，吃饭很方便，还有家乐福。', '短评打分': 5}
{'短评内容': '空间太小，价格太高，屋内味道很严重，装修也一般，价格比较贵了。', '短评打分': 1}
{'短评内容': '不错...房间大...干净', '短评打分': 3}
{'短评内容': '整体比较好,就是洗手间小了点,位置不合理!不方便,', '短评打分': 5}
{'短评内容': '装修的很好，而且杯子的设计有点像如家的设计，用颜色去区分开来，这样既卫生又给房间带来了不同的感觉', '短评打分': 5}
{'短评内容': '环境很好，价钱也很便宜，很公道，适合工薪阶层人士入住，各个方面都做的很是不错', '短评打分': 5}
{'短评内容': '酒店的位置很好，附近就就大型购物广场，买些东西十分的方便，而切还有些地方特色的东西在', '短评打分': 5}
{'短评内容': '很适合年轻的入住，房间的设计很有活力，而且价钱也不高，适合学生的入住，提供上网服务很方便，速度也很快', '短评打分': 5}
{'短评内容': '酒店完全不是象网上照片看起来那么干净，酒店外的环境很极差，我是凌晨4点入住的，可竟然在熟睡中于8点左右被服务员的电话吵醒了，真是恨死我了，真不知道她们怎么培训的，完全没有服务意识。这个酒店如果价格是100元的话也许还对得起这个价格，总之，下次去合肥，我肯定是不会再住这家酒店了。', '短评打分': 1}
{'短评内容': '一进房间，感觉很宽敞很干净，设施摆放的很整齐，感觉很舒适。', '短评打分': 5}
{'短评内容': '服务很周到，态度也很热情，让人感觉很亲切。', '短评打分': 5}
