{'短评内容': '非常不错的环境', '短评打分': 5}
{'短评内容': '能看到江的酒店 硬件条件符合5星的标准 房间很舒适 毛巾 床品和床都很舒适 还有大浴缸 孩子在里面洗澡非常安全方便 个人很喜欢的酒店', '短评打分': 5}
{'短评内容': '居住条件很棒！希望酒店能够创造便利的交通环境！', '短评打分': 5}
{'短评内容': '服务没得说，推荐大家选择豪生入住。价位在福州是最吸引人的。', '短评打分': 5}
{'短评内容': '其实有时候用的特惠房，也是可以看江的。 不过随机性还是比较大，没办法优惠价格有这样的服务也是十分难得。', '短评打分': 5}
{'短评内容': '这次客户在酒店住了将近5天，走的时候还特地要求下次还要入住。冬季优惠还是很有效果的', '短评打分': 5}
{'短评内容': '一般预定酒店都是用公司人员的名字，客人到店后前台处理也很人性化。值得表扬', '短评打分': 5}
{'短评内容': '公司来往客户一直比较多，也都是首选豪生酒店，离公司近而且机场也方便。', '短评打分': 5}
{'短评内容': '点评了半天还有4条还没有点评，太多次入住都有点不好意思了。\n\n酒店客服可以不用一一回复。不过酒店还是一如既往的好', '短评打分': 5}
{'短评内容': '酒店的早餐还是不错的，可以适当改善一下面条高汤的味道，有点薄。\n\nROOM SERVICE的汉堡很不错，推荐大家品尝', '短评打分': 5}
{'短评内容': '客户反映酒店很理想， 服务也很好。前台的效率很高。值得表扬', '短评打分': 5}
{'短评内容': '408价格很划算，很适合客户接待。会长期使用该优惠，在该优惠截止前。', '短评打分': 5}
{'短评内容': '非常棒的酒店，若以促销价入住非常的超值。', '短评打分': 5}
{'短评内容': '酒店环境很好，设备齐全，浴缸比较大，服务人员都很有礼貌.不明白酒店为什么要早上十点半以后才能入住，提前入住要算半天时间。', '短评打分': 5}
{'短评内容': '酒店设施和服务优良。房间也很干净。', '短评打分': 3}
{'短评内容': '很好但有点远。', '短评打分': 3}
{'短评内容': ' 硬件不错，但服务真的不怎么样，和5星级标准不匹配！\n\n1.中央空调一直控制板无法关闭，和前台说了，到走没人解决，噪音弄得一晚上没休息好！\n2. 网络上不了没人管，晚上说的，上午10多才有人来解决！\n\n无语！', '短评打分': 1}
{'短评内容': '很不错，就是打车不方便，酒店有定车服务！起步三公里15元，后每公里3元！早上九点半从酒店到福州北站用了45分钟左右，70元！', '短评打分': 3}
{'短评内容': '极为精彩的一次入住，很新很豪华，要不是离市中心远一点恐怕不止650这个价还有一份早餐的，升级为江景房，最后还让我延迟到15:00退房，其实打车到市区还是很方便的，关键是真心舒服，皇家斯林百兰床垫名不虚传！', '短评打分': 5}
{'短评内容': ' 房間大。地點比較偏。沒車接送出入不方便。早餐品種太少。去機場有巴士每個人二十元。但要提前預定。', '短评打分': 5}
{'短评内容': '是家不错的酒店，环境比较安静。只是地点较偏交通不方便。出门不好打的。如果有车是家很理想度假商洽的好地方', '短评打分': 5}
{'短评内容': '地处马尾区，房间很新，因自驾，选择第二天上路比较方便，不用在城里绕行，安静，门童很热情，周边用餐不太方便，酒店不含早，偏贵。', '短评打分': 5}
{'短评内容': '是家不错的酒店，在江江边过了马路就是江边。江边绿化做的很好。晚上漫步是个好去处。就是600多的价格不含早餐。有点高。环境是很安静，周围是别墅住宅区。', '短评打分': 5}
{'短评内容': '优点： 服务很棒，迎宾主动帮忙，接待人员一直面带笑容，很亲切。酒店设施也很不错。房价很大，音响不错，阳台外面风景也很好（山景房，左边是青山，右边是闽江）\n缺点： 位置比较偏僻，出租车不愿打表去那里，只能讲价\n其它： 酒店刚开业，房间里装修味道很大，建议过半年后再去住比较好', '短评打分': 5}
