{'短评内容': '还行吧，正常状态', '短评打分': 4}
{'短评内容': '这次去的时候，卫生不够干净，连浴巾也是烂的。床单不干净', '短评打分': 1}
{'短评内容': '位置方便，价钱实惠', '短评打分': 3}
{'短评内容': '房间是小了点，不过干净整齐，还不错，值得推荐', '短评打分': 5}
{'短评内容': '环境够干净，但隔音不怎么好，，，电视遥控器坏坏的', '短评打分': 5}
{'短评内容': '服务态度很好，介绍也不错。也会及时跟客户了解情况。', '短评打分': 5}
{'短评内容': '价钱便宜，房间干净卫生，晚上很安静，不错', '短评打分': 5}
{'短评内容': '房间太小。有异味。。。。。。。。。。。房间太小。有异味   房间太小。有异味', '短评打分': 1}
{'短评内容': '比城市客栈要好', '短评打分': 3}
{'短评内容': '性价比十分高的酒店，不过就是很少房间有窗户~', '短评打分': 5}
{'短评内容': '蛮好蛮好 。以后也会再来啊。呵呵。。 离得挺近的。吃饭也方便', '短评打分': 5}
{'短评内容': '不错啊。没有像之前别人说的热很冷。。这边水温还可以。环境也蛮好的。也很方便', '短评打分': 5}
{'短评内容': '房价有点小，窗户开不了，早上有些吵；印象不是太好。', '短评打分': 1}
{'短评内容': '隔音非常差，半夜给对面的吵死！没窗空气也一般，其他还可以。退房也好慢。', '短评打分': 1}
{'短评内容': '离机场很近，和保安车站也不远。整体房间整洁。感觉很好', '短评打分': 5}
{'短评内容': '总体说还比较干净,没有明显的问题.可以尝试,另外价位比较低.', '短评打分': 5}
{'短评内容': '水温太低了....调水速度慢....早上起来时冷水....导致我这次去住感冒了', '短评打分': 5}
{'短评内容': '水温太低了....调水速度慢....水温太低了....调水速度慢....', '短评打分': 5}
{'短评内容': '水温太低了....调水速度慢....早上起来时冷水....导致我这次去住感冒了...服务态度还是跟一样...非常不错', '短评打分': 5}
{'短评内容': '设施不错。。。。环境也可以。。。就是有点小', '短评打分': 5}
{'短评内容': '环境和设施都不错。。。。就是房间有点小。。。。', '短评打分': 5}
{'短评内容': '环境还行 ..房间比起同价其他酒店偏小...', '短评打分': 5}
{'短评内容': '环境不错。。。。。。。值得去。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '一般.....水温不够....隔音一般....', '短评打分': 5}
{'短评内容': '一般般还行吧.......................', '短评打分': 5}
{'短评内容': '隔音效果稍微差点，空调不制冷,那边管理服务都很好.洗澡间连门帘都没.只给一套毛巾；前台服务还可以。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '地上都是头发，就像没打扫一样；洗澡间连门帘都没有，密封性太差；双人房间只给一套毛巾；前台服务还可以。', '短评打分': 1}
{'短评内容': '二星级的价 4星的设施~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '房间不错，宾馆也好找', '短评打分': 5}
{'短评内容': '这家店还可以,以后还去那边住,有朋友们想去的话,大可以放心入住,那边管理服务都很好的哦', '短评打分': 5}
{'短评内容': '酒店位置离商业区有点远，但是交通还是比较方便的，很好找。\r\n后面是小区楼房，晚上比较安静。周边也有很多吃饭的地方。走几步就到了。房间比较干净，面积也够大。还有果盘赠送。总得来说不错。下次去南昌我还是会去那里。', '短评打分': 5}
{'短评内容': '总的来说，宝安区的悦来客栈服务、卫生都不错，只是靠近马路，晚上睡觉有点吵！', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '性价比较高，值得入住。位置方便，走几步，就有大超市和吃饭的地，不错，值得推荐，但要是都有窗就好了！ \r\n', '短评打分': 5}
{'短评内容': '很喜欢的一家快捷酒店 不光干净卫生 服务人员的态度和素质也是非常棒 虽然只有短短两天 但是我都会觉得很怀念 总之很不错 值得推荐呢', '短评打分': 5}
{'短评内容': '还可以  地理位置不错   附近就有家乐福 公交站也不远', '短评打分': 5}
{'短评内容': '还可以吧~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '性价比很高，环境舒适。', '短评打分': 3}
{'短评内容': '还不错，就是房间小了点。', '短评打分': 5}
{'短评内容': '房间有点小，装修颜色太暗有些压抑，卫生及设施不错。', '短评打分': 5}
{'短评内容': '设施有问题需要在客人入住前修理好，其他还不错 ', '短评打分': 5}
{'短评内容': '价格很便宜，住着一般。', '短评打分': 5}
{'短评内容': '房间空间太小，空调不制冷，调了最低温度也没有。还有洗手池和马桶也都有问题。这些应该定时维修，不要等到客人住了才来发现问题。', '短评打分': 1}
{'短评内容': '很不错，就是隔音效果稍微差点', '短评打分': 5}
{'短评内容': '酒店的性价比很好，位置出行交通方便，环境配置硬件设施也很达标，卫生服务也很好。值得推荐入住的酒店！', '短评打分': 5}
{'短评内容': '前台服务态度有波动...', '短评打分': 5}
{'短评内容': '挺舒服的..就是前台服務人員態度一般...', '短评打分': 5}
{'短评内容': '服务员态度好，房间干净，地理位置好，性价比很高。', '短评打分': 5}
{'短评内容': '性价比较高，值得入住。位置方便，走几步，就有大超市和吃饭的地，不错，值得推荐，但要是都有窗就好了！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '隔音效果太差', '短评打分': 5}
{'短评内容': '性价比高,但是前台人员服务意识差,脸很臭!而且最基本的&quot;欢迎光临&quot;,&quot;谢谢光临&quot;都不会说!!还有浴室门打不开,差点被关在里面出不来!', '短评打分': 5}
