{'短评内容': '挺好的，空间大，就是设备太老了', '短评打分': 5}
{'短评内容': '房間裝修衛生真的需要更新，周邊有很多經濟形酒店，相信比較好。', '短评打分': 1}
{'短评内容': '因为要赶第二天一早的火车故定了此酒店，就在火车站旁边，很方便，但是房间设施很旧，还有味道，如果不是赶早火车不建议住。', '短评打分': 1}
{'短评内容': '卫生很差，尤其是自助早餐，好像是碗筷不那么让人放心，但人巨多，外观倒是较气派，不知怎么上的三星。', '短评打分': 1}
{'短评内容': '设施有点老旧，交通倒是方便。', '短评打分': 3}
{'短评内容': '很舒适。不错', '短评打分': 3}
{'短评内容': '内部装修很旧了，如果一俩天还不错！下次去郑州还定这家吧\n', '短评打分': 5}
{'短评内容': '酒店很旧，不过价格很低，也就没多少抱怨了。', '短评打分': 5}
{'短评内容': '便宜，交通方便，但較老舊，離火車站，客運站近', '短评打分': 3}
{'短评内容': ' 入住快捷  设施基本满意？           交通购物方便', '短评打分': 3}
{'短评内容': '房間較舊，價格便宜，地點方便，附近商圈多', '短评打分': 5}
{'短评内容': '十设施及服务一般，交通方便，6楼攴厅质量较差，经常住该酒店。', '短评打分': 3}
{'短评内容': '酒店设施太旧，卫生也不好，房间还算挺大，应该装修了。电视也旧。', '短评打分': 1}
{'短评内容': '房间挺大的，就是上网的时候半天没上去，说是服务器问题，不过服务态度还行。', '短评打分': 5}
{'短评内容': '交通很方便，就是酒店房间看着有点旧，总得还行吧', '短评打分': 5}
{'短评内容': '整体还好，就是卫浴一般。', '短评打分': 3}
{'短评内容': '好像网上的订价比去门面咨询的还要贵！酒店本身挺舒服，洗澡很舒服，地理位置优越。被子薄了点!综合评价：良好！', '短评打分': 5}
{'短评内容': '酒店的服务总体还是可以的，但意识要进一步提高，早餐的水平也有些问题。', '短评打分': 1}
{'短评内容': '酒店服务态度很好，我抱着孩子又有行李，酒店的服务员热情地到车站接我，并一直送我到房间，下次来郑州一定还来住', '短评打分': 3}
{'短评内容': '离火车站是很近，而且楼下就有去往机场的大巴，房间的话给人感觉比较旧，卫生间感觉挺脏的.', '短评打分': 5}
{'短评内容': '位置不错，离火车站挺近的，停车也方便，住宿环境不错，这个价位的宾馆是很值的。', '短评打分': 3}
{'短评内容': '房间很大，装修很旧，也就是离车站很近，乘车很方便', '短评打分': 3}
{'短评内容': '服务不错！', '短评打分': 3}
{'短评内容': '房间挺大，服务挺好！', '短评打分': 3}
{'短评内容': '离火车站很近，就是有点乱。算是不错。推荐一下。', '短评打分': 5}
{'短评内容': '就是有点吵，隔音效果还要加强一点就好了。', '短评打分': 3}
{'短评内容': '晚上骚扰电话不断，只能把电话线了，不再入住。', '短评打分': 1}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '卫生不错，就是有点吵闹声', '短评打分': 3}
{'短评内容': '酒店服务态度可以，除此以外其他没有任何优点，马桶盖子扶不起来，上卫生间得一只手扶着马桶盖子，墙面墙纸大面积脱落，看起来很恶心，隔音效果不好，左右房间嘿咻声音挡不住，总之下次来住其他的酒店。', '短评打分': 1}
{'短评内容': '离火车站很近，而且可以直接乘坐机场大巴去机场还是比较方便的', '短评打分': 5}
{'短评内容': '酒店还可以，房间挺大的。主要是离火车站是真近啊，前台服务还凑合吧，到的也晚进屋就休息了。', '短评打分': 5}
{'短评内容': '酒店环境还不错，交通比较方便，客户很满意!!', '短评打分': 5}
{'短评内容': '服务很热情', '短评打分': 3}
{'短评内容': '酒店设施比较老，但挺干净，地理位置很好，方便出行。', '短评打分': 5}
{'短评内容': '郑州大酒店，最大的优点就是离火车站近,价格也可接受', '短评打分': 5}
{'短评内容': '交通方便，离火车站，长途客运站都很近，价位合适，设施有些老旧，还算卫生整洁', '短评打分': 5}
{'短评内容': '酒店设施设施一般，装修风格较老，但离火车站很近，地处闹市，交通便利', '短评打分': 5}
{'短评内容': '方便实惠', '短评打分': 3}
{'短评内容': '以前住过感觉还不错，这次住就觉得差很多了，前台服务怠慢不说，早餐的品质也越来越差，唯一可取的就是酒店门前上机场大巴比较方便。', '短评打分': 1}
{'短评内容': '房间比较大，离火车站只有几步远，晚上入住方便。', '短评打分': 3}
{'短评内容': '设施还行，晚上有点吵', '短评打分': 3}
{'短评内容': ',昨已住,酒店总体感觉一般.', '短评打分': 3}
{'短评内容': '酒店服务不错房间不是很隔音', '短评打分': 3}
{'短评内容': '酒店环境不错，出行很方便', '短评打分': 3}
{'短评内容': '设施太陈旧，房间倒是很大，离火车站汽车站很近', '短评打分': 1}
{'短评内容': '这个酒店的地理位置很不错，坐火车和飞机都很方便，早餐一般，餐厅的菜品也很一般，服务员态度不是很积极............................................', '短评打分': 5}
{'短评内容': '酒店条件有些差，住的也不怎么舒服。酒店条件有些差，住的也不怎么舒服。酒店条件有些差，住的也不怎么舒服。', '短评打分': 1}
{'短评内容': '酒店好旧啊！被子居然还是花的，只是地处火车站，比较方便。价格倒不贵。总之下次是绝对不可能再住了。不如现在的快捷酒店干净，早餐相当差，服务人员态度也不行。洗澡间地漏也是堵的，总之不可能再住了。', '短评打分': 1}
{'短评内容': '交通便捷', '短评打分': 3}
{'短评内容': '还不错', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '设施比较陈旧。', '短评打分': 3}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '？不值,宾馆太烂,还三星呢？象招待所.就是地点好点,靠火车站', '短评打分': 3}
{'短评内容': '酒店距火车站、长途汽车站近，位于郑州商业区，交通方便，房间干净、宽敞，服务好，但早餐一般。', '短评打分': 5}
{'短评内容': '差差差,漏水設備簡陋不潔，200元單間不值，只是近車站', '短评打分': 1}
{'短评内容': '郑州大酒店位于郑州市核心商业区，交通便利，距火车站、长途汽车站仅隔一条马路，周围商场、超市众多，购物非常方便。大酒店整体环境干净、整洁。房间宽敞明亮，服务好。是郑州市政府接待酒店。', '短评打分': 5}
{'短评内容': '房间面积很大，前台服务很好，餐饮非常好，我认为非常好', '短评打分': 5}
{'短评内容': '楼层较高，清净，就是装修陈旧了点，地毯太脏，还有就是早餐实在有点差强人意', '短评打分': 5}
{'短评内容': '房间比较大，舒适，设施略显旧。离火车站很近，步行10分钟就到。', '短评打分': 5}
{'短评内容': '比较靠近火车站,很方便,设备比较老,早餐的品种不多,没有咖啡,没有牛奶,网站上说没有宽带,其实是有宽带的,很惊喜...\n性价比很高...推荐.', '短评打分': 5}
{'短评内容': '火车站旁边，很方便。房间空间很大，中央空调也很好。设备显老旧，该改造了。', '短评打分': 5}
{'短评内容': '最近这家酒店进行了新装修，各方面都进行了翻新，不错，主要是搭乘机场大巴非常方便', '短评打分': 5}
{'短评内容': '该宾馆在车站，非常方便，房间宽敞、干净、设施好，性价比好', '短评打分': 5}
{'短评内容': '这家酒店地理位置很好，房间比较大，还是比较理想的酒店，', '短评打分': 5}
{'短评内容': ' 早餐环保健康 馒头咸菜和粥', '短评打分': 3}
{'短评内容': '以前住过两次，感觉不错，但是这次刚好赶上旅游团，早餐人非常多，并且晚餐做的饭一点都不好吃，睡到半夜不知道哪里有人特别吵，给总台打了电话才稍微安分一些，隔音效果比较差，以后不会再去住了，酒店大堂连提供休息的沙发都没有', '短评打分': 1}
{'短评内容': '酒店房间内部布置不错，比较舒适，不过内部设施有点陈旧，', '短评打分': 5}
{'短评内容': '环境太过于嘈杂，酒店卫生一般，不如快捷酒店', '短评打分': 1}
{'短评内容': '酒店设施陈旧。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店设施陈旧。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '反正在郑州火车站的所有酒店中算是最好的了，呵呵', '短评打分': 5}
{'短评内容': '还可以的', '短评打分': 3}
{'短评内容': '火车站旁边，出行方便。早餐的食物，都是漂白粉味道。', '短评打分': 5}
{'短评内容': '很好，干净整洁，有家的感觉，设施好，服务态度好，卫生间干净', '短评打分': 5}
{'短评内容': '住宿环境不错，交通方便', '短评打分': 3}
{'短评内容': '回老家时的中转站，每次到了郑州都是凌晨，一大早又匆匆赶汽车，没仔细研究过。不过我妹妹说早餐挺好，呵呵', '短评打分': 5}
{'短评内容': '很好、', '短评打分': 3}
{'短评内容': '帮同事订的，上次他住过，感觉不错，交通方便，性价比也合适，所以这次又让我帮忙订。', '短评打分': 5}
{'短评内容': '房间宽敞明亮还不错,就是洗浴设备陈旧几乎不能正常使用,但交通便利,价格便宜', '短评打分': 5}
{'短评内容': '房间宽敞,价格还可以,洗浴设备不怎么样.', '短评打分': 5}
{'短评内容': '离火车站、汽车站很近，走路5分钟，交通方便。房间大，设施旧。早餐差，饮料都没有。\n旅行团住客多。', '短评打分': 5}
{'短评内容': '位置很好,近火車站,服務也不錯, 但房間設施比較差,破舊,抽水馬桶整晚發出聲音.', '短评打分': 1}
{'短评内容': '房间还好，早餐一般', '短评打分': 3}
{'短评内容': '此店位置很好,卫生间陈旧,淋浴喷头是坏的.', '短评打分': 3}
{'短评内容': '没法刷预授权，很是不便，服务员打扫卫生要9点以后，态度不是很好！', '短评打分': 1}
{'短评内容': '性价比相当高，房间也还可以，下次还会住哪里', '短评打分': 5}
{'短评内容': '房间不错，就是有点冷，近几天降温，应该开暖风。', '短评打分': 5}
{'短评内容': '200多元的价格，还是不错的，交通方便，我一般都住这里。 这不，我昨天刚退房，今天又回来住了。\n', '短评打分': 5}
{'短评内容': '200多元的价格，还是不错的，交通方便，我一般都住这里。', '短评打分': 5}
{'短评内容': '服务质量不错，酒店质量一般，还会来。。。。。。。。。。 \n', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '交通便利，服务热情，硬件老化简陋。', '短评打分': 3}
{'短评内容': '硬件一般，地理位置相当方便，很适合转车临时歇脚时入住。服务质量还算可以，只是不够积极。', '短评打分': 5}
{'短评内容': '地理位置很方便，尤其是航空大巴的站点就在酒店旁边， 但是早餐很糟糕，价格还是有点偏高的。', '短评打分': 5}
{'短评内容': '地理位置不错，离火车站汽车站都很近。酒店条件一般。', '短评打分': 5}
{'短评内容': '睡觉而已。。。睡觉而已。。。睡觉而已。。。睡觉而已。。。', '短评打分': 5}
{'短评内容': '只是睡觉！只是睡觉！只是睡觉！只是睡觉！只是睡觉！', '短评打分': 5}
{'短评内容': '该酒店地理位置优越，价格经济实惠。交通方便。出差转车暂住实用。', '短评打分': 5}
{'短评内容': '此行郑州经停，酒店位置不错，在机场边上，还有班车接送', '短评打分': 3}
{'短评内容': '酒店相对比较陈旧，但是地理位置比较方便在火车站边上，尤其现在郑州的出租车非常难打到，可以保证火车不会晚点', '短评打分': 5}
{'短评内容': '酒店地理位置不错，但是服务态度不好，设施陈旧，网络不畅通', '短评打分': 1}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '总体感觉很一般，房间很大但显得很空旷，没有档次，适合在火车站附近办事方便的人员居住，性价比不是很高。前台服务还是比较热情的。', '短评打分': 5}
{'短评内容': '因为不能刷预授权，所以得到处交押金，非常不方便。比如借个接线板，要交50元押金，然后这五十元还不是在前台结算，要和所谓的房务中心别结。\n地理位置比较好。赶火车很方便。价格并不高。', '短评打分': 5}
{'短评内容': '离火车站很近，非常方便，房间很大，设施陈旧，但还比较干净。早餐丰富。', '短评打分': 5}
{'短评内容': '离火车站比较近，很方便。但是晚上却有很多骚扰电话，把电话线拔了后，那些女人居然找上门来敲门。。。', '短评打分': 1}
{'短评内容': '以 208 元的價位完全無法接受 , 根本比招待所還糟 ; 酒店除了門面整的還不錯外 , 一到客房層就聞到一股霉味 , 進了客房裡牆壁地毯髒的一蹋糊塗 , 看了全身開始發癢 , 勉強住了一晚!! ', '短评打分': 1}
{'短评内容': '三星还可以.有一点陈旧.', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '就是郑州市政府的招待所 还是挺不错的 设施有点陈旧 但是空间很大 电视收的台也多 而且距离二七广场很近 早餐还算丰盛 建议第一次去郑州的人可以选择入住', '短评打分': 5}
{'短评内容': '+早餐太差，团队接待太多，不适合商务人士', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '乘座火车方便，尤其郑州打车不容易，火车站更是没有车愿意去。酒店各方面都不错，设施、卫生、服务到位。缺点是上网收费、早餐不太好', '短评打分': 5}
{'短评内容': '离火车站咫尺之遥 门前就有公交站 离二七广场步行10分钟 不过打的较困难', '短评打分': 5}
{'短评内容': '+酒店离火车站很近，比较方便，房间不错，性价比较高', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '行政房还是不错的，房间很大。', '短评打分': 3}
{'短评内容': '服务员态度不好，语气凶。装修局部翻新，整体陈旧。最大的优点就是离火车站近，而且是机场大巴的发车点。不过现场看到，距离火车站近的还有锦江之星，在步行街的如家快捷也是距离火车站很近的地方。', '短评打分': 1}
{'短评内容': '明显达不到星级级别', '短评打分': 1}
{'短评内容': '定的是豪标，其他方面还可以，就是卫生间是在不行，老旧是小事，主要是马桶水太小，根本冲不下去。洗澡的喷水N年前的，下水道通的慢，一洗水全部都满出来，整个卫生间满地都是水。', '短评打分': 1}
{'短评内容': '设施实在是需要更新了，房间的马桶一直有问题，餐厅的早餐种类也少了点，只有粥，米饮料。位置便利，总体性价比尚可', '短评打分': 5}
{'短评内容': '，感觉还不错，离火车站很近，方便！', '短评打分': 5}
{'短评内容': '位置在车站，交通方便，卫生，舒适，性价比好。', '短评打分': 5}
{'短评内容': '不错！ 靠近 火车站！  很方便！ 旁边还有！ 机场巴士！', '短评打分': 5}
{'短评内容': '主要是住这家乘飞机坐机场大巴比较方便，服务人员的态度真的有待改进。', '短评打分': 5}
{'短评内容': '位置不错，性价比好', '短评打分': 5}
{'短评内容': '如果用恶心来形容就算太便宜这家酒店了。\r\n小姐成群，只要一看你进房间，电话立马打进来，问需不需要特殊服务，真恶心，脏，用个插线板收了50押金，还号称，这个大的酒店xxxxxxxx\r\n不可能再住了', '短评打分': 1}
{'短评内容': '价格合适，环境一般，位置不错', '短评打分': 3}
{'短评内容': '酒店位置不错，比较老，但是价钱到时合适', '短评打分': 5}
{'短评内容': '服务太差', '短评打分': 1}
{'短评内容': '位置位于市中心,交通比较方便,设施有些陈旧.\r\n\r\n', '短评打分': 5}
{'短评内容': '首先入住花了15分钟等候，退房花了30来分钟，早上7点退房，20多层就1个服务员服务。前台动作特别慢。信用卡不能预授权。早晨不能在门口打车，必须去火车站那里排队（这个不能赖酒店）。上网每天单收25元，不预先告知。早餐是我在郑州的10来个酒店中最差的，喝的只有大米粥、小米粥、玉米渣粥（还有股漂白粉味，自来水中带的），菜是榨菜、圆白菜头，主食是花卷、热干面，南瓜饼等。', '短评打分': 1}
{'短评内容': '位置很好,位于市中心,交通比较方便,卫生和服务也都不错,即时硬件设施不太好,有些陈旧.', '短评打分': 3}
{'短评内容': '还行，乘飞机很方便', '短评打分': 5}
{'短评内容': '这家酒店的位置还可以,靠近火车站挺近的,住宿条件也还行,卫生方面还可以了,就是卫生间有些漏水,设施条件也还可以,价格方面稍微偏高些了.', '短评打分': 5}
{'短评内容': '酒店里的东西感觉比较旧了，不过环境服务倒是还可以，交通是比较方便的，而且门口有机场大巴的车站，去机场非常便利。', '短评打分': 5}
{'短评内容': '酒店的各方面都还不错，价格合适，服务和卫生条件也很到位', '短评打分': 5}
{'短评内容': '观景不错，单人间卫生间太小设施陈旧。早餐最差大众食堂水平。', '短评打分': 5}
{'短评内容': '酒店的服务卫生以及酒店的设施都是不错的,但是酒店的位置在火车站边上,周边的环境很吵的,价格方面还有下调的空间', '短评打分': 5}
{'短评内容': '环境挺好的,房间住着也很舒适,而且酒店的卫生条件和各方面的服务设施也都挺不错的,价格也不贵', '短评打分': 5}
{'短评内容': '感觉设施 陈旧了，好象好长时间没装修了，地理位置很方便，在火车站附近，要是去火车站附近办事，住这还可以，附近好有一家红珊瑚酒店，感觉挺新的，也可以选择', '短评打分': 5}
{'短评内容': '第一次入住 感觉挺厚道', '短评打分': 5}
{'短评内容': '酒店并没有网上那些评论说的那么差，其实环境还不错，挺干净的，而且交通也很方便', '短评打分': 5}
{'短评内容': '觉得酒店比较一般，位置还可以，交通比较便利', '短评打分': 5}
{'短评内容': '房间很大，但灯光很暗。看优惠条件才决定入住的。说是桑那免费，但是只限男士，而我们是4名女生。说是免费乘坐机场大巴，但是只接待什么散客，总之还得掏钱。晕。。。', '短评打分': 3}
{'短评内容': '酒店位置非常好。紧邻火车站，对面就是长途车站。去洛阳，开封等地游玩坐车非常方便。酒店外观，设施比较陈旧。好在服务态度很好。自助早餐比较一般。但离二七广场很近，购物，就餐很方便。', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '酒店大堂服务人员素质还需提高.', '短评打分': 5}
{'短评内容': '酒店位置不错，就在火车站旁，但酒店房间环境实在不敢恭维，一开始我订了一个单人间，一进房间发现太破，除了房间面积大以外，没什么让你有好感，卫生间设施又破又旧，房间灯光黑暗，房间还不能上网，马上我要求服务员换房间，换到了豪华标间才感觉好一些。酒店还接待旅游团，酒店大厅，早餐厅就像鸭子塘一样，让人不能忍受。', '短评打分': 3}
{'短评内容': '还不错,不过墙纸有点起皮了.我住的19层,看夜景还不错.有一个问是否需要......服务的电话,她还挺害羞:).总体不错,价格在郑州也不算高.下次去还住这里', '短评打分': 5}
{'短评内容': '&lt;font color=&quot;Red&quot;&gt;总体一个字就是差，本来订的是238的结果前台服务员问都不问就直接给我开的198的，房间设施像古董，下水还堵，房间隔音不好，被子还是脏的，哎不想说啦，住了一晚上只睡熟两个小时，很没有安全感的酒店，连招待所的不如。。。&lt;/font&gt;img_f111', '短评打分': 3}
{'短评内容': '我８月１１-１２日入住，２３０的，挺干净，搭火车方便，附近汽车站去开封和少林寺都方便，在前台办手续时曾遗失装有mp3和相机的腰包一个，第二天出发时才想起，居然也找得回，意外之余对酒店印象不错，下次来还住这！', '短评打分': 5}
