{'短评内容': '设施很好，在淡季时价格也不错，好评。', '短评打分': 5}
{'短评内容': '离武陵源景区坐车2分钟，走路15分钟，位置不错。酒店比较旧，中央空调冷气不足，在房间开到最大风力仍不大，在餐厅吃饭时也是汗流浃背，不太适合怕热的朋友。 ', '短评打分': 5}
{'短评内容': '住的是380贵宾楼标房，房间小浴巾旧而脏。最可气是下午外面30多度酒店竟然不开空调，一直等到5点半才开。第二天马上换酒店。', '短评打分': 1}
{'短评内容': '房间很干净，很舒适。\n物超所值，下次来还会考虑住   ', '短评打分': 3}
{'短评内容': '本来住4天，因为天气关系，多住了2 天。 \n发觉酒店的卫生服务员，跟现代文明有很大差距，只达到中国农村的标准。 \n酒店很多韩国旅行团，没有素质高的日本或西欧旅行团。服务素质无法提高。 \n', '短评打分': 5}
{'短评内容': '算是可以接受的酒店，服务态度就有待改善 (或者无法改善，因为这些乡间地区，有文化素质的服务员恐怕留不住)。 \n其它的地方，已经有人评论了。 \n', '短评打分': 5}
{'短评内容': '住了两晚,一晚豪华的,一晚普通的,都是大床房,区别如下:普通的大床是1.5米的,豪华的大床是1.8米或2米的; 普通的大床质量不好,一翻身弹簧会响,豪华的大床非常舒服; 普通的房间很小,还比豪华的少了写字台,和两个小方巾.其它的区别不大了,\n\n这里的缺点是没有一次性拖鞋,无论是豪华间和普通间都没有.\n\n普通的性价比高些.', '短评打分': 5}
{'短评内容': '非常好！', '短评打分': 3}
{'短评内容': ' 酒店还行，就是给我的房墙纸有点脱，应该是个案', '短评打分': 3}
{'短评内容': '住在七楼，水压小的可怜。水温低。酒店前台接待的服务不够专业，不够耐心。床很硬。环境和地理位置不错。', '短评打分': 5}
{'短评内容': '本人入住张家界天子洒店两天。谢谢服务很好!今日下山可能还会入住。刘碧瑞', '短评打分': 3}
{'短评内容': '性价比高，价钱合理，绝对推荐，武陵源最佳酒店', '短评打分': 5}
{'短评内容': '很好的酒店，有四星酒店的水准，但是两星的价格，房间干净，早餐丰富。离景区不远，步行15分钟，不想走打的士5元。对面是超市，购物方面。绝对值得入住。 ', '短评打分': 5}
{'短评内容': '不错的酒店,性价比很高,张家界住宿首选.位置好,干净,也比较新.', '短评打分': 5}
{'短评内容': '住宿条件和免费早餐都不错,周围吃饭买东西也方便.离景区入口挺近的.洗澡水晚上和早上是热的.', '短评打分': 5}
{'短评内容': '华丽丽的富丽堂皇啊~\n房间超大的，设施也很给力！关键是离景区也很近\n这个价钱能住到这种规格的不容易，推荐！', '短评打分': 5}
{'短评内容': '酒店地理位置，环境都不错，生做得也还可以，就是房间隔音差了点。总体来说很好，推荐！', '短评打分': 5}
{'短评内容': '酒店设施环境对得起这个价格，只是周围的饭店实在不敢恭维！', '短评打分': 5}
{'短评内容': '房间宽敞，性价比很高，这样的价格吃到这么丰盛的早餐，超满意！', '短评打分': 3}
{'短评内容': '酒店各方面都不错，虽然住的是b楼的房间，水准也在三星以上，天冷的话建议先开段时间热水再洗，前台小姑娘蛮热心的', '短评打分': 3}
{'短评内容': '酒店不错，比想象中的好多了，房间很干净，就是洗澡水忽冷忽热，早餐一般。', '短评打分': 5}
{'短评内容': '绝对四星级，空调超级好用，住的很舒服，地理位置也超级好', '短评打分': 5}
{'短评内容': '性价比高。设施明显高过一般三星级酒店。服务稍微有点跟不上。', '短评打分': 5}
{'短评内容': '很好很舒适，性价比蛮高滴，向亲们推荐呵……', '短评打分': 5}
{'短评内容': '干净舒适，性价比较好，到武陵源入口很方便。', '短评打分': 5}
{'短评内容': '干净，整洁。是去张家界比较核算的，离景点很近', '短评打分': 3}
{'短评内容': '位置离景区较近', '短评打分': 5}
{'短评内容': '这一次到张家界的自助游：坐的火车是绿皮车，没空调；玩了四天赶上两天下雨；请了个野导游，只带路不讲解。最满意的地方就是订的酒店了，一是位置好；二是设施好，三是性价比高。这是我第一次偿试网上订酒店，结果很理想，这让我决定了以后凡是私人出去玩，全部通过网上预订酒店。', '短评打分': 5}
{'短评内容': '值得一去的酒店。折扣后的价格很有性价比。下次去玩，我还会住这里', '短评打分': 5}
{'短评内容': '武陵源天子酒店,标准间宽敞舒适,离景区近,配得上三星!', '短评打分': 5}
{'短评内容': '+刚和家人张家界三日游，住天子大酒店，总体感觉不错！离武陵源门票站很近，步行十分钟。酒店设施齐全，很干净，服务态度也不错。美中', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '我满喜欢这家酒店的，干净，服务也较好及时，免费宽带不能用就及时给我们换到另一个房间，早餐也挺好，点餐味道一般但服务和环境挺好，离武陵源景区大门只有5元打的距离走过去也就是一条笔直大路，如果有朋友问我我会肯定地推荐这家性价比挺高的酒店', '短评打分': 3}
{'短评内容': '位置不错，去森林公园，天子山，索溪峪，宝峰湖都不远。酒店好像只管住，餐饮方面内容很少，大堂很大，有很多地方随便坐。韩国人非常多。', '短评打分': 5}
{'短评内容': '武陵源还不错的一家，离汽车站很近，周边吃喝玩乐地方多', '短评打分': 5}
{'短评内容': '我是帮家人代订，但反映非常好。玩了一天非常累，选择这个酒店还是比较明智的。', '短评打分': 5}
{'短评内容': '天子大酒店非常好，非常方便！超值！离门票站也不远，打的5块钱，不过从门票站回来的时候打的要10块！', '短评打分': 3}
{'短评内容': '很好的一家酒店，位置很好，距离武陵源门票站打车5元钱就到了，对面有超市，价格还算合理，门外左手边有小吃，不过我们在左手边的第一家小吃店吃的饭，感觉不怎么样，菜码很小，做的也不怎么样，凑合把肚子添了个半饱就再也吃不下去了。', '短评打分': 5}
{'短评内容': '酒店非常方便，设施非常好，性价比非常高，去武陵源门票站不远，去黄龙洞也很方便，我们三晚一直住在天子，非常好，酒店送的早餐也很不错，非常丰盛！', '短评打分': 5}
{'短评内容': '该酒店还不错,环境好,安静,交通也方便.', '短评打分': 5}
{'短评内容': '晚上从武陵源出来匆匆忙忙订的酒店，感觉还不错啦！', '短评打分': 5}
{'短评内容': '离天子山很近，到黄龙洞打车也只要15元~性价比不错 早餐不能说好吃，但是只要不过分挑剔，还是能吃好吃饱的~', '短评打分': 5}
{'短评内容': '美中不足是冲凉的水太小，而且白天没有空调，如果来爬山就没问题，情侣度假就要考虑下了', '短评打分': 3}
{'短评内容': '房间价格不贵，但还是挺舒适的  ', '短评打分': 5}
{'短评内容': '虽然有很多比它便宜的,但是这间性价比很高', '短评打分': 5}
{'短评内容': '这是一家管理严谨服务到位员工素质颇高的酒店（服务员清洁员个个彬彬有礼）。硬件配置先进气派大方又不失人性化，客房内温馨舒适有到家的感觉！免费的早餐十分丰盛！\r\n我们退房那天，需要在大堂停留两个小时赶下午2：30去凤凰的汽车。咖啡厅专为我们烧开水泡方便面，让我们很感动！所以我们回来后告诉周围的朋友：如果去张家界一定要入住【天子大酒店】！', '短评打分': 5}
{'短评内容': '各方面都不错，价格也不贵。', '短评打分': 5}
{'短评内容': '位置相当方便，第一天从景区出来后我们一路走回来的，而且吃饭也比较方便，附近很多小吃。除了房间比较小以外，其它都还不错，很干净，推开窗子能看见山景，还有普通的居民人家，感觉不错！本来第二天定了别的酒店，后来决定还是在这里住。下次有机会去还会住这里！', '短评打分': 5}
{'短评内容': '已经点评。\r\n推荐。刚才点评时没选到推荐。\r\n有一点，我订3间大床房，可是给了我3间双床房。因为不怎么重要，所以没有要求换房。', '短评打分': 3}
{'短评内容': '满意。\r\n离武陵源进口2-3分钟车程。一出门口向左走就是这个区的商业中心，吃的买的，按摩全在5分钟步行范围内。\r\n唯一缺点是，没有咖啡厅或酒吧。想喝个下午茶，或饭后坐下聊聊天，没这样的地方。', '短评打分': 1}
{'短评内容': '很舒适，很干净，离武陵源大门5元打的的距离，很方便，离武陵源汽车站也是5元得的的距离。酒店的餐厅也很卫生，早餐也不错。', '短评打分': 5}
{'短评内容': '入住的时候前台给免费升级成套房了，总体感觉蛮不错。装修、设施什么的都很好，对得起这个价格，不足的地方就是房间里不能上网，还有就是房间里小虫子很多，可能是在景区的缘故吧。', '短评打分': 5}
{'短评内容': '值得推荐的酒店，整体性价比不错,环境很好,装修能上档次,就是卫浴毛巾根本不敢用，放了反而影响整体感觉，不放好过放。若下次过来能改进就更好了。', '短评打分': 5}
{'短评内容': '酒店不错,下次再去还订这家.', '短评打分': 5}
{'短评内容': '酒店的服务需要加强，现在虽然是旺季，但是忙不是降低服务的理由和借口。\r\n离武陵源的张家界景点很近，非常方便。', '短评打分': 5}
{'短评内容': '环境不错，空气不错，硬件也不错', '短评打分': 5}
{'短评内容': '很喜欢的一家酒店，下次一定会再来的', '短评打分': 5}
{'短评内容': '在武陵源來说, 天子酒店算是很不錯的. 性价比相當高.', '短评打分': 5}
{'短评内容': '景区很不错的酒店', '短评打分': 5}
{'短评内容': '至少价格很优惠，感觉超值，唯一一点是位置不靠近市区，不过交通什么的还是很便利的', '短评打分': 3}
{'短评内容': '我看酒店是武陵源最有性价比的酒店，非常安静，卫生服务都不错；酒店餐厅性价比也可以。', '短评打分': 5}
{'短评内容': '酒店位置较佳，服务热情周到，房间设施齐全，价格公正合理', '短评打分': 5}
{'短评内容': '在张家界住了几家中最满意的一家，非常超值，房间宽敞，硬件设施非常好，很新。离门票站也不远，不原走路的话打车起步价就够了，早晨赶早乘天子山索道可以避开排队高峰。后悔只订了一晚，后来在杨家界住的私人旅馆比这里贵，条件相差十万八千里。下次来玩有可能还住这里！', '短评打分': 5}
{'短评内容': '舒适', '短评打分': 5}
{'短评内容': '离武陵源入口不远，打出租车4元。也能乘1路车，给司机或票务员说酒店的名字就行，1元1趟。\r\n\r\n服务员态度大至上非常好，只是对邮政服务不清楚。\r\n\r\n360元一晚相当值。', '短评打分': 5}
