{'短评内容': '环境非常好，工作人员很热情！早餐也不错！', '短评打分': 5}
{'短评内容': '前台很热情~房子看起来很不错，早餐也不错。可是贴近大自然的代价就是蚊子咬死且吵醒！！而且离码头太远了，又热又累，不值这个价钱，在本岛可以住两个晚上了！房间还不错，很温馨！重点是，毛巾不知道有没有消毒过，我用毛巾洗了上半身后连脸一起全身过敏！！！', '短评打分': 1}
{'短评内容': '雖然前台服務挺好,外觀不錯.但房間不乾淨,浴室也不行,早餐普通.這價位在鼓浪嶼可找到更好的環境.', '短评打分': 1}
{'短评内容': ' 格调小资，建议去旁边的桑其拉的花园坐坐', '短评打分': 3}
{'短评内容': '老别墅酒店，环境很好，房间和咖啡厅都有WIFI，非常方便。桑其拉的花园很幽静，富有情调，非常适合情侣出游。', '短评打分': 5}
{'短评内容': '酒店坐落在小岛北部，很幽静，后花园很舒适，提供早点，就是地理位置不是很令人满意，左右两遍都是荒废的宅舍，晚间有点吓人', '短评打分': 5}
{'短评内容': ' 酒店真的不错 环境很好 床很舒服 太棒了 离开码头15分钟 刚来的时候走错路了 后来找到捷径啦 还是很方便的', '短评打分': 3}
{'短评内容': '在比较幽静的地方，离居民码头比较近，就在龙山洞口，稍微远离市区。房间挺好的，设施不错，就是电热水器太不给力，一个人洗澡都会冷。。。还要等水热', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧、地板都已经断裂了，定的高级房，一层比较潮湿，他家的花园还不错', '短评打分': 1}
{'短评内容': '环境不错，床也很舒服', '短评打分': 3}
{'短评内容': '位置太偏，而且底楼特别潮湿，有霉味，地板开裂，早饭供应比较晚，发票当场开不了，服务员表示如有需要日后可以邮寄……\n日后应该不会再入住了，觉得网上对此酒店的评价过高，水分比较多。', '短评打分': 1}
{'短评内容': '一切都很棒，特别是楼下的咖啡屋，花园，猫咪。晚上独坐在花园里，小酌一杯，很是惬意~~~~但里离轮渡有些远，不能刷卡，房间里准备的酒居然是干白---美中不足。', '短评打分': 5}
{'短评内容': '房间小了些，早餐太简约了，号称28元一位，我5岁宝宝吃完正好，什么都没剩。一小杯黑米粥加上一片面包。但是房子挺漂亮。', '短评打分': 1}
{'短评内容': '感觉还好。。。。。。。。人太多了。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '环境灰常不错 老板人也很好~~~恩 早饭的地方也很给力~~~不错不错~去鼓浪屿灰常推荐这个地方', '短评打分': 5}
{'短评内容': '酒店最好的地方就是那个花园了，氛围好。环境好，晚上凉快 也没有蚊子。。在那里乘凉真是舒服，还有一只大白猫。但是有点不好的就是明明我们定的是大床房，到酒店却只有双床的，因为满房了也没有换的。而且房间有点潮湿。但是床很舒服。', '短评打分': 5}
{'短评内容': '订的阳光房，里面一般吧，可能是在鼓浪屿上，价格偏高，里面连纸笔这种基本工具都没有，面积较小，挺局促的，不过总体来说还行，499的价格，偏高。', '短评打分': 5}
{'短评内容': '很喜欢这家店，我和老公住的是203阳光房，房间里很舒服，而且周围很安静。稍微有个小缺陷就是空调的风很小，我们去的时候正好是盛夏……不过总的来说很好，回来就向姐姐推荐这家宾馆了呢！', '短评打分': 5}
{'短评内容': '家庭式旅馆，还比较干净，老板很和气，离龙头路也挺近', '短评打分': 5}
{'短评内容': '酒店确实不错，房间也不错。但下次在去鼓浪屿，不会住那里了，离码头和龙头路有点远，走路累！', '短评打分': 1}
{'短评内容': '优点：客栈的地理位置比较幽静，距轮渡码头10分钟路程，两人以上同行不会觉得疲劳、枯燥。前台的小妹妹也很客气，打印了一张行程单也没收费。房间有IPTV和免费的WiFi。楼下就是一个小花园。\n\n不足：客房服务有待提高（拖鞋少了也不补、纸巾没了也不换），早餐难以吃饱（一杯红豆粥、一片面包）。', '短评打分': 5}
{'短评内容': '环境还可以，但是但从房间看的话不值这个价格。', '短评打分': 5}
{'短评内容': '不知道是不是老板对这家店没什么兴趣了,有点破旧了,花园也是..很多草皮光秃秃的,小细节都很差做的,对不起这个房价....性价比不高...房间布置也空旷.装修很粗狂,细节很差.房子外立面到不错做的......如果这种态度对待自己的店,,不是非常推荐...', '短评打分': 1}
{'短评内容': '两个小妹妹 非常的可爱。。。但是 注意此旅馆不一定有发票。。。商务同志提前需确认', '短评打分': 5}
{'短评内容': '蛮安静的，离闹市比较远。蚊子比较多，最好带上蚊不叮。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '挺好的，地点不错，和想象中的一样，靠近大海，环境清新，服务也很不错，就是天气太热', '短评打分': 5}
{'短评内容': '挺好的  很温馨，就是从码头只能走来   比较费力', '短评打分': 5}
{'短评内容': '很不错哦。离码头近，而且房间后面的小花园好漂亮的。又清静。强烈推荐。', '短评打分': 5}
{'短评内容': '小巧玲珑很别致,有个小花园环境很雅，值得推荐', '短评打分': 3}
{'短评内容': '感觉非常不错，我原本定的是299元的高级房，后来去的时候免费给我升级了，给了我一间399的阳光房，和照片里的一模一样，很干净，很漂亮，真的太喜欢这里了，真想多住几晚啊，以后来鼓浪屿，一定还会来住这家的。', '短评打分': 5}
{'短评内容': '還不錯的酒店\n裝潢也不錯\n就是地板反嘲 有點不舒服\n其他都很好', '短评打分': 5}
{'短评内容': '酒店还行，就是一楼有一点霉味，可能跟天气有关', '短评打分': 3}
{'短评内容': '很有特色的,,,,很干净,,,就是离主干道龙头路有点点远,晚上晚了回去有点小怕.', '短评打分': 5}
{'短评内容': '鼓浪屿最棒的一个晚上。。极品推荐。住的是套房，感觉象五星级', '短评打分': 5}
{'短评内容': '不知道为什么这么多人推荐。就给个不推荐吧。', '短评打分': 1}
{'短评内容': '整体感觉一般。早餐差了点，咖啡厅的东西奇贵。', '短评打分': 1}
{'短评内容': '感觉很棒，超喜欢酒店的过道，那个调调。房间比较简洁，床很大，软软的很舒服，就是那个枕头太高了不习惯，后来找前台换了一个好多了。别墅后面的花园很大，空气清新，树上还有不知名的小鸟，真有回归自然的感觉。难怪大家都说鼓浪屿适合发呆，真想就一直呆着不走啦。', '短评打分': 5}
{'短评内容': '酒店不错还免费升级给我们就是不能刷卡', '短评打分': 3}
{'短评内容': '第一次来鼓浪屿，心情真好！在这家住了一晚，地点稍微偏了一点，但是环境很好~我定的高级房，入住时帮我免费升级到了最好的套房！很意外的惊喜。。屋里很大很舒服，我和男朋友住的很开心。别墅总共三层，大概十几间房，因为人少也很安静，别墅后面有一个小花园，还有一条人造的小溪 养了些金鱼，有点情调，早上在那里吃早点好享受！有机会还会再来', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '我共在岛上住了四天换了三家酒店，感觉整体上岛上的家庭旅馆我都比较喜欢，我喜欢它的安静、干净、行人轻缓的脚步。四天当中我在这一家住了两天，本来要住三天的，我已经交了第三天的房费，但中午时分被告知第三天的房是误订，说是早被订了，要我另外找房，唉！不晓得就那么十几个房间怎么会出现这种疏忽！不过，个人感觉这一家比我住得另外两家性价比高些。', '短评打分': 5}
{'短评内容': '房间很好也很干净。但是早餐太差。', '短评打分': 3}
{'短评内容': '酒店是个小别墅改建的，住在三楼的阳光房，虽然邻着小巷，还算安静，入睡前会听到大家上楼下楼通通的声音，开门的声音，不过大家入睡后，岛上的宁静还是体会的到。房间里硬装还可以，闽南的房间，带百叶的木窗户。老婆累了，晚上没有去屋后的小花园，早上起来在里面吃早饭，中餐还是比较可口。有一个池塘，里面的红色的、锦色的金鱼肥特特的，圆滚滚的，周围一圈的蓝色喇叭花，中间几棵挂树，几把太阳伞下几副桌椅，二楼的住客把房', '短评打分': 5}
{'短评内容': '很有特色的一个酒店,从龙头路走到这差不多十来分钟.一栋大别墅,我们住的是高级房,房间面积不大,洗手间倒是明亮宽敞.夜晚的花园很美,流水,微风,跟老公在花园喝红酒,太享受了.高级房在一楼,下次有机会来我一定选择可以看到花园的房间.', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '花园又大又美，呆在花园里就不想动了。\n\n酒店的床非常舒服，这点是最满意的。还有特别的音乐唤醒服务。\n\n早餐不够丰富，但还算吃得舒服。', '短评打分': 5}
{'短评内容': '\n有点偏僻，但是环境很好，服务人员非常客气。\n有WIFI，早餐还不错\n\n住了2天，2楼好像只有一间299的高级房，但是第二天并没有换床单 被子 等东西。\n有一些小失望。\n\n', '短评打分': 5}
{'短评内容': '我订的阳光房305很阳光，卧室2个方向有窗户，卫生间也有一个，早晨起来，外面还有小鸟在叫，干净通透，也推荐给你。', '短评打分': 3}
{'短评内容': '一家很有特色的旅馆.1924年造的老别墅.内装簧很不错,房间也大.庭院也很别致.在庭院里吃早餐简直是种享受.床垫很舒适.软硬度正好,一躺上去,不想睡的也很快能进入梦乡.总的来说是一家有点小资情调的旅馆.有一些不足是硬伤,可以理解.比如:离景点和商业中心都比较远.房间隔音不好,(这是老别墅改的小旅馆都有的弊端)只能祈祷你不要有个大嗓门的邻居.热水一个人用来洗澡正好,如果两个人入住的话,需要等水重新加', '短评打分': 5}
{'短评内容': '超级爱！！！！！环境很好，设计很棒！我很喜欢这个旅店！', '短评打分': 5}
{'短评内容': '老别墅改造，很有风情的一栋楼。\n\n酒店的床很舒服，早上还有音乐唤醒服务，很特别。\n\n花园非常漂亮，有喷泉有鱼塘。\n\n唯一遗憾是离景点稍远，不过换来一片宁静。', '短评打分': 5}
