{'短评内容': '很不错的酒店！', '短评打分': 5}
{'短评内容': '服务热情，前台操作很快，早点很好。交通便利，卫生洁净。', '短评打分': 5}
{'短评内容': '现在怎么是个酒店就敢自称五星级，星级也通胀了吗？', '短评打分': 5}
{'短评内容': '不错的宾馆,在大同为数不多的5星饭店之一.', '短评打分': 5}
{'短评内容': '住的还好吧还是较干净的.羊杂味道不错,卫生间小点,感觉和星级有些差距', '短评打分': 3}
{'短评内容': '酒店服务很好，非常满意', '短评打分': 3}
{'短评内容': '酒店不错,早餐也很好,只是和两年前相比,硬件旧了不少.', '短评打分': 5}
{'短评内容': '十天贵酒店服务不错，住的还满意', '短评打分': 3}
{'短评内容': '还好还好还好还好还好还好还好还好还好还好还好还好还好还好还好', '短评打分': 5}
{'短评内容': '  很好，很干静', '短评打分': 3}
{'短评内容': '总体不错，但是离机场远了点。下次还是选择云冈国际或花园吧', '短评打分': 5}
{'短评内容': '酒店的位置不错，周边乘公交、打车都很容易，出行还是蛮方便的。', '短评打分': 5}
{'短评内容': '地方一般，对不起400多的放假，个人认为！', '短评打分': 3}
{'短评内容': '大同的酒店普遍偏高...........................................', '短评打分': 1}
{'短评内容': '房间布置的很温馨，颜色搭配的很协调，卫生和设施方面都不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '服务热情，房间干净整洁，设施完善，价格也不贵，值得推荐。', '短评打分': 5}
{'短评内容': '虽然没有什么5星级的感觉。但是估计在大同也就这样了。还算可以。', '短评打分': 5}
{'短评内容': '非常专业化的一家五星级酒店，可能是大同最好的酒店之一。原以为大同的酒店即使是五星级的也与京沪等地的有差别，但此酒店确实非常好，硬件不需说了，各人员的服务非常好！面带微笑，礼貌、专业！特别是大堂经理Nancy （中文名字记得不太清楚，好像姓“罗”），非常专业，使我对大同的第一印象非常好！', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '对酒店的房间还是很满意的，但是当时去的时候酒店周边正在修路，打电话给酒店前台问怎么过去，结果前台人员与地理位置很不熟悉，这一点还是需要加强一下，不过酒店的住宿条件还是很理想的，很满意！', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
