{'短评内容': '房间舒适安静的', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '我住的是商务套房，觉得房间的装修很独特，特别喜欢客厅电视机前的小餐桌，弄得很有包厢的感觉，卫生也很干净，服务态度也很好，本来我订的是山水套房（因为面积最大），去到前台看到山水套房的设计没有商务套房的好看，而且价格又一样就转商务套房，上到房间发现和图看到的不一样，去前台要求改图中要的房型，服务员还是依然很热心的帮忙，看我要的房型有没有清洁干净，可以立刻入住的，并解释说商务套房有几种设计风格不同的房型', '短评打分': 5}
{'短评内容': '好得很', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '房間衛生很乾淨.感覺很舒服', '短评打分': 3}
{'短评内容': '不错，别致得很很很很很很很很很很很很很很很很很很很很很很很很很很很很', '短评打分': 5}
{'短评内容': '卫生比较好，装修比较有特色，比较有个性，服务态度好。', '短评打分': 5}
{'短评内容': '房间太小了，感觉很一般', '短评打分': 3}
{'短评内容': '房间有特色，在东莞的东城，交通方便，吃饭地方也容易找。', '短评打分': 5}
{'短评内容': '其实就是山水连锁酒店。\n房间比较小，性价比不高。', '短评打分': 1}
{'短评内容': '1）交通方便，房间格局以及装修不错。2）早餐很简单，就几样，没有早餐厅。3）这几天入住有点冷，没有暖气。总体感觉还可以吧！', '短评打分': 5}
{'短评内容': '房间内的装饰不错，离世博广场很近，交通也很方便，但早餐很单调，这几天入住房间有点冷，没有暖气，被子薄了一点，只能折叠成双层来盖；网速很慢，要改进。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': ' 和照片的不大一样', '短评打分': 3}
{'短评内容': '非常有艺术特点的酒店，是我入住这么多酒店里的精品，喜欢！希望以后还有机会继续入住该酒店。！', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '设计感很好，这种价格还算行，不过热门的房间设计要提前约好，不然住不到想住的。', '短评打分': 5}
{'短评内容': '很有特色，不错。只是和心目中有小小差距：设施跟不上设计。', '短评打分': 5}
{'短评内容': '所有的東西都要另外付款\n感覺非常不好..\n\n', '短评打分': 1}
{'短评内容': '比较干净卫生 房型设计比较新颖 缺点上网的网速实在太慢了！', '短评打分': 5}
{'短评内容': 'good', '短评打分': 3}
{'短评内容': '我住的是浪漫时尚房，308一晚，这个价钱性价比还可以。装修很特别，房间也够大的，大圆床，很合适情侣去住。不过水太小了，有待进一步改善。电视不够清，卫生间空间再大一点就好了。', '短评打分': 5}
{'短评内容': '很漂亮，每间房都有自己的特色，风格各不相同，而且相同价钱的房间还可以任你选择装修风格。', '短评打分': 5}
{'短评内容': '房间的设计风格很独特，估计是想给顾客每次都有不同的体验。\n我入住是在六楼，当天刚好有个公司在搞培训，搞得很晚，有点吵。\n\n酒店附近一个人吃饭不是很方便，酒店的早餐只是真功夫和KFC的早餐，如果客人购买倒是很便宜只要10元。\n\n这个价格相对东莞的酒店显得有点贵了', '短评打分': 1}
{'短评内容': '住了三天，很不错的地方。性价比很好，房间很有特色。', '短评打分': 5}
{'短评内容': '每天都可以换不同风格的房间，朋友都说不错，在当地也很有名。建议去试试', '短评打分': 5}
{'短评内容': '这酒店挺好的', '短评打分': 3}
{'短评内容': '房间不大，但是格局很独特，名不虚传，值得试试，就是位于东城，去东莞很多镇不方便', '短评打分': 5}
{'短评内容': '很有特色的地方，本来预定的三件普通单间，预定成功后，房间不够，有两间还升级为豪华单间了。赞一个！前台人员不多，但是效率很高。房间都很有特色，推荐大家都来试试。本来想先住一天看看，试了以后，决定多住几天。呵呵。', '短评打分': 5}
{'短评内容': '设计挺不错,精品房设施有点旧,吃东西出门走路的话不太方便.有车就无所谓了!服务还可以,只是订8点半早餐7点半就送到搞得整天打哈欠', '短评打分': 3}
{'短评内容': '好好', '短评打分': 3}
{'短评内容': '好特别的设计', '短评打分': 5}
{'短评内容': '设计风格很特别，我住在山洞里呢！非常有情调和个性的一家酒店', '短评打分': 5}
{'短评内容': '酒店装修很很好，房间设施的很特别，采光效果不错，比较明亮，蛮不错的', '短评打分': 5}
{'短评内容': '设计的很新颖，很有创意，性价比高，酒店的餐厅环境很好，服务也不错，都很有礼貌', '短评打分': 5}
{'短评内容': '服务很好，卫生干净，性价比高，住着舒服', '短评打分': 5}
{'短评内容': '酒店位置不错，在市中心，出行蛮方便的，房间设施的很别致，隔音效果很好，住起来很舒服。', '短评打分': 5}
{'短评内容': '房间设施的很特别，性价比蛮高的，住宿环境很不错', '短评打分': 5}
{'短评内容': ' 已入住', '短评打分': 5}
{'短评内容': '附近交通蛮好的，出行很方便，房间很干净，服务周到热情，住宿环境非常好', '短评打分': 5}
{'短评内容': '酒店很有特色，一个房间一个风格，服务也很好，住的很舒适。', '短评打分': 5}
{'短评内容': '这家酒店真是物超所值，房间布置很时尚，圆形的床，玻璃形式的卫生间，设施很好，让人住的很舒适。', '短评打分': 5}
{'短评内容': '每个房间都不一样，让人感觉很新颖，而且隔音很好，睡觉很踏实。', '短评打分': 5}
{'短评内容': '位于市中心，周边交通很便利，性价比也不错，值得推荐一下。', '短评打分': 5}
{'短评内容': '风格很独特，价格很便宜，住的很舒适，值得推荐。', '短评打分': 5}
{'短评内容': '房间比较旧,因为是白色色调的,所以看起来也不是很干净.不过针对这个价位也算比较合适.位置很好.', '短评打分': 1}
{'短评内容': '酒店比较新,房间挺干净的,不过面积比较小,其他方面也都还可以', '短评打分': 5}
{'短评内容': '房间的通风不是很好,有一点异味,其他方面都还不错,价格也挺便宜的', '短评打分': 5}
