{'短评内容': '很开心得入住', '短评打分': 5}
{'短评内容': '房间面积不小，通风不好，进屋有股怪怪的味道，隔音不是很好，环境卫生也很一般。卫生间也不是很习惯，躺在床上洗澡间一览无余。估计在天津161元也就住这样的吧！', '短评打分': 1}
{'短评内容': '酒店还可以，但门口无停车位很不方便。希望改进', '短评打分': 5}
{'短评内容': '不错，位置在长途车站旁边，如果家庭房能再增加一个被子就好了', '短评打分': 5}
{'短评内容': '很好，环境非常不错，下次还会住这，交通也很方便', '短评打分': 5}
{'短评内容': '挺好的，快捷方便，环境优雅', '短评打分': 3}
{'短评内容': '交通方便，不错的选择', '短评打分': 3}
{'短评内容': '环境不错，交通方便，挺好', '短评打分': 3}
{'短评内容': '虽然房间小了点，但还是不错的，就是有一股霉味，难道天津也这么潮湿吗？希望像汉庭七天那样改进一下', '短评打分': 3}
{'短评内容': '天津鸿泰快捷酒店很好', '短评打分': 3}
{'短评内容': '酒店总体还是不错的，最满意的是清洁的阿姨，特别特别好。电视设备也不错。比较不满意的我住的那间正好马桶有点坏，漏水。。。。。。厕所的门是玻璃门，很不方便啊……对了，没有吹风机……', '短评打分': 5}
{'短评内容': '住的特价房138.屋内装修相对较新，卫生服务太差，一次性的洗发沐浴袋都塞到墙上的洗发空罐里也没人清理，而且是很多个这样的袋子说明有好几拨客人入住期间都不曾打扫。毛巾和被褥有不好的气味。也是将就这个价位，前台说还要涨价？真是无语。', '短评打分': 1}
{'短评内容': '比较不错会推荐给朋友.............................................................................................................................', '短评打分': 5}
{'短评内容': '地理位置实在太偏僻了，附近连个超市都没有。楼下在装修，旁边似乎是垃圾场。\n不过，室内倒是挺不错的。床很舒服，西瓜红的床上用品我很喜欢。空调也很好。水温够，热水随时有，就是沐浴露洗发水没了却没有及时添加，后来到前台要的。卫生间基本无异味。可能因为隔壁没人，基本没听到噪音。\n', '短评打分': 1}
{'短评内容': '环境很好,价格合理,服务态度好.', '短评打分': 3}
{'短评内容': '环境不错，价格也合适，虽然位置有些偏，但是交通方便，离市中心也近，下次还会去住。', '短评打分': 5}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '房间小了点，浴室的沐浴液按钮不见了，不过给我们拿了备用的', '短评打分': 5}
{'短评内容': '酒店还行，就是配套设施不够完善，电吹风都没有，座机连市话都拨不出去…', '短评打分': 3}
{'短评内容': '一般,无停车位，饭菜量较大但质量档次一般。个人预留信息（手机号）被滥用（怀疑是工作人员所为或出卖个人信息）。', '短评打分': 1}
{'短评内容': '隔音很差，，  而且 早上服务人员就在门口聊天，很郁闷。。。', '短评打分': 5}
{'短评内容': '很干净   服务也行   总之价格合理   推荐啊  ', '短评打分': 5}
{'短评内容': '    非常不错的快捷酒店，很干净，服务很热情，交通挺方便，酒店里有个餐厅很卫生而且实惠。\n     美美中不足的是还有点装修的味。', '短评打分': 5}
{'短评内容': '房间整洁，布局合理。房门隔音貌似不行，宽带形同虚设，两次咨询前台都未能解决，写字台前空间过于拥挤。再有位置有点偏。但总体感觉很好。', '短评打分': 3}
{'短评内容': '服务挺好 就是隔音不好', '短评打分': 3}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '天津鸿泰快捷酒店 价格很实惠，室内比较卫生，交通也很方便', '短评打分': 5}
