{'短评内容': '不错  进来感觉很好  有档次   卫生也挺干净的。很满意', '短评打分': 5}
{'短评内容': '房间硬件太差，很陈旧，中央空调不开，达不到四星标准。晚上歌厅声音大影响休息，早餐不太好', '短评打分': 3}
{'短评内容': '酒店大堂还可以，房间硬件太差，很陈旧，有中央空调不开，完全达不到四星标准。早餐不好，晚上歌厅的声音太大，影响休息，', '短评打分': 1}
{'短评内容': '挂牌四星级的酒店，虽然有点旧了，但在黄山已经是很不错的了，服务也很好，我们上山前和下山后都住在这里，房间挺大的，我和爸妈住的家庭房，酒店的商场里面需要爬山的东西都有，而且大姐人很好，也不贵，买了一支登山杖才25元，可以留作纪念。', '短评打分': 5}
{'短评内容': '服务员态度超级恶劣。去那住就是花钱找气生', '短评打分': 1}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '如果去黃山景區，其實住這家酒店不是很有優勢，不過如果選擇黃山市區，這個酒店位置還是不錯的。火車站走路10分鐘，汽車站打車15塊錢。酒店旁邊就是胡氏徽菜館（據說蠻有名的老字號），很方便。\r\n這個檔次的酒店居然房間不提供免費上網，要收20塊錢才給網線....有點遺憾。\r\n因為是春節，南方下雪，所以酒店的中央空調有點不暖和，房間里睡覺有點冷。房間提供吹風機，還不錯。\r\n另外：酒店里提供免費行李寄存的服務', '短评打分': 5}
{'短评内容': '离景区有点远 条件一般', '短评打分': 5}
{'短评内容': '很好~~！酒店很舒服~~！', '短评打分': 3}
{'短评内容': '一切都不错~！！！', '短评打分': 5}
{'短评内容': 'OK 很不错的一家酒店', '短评打分': 5}
{'短评内容': '酒店还是非常不错的，硬件设施和他的环境卫生都是不错的，服务也挺好的，交通便利。', '短评打分': 5}
{'短评内容': '软件、硬件设施都比较可以！', '短评打分': 3}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '我一定要一吐為快,10/22/07晚上約10時入住櫃枱那位大娘像是&lt;br /&gt;\n我欠她錢似的以口令方式辦理一切手續,臉如樸克.&lt;br /&gt;\n來旅游心情一掃而光.', '短评打分': 3}
{'短评内容': '总体来说很好，但千万不要住5楼，歌厅太吵了。', '短评打分': 3}
{'短评内容': '东楼标间条件简直太差了，本想说四星的酒店再差能差到哪里去，才贪便宜订了160的房型，没想到一进去就有了要退房的念头，于是第二天就搬进了主楼标间，两者相差很多，但设施也不是很新！&lt;br /&gt;\n提醒大家千万别相信黄山的旅行社安排的任何一日或二日游的活动，特别是这个酒店大堂那家邮电旅行社，看上去挺正规的，交钱后才知道安排太差了，上当了，提醒大家小心！', '短评打分': 3}
{'短评内容': 'fgfgf', '短评打分': 3}
{'短评内容': '是可以考虑入住的宾馆.', '短评打分': 3}
{'短评内容': '我们住的是东楼标间,招待所的设施,不过建议大家去住那里的商务标间,很不错,环境也很好,还有净水供应呢。总的来说还算满意....值得一提的是那里的大堂,很气势哟!!!!!', '短评打分': 5}
