{'短评内容': '位置很好，很干净，床很大，服务态度很好。', '短评打分': 5}
{'短评内容': '酒店很干净，服务也很好。就是房间小了一点。距离泰山，岱庙都很近。周边也有银座之类的商场，还有集贸市场。', '短评打分': 5}
{'短评内容': '酒店不错，住着比较舒适，就是双人标间有些狭窄，卫生间比较小，不宽敞，总体位置不错，出去也比较方便。', '短评打分': 3}
{'短评内容': '很干净！服务好！但是停车位不多……', '短评打分': 3}
{'短评内容': '很温馨的环境，确实有种家的感觉，服务也很到位，值得推介一下', '短评打分': 5}
{'短评内容': '位置很好，旁边有银座购物中心，侧面有市场，买了几斤纸皮核桃，18块1斤，比超市好且便宜。下次还住这。', '短评打分': 3}
{'短评内容': '服务好，干净，早餐不错。7路车直达。周边有一家中式快餐店（出门左转，再右转即到）不错，不在很市中心，但还算热闹。旁边一个大的杂货菜市场，买特产方便。离岱庙后门走7、8分钟，坐3路车不方便（到红门和天外村），最近的车站要走1站多的路。', '短评打分': 5}
{'短评内容': '很温馨，很舒服，早餐很好吃！是个不错的住处！', '短评打分': 3}
{'短评内容': '还是不错', '短评打分': 3}
{'短评内容': '位置还不错，很安静，但是离岱庙和泰山很近，周围吃的比较多，离银座百货很近，比较方便。', '短评打分': 5}
{'短评内容': '非常不错，干净卫生，服务态度也很好，下次定酒店还会选如家。', '短评打分': 5}
{'短评内容': '挺好找，离泰山不远，交通方便，但酒店只有早餐，没有中餐和晚餐，有点遗憾！', '短评打分': 5}
{'短评内容': '今年初新装修的酒店，住得很舒服，原本以为会有味道，其实房间里一点没有新装修的味。非常好！强力推荐！门口就有公交很方便。对面一个饭店也很实惠。', '短评打分': 5}
{'短评内容': '酒店不错，保持了预定的价格。', '短评打分': 3}
{'短评内容': '酒店很新   服务不错哈.而且附近小吃店很多  非常方便', '短评打分': 5}
{'短评内容': '酒店确实方便快捷，入住后感觉很温馨，全体服务人员的态度都很好，感觉很温暖！前台推荐的附近的“辣椒炒肉”也很好特色，真想有机会再尝尝！', '短评打分': 5}
{'短评内容': '总体来还可以，请把网上的定单搞清楚，不要客人到了乱报价格。', '短评打分': 5}
{'短评内容': '房间还可以，挺干净的', '短评打分': 3}
{'短评内容': '早餐不错！商务大床房屋子有些拮据。。。。。。面积太小。。。。。总体感觉还行吧。', '短评打分': 3}
{'短评内容': '不错，爬山太累了又住了一天，因个人原因也没吃着酒店赠送的早餐，哎可惜了', '短评打分': 5}
{'短评内容': '不错的酒店设施很新，地点不错，附近有大超市，很干净，适合旅游，不过就是房间比较小。下次再去还住那。', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 3}
{'短评内容': '如家一直是我外出住宿的首选，与其他如家一样环境很温馨，但隔音效果还是有待提高', '短评打分': 5}
{'短评内容': '房间不是很大,但够用了,服务好,笑的很甜,早餐超出预期', '短评打分': 5}
{'短评内容': '服务很好，刚装修的，早餐也不错，环境好，周边商场饭店也多，推荐', '短评打分': 5}
{'短评内容': '一家新开的点，所以入住的时候还有部分房间在收尾施工，但是应该很快就会结束。设施很新，服务很周到。北侧步行3分钟有大超市，周边吃饭也还算方便。交通位置不算特别中心，但是还是比较方便的。', '短评打分': 5}
