{'descr': '房间稍微有点小不过还算干净，交通很方便，地理位置很好', 'star': 3}
{'descr': '服务还不错  就是房间隔音不好  太吵了', 'star': 5}
{'descr': '面积比较小，而且有点气味。靠街也是有点噪音。不过这个价格还算一般吧', 'star': 1}
{'descr': '价格实惠，服务不错，环境性价比高，没有电梯', 'star': 5}
{'descr': '到华润苏果下车即可。下车后，在华润苏果南门正对面。\n乘坐8路车，做到龙河广场就做过了，还要向回走。', 'star': 5}
{'descr': '还不错，就是没电梯。', 'star': 3}
{'descr': '价格服务还可以，就是空调不给力，太冷了。建议管理方改善条件。', 'star': 5}
{'descr': '入住这家宾馆，前台的服务态度还不错！但是入住之后，房间有一股很严重的臭味，被子也很不干净，还有头发。再说说卫生间，水龙头和浴头都坏了，漏水！毛巾和浴巾都有一股严重的臭味，同时旧得很！隔音效果更是超级差，入住当晚，晚上1点后，隔壁有人至少吵到早上4点多，我根本没有睡着。我说的都是事实，非常客观，虽然房价很便宜，但是我也感觉有些不值得，请引起重视！', 'star': 1}
{'descr': '＋', 'star': 3}
{'descr': '客房空间蛮大的，整体房间很整洁，卫生做得不错.而且位置好市中心一带，交通便利.', 'star': 5}
{'descr': '酒店位置有点不太好找，也是我本人第一次去连云港，对线路不太熟悉，打电话问酒店，服务人员也很热情周到，态度挺不错的.', 'star': 5}
{'descr': '室内的配置设施有些陈旧，住着感觉不是很舒服，不过周边用餐的地方还是非常多的，味道也不错.', 'star': 3}
{'descr': '房间配置还算不错，不过设施略显陈旧，还是老式的电视机，不过大的落地窗，采光很好.敞亮.', 'star': 5}
{'descr': '客房空间不是很大，不过自己住没有问题，光线不算太充足，很有想睡觉的感觉.', 'star': 5}
{'descr': '位置不错，出门就可以打车，挺方便的，不过室内条件一般，整体还是有待提高.', 'star': 3}
{'descr': '房间的卫生间配置还算不错，淋浴用品挺齐全的，而且水量充足，还是蛮不错的，其它室内条件也很好.', 'star': 5}
{'descr': '位置好，周边交通便利，而且逛街购物的地方也是非常多的，还是挺不错的.', 'star': 5}
{'descr': '客房的硬件配置不是有待提高的，尤其是空调，声音很大，开着的话晚上会很难入睡.其它各方面还不错.', 'star': 3}
{'descr': '酒店整体条件不错，就是没有电梯，前台服务人员热情好客，而且办事效率很快.', 'star': 5}
