{'短评内容': '比想象的逊', '短评打分': 4}
{'短评内容': '位置在锦里街上 临街的有点吵 并且房间很小 设施也并不是很先进 装潢的没有图上的好看 考虑到它的价格 感觉非常不划算 不推荐', '短评打分': 1}
{'短评内容': '很有川西特色的一家客栈，价格小贵点，不过还是很值得，还有出行方便。', '短评打分': 5}
{'短评内容': '早餐太简单了，但是位置得天独厚早餐太简单了，但是位置得天独厚早餐太简单了，但是位置得天独厚早餐太简单了，但是位置得天独厚', '短评打分': 5}
{'短评内容': '酒店位置的确不错，但是单人间说是18平米肯定算上了洗手间，打开房门，给你的感觉就是一间屋子半间炕，差不多可以用脚关门了。手提箱肯定要放地下，连桌子都没有。我都不知道，明早早餐送来放在什么地方。哈哈，太搞笑了。\n另外单人间没有网络。洗手间坐在马桶上，鼻子差不多可以顶到墙了。真不是很夸张。\n看到这样想加钱换房间，也没有别的了。\n隐庐和芙蓉第差不多是套间了，而图片上大多是这里的。不是标间和单间的。\n说实', '短评打分': 1}
{'短评内容': '酒店位置很好，晚上去锦里泡吧很方便，一般到晚上十一点锦里的人也渐渐少里，晚上睡觉很安静，房间布置也很好，但是建议住隐庐右侧的房间或芙蓉', '短评打分': 5}
{'短评内容': '酒店性价比不高，设施陈旧，卫生不好，晚上吵…', '短评打分': 3}
{'短评内容': '喜欢安静的就不要住在这里了。早餐很简单，不过是送到屋里的。房间不大，周边的选择很多，这里可以住1晚感受下，设计还是挺有风格的，如果在成都准备多玩几天，建议选择其他酒店。他家有两个院子，可能需要订的时候特别强调一下才能订上，会安静一些', '短评打分': 1}
{'短评内容': '房间比较吵，服务态度一般般。早餐一般，总体感觉较差。', '短评打分': 5}
{'短评内容': '，已经成功入住，位置不错，就是晚上有点吵', '短评打分': 3}
{'短评内容': '地点很好，但是出门时想泡茶，我找遍整个客栈，没有一滴热水。对这家客栈的狠不得不服，对客人狠，对自己也狠，不得不服！！！', '短评打分': 1}
{'短评内容': '挺好的真的挺好的真的挺好的真的挺好的真的', '短评打分': 5}
{'短评内容': '挺好的真的 挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的挺好的真的', '短评打分': 5}
{'短评内容': '酒店的位置很好，就在锦里景区里面，如果单纯为了逛锦里的话，住在里面还可以。不过性价比不高。图片拍的很漂亮，可是到里面以后，设施很陈旧，屋里黑漆漆的。我住的是一楼，门特别薄，就像家里房间的隔断门一样，都怀疑是否有门的作用。水龙头的水特别小，都没敢洗澡。而且很冷。没有电褥子。不推荐。除了逛锦里方便，没有什么其他优点了，不推荐！！！再也不会去了。 ', '短评打分': 1}
{'短评内容': '每次去成都当地的朋友向我推荐这家客栈.位置\\服务都很好,很有特色,也很安静,非常喜欢.早餐送到房间内,虽然不是很丰富,但是感到非常温馨.', '短评打分': 5}
{'短评内容': '很干净，但毛巾的质量一般。电视机太小。', '短评打分': 3}
{'短评内容': '由于是在锦里里面所以价格贵了点，环境也还不错，房间比较小，只是隔音效果不是很好', '短评打分': 5}
{'短评内容': '喜欢安静的朋友还是别住了~房间倒是不错，就是晚上太吵了，就在锦里街里面，环境吵闹的给人感觉像住在民工棚旁边，晚上吵得很。被子有一股味道，像是来不及烘干就套上了，潮潮的味道。洗手池没热水且水很凉，洗澡的地方下水不好，走得很慢，但水还算热。没有衣柜只有几个衣架供你挂衣服。倒是早餐送到房间很贴心，而且玉米很好吃。住一晚还能坚持，住两晚就要崩溃了，真的太吵了夜里', '短评打分': 1}
{'短评内容': '古香古色的一个客栈，在锦里的里面，，服务员的态度不是很好，有待提高，早上5：00退房后，在回去想去躺洗手间，竟然告之没有？房间内设施不错，但是觉得有些冷。', '短评打分': 5}
{'短评内容': '位置非常好，在锦里街里面，隐庐院子里很安静，出门就是热闹的锦里。每次打开隐庐的大红门，几乎都能碰到有游人在门前拍照，我们从里面走出来，让他们很惊讶。\n美中不足的有两点：1、所住的房间窗外有个很大的空调外机，晚上略有一点吵。2、洗澡的热水不稳定，有时会变成全冷水。', '短评打分': 5}
{'短评内容': '大堂和院子都很有感觉，不错。的确要隐庐或者芙蓉第的房子更安静一些，是街对面的院子，院子有厚厚的木门和很重的铜环，挺有情调。\n\n缺点是房间有点小，开始给我们的一间空调噪音巨大，找服务员却告诉我们无法修也不能帮我们换。费了很多口舌才帮我们换了一间。', '短评打分': 5}
{'短评内容': '闹中取静，环境很好，晚上到锦里转转，很悠闲，离耍都也很近，吃饭很方便', '短评打分': 5}
{'短评内容': '卫生还好，就是卫生间太旧了点。如果去感受一下是可以的，因为是老房子，又是在成都很火的锦里里面，很吵，晚上也如吵，想好好睡觉的有点难，除非你睡觉很重，不怕吵的可以。', '短评打分': 1}
{'短评内容': '位置超好，逛武侯祠和锦里的最佳旅馆，闹中取静，颇有一番滋味！', '短评打分': 5}
{'短评内容': '总括来说挺特色的，但标准间的配套很一般，连基本的衣柜和冰箱都欠奉（不知道别的房间有没有配置）。由于酒店是在锦里的步行街上所以早上很早就听见街上的店铺准备开店的声音。总体来说这个价位算是能接受。', '短评打分': 5}
{'短评内容': '忘记说了，临街的房间好吵！！晚上很迟才能入睡，早上很早就会被吵醒！！！', '短评打分': 3}
{'短评内容': '还算不错的酒店，位置就在锦里古街上，很方便，服务态度只能算是一般，因为外宾很多，它的位置决定了它的生意很好爆，生意服务态度有待提高！！', '短评打分': 5}
{'短评内容': '客栈比较有特色，是古色古香的川式四合院。但前台的服务速度有点慢，一开始给的房间空调很吵根本无法住，后来很不情愿地才给换了一间。', '短评打分': 5}
{'短评内容': '位于锦里步行街入口处，环境一流，雨夜入住更佳，街口的星巴克‘街尾的小酒吧都是宵夜不错的选择。', '短评打分': 5}
{'短评内容': '客栈位置不错，但服务很差劲，房间有股奇怪的味道，不会再去了。', '短评打分': 1}
{'短评内容': '很舒适，位置很方便，有点吵，不提供地图及成都景点介绍', '短评打分': 5}
{'短评内容': '锦里客栈就在锦里古街一进门星巴克隔壁，位置实在正点，到店后为了不临街换成了大床房，价格升了300块一晚，略小贵，为了不折腾一口气住了3个晚上，算大客户了吧，哈哈，房间在隐庐的二楼，古香古色的，闹中取静，呵呵，体验很特别。给个好评吧，价格要是再便宜点就更合适了。', '短评打分': 5}
{'短评内容': '挺不错的，怕吵的朋友记得跟服务台说不要临街的房间。反正我们在四合院最里面，早上晚上都没被吵着。很清新的感觉。唯一不足的是服务员的服务态度还是比大酒店的服务员服务态度差些。', '短评打分': 5}
{'短评内容': '房间太小，位于热闹非凡的锦里街区，简直让你到半夜3点都无法睡眠。房间门是临街门，又为玻璃门，隔音效果极差，街上人走路的声音都能听得到！以后请我去住我都不会去了，我可是整夜睡不着。。。。。', '短评打分': 1}
{'短评内容': '值得推荐的酒店,位置非常好,住的中式套房很舒服,早餐虽然象网上评价的单调,但是免费送到房间的,不想吃可去锦里吃小吃.', '短评打分': 5}
{'短评内容': '还是老问题,千年不变的早餐......\r\n晚上的游人很吵,没人帮忙拿行李\r\n除此之外还成', '短评打分': 5}
{'短评内容': '很有艺术的酒店', '短评打分': 5}
{'短评内容': '不错，位置很方便，原先认为住在景区很吵，发现还行，值得。就是早餐太单调，每天是一盒牛奶，一个鸡蛋，一段玉米，一段红薯。如何不考虑早餐，就推荐吧。', '短评打分': 5}
{'短评内容': '这是一家闹中取静，古色古香，非常有风格的酒店，以后来成都我还会选择这里，但愿到时早餐更加丰富一些。', '短评打分': 5}
{'短评内容': '在锦里路内，因为你住宿里边 ,不需要购买门票，每人可节省人民币60.00.', '短评打分': 5}
{'短评内容': '总体来说不错的酒店，卫生干净，设施完善，地理位置交通方便，服务热情周到，性价比不错', '短评打分': 3}
{'短评内容': '位置好，装修古朴有品位，早餐有些简单。', '短评打分': 5}
{'短评内容': '服务还是挺满意的,房间的卫生和设施也挺好的,位置也很好找,性价比还是比较不错.', '短评打分': 3}
{'短评内容': '成都潮湿阴冷 但是酒店的空调和热水都很令人满意', '短评打分': 5}
{'短评内容': '位置不错,房间也不错,就是有点小,住一楼,出门就是锦里,心里感觉不安全,不过门口还是有服务员看的', '短评打分': 5}
{'短评内容': '在风景区里面看风景还是不错的,房间有些小,里面的设施还可以,服务是比较一般,因为它也不是那种正式的酒店,服务还是一般的,价格也在能接受的范围之内,还是挺好的,总体还是很满意的.', '短评打分': 3}
