{'descr': '位置好，环境好', 'star': 5}
{'descr': '我入住的时候是在凌晨的1点左右了，酒店内有免费的2张手帕是赠送的，一张蓝的一张黄的，意外的惊喜。早餐10元钱，个人感觉还行。', 'star': 5}
{'descr': '总体可以，交通便利', 'star': 5}
{'descr': '总体还可以', 'star': 5}
{'descr': '一般', 'star': 5}
{'descr': '房间比较小，相对建设南大街店有点小，厕所异味很大，地理位置还可以，但是对面是海龙电子城白天会很吵，致使矛盾出现，开窗户太吵，不开窗户房间味道很大。', 'star': 1}
{'descr': '总体还可以，就是餐厅饭菜价高了些', 'star': 5}
{'descr': '住得临街的房间，隔音太差了，一大早就被街上的声音吵醒', 'star': 5}
{'descr': '房间不错，就是客服都是新手，对业务不熟。。', 'star': 3}
{'descr': '酒店的地理位置不错，就是隔音不是很好，总体来说还是比较不错的，下次还会去住，不知道驿家365怎么出了个百元房，不知道怎么可以入住，呵呵', 'star': 5}
{'descr': '服务员不专业，比锦江的要差，因为是新成立的一家快捷酒店，总体还是不错！', 'star': 5}
{'descr': '卫生间和如家相比，有自己的特色，就是隔音太不好，我入住的是不临街的房间，可是却有巨大的空调运转机嗡嗡的声音~！！！很是吵', 'star': 5}
{'descr': '就在市中心，位置很不错。', 'star': 5}
{'descr': '位置非常好，在繁华市中心。房间也不错，床有点硬。', 'star': 5}
{'descr': '玻璃浴室磨砂的，没有衣橱，有个大马扎。电视台就30个少点', 'star': 5}
{'descr': '不能收传真，网速也比较慢，被子比较沉，其他方面比较满意。', 'star': 5}
{'descr': '总体环境感觉不错，隔音效果不好，价格还可以，卫生一般，前台服务员态度冷漠，设施一般，没有提供剃须刀感觉不好。', 'star': 3}
{'descr': '环境总体不错.就是最近附近晚上在施工很吵,没有睡好.前台服务感觉一般,对人感觉比较冷漠.不过维修人员不错,有问题很快能赶到处理.房间的网速比较慢,暖气很不错.很热.房间每天都放2条新毛巾感觉很不错.如果能有一次性剔须刀就更好了.交通还算便利.楼下就是博物馆,夏天去晚上可以转转不错..', 'star': 5}
{'descr': '房间隔音很差劲，楼道的走路听的一清二楚，房间也不大，不太喜欢', 'star': 1}
{'descr': '刚开不久，还可以。就是靠马路的地方有点吵', 'star': 5}
{'descr': '不错，干净，方便', 'star': 3}
{'descr': '性价比不高', 'star': 1}
{'descr': '不错的位置，不错的服务。', 'star': 5}
{'descr': '位置很好，这边交通很方便，房间的卫生和设施也都还不错，服务也还算周到热情我觉得这是一家性价比较高的酒店，整体感觉还是值得推荐的。', 'star': 3}
{'descr': '酒店就是价格稍微高一点，但是设施和环境还是不错的，房间里也比较干净。', 'star': 3}
{'descr': '位置很不错的,离我办事的的地方很近,很方便了,卫生和服务方面也都不错,就是在餐厅吃饭时要等好久,做的太慢了.', 'star': 3}
{'descr': '酒店是挺干净的，服务也挺好，价格合适，但是整体来说还是比较简单了一点，而且酒店没有自己的停车场，自己开车的话不太方便。', 'star': 1}
{'descr': '非常好的酒店，环境很舒服，服务很好很到位，进酒店就给人感觉很舒适，价格也很便宜', 'star': 5}
