{'短评内容': '可以住', '短评打分': 4}
{'短评内容': '酒店很旧，单人间很吵', '短评打分': 3}
{'短评内容': '酒店外观一般，但是房间设施维护得还不错，早餐品种也比较丰富', '短评打分': 5}
{'短评内容': '酒店外观一般，但是房间设施维护得还不错，早餐也比较丰富！', '短评打分': 5}
{'短评内容': '交通方便，但是打车很难，交通堵塞。酒店设施太陈旧', '短评打分': 1}
{'短评内容': '火车站堵车严重，打车不方便，酒店设施陈旧', '短评打分': 1}
{'短评内容': '虽然设施旧了点，但是从价格和服务上还是很不错的，卫生状况也挺好。最重要的是我吃早餐的时候，不小心把包忘在了餐厅椅子上，里面全是贵重物品和证件，结果过了将近30分钟，我才惊慌的发现并下楼寻找，最后还原封不动的在原地。真惊险啊！所以我对这个酒店的印象还不错哦~~', '短评打分': 5}
{'短评内容': ' 前台服务态度相当差，酒店设施陈旧，硬件老化，没有如家、速8、7天等全国连锁快捷酒店好，并且后者还比前者便宜。', '短评打分': 3}
{'短评内容': '节后再次入住,依然是首选,早餐建议在这几天要少而精。过年嘛!', '短评打分': 3}
{'短评内容': '美渝大酒店交通便利，物超所值', '短评打分': 3}
{'短评内容': '不多，挺好的，预订的酒店的环境也不错，去火车站也方面', '短评打分': 5}
{'短评内容': ' 酒店服务一般 床具不舒服', '短评打分': 3}
{'短评内容': '酒店总体情况还不错，好像举办会议也挺多。但是建议大家不要定单人房，单人房都是靠马路的，房间隔音不好，所以一晚上都会比较吵。到了早上6，7点就更闹猛了。', '短评打分': 5}
{'短评内容': '离火车站很近，要坐火车的话很方便，离观音桥步行街打车也就起步价，房间还不错，就是周围有点吵杂', '短评打分': 5}
{'短评内容': '环境一般，交通方便，离车站太近太吵了！', '短评打分': 3}
{'短评内容': '性价比相对较高，空间宽敞，不足之处：酒店内部设施及装修陈旧，综合感觉不温馨、不人性化，浴池尤为突出', '短评打分': 3}
{'短评内容': '酒店不错…', '短评打分': 3}
{'短评内容': '美渝紧临车站，交通较为方便，周围环境不错，但是停车不方便，要收费，心头不是很舒服。', '短评打分': 5}
{'短评内容': '这家店是我第一次住，感觉它交通位置不错，服务也可以，早餐还可以，床也比较大，下次还住它。但我不太明白点评为什么要五十个字呢，', '短评打分': 5}
{'短评内容': '离火车站挺近的。就是里面设备有点成旧。其他方面还可以。交通也方便。前台服务也比较好。晚上很难买东西吃。', '短评打分': 5}
{'短评内容': '位置不错，离火车站很近，酒店总体情况不错', '短评打分': 5}
{'短评内容': '1、离火车站近，出扶梯后到两路口有很多车，还有地铁。\n2、伙食还可以，完全可以吃饱，有好多三星半的饭店都让人没法吃。\n3、态度不错，我们是7：30从昆明到重庆，结果提前4个小时让我们入住。\n4、退房后，可以免费存包三天，我们12：00退房，结果0点才取。\n住这家店，我们很满意。', '短评打分': 5}
{'短评内容': '环境优雅，价格优惠，靠近鹅岭公园，早饭也不错！', '短评打分': 5}
{'短评内容': '感觉还行!性价比可以!', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '已入住,房间不错,物有所值。', '短评打分': 3}
{'短评内容': '房间挺大，毛巾浴巾较差', '短评打分': 3}
{'短评内容': '笑臉迎人,笑容比較多。', '短评打分': 3}
{'短评内容': '服務不錯。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '很多房间没有网线，要求换有网线的房间得看运气，服务差劲', '短评打分': 1}
{'短评内容': '酒店服务差！设施差！前台人员态度傲慢无理！而且直接说不能补开发票！根本不配作为三星酒店！而且本来预定确认的房间，到了以后却出现无法入住的情况，只能多要一个房间多出费用！酒店就是垃圾！', '短评打分': 1}
{'短评内容': '酒店很旧,设备很旧.绝对不会再定这间.早知道就定隔壁的7天连锁了.不过早餐很丰富,很喜欢.', '短评打分': 1}
{'短评内容': '位置很好，环境不错', '短评打分': 3}
{'短评内容': '房间比较大装潢一般有点旧总台服务人员素质太一般网线可用便宜', '短评打分': 3}
{'短评内容': '美渝的位置好，就在车站对面，内部设施和服务还可以，房间挺宽敞。', '短评打分': 5}
{'短评内容': '下水道都是塞住的，都沒有維修，房子老舊，雖然感覺還可以，但廁所真的要好好的改進，否則199的價格應該要降價才對!', '短评打分': 1}
{'短评内容': '停车可能有点不方便，除了隔音效果差点，其他不错。', '短评打分': 5}
{'短评内容': '距離火車站，汽車站，和長途汽車站 比較近。', '短评打分': 3}
{'短评内容': '如果能帮买一下长途汽车票就更好了、你说是不是？服务到家撒', '短评打分': 5}
{'短评内容': '酒店位置好，就在出火车站对面，性价比还行，设施比较旧点，早餐还行，中餐的口味不行，价格挺高的，不建议在酒店用餐', '短评打分': 5}
{'短评内容': '位置好，交通方便，性价比也挺好，下次还可以来住。', '短评打分': 5}
{'短评内容': '地方不错，靠近火车站和长途车站，房间较大。就是12月份了，房内中央空调还未开启，洗澡出来很冷的，早餐过于简单。', '短评打分': 5}
{'短评内容': '地方挺不错的，晚上也没听到过火车声，不过早了七八点的时候楼下的公交车就像闹钟一样把你听醒，很H的', '短评打分': 5}
{'短评内容': '酒店附近饭馆比较少，早上很堵不好打车，有的房间上不了网', '短评打分': 1}
{'短评内容': '酒店挺好!', '短评打分': 5}
{'短评内容': '服务态度差，设施差，天气较热竟然不开空调。', '短评打分': 1}
{'短评内容': '不错，到达那天天气暴热，亏得酒店近，下车出站就到，房间也可以。', '短评打分': 5}
{'短评内容': '酒店挺便宜的，其他的都很普通。周围噪音有点大。', '短评打分': 5}
{'短评内容': '返现系统太慢，带来极大不便。', '短评打分': 3}
{'短评内容': '还可以 积分系统太慢', '短评打分': 3}
{'短评内容': '服务，位置都不错，但是早餐的种类有点少，8点半以后就没有煎蛋了！\r\n希望能改善！！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间很大，到了晚上还可以看火车站的夜景，只是设施有点陈旧', '短评打分': 5}
{'短评内容': '服务有待提高', '短评打分': 5}
{'短评内容': '位置比较不错，没有留下什么坏印象，服务也不错，值得推荐。', '短评打分': 5}
{'短评内容': '这家酒店各方面感觉应该都不算是不错吧,环境挺好的,入住期间也没有遇到什么不满意的地方,可以推荐.', '短评打分': 3}
{'短评内容': '太旧了', '短评打分': 1}
{'短评内容': '好酒店', '短评打分': 5}
{'短评内容': '酒店挺干净，设施也还不错，地理位置价格都符合我的要求，也没有什么不满意的，挺好。', '短评打分': 3}
{'短评内容': '酒店的服务卫生方面还是不错的，设施条件也还可以了，周边环境也还可以，交通方面也挺方便的，价格方面还是稍微偏高些了。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错，位置出行交通方便。对面就是火车站汽车站。服务卫生都比较达标，性价比还是比较不错的酒店值得推荐入住。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都还不错位置出行交通也算是比较方便，价格合理适中。卫生服务也比较达标，整体来讲各个方面都比较合理适中，还是可以考虑入住的酒店。', '短评打分': 5}
{'短评内容': '床不是很舒适,很硬.性价比不是很好.主要是位置非常好,在火车站汽车站附近的酒店,硬件条件设施不是很好,价格也不算是非常便宜的酒店.', '短评打分': 5}
{'短评内容': '感觉不错', '短评打分': 5}
{'短评内容': '酒店的位置很好，交通挺方便的，酒店的服务不错，环境也很好', '短评打分': 5}
{'短评内容': '酒店的服务和环境都还不错，价格也算适中，但是他太老了，所以东西都挺旧的。', '短评打分': 1}
{'短评内容': '酒店还可以,房间蛮干净舒适的,价格也比较合理,就是人员的服务不是很周到', '短评打分': 5}
