{'短评内容': '挺好的，服务很周到，前台小哥很热情', '短评打分': 5}
{'短评内容': '房间环境还不错，但是交通没有想象中那么便利，坐公交车有点麻烦', '短评打分': 3}
{'短评内容': '很干净 服务也不错 就是房间小了点 考虑到价格 整体还不错', '短评打分': 5}
{'短评内容': '地点不错 就在五一广场附近 前往坡子街小吃和附近商场很方便！', '短评打分': 5}
{'短评内容': '还不错，就是行政房空调在头上，晚上声音比较大。', '短评打分': 3}
{'短评内容': '住过两次了  不错 挺干净温馨的 就是房间小了点 交通很方便 有点难找', '短评打分': 5}
{'短评内容': '住过两次了  不错 挺干净温馨的 就是房间小了点 交通很方便 有点难找', '短评打分': 5}
{'短评内容': '住过两次了 挺温馨舒服的 就是房间有点小 ', '短评打分': 5}
{'短评内容': '房间环境挺好，周围挨着五一广场黄兴步行街，出行逛街都很方便，觉得物超所值，但是唯一美中不足的就是隔音效果不太好。', '短评打分': 5}
{'短评内容': '地理位置很好，出门就是乐和城了，条件卫生什么的和其他连锁差不多，总体感觉不错了。', '短评打分': 5}
{'短评内容': '以前都是住7天的，但是这次住过莫泰后，我想我以后都会选择莫泰了。房间大小是比7天小，但是我觉得住酒店，床铺舒服就可以，房间不需要太大的，所以我觉得莫泰的房间够实用。我喜欢莫泰的枕头，不会很软绵绵，能很好托起颈部，睡得很好。床单不是单调的白色。跟7天一样，也是不提供洗漱用品的，但是没关系，我都习惯自己带的，不过我觉得有个地方很好，就是房间里面带有吹风机，我这种经常洗头的人，实在是太方便了，7天的吹风', '短评打分': 5}
{'短评内容': '还不错。 干净整洁。\n就是位置不太好找\n游玩很方便', '短评打分': 5}
{'短评内容': ' 位置很好而且也挺安全的。附近吃的喝的也多。就是隔音不好早上总会被吵醒。', '短评打分': 3}
{'短评内容': '没早餐，房间也不太干净。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '酒店很干净，服务态度也很好，只是有点霉味，可能是长沙一直下雨的原因吧，下次还住这里', '短评打分': 5}
{'短评内容': '酒店的地理位置不错，前面就是购物商场，很方便。有点遗憾的是房间空气不好，被子也有些潮，盖着真心的不舒服。', '短评打分': 3}
{'短评内容': '唯一的缺陷就是卫生间没有洗漱用品，还要花钱买', '短评打分': 3}
{'短评内容': '不错，在市中心，离步行街很近，周围很热闹，房间干净就是小，下次还住', '短评打分': 5}
{'短评内容': '空间虽小，但设置的很合理，别致。还是不错的。我非常喜欢那的被子。', '短评打分': 3}
{'短评内容': '酒店地理位置比较好，在51大道附近，背后有新世界百货，离步行街，火车站都不远，但是酒店被周围大厦挡住了，比较难找点，第一次去的时候，出租车司机都不知道...郁闷的，房间卫生比较让人满意，前台工作人员态度也可以，房间就是隔音实在是....\n\n\n\n早上6点多,隔壁房间小情侣,大家都懂的,听的清清楚楚.....\n\n不过银联不能刷卡押金，必须用现金交，这个我不知道的，最后离店结账的时候，退给我押金的时候，', '短评打分': 5}
{'短评内容': '房间是小了些，可是很舒适。挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '隔音效果太差！房间太小了。。小的无法忍受。。前台服务员业务不通', '短评打分': 1}
{'短评内容': '位置很好 房间还可以 服务员态度很好很热情 但硬件设施有点旧 厕所的排气扇很响', '短评打分': 5}
{'短评内容': '市中心，位置不错，环境很好，房间小而温馨！下次还会常住的！', '短评打分': 5}
{'短评内容': '位置很好，很近。就是房间有点太小了。然后就是隔音效果太差了。隔壁房间看个电视仿佛就在你身旁一样。蛮吵的。', '短评打分': 5}
{'短评内容': '位置不错，距离步行街很近。态度也还好，最开始给我的一个房间比较吵，提出来之后马上就给换了\n问题：隔音太差，隔壁叫小姐 和小姐叫床的声音，半夜听的一清二楚，真是扰人啊', '短评打分': 5}
{'短评内容': '服务态度很好床也很舒服', '短评打分': 3}
{'短评内容': '酒店的位置有点不太好找，但离步行街和宝南街众力通讯市场都很近。酒店感觉是比较舒适的，网速也很快，淋浴的水大，床软软的，要提醒大家的是酒店没有洗漱用品，要自带的哦！', '短评打分': 5}
{'短评内容': '位置很好，很安静，不错！边上就是乐和城，吃、购物都很好！房间很温馨！', '短评打分': 5}
{'短评内容': '空调不给力，除了吹飞下面感觉热度 其他地方一直不暖和，要知道房间不过十个平方而已', '短评打分': 5}
{'短评内容': '      酒店还不错 修地铁 有点难走 早上也比较吵', '短评打分': 5}
{'短评内容': '酒店位置佳。房间也整齐干净，去商业区很方便，性价比蛮高的！', '短评打分': 5}
{'短评内容': '次酒店感觉实在不咋样，早餐很差，房内很脏，门关上了一有风还响', '短评打分': 1}
{'短评内容': '整体还不错吧，就是电梯太少，等待的时间太长，房间也是稍微小一些，隔音不是很好。', '短评打分': 5}
{'短评内容': '环境不错!电视机和空调太老式!不好用', '短评打分': 3}
{'短评内容': '隔音很差，服务差，洗漱包还要收费，差差差', '短评打分': 1}
{'短评内容': '服务质量差，房间隔音效果极差，洗漱包还要自己买', '短评打分': 1}
{'短评内容': '外观和内堂还不错,其实挺旧的酒店了.里面设备什么的简单齐全,态度也不错.有点不满的是前一天泡茶后的杯子放在那里,次日收拾时没有更换新的,也没有补给茶包.而且洗发水和沐浴乳是一起用的,也很难按,按很久都只有那么一点.但地理位置真的很不错,完全是在市中心,去哪里都方便,隔壁就是乐和购物广场了.对于对居住要求不高地理位置要求高的朋友来说,是值得推荐的.', '短评打分': 5}
{'短评内容': '很不错哦，服务周到，交通便利，赞。每回到长沙都是住的这边，值得推荐~', '短评打分': 5}
{'短评内容': '很不错，服务周到，赞', '短评打分': 3}
{'短评内容': '很不错，房间很好。', '短评打分': 3}
{'短评内容': '很赞，有来长沙都是住这里的。', '短评打分': 3}
{'短评内容': '来长沙都住的莫泰，服务态度不错…', '短评打分': 3}
{'短评内容': '规模比较大但室内不是很大服务比较理想但无免费市内电话使用', '短评打分': 5}
{'短评内容': '服务态度很好，不错！', '短评打分': 3}
{'短评内容': '服务很好，超过预约时间为我保留了房间', '短评打分': 3}
{'短评内容': '感觉一般，隔音效果不明显、', '短评打分': 3}
{'短评内容': '房间太小~~~~~~~~~~~~~~~~~~~~~···', '短评打分': 1}
{'短评内容': ' 交通便利，离百联广场仅一步之遥，五一广场地铁施工比较噪', '短评打分': 3}
{'短评内容': '还不错 就在市中心 晚上回来方便  性价比高', '短评打分': 3}
{'短评内容': '不错.', '短评打分': 3}
{'短评内容': '离购物的地方超近，乐和成，平和堂 王府井', '短评打分': 5}
{'短评内容': '地理位置好，方便出行购物，吃饭，房间有点脏，可以再粉刷下墙', '短评打分': 5}
{'短评内容': '感觉不是很干净，厕所味道挺大的，房间比较小。', '短评打分': 5}
{'短评内容': '酒店的位置还不错，门前就有一个大型商场，和芒果博纳影城，步行10分钟即可到黄兴路步行街，酒店住宿的条件也还OK，相对还比较安静。设施齐全。', '短评打分': 5}
{'短评内容': '    位于五一广场旁，交通便利，价钱也比较公道，酒店服务还比较周到。但是酒店房间面积偏小，位置也比较难找，要不是打车去估计要找好一阵子。另外酒店不提供洗漱用具，需要自备，酒店电话也只能拨通前台，退房时间是到中午12点，这一点不是很方便。', '短评打分': 5}
{'短评内容': '因为修地铁 所以周围的路并不好走~\n最奇怪的是赠送一张早餐券~~~不管你住几天，每天都是一张早餐卷\n而且早餐没什么可吃的~··~姐干脆自己出去吃\n另外服务和房间整洁度都没有以前好 \n', '短评打分': 1}
{'短评内容': '位置不错，碎花被子我也喜欢\r\n', '短评打分': 3}
{'短评内容': '不错，离步行街近！价格优惠！以后还会选择', '短评打分': 5}
{'短评内容': '位置还可以啊，价钱合适，建议入住！不过直接通过MOTEL168订房，价格很优惠！', '短评打分': 5}
{'短评内容': '哈哈，离出差地方很近所以选的这家酒店。房间打扫的很干净，房间也还比较大。环境也还好吧。服务员很还热情的。', '短评打分': 5}
{'短评内容': '位置还可以还算安静吧,前台服务也可以，没有去吃哪里的早餐，不知道早餐如何，大家过去的时候记得去找长沙口腔医院站下，那里在修地铁，不是很好找，离橘子洲头不算很远，还行吧。', '短评打分': 5}
{'短评内容': '我一般都选择住行政复式房，非常不错，就是房间多少有一种异味，问着很难受！', '短评打分': 5}
{'短评内容': '还不错，就是不太好找，建议晚上酒店的招牌能够早点点亮。', '短评打分': 5}
{'短评内容': '位置超好，离乐和成只有20米。吃饭什么的都挺方便，下次还会入住', '短评打分': 5}
{'短评内容': '装修什么还是陈旧了点', '短评打分': 3}
{'短评内容': '价位还可以，位置也可，停车方便，但房间小，设备陈旧，而且有异味，通风不好，不太舒服。 ', '短评打分': 1}
{'短评内容': '房间太小~~因为地毯没干，好大一股味！房间一点也不隔音！！', '短评打分': 1}
{'短评内容': '环境不错 离市中心比较近 价位适中环境不错 离市中心比较近 价位适中环境不错 离市中心比较近 价位适中~', '短评打分': 5}
{'短评内容': '感觉很一般，房间巨小，与网上描述内容严重不符，住得不爽！', '短评打分': 3}
{'短评内容': '环境不错 很安静 服务也很好 就是交通有点不方便 不过之后会好点吧~', '短评打分': 5}
{'短评内容': '感觉不错,酒店门口有停车场,免费停车.这对回家路过的我来说,很实用!', '短评打分': 5}
{'短评内容': '态度不错，就是床铺硬了点，房间挤了点，网速慢了点', '短评打分': 5}
{'短评内容': '优点:位居商业中心,卫生间不错,洗澡很舒服,电视频道丰富,网速很快\r\n缺点:门前正在施工,打车不太方便,方间较小,隔音差', '短评打分': 3}
{'短评内容': '优点：\n地段好，而且酒店在两栋房子后面，算是闹中取静，房间还铺了地毯，厕所有吹风机算是它的特色了。\n缺点：\n房子很小，而且矮，住着很压抑，如果不是金卡会员，价格在经济型酒店里就偏高了。\n\n总结：关键是价格对比房子不給力。', '短评打分': 1}
{'短评内容': '其他都不错 床有些硬。。。.........', '短评打分': 5}
{'短评内容': '很方便', '短评打分': 3}
{'短评内容': '满意。', '短评打分': 3}
{'短评内容': '酒店的环境还可以，就是感觉有点暗，卫生比较好，性价比还是比较高的...', '短评打分': 5}
{'短评内容': '一直没时间点评，不过这家店房间小是小了点，但是服务和卫生其他的什么都还蛮好的。价格也比较划算', '短评打分': 5}
{'短评内容': '酒店不错，感觉像自己家一样。', '短评打分': 3}
{'短评内容': '非常实惠', '短评打分': 3}
{'短评内容': '环境不错，还算闹中取静，设施也比较新，舒适度还不错。', '短评打分': 5}
{'短评内容': '这是住过的最差的酒店，隔音效果不好不说，被套皱巴巴的，床垫坑坑洼洼‘凹凸不平，空调响声超大，总之一晚上没睡好，相比本地其他分店，真是差太远了~', '短评打分': 1}
{'短评内容': '该酒店所处位置交通及购物方便，房间宽敞，设备可以。评价：良好。', '短评打分': 3}
{'短评内容': '酒店还不错，不过空调稍微有点吵。', '短评打分': 3}
{'短评内容': '地點很OK 鬧中取靜 附近吃飯很方便 現在因為有道路工程  所以不方便  相信工程結束會很好', '短评打分': 5}
{'短评内容': '卫生间带吹风这个我很满意！很多地方都没有这个东西的！卫生也很干净！隔音效果也很好，让我晚上睡得非常舒服！', '短评打分': 5}
{'短评内容': '干净', '短评打分': 3}
{'短评内容': '环境干净,购物方便', '短评打分': 3}
{'短评内容': '很实惠的选择，地理位置好，价格也很便宜，交通便利，还有物美价廉的餐饮服务\n', '短评打分': 5}
{'短评内容': '房间好小，服务员态度也不怎么样，下次找过吧', '短评打分': 1}
{'短评内容': '总体来说都是不错的，值得入住。\r\n交通很方便。', '短评打分': 5}
{'短评内容': '位置不错，吃和购物都很方便，酒店也很干净，整洁，就是隔音效果差了点。', '短评打分': 5}
{'短评内容': '有些难找，其他还好。\r\n因为五一广场最近是在施工，道路情况不容乐观。', '短评打分': 5}
{'短评内容': '服务意识太差了，打电话到前台，回一句啪的一下就挂机了。房间也比较小', '短评打分': 3}
{'短评内容': '房间好小，前台服务态度好差，打电话到前台问电视怎么开，回了一句就挂了', '短评打分': 5}
{'短评内容': '位置和价位都不错，下次来还会选择这家。离酒吧和步行街都很近呢，交通便利', '短评打分': 5}
{'短评内容': '离步行街好近啊!地理位置很好,但由于周边施工不太好找', '短评打分': 5}
{'短评内容': '酒店卫生不错', '短评打分': 5}
{'短评内容': '环境还比较干净顺利入住', '短评打分': 5}
{'短评内容': '干净，在市区，交通方便\r\n干净，在市区，交通方便', '短评打分': 3}
{'短评内容': '莫泰168(长沙新大新店)u位置很好 只是光線有點差 \r\n讓人感覺不太安全', '短评打分': 3}
{'短评内容': 'u位置很好 只是光線有點差\r\n讓人感覺不太安全', '短评打分': 5}
{'短评内容': '服务态度很差。我们房间空调坏了修了半天也修不好大半夜到前台换房间服务员还拖拖拉拉的。。。印象很差', '短评打分': 5}
{'短评内容': 'good...', '短评打分': 3}
{'短评内容': '床稍有点硬...', '短评打分': 5}
{'短评内容': '复式的房间还是可以的...也比较大...', '短评打分': 5}
{'短评内容': '不太好找 可能是由于在修地铁', '短评打分': 1}
{'短评内容': '酒店服务设施较新，地理位置相对方便，员工服务态度较好', '短评打分': 5}
{'短评内容': '位置很好', '短评打分': 5}
{'短评内容': '021号前台态度非常差 不知道是谁欠她钱了 说话还带着刺 估计是我在强迫她要住酒店 跟022号形成鲜明的对比 022到是非常热情\r\n总体来说 168在退步 一句问候语都不会说了 前台一般无视你的存在 \r\n而且隔音效果很差 \r\n相比之下的经济型酒店 我以后肯定会去如家 7天之类的\r\n', '短评打分': 5}
{'短评内容': '位置方便', '短评打分': 5}
{'短评内容': '位置不错。', '短评打分': 5}
{'短评内容': '为于市中心，交通便捷。', '短评打分': 3}
{'短评内容': '酒店的位置很好，过了天桥就是步行街，房间卫生也不错，不过上次住的房间是内窗的，感觉有点压抑，晚上空调的噪音点大，另外酒店一次性洗漱用品是需要另收费的', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '除了位置不理想之外,其它都还可以,如果是出差公干,住在这里出行比较麻烦', '短评打分': 1}
{'短评内容': '空调很吵 影响到晚上睡觉 \r\n卫生间里的一套洗漱用具收费5元\r\n99元的这种特价房不含早 早餐10元还要付现金\r\n不能从押金里面扣 超级不方便', '短评打分': 3}
{'短评内容': '一共住了三晚，原来住的标双房间宽大一点，后来换成了大床房而且是内窗的，在过道上可以看到所以不敢开窗，房型、卫生间都比标双小，拉上窗帘觉得很压抑。\r\n晚上有些莫名其妙的人来敲门 开门后往里头看 说是认错人了 后来睡得提心吊胆的 感觉很不安全', '短评打分': 5}
{'短评内容': '地理位置很好，离我办事的地方都很近。我住的是一个跃层的房间，价格很便宜。走廊比较陈旧。早餐种类不是特别多。但是出租车司机大多不知道酒店的位置。因为他比主路缩进去了一段。大堂里有个公用电脑，但是经常出问题。存行李时，服务员非常的耐心，因为我几次回来换衣服，取东西等，都很热情，细致。下次应该还会入住。', '短评打分': 5}
{'短评内容': '酒店的环境硬件设施都比较不错，硬件设施舒适度也很好，卫生服务也很达标，价格稍微有些偏高。位置很好在市中心位置出行交通都非常方便。', '短评打分': 3}
{'短评内容': '酒店的环境硬件设施都不是很好，酒店周围环境还不错，外面的环境比里面好，卫生服务还可以，价格有点偏高，但是位置很好出行交通都很方便，还是值得推荐入住的酒店。', '短评打分': 3}
{'短评内容': '地理条件还可以,交通方便,服务欠缺.硬件设施有待提高.性价比比价好了!但是服务生工作效益太低,回来的时候办退房手续让我等了好久的.', '短评打分': 3}
{'短评内容': '离五一广场很近的一家经济型酒店，尤其是复式房很有特点，值得推荐。', '短评打分': 5}
{'短评内容': '酒店还算是比较不错的，整体来说他们的环境设施和服务都比较不错，挺方便的都，下次去还可以考虑。', '短评打分': 5}
{'短评内容': '房间的隔音效果不好,酒店的位置标注的不是很明确,第一次不是很好找的,周边的交通很方便的,性价比不错的酒店的', '短评打分': 5}
{'短评内容': '酒店的装修过于简单了,服务卫生以及酒店的设施都不错的,酒店的位置非常好的,位于市中心出行很方便的,性价比不错的酒店的', '短评打分': 5}
{'短评内容': '酒店的整体条件还是不错的,干净,舒适；交通也方便；不过前服务员的态度不怎么样；办事特死板；我们早到店,提前办理入住都不行；', '短评打分': 5}
{'短评内容': '位置不错，性价比也很高，酒店的服务，卫生方面也挺好的，就是当时入住酒店在停电，觉得挺烦人的', '短评打分': 3}
{'短评内容': '设施不太好,对于这种酒店,和价格还是成正比的', '短评打分': 1}
{'短评内容': '这家酒店的位置真的非常地中心，就在百联东方广场的后面，旁边小吃、逛街、酒吧都只要步行不久就能到达。酒店的设施看起来都还比较新，服务人员的态度也很友善，对我们的问题只要知道的都会很热情地回答。', '短评打分': 5}
{'短评内容': '酒店服务一般,房间面积比较小,地理位置还可以,交通很方便,价格也接受', '短评打分': 5}
