{'短评内容': '张店长很差', '短评打分': 5}
{'短评内容': '总体来说 还行 但是被子 有点粗糙 希望酒店能改改 被子的粗糙', '短评打分': 5}
{'短评内容': '住的不错，不过我今天在403丢了一副眼镜，不知道客房服务的服务员有没有好心的捡到？真的很需要它 ，如果有捡到，那就谢谢了', '短评打分': 5}
{'短评内容': '很整洁的一家酒店，房间比较大，感觉性价比不错', '短评打分': 5}
{'短评内容': '在火车站旁边超级方便，旁边还有五芳斋，那天我们很晚去还开着，停方便的。', '短评打分': 5}
{'短评内容': '不错，很干净，看起来很舒服，有条理，拖鞋很有型哦 ，可以去看看哦，嘿嘿', '短评打分': 5}
{'短评内容': '很满意，上次来就住这里，交通方便，服务很好房间也很干净，价格物有所值', '短评打分': 5}
{'短评内容': '大床加小床这种家庭形的配置很人性化，如果能提供早餐就更好了', '短评打分': 5}
{'短评内容': '房间很不错，就是停车场到酒店大堂的指示牌没有，让人难找入口。', '短评打分': 3}
{'短评内容': '位置不错哦，离火车站特别近，旁边还有一家24小时营业的五芳斋快餐。', '短评打分': 5}
{'短评内容': '服务很不错，房间也挺舒适的，性价比挺高~', '短评打分': 5}
{'短评内容': '不错，方便、干净、价位适中。很适合商务旅行。', '短评打分': 5}
{'短评内容': '交通方便，晚上有点吵，设施还行，性价比高，适合出差', '短评打分': 5}
{'短评内容': '位置不是很方便，到市中心吃饭要走一段路，打车又不是特别远，比较尴尬', '短评打分': 5}
{'短评内容': '靠近火车站，无特别之处，但交通方便，吃饭要往前走个10多分钟，那边饭店比较多', '短评打分': 5}
{'短评内容': '位置，卫生条件都还不错，就是国庆假期贵一点', '短评打分': 5}
{'短评内容': '装潢的很一般，算不上三星级水平。早餐种类很少，但是性价比很好，而且下了火车站就能一眼找到，另外隔音不错，晚上睡觉不吵。交通也很方便。', '短评打分': 5}
{'短评内容': '酒店很干净，一出火车站就能看见，隔音效果也不错，虽然有过往的汽车声音，但不影响休息。酒店旁边有比较繁华的地方，要用的东西基本都能买到，总之，性价比很不错，以后还会住。', '短评打分': 5}
{'短评内容': '酒店位置十分便利，就在火车站站前广场上，可以俯瞰到人民公园。其他各项条件都很好。', '短评打分': 5}
{'短评内容': '酒店不错，下次继续来。', '短评打分': 5}
{'短评内容': '不错！位置非常好，只是没有早餐，如果包含早餐就好了~~~', '短评打分': 5}
{'短评内容': '住起来比较舒服，房间比较大格式不错，在同价格中应该算不错的了', '短评打分': 5}
{'短评内容': '虽然在火车站附近，但还算安静，旁边就有嘉兴粽子吃，挺好的\r\n床很大，但窗子有点小', '短评打分': 5}
{'短评内容': '很適合商務旅客入住的酒店,軟硬體都很優,下次出差的第一選擇', '短评打分': 3}
{'短评内容': '到嘉兴一直住锦江。很方便，虽然离火车站很近，可基本听不到声音。', '短评打分': 5}
{'短评内容': '住了漢X才知道錦江之星的好,讓人更驚奇的是我從義屋到嘉興住的都是標間,兩家店的標間裡面擺放和隔局都一模一樣,如果會戀家的商務客很適合這個牌子,', '短评打分': 5}
{'短评内容': '交通方便，就是价格偏贵！还是比较叫卫生的，值得下次继续入住！', '短评打分': 5}
{'短评内容': '蛮干净的，位置在火车站边上很方便，下了火车就可以入住了，吃饭也很方便', '短评打分': 5}
{'短评内容': '这家宾馆的被子不错，而且服务也还可以，就是不可以多开发票，奶奶的，哈哈哈', '短评打分': 5}
{'短评内容': '酒店的环境还不错，卫生设施都还行和别的快捷酒店都差不多，价格也很合适。整体感觉还不错。', '短评打分': 5}
{'短评内容': '地理位置不错', '短评打分': 5}
{'短评内容': '看上去很专业，里面的环境也很不错，而且价格也能接受，感觉挺不错', '短评打分': 5}
{'短评内容': '嘉兴火车站锦江之星，不错离火车站比较近，下了火车就可以住下来，不用出门有餐食用的，房间还是算干净的。', '短评打分': 5}
{'短评内容': ' 双标房间很亮也比较大,隔音效果也比较好.简洁干净,感觉很不错!', '短评打分': 5}
{'短评内容': '不错，交通方便，服务周到，还有专用停车场', '短评打分': 5}
{'短评内容': '应该是嘉兴离火车站最近的酒店了。在火车快要进站时就可以看到，超级方便。世博玩累了，可以坐深夜11点多的火车抵达嘉兴，出站即可入住。', '短评打分': 5}
{'短评内容': '总体认为还是不错的，交通位置也不错，就是离火车站太近可能有点吵', '短评打分': 5}
{'短评内容': '+条件很好，房间很大', '短评打分': 5}
{'短评内容': '其他都很好，就是餐厅里有位服务员认识的人带了一条狗进来……', '短评打分': 5}
{'短评内容': '厕所的浴室有点脏，好像没搞干净，床头没有灯或者电视的开关，价格如果再便宜一点点就ok了', '短评打分': 5}
{'短评内容': '就在火车站旁边 比较方便 \r\n房间很大 比较舒适 就是电视有些小', '短评打分': 5}
{'短评内容': '值得推荐的一家酒店。方便快捷。', '短评打分': 5}
{'短评内容': '不错，下次去嘉兴住宿首选', '短评打分': 5}
{'短评内容': '位置很好，性价比很好！', '短评打分': 5}
{'短评内容': '房间宽敞，虽居火车站旁，却不吵闹！', '短评打分': 5}
{'短评内容': '经济型，过得去吧，价格偏高', '短评打分': 5}
{'短评内容': '性价比颇好，火车站边上', '短评打分': 5}
{'短评内容': '酒店总体不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很不错的酒店,就是周边吃的地方几乎没有', '短评打分': 5}
{'短评内容': '设施完备，清洁。地理位置好，交通方便。有些时段前台较忙，需等候。', '短评打分': 5}
{'短评内容': '吃饭很方便,下面就是五芳斋.\r\n总体来说还行.', '短评打分': 5}
{'短评内容': '每次来嘉兴首选~', '短评打分': 5}
{'短评内容': '虽然在火车站，可里面还是很安静的。环境部错，很干净。又方便，性价比很高', '短评打分': 3}
{'短评内容': '不知道是否因为上海开世博  客流量大导致服务出现瑕疵，包括那个店长 完全忘了 应该如何为客人服务。。。', '短评打分': 5}
{'短评内容': '前台服务不怎么样 冷冰冰的 不按先后次序来 客房服务还是不错的 很温暖 \r\n前台那些个年轻人 真的不怎么样 建议把客房服务的调到前台', '短评打分': 5}
{'短评内容': '非常棒的酒店。强烈推荐。', '短评打分': 5}
{'短评内容': '就在火车站的傍边，很方便啊，各项设施也不错，值得一住。', '短评打分': 5}
{'短评内容': '不错的酒店 设施还都比较新 房间也比较大', '短评打分': 3}
{'短评内容': '位置很好 就是靠车站的那面有些吵', '短评打分': 5}
{'短评内容': '交通方便,房间干净.感觉很好', '短评打分': 5}
{'短评内容': '嘉兴的锦江之星舒适度非常好\n环境也很好\n位置不错\n房间干净', '短评打分': 5}
{'短评内容': '很不错的酒店，值得入住；\r\n房间比其他地方的锦江之星大多啦。', '短评打分': 5}
{'短评内容': '我就是下面点评过的那位，刚忘记登录了，来拿消费券的，呵呵。', '短评打分': 3}
{'短评内容': '第一次住锦江之星，还不错，最满意卫生，真的很干净。不过第一次碰到喝茶跟刷牙都是用一次性杯子的情况，我不知道是不是所有的锦江之星都是这样，这点不是很喜欢。由于酒店位置就在火车站旁，所以晚上火车开过的声音有点大，但还好，经过嘉兴的火车还是算少的。', '短评打分': 5}
{'短评内容': '地方可以 干净', '短评打分': 5}
{'短评内容': '不错 还会继续住', '短评打分': 5}
{'短评内容': '离火车站很近', '短评打分': 3}
{'短评内容': '不错的旅店，房间比较宽敞，电视节目蛮多的，还可以免费点电影，卫生也可以，服务很到位，楼下有早餐等一些餐饮店，出了火车站就可以看见，而且交通很方便。', '短评打分': 5}
{'短评内容': '离火车站很近，但是朝向火车站的一面不关窗有点吵', '短评打分': 5}
{'短评内容': '还会去住的', '短评打分': 5}
{'短评内容': '退房时人太多，缺乏有效安排', '短评打分': 5}
{'短评内容': '整体性价比非常不错!', '短评打分': 5}
{'短评内容': '位置较好！相对其他经济型连锁酒店较高！', '短评打分': 5}
{'短评内容': '位置不错，火车站一出来就看到，适合晚上到站的客人住，其他还行，就是早餐贵了点！', '短评打分': 3}
{'短评内容': '位置不错，火车站一出来就看到，各方面还可以，就是早餐贵了点！', '短评打分': 5}
{'短评内容': '很好的酒店，服务到位，就是遇到了一次马桶堵塞，处理很快，别的倒没什么，很喜欢~', '短评打分': 5}
{'短评内容': '非常的舒适，性价比也很高，推荐一下咯！', '短评打分': 5}
{'短评内容': '酒店位置不错，但房间的隔音太差，晚上走廊里说话的声音听的一清二楚。', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '总的来说还不错，电视有很多选择！&#183;', '短评打分': 5}
{'短评内容': '基本上挺好的，就是因为赶在5.1期间，访客登记都很麻烦，觉得挺不爽的，其他的都还好。', '短评打分': 5}
{'短评内容': '非常方便,就在火车站边上,对面是一公园,下次还会选择住.', '短评打分': 5}
{'短评内容': '房间打扫好像不太干净，上次客人入住遗弃的粽子包装还放在沙发后面，拖鞋也没，谁也没放好，前台和餐厅服务挺好的，表扬下。', '短评打分': 5}
{'短评内容': '很好。服务不错。虽然在火车站，可环境很好。', '短评打分': 5}
{'短评内容': '第一次来嘉兴，入住锦江之星（嘉兴火车站店）标准房。前台服务很好，房子干净宽阔舒适，很满意。下次再来，肯定优先考虑住这里。\r\n交通很方便，就在火车站旁边，出站转左，第一栋建筑就是了。', '短评打分': 5}
{'短评内容': '虽是经济型酒店,但处处有星级酒店的感觉,能满足基本需求.', '短评打分': 5}
{'短评内容': '满意', '短评打分': 5}
{'短评内容': '性价比高，卫生真的不错', '短评打分': 5}
{'短评内容': '交通便利，干净，不错的选择。。就是退房的时候比较慢。。', '短评打分': 5}
{'短评内容': '酒店不错，商务出行很方便', '短评打分': 3}
{'短评内容': '出差到嘉兴经常住的酒店，靠近火车站商务出差很方便', '短评打分': 5}
{'短评内容': '房间超大，晚上也很安静，床也非常舒适', '短评打分': 5}
{'短评内容': '希望我下次不来住了，我会选择其他酒店，前台动作很慢，什么都要等待，服务态度不好，一副爱住不住的样子！记住我说的，前台动作很慢，大家拭目以待吧，看是不是这样。不过，餐厅服务很好，一品锅贴不错，赞一个。', '短评打分': 3}
{'短评内容': '停车要绕到后面的一个单位里，隔音不好，价格便宜。', '短评打分': 5}
{'短评内容': '比较方便   只是周围没啥好的饭店', '短评打分': 5}
{'短评内容': '当初选择这家店，主要就是因为看中它的位置和网友们的好评。\r\n入住之后，整体感觉的确如大家所说，房间宽敞明亮，简约大方，不错。\r\n但是还是有些细节有待完善——\r\n1.房间够大够宽敞，但是由于我是冬季入住，那么房间的供暖就很是个问题——由于空调匹数不够，我已经把温度设定到最高，但还是感觉房间完全不暖和。。。\r\n2.室内铺有地砖，但是提供的是单薄的纸质拖鞋——所以，脚冷啊脚冷。。。\r\n\r\n其它也没什么意', '短评打分': 5}
{'短评内容': '就在火车站边上，很方便', '短评打分': 5}
{'短评内容': '酒店的位置交通很方便，挨着火车站，条件我觉得也不错，而且挺干净的。', '短评打分': 3}
{'短评内容': '不错的酒店,下回来还会再住', '短评打分': 5}
{'短评内容': '没有辜负对锦江之星一贯的信任，房间蛮大，卫生也不错，周边交通也很方便，停车位较多，的确是经济型酒店不错的选择。唯一略感不足的就是大冬天还是提供单薄如纸的一次性拖鞋，踩在没有地毯的地上真的有点难以忍受，不过考虑到酒店控制成本和环保，也就将就了。如果换成棉的就完美了。', '短评打分': 5}
{'短评内容': '交通便利，房间干净，但隔音比较差，晚上会有火车开过的声音', '短评打分': 5}
{'短评内容': '酒店位置不错，容易找，房间和卫生间都挺干净，个人觉得由于设施简洁，所以便于收拾卫生。性价比不错，就是服务不敢恭维。因为时间紧，午餐在酒店解决，没想到比在上海小绍兴吃的味道还好，菜量也不小，也许是当时只有3桌客人的缘故吧，意外收获！一直钟情于锦江之星标间的大小床的安排，适合带小孩住。', '短评打分': 5}
{'短评内容': '服务很差。前台女性穿的像睡衣。本来打算在下午4点退房，可是他们依然执行12点退房的霸王条款，于是我打电话到前台，说要推迟到4点，可以不可以收60元到3点的钟点房费，前台一男生说可以，让我先退房再重新开，我到了前台，他说不行了。就只能到3点，。过了3点一分就要收100元。', '短评打分': 5}
{'短评内容': '房间挺干净，交通很便利，值得推荐', '短评打分': 3}
{'短评内容': '地理环境都不错，值得推荐。', '短评打分': 5}
{'短评内容': '精选商务房很好也很大！', '短评打分': 5}
{'短评内容': '还可以 水龙头的水好像太大了 有点吓人 餐厅较差', '短评打分': 5}
{'短评内容': '酒店的卫生以及设施都很好的，房间的面积比较大，服务态度不热情，酒店的位置不错的，交通很方便的，性价比不错的酒店。', '短评打分': 5}
{'短评内容': '酒店还不错，房间挺干净，位置也方便，整体感觉还可以，值得推荐', '短评打分': 5}
{'短评内容': '值得推荐的一家酒店，在嘉兴火车站旁边，一下火车就是，十分方便，标间的设计是一张大床一张小床，十分合理舒适，而且房间很大，至少是我住过的连锁酒店中算宽敞的了，设施服务虽没有五星级大酒店般周到，但是十分的温馨，有一种宾至如归的感觉。', '短评打分': 5}
{'短评内容': '性价比还是比较高的一家酒店；卫生环境设施都挺不错的；而且位置也很好,出行很方便；还是值得推荐的一家酒店；', '短评打分': 5}
{'短评内容': '电视太小了,火车站边上出行交通很方便,房间面积比较大卫生舒适程度都还不错，价格也很好，对这家酒店还是非常满意的。', '短评打分': 5}
{'短评内容': '酒店性价比高，离我办事地方方便', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
{'短评内容': '该用户未发表文字评论', '短评打分': 5}
