{'descr': '感觉有点吵 卫生间的空间有点小。其他感觉都还好', 'star': 4}
{'descr': '房间很大，天气本来很冷，一进酒店就感觉满满的温暖，很喜欢，前台服务小姑娘的态度特别好，还给我介绍了很多周边的吃饭的地方，让我感觉就算是出差也跟回家一样，除了满意还是满意，性价比也很好，房价也不高，很适合我们经常出差来住的，下次出差还是依旧选择这家酒店，推荐大家的不二之选', 'star': 5}
{'descr': '第一次来太原出差就选择了这家，真心很好，离机场，火车南站很近，出行很方便，服务很好，大厅里还有免费的咖啡，奶茶，姜汤，问地址时前台服务员很耐心的告诉我怎么走，坐几路车，打车该怎么走，房间很大，也很干净，而且是地暖，房间很暖和，很舒服，早餐很丰富，也很好吃，以后来太原就住这里了。', 'star': 5}
{'descr': '高新区店酒店地理位置非常好，服务周到，卫生干净，丰富的自助早餐，\n附近有银行，饭店，办事挺方便的。 \n', 'star': 5}
{'descr': '还算干净，没有无线网络，不能用储蓄卡预收押金，早餐一般，浴室、卫生间采用透明隔断，结构怪怪的。', 'star': 5}
{'descr': '房间比较小，早餐太简单，酒店生意特好，前台服务不过来', 'star': 5}
{'descr': '一般，毛巾都发黑了。', 'star': 3}
{'descr': '高新区店是汉庭在太原比较大的一个。房间很舒服～很有性价比～是一周以来住的最舒服的汉庭快捷', 'star': 3}
{'descr': ' 总体还可以，需要提出两点：1.靠边家有点冷！！！2.卫生需加强。', 'star': 5}
{'descr': '房间挺大的~很舒服~网速也不错~很安静~', 'star': 5}
{'descr': '这个酒店地理位置非常好，服务周到，卫生干净，就是美中不足的没有免费早餐，\n附近有银行，饭店，办事挺方便的。', 'star': 5}
{'descr': '工作人员很亲切，环境也很好。', 'star': 3}
{'descr': '订的节日百元房，是个大床房，房间挺大，挺干净，对得起价格，就是走廊里有点味道，无伤大雅', 'star': 3}
{'descr': '很好，交通购物很方便，值得推荐!房间也很干净。。酒店服务人员态度很好。如果来太原的话，这是个不错的选择。', 'star': 5}
{'descr': '不错的，很干净、服务也很贴心.', 'star': 3}
{'descr': '汉庭~~全国一个样~~~不多评价~\n地方还不错\n周围繁华\n但是停车位有限', 'star': 5}
{'descr': '不错，挺干净的。', 'star': 3}
{'descr': '好像是新馆 房间空间大  给力  住过的汉庭最舒服的', 'star': 5}
{'descr': '住宿条件不错，但房间缺少沙发。要是在配有沙发茶几就更好了。', 'star': 5}
{'descr': '价格比较合理,房间也还可以,就是没有早餐  不好', 'star': 5}
{'descr': '该酒店挺干净，地理位置也可以，挺舒服，服务也很好.推荐', 'star': 5}
{'descr': '这家酒店很好，环境好，服务也很好，总之我很喜欢', 'star': 5}
{'descr': '很好房子很干净 服务态度也不错 位置也很好找', 'star': 5}
{'descr': '很好房子很干净 服务态度也不错 位置也很好找', 'star': 5}
{'descr': '不错，室内温暖，闭路电视稳定，交通便利，卫生洁净。美中不足就是汉庭的房间总是那么小，锦江之星的房间都很大。', 'star': 5}
{'descr': '不错，室内温暖，闭路电视稳定，交通便利，卫生洁净。美中不足就是汉庭的房间总是那么小，锦江之星的房间都很大。', 'star': 5}
{'descr': '硬件设施陈旧，房间小，性价比不值--！网络忽好忽差，电视机小不说，闭路还那么差--！', 'star': 1}
{'descr': '硬件设施陈旧，房间小，性价比不值--！网络忽好忽差，电视机小不说，闭路还那么差--！', 'star': 1}
{'descr': '因为距离公司很近 所以很方便 每次都住这家 各方面都基本满意', 'star': 5}
{'descr': '因为距离公司很近 所以很方便 每次都住这家 各方面都基本满意', 'star': 5}
{'descr': '\r\n一切都可以，就是二星级酒店的标准。干净、便利、在市区内。房间就一张椅子。早上洗澡，热水供应不稳，忽热忽冷。', 'star': 3}
{'descr': '\r\n一切都可以，就是二星级酒店的标准。干净、便利、在市区内。房间就一张椅子。早上洗澡，热水供应不稳，忽热忽冷。', 'star': 3}
{'descr': '总体不错的酒店，性价比还行吧，下次来还值得考虑入住', 'star': 5}
{'descr': '总体不错的酒店，性价比还行吧，下次来还值得考虑入住', 'star': 5}
{'descr': '汉挺风格，价格不算便宜，周边挺旺的，吃饭等比较方便。', 'star': 5}
{'descr': '汉挺风格，价格不算便宜，周边挺旺的，吃饭等比较方便。', 'star': 5}
{'descr': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '不错！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '房间不小 毛巾不够干净 用了多久了 一点都不白 而且不是挂着放 建议换一批新的  \n电视好多频道收不到 性价比一般 ', 'star': 1}
{'descr': '房间不小 毛巾不够干净 用了多久了 一点都不白 而且不是挂着放 建议换一批新的  \n电视好多频道收不到 性价比一般 ', 'star': 1}
{'descr': '酒店不错 干净 雅致 有创意  很不错噢  推荐', 'star': 5}
{'descr': '酒店不错 干净 雅致 有创意  很不错噢  推荐', 'star': 5}
{'descr': 'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh', 'star': 5}
{'descr': 'hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh', 'star': 5}
{'descr': '很好，这次我很满意。结账很快，没有耽误我的飞机。', 'star': 5}
{'descr': '很好，这次我很满意。结账很快，没有耽误我的飞机。', 'star': 5}
{'descr': '第一次入住太原的汉庭这家店，服务态度很好，房间很干净，宽带速度还不错。下次来还会住。', 'star': 5}
{'descr': '第一次入住太原的汉庭这家店，服务态度很好，房间很干净，宽带速度还不错。下次来还会住。', 'star': 5}
{'descr': '服务和房间都还不错，主要是开发区近，办事比较方便，只是周边一个人吃饭不太好找地方。', 'star': 3}
{'descr': '服务和房间都还不错，主要是开发区近，办事比较方便，只是周边一个人吃饭不太好找地方。', 'star': 3}
{'descr': '汉廷酒店还是不错的，比较干净，设备简洁实用。', 'star': 5}
{'descr': '汉廷酒店还是不错的，比较干净，设备简洁实用。', 'star': 5}
{'descr': '酒店房间和服务都不错', 'star': 5}
{'descr': '酒店房间和服务都不错', 'star': 5}
{'descr': '服务不错，，没有房间了，还给升级了房间。唯一遗憾的是夜里1：30敲我房门让我续押金，我白天出门在外，可以酒店留有我的手机，为什么不可以打电话告诉我让我回来后去前台交押金呢，刚刚睡下就被吵醒。', 'star': 5}
{'descr': '服务不错，，没有房间了，还给升级了房间。唯一遗憾的是夜里1：30敲我房门让我续押金，我白天出门在外，可以酒店留有我的手机，为什么不可以打电话告诉我让我回来后去前台交押金呢，刚刚睡下就被吵醒。', 'star': 5}
{'descr': '第三次入住！第二次入住！第二次入住！第二次入住！第二次入住！第二次入住！', 'star': 3}
{'descr': '第三次入住！第二次入住！第二次入住！第二次入住！第二次入住！第二次入住！', 'star': 3}
{'descr': '酒店周边比较繁华，但停车位较小，单人间房间极小，还算干净，热水不稳定', 'star': 5}
{'descr': '酒店周边比较繁华，但停车位较小，单人间房间极小，还算干净，热水不稳定', 'star': 5}
{'descr': '感觉很干净，不错，下次继续入住！建议大床房能给两个房卡！', 'star': 3}
{'descr': '感觉很干净，不错，下次继续入住！建议大床房能给两个房卡！', 'star': 3}
{'descr': '不错，高级大床房，房间够大，隔墙是粉红色的，喜欢。', 'star': 5}
{'descr': '入住时刚好是高峰期排队等了将近二十分钟才拿到房卡，住的是高级大床房，空间够大，卫生也可以，不过比起对面的金广来，看不到夜景，遗憾。', 'star': 5}
{'descr': '+感觉不错，干净！', 'star': 5}
{'descr': '为了给其他用户提供更有价值的意见，请您发表20个字以上的点评', 'star': 5}
{'descr': '不错，值得推荐，周边设施齐全，做什么都方便！', 'star': 5}
{'descr': '不错，干净，服务好，管理职能，还回继续入住。。。。。。。。。。。。。', 'star': 5}
{'descr': '当时没有房间，住的家庭房，感觉还比较宽敞。喜欢大堂的休闲区，看看书，喝喝茶，挺有感觉的，好像在家里。最好的是，书是可以拿到房间看的，只需要在前台登个记就好了！', 'star': 5}
{'descr': '酒店各方面感觉都不可以,但是周边也有一些此类型的酒店,价格也差不多,可以多比较一下', 'star': 5}
{'descr': '位置远了点，在开发区，不过打车去市区也不远，其他都很好。', 'star': 5}
{'descr': '交通方便，还有地下车库。', 'star': 5}
{'descr': '位置还行,其它各方面就比较一般了,因为是连锁酒店可能各方面还需要改进.', 'star': 1}
{'descr': '就是停车是个问题，没有停车场，其他都很好，性价比较高下次还会住。', 'star': 5}
{'descr': '酒店还可以，位置也很好找，卫生设施都还可以，服务态度一般，价格也行，就是和一般的快捷性酒店差不多。', 'star': 5}
{'descr': '酒店还可以，位置也很好找，卫生设施都还可以，服务态度一般，价格也行，就是和一般的快捷性酒店差不多。', 'star': 5}
{'descr': '房间设计新颖时尚，颜色很亮丽，看上去很舒服', 'star': 5}
{'descr': '服务员的态度不错，很和善，而且都是面带微笑的，让人觉得很舒服', 'star': 5}
{'descr': '卫生很干净，住的也很舒服，下次还来', 'star': 5}
{'descr': '大厅有电脑可以免费上网，挺方便的，而且网速很快，用起来很不错', 'star': 5}
{'descr': '汉庭的价格和环境都是比较好的，这次的这个地理位置不错，很方便', 'star': 5}
