{'descr': '不错不错不错', 'star': 5}
{'descr': '房间小，刚进去时有味道，梳子还要买，不值这个价，牙刷杯是一次性杯子，洗脸没有毛巾，枕头不舒适。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '房间太小、潮气大、20元早餐太差、网上照片的大楼和酒店不是一栋楼直接有被欺骗的感觉，要不是看见他网上的这栋楼我才不住这个酒店呢！', 'star': 1}
{'descr': '不好！（1）酒店房间除味都没做，就让客人入住。（2）汽车旅馆还没有可靠的停车场，停车要停很远还没有引导员，让客人车停那么远很不放心。', 'star': 1}
{'descr': '前面排了很多客人的时候，前台却只有一个服务生，其余的站着聊天都不知道帮忙，借用一个吹风筒还要收100元押金，20元一份的早餐是我目前吃的感受最差的，房间的通风性不太好，洗手间的潮位会传到房间，这是宜必思设计的缺陷。宜必思传的15分钟解决客人问题，24小时提供简餐服务在这家完全没有。', 'star': 1}
{'descr': '很好', 'star': 3}
{'descr': '还可以的，比较干净，性价比比较高，以后还会选择宜必思', 'star': 5}
{'descr': '没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！没感觉，没有住！', 'star': 5}
{'descr': '酒店蛮好的，很干净，也很安静，浴室的设计很特别，像鸟巢一样，下次还会入住。', 'star': 5}
{'descr': '地段挺好 但是隔音太差了 整个晚上被隔壁的疯子吵的没办法睡觉', 'star': 1}
{'descr': '常熟宜必思酒店是我第二次过来了，感觉挺舒服的，服务态度也较好！', 'star': 3}
{'descr': '通常一个人去常熟的时候都会选择这家酒店，比较干净，价格也便宜，挺适合出差人士的。', 'star': 5}
{'descr': '很好，还不错。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '好。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间设施简单，服务OK,房间比较小。总体性价比高', 'star': 5}
{'descr': '很干净，也很安静，空调温度适合\n\n就是找了半天没找到梳子', 'star': 5}
{'descr': '房间开关接触不良', 'star': 3}
{'descr': '干净 卫生， 周边配套齐全。 经济实惠，超值。值得推荐', 'star': 5}
{'descr': '宜必思，便捷的连锁酒店，附近交通方便，购物吃饭也方便，住了很多天~~', 'star': 5}
{'descr': '出差住过2回了，第一次感觉很好，经济实惠。但第二次入住就暴露了很多问题，房间隔音效果差，隔壁进进出出的声音就像是自己房间里发出来的那么清晰，半夜还有人喊着找消防栓，吓的不轻！两部电梯竟然同时坏了，半天都没有修好，拎着行李跑七楼。PS,房间里没有梳子，要自带。', 'star': 5}
{'descr': '快捷、清潔、舒適、便利', 'star': 3}
{'descr': '第一次住宜必思酒店，之前听好友推荐，说这家酒店设计巧妙，布局合理。今天入住发现真如他们说的，因为专业设计，所以整个房里空间安排适当，干净卫生，特别是灯光，透亮但不刺眼，那是其他连锁酒店达不到的，非常舒服。', 'star': 5}
{'descr': '环境很好，交通也方便。。住在第七层，隔音还不错，住着很舒适', 'star': 5}
{'descr': '作为经济型酒店，有点设计概念，不过服务很差，一上午打扫卫生的人居然敲了三次门，来确认我是否退房！另外酒店有些设施有点破旧，抽水马桶冲水后，总是漏水，两个房间都是如此！桌子上面的一层纸已经破损，桌板内在的木屑都显示出来了，是个败笔！', 'star': 1}
{'descr': '干净 卫生， 周边配套齐全。 经济实惠，超值。值得推荐                     ', 'star': 5}
{'descr': '还可以，地段还是比较方便的~~~设施不错，比较干净~~~', 'star': 5}
{'descr': '很潮，很时尚，很现代，值得狠狠的推荐，为什么周末价格反而便宜呢', 'star': 5}
{'descr': '很新很现代化啊，不错，就是毛巾是两个大毛巾，不是很实用', 'star': 3}
{'descr': '酒店非常满意', 'star': 5}
{'descr': '都还不错，就是位置不太靠近商业区，不过周围也还算齐全，乐购电影院什么的', 'star': 5}
{'descr': '房间漏水, 告知晚班的人员说等一下来看, 结果也没有, 床上还放了 15 分钟解决问题, 根本是空谈. 卫生间的一些地方也没弄得乾净. 问个坐车的问题也是随便答答而以, 根本没服务态度. 地点离市区远, 旅游并不合适.', 'star': 1}
{'descr': '  房间小了点,挺干净的,不错', 'star': 5}
{'descr': '经济实惠的酒店', 'star': 5}
{'descr': '干净，性价比超高的酒店，价格非常实惠，下次还会选他。如家已经不行了', 'star': 3}
{'descr': '干净，性价比超高的酒店，价格非常实惠，下次还会选他。', 'star': 5}
{'descr': '装修不错,也比较干净,但是,需要自备毛巾,浴帽,吹风机入住,因为这些酒店都不提供', 'star': 1}
{'descr': '总体不错，有待改进，环境还可以，价格可以在便宜，噪音不错。', 'star': 1}
{'descr': '常熟IBIS酒店，就如我们在欧洲的IBIS，很新，服务很好！房间虽然不大，但是整洁，而且卫生间干净！下次来还是它！', 'star': 3}
{'descr': '，酒店很新，整洁，前台还给张地图!服务不错!', 'star': 5}
{'descr': '位置好，服务态度也好,酒店的设施也比较新，大床房放置一张小床比较贴心。', 'star': 5}
{'descr': '家庭房只给二双拖鞋，大一点的孩子就没可穿的，问前台说是不配的，要一双也没有，省得了有点抠了！！！', 'star': 1}
{'descr': '以前在新加坡住过这个酒店，感觉不错，性价比也高。但是这次这个常熟的酒店却留下了不好的印象。主要是洗澡水特别小，简直跟眼泪一样。而且水温不热。电话前台后，服务员一开始不愿来房间查看，叫我再放5分钟试试。结果来房间后，水温总算热起来，但是水流仍旧很小。服务员竟然说全部房间都是这样的！极差！下次绝对不来住了！', 'star': 1}
{'descr': '酒店距离新客运站比较近，但离汽车南站有些远。房间有些新装修的味道。总体还挺好的。', 'star': 5}
{'descr': '连浴帽都没有', 'star': 5}
{'descr': '不错，值得推荐', 'star': 5}
{'descr': '性价比高', 'star': 5}
{'descr': '前台有一位MM 非常的靓', 'star': 5}
{'descr': '相比较如家，房间可能小了些，但是总体装修上感觉不错，设施较新，周边配套全。', 'star': 5}
{'descr': '酒店的装修风格简单，我喜欢，房间内还有个长桌子很实用，就是靠窗的话有点吵，早上的时候马路上车子很吵。旁边有的酒吧之类的总体不错，值得推荐，性价比很高。', 'star': 5}
{'descr': '还不错，软件硬件都可以', 'star': 5}
{'descr': '缺梳子 吹风机等等小设施', 'star': 5}
{'descr': '给朋友定的，住过说很不错！交通方便，闹中取静，住的很舒服', 'star': 5}
{'descr': '非常干净，性价比一流', 'star': 5}
{'descr': '很干净，很温暖，有家的感觉，只是空调不是很制热！', 'star': 5}
{'descr': '隔音比较差,洗手间较小.', 'star': 1}
{'descr': '地方很好找，停车地方小，有停不到车的可能，酒店大堂和房间的装修风格不错，很喜欢，门前有个面店，早饭就在那解决的。毛巾等东西要自己在大堂的售货机里买。', 'star': 3}
{'descr': '房间小，布局精巧、舒适，不错的连锁酒店。前台ＣＨＥＣＫ\u3000ＩＮ较慢。', 'star': 5}
