{'短评内容': '离火车站不算远，挺安静，干净，房子宽敞', '短评打分': 5}
{'短评内容': '位置还行，服务热情，被褥潮，无早餐，', '短评打分': 3}
{'短评内容': '酒店不错，第一次去的时候不好找，但是熟悉了以后好了，距离火车站、太原街都不远，去各地都挺方便的。汉庭的酒店整体还比较干净，值得入住。', '短评打分': 5}
{'短评内容': '很不错 离太原街 火车站 经纬站都很近 赞一个', '短评打分': 5}
{'短评内容': '服务态度很好，很周到。地址位置没得说，太原街上，楚门就是火车站和地铁。虽然地处繁华地带但是也不会感觉吵，我一个人住了个三人间，值了~', '短评打分': 5}
{'短评内容': '卫生一般 前台接待热情 特价房还可以的性价比', '短评打分': 3}
{'短评内容': '不错的酒店，每次来沈阳都住这里，离客运站很近，去机场有大巴车，很方便，推荐', '短评打分': 5}
{'短评内容': '整洁、早餐美、性价比高~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '非常好的服务，而且帮我们解决燃眉之急，帮我们安顿好行李，让我们玩的很舒心。\n推荐朋友以后也会住这家，有免费咖啡和红茶，还能免费打印，贴心。', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 3}
{'短评内容': '明明我去住了,偏说我没去住,我把房间号发过去了,还说我没去住,什么酒店前台,太不像话了', '短评打分': 1}
{'短评内容': '房间面积很大，很宽敞，干净舒适。。。。。', '短评打分': 5}
{'短评内容': '酒店环境很好', '短评打分': 3}
{'短评内容': '房间很大，超乎想象的大，床也很舒服，总之挺好。', '短评打分': 3}
{'短评内容': '感觉还不错，就是停车位困难，入住时候正好赶上修水管，热水温度不高，水是锈，不过，估计是临时状况！', '短评打分': 5}
{'短评内容': '很不错，房间隔音很好。', '短评打分': 3}
{'短评内容': '房间很大，但是卫生间太小了 空调的暖风不太热  不过住的还是很舒服的  这个价位不错 最主要的是看重汉庭的服务。', '短评打分': 3}
{'短评内容': '价格实惠，来沈阳还要住酒店，价格实惠，来沈阳还要住酒店，价格实惠，来沈阳还要住酒店，', '短评打分': 5}
{'短评内容': '他们家很干净，而且 服务很周到   早点也很好吃', '短评打分': 5}
{'短评内容': '清明去沈阳玩儿，汉庭离沈阳站不远，很便捷。周围有小餐馆、温州城、购物中心什么的，还有好几个公交站点~~\n另外，房间很干净整洁，厕所显得还蛮高雅的。真不错~！', '短评打分': 5}
{'短评内容': '服务态度很好，很热情很亲切。卧室淋雨白天热水很慢，喷头不太好用，早餐种类少。', '短评打分': 3}
{'短评内容': '破坏了汉庭在我心中的好印象。地方难找，地毯没收拾干净，上网还要密码，有这必要吗。', '短评打分': 1}
{'短评内容': '始终如一的温馨，标准的服务及配套设施，感觉非常好，离火车站比较近，但是不吵，很安静。不错', '短评打分': 5}
{'短评内容': '硬件稍旧但很干净,很安静', '短评打分': 3}
{'短评内容': '房间很干净，环境很好，很温馨。服务态度也不错。', '短评打分': 5}
{'短评内容': '感觉很不错，经常去，很安静很好的，价格也值', '短评打分': 3}
{'短评内容': '上网需要设IP，然后验证，网速慢的跟蜗牛似的，太慢了……', '短评打分': 1}
{'短评内容': ' 房间还不错，特价房性价比不错', '短评打分': 3}
{'短评内容': '不错，汉庭不愧是连锁酒店，赞！下次再来的会再次入住的', '短评打分': 5}
{'短评内容': '地点很好 离太原街比较近   公交车很方便~~酒店设施也不错   就是床有点硬~性价比比较高~', '短评打分': 5}
{'短评内容': '以前住过大连的汉庭觉得整洁干净，这次临时去沈阳有事住的汉庭特价，虽然特价，但是也太有损汉庭品牌了吧，厕所灯是坏的，厕所转不开身，毛巾像用了很久洗不干净了，床单不干净，关键是地面，地毯上全是烟头烫的洞桌子上还有泥。。真是无语了，因为临时住一宿，没有跟前台提出换房，下次去沈阳不会住了。。', '短评打分': 1}
{'短评内容': '还是非常满意，价格也不错，就是空调声音太大，还是非常满意，价格也不错，就是空调声音太大，', '短评打分': 5}
{'短评内容': '东西有点陈旧了，床单都不是新换的，还是脏的，一个大黑印~~服务员的态度一般', '短评打分': 1}
{'短评内容': '值得推荐，165返30还有双份早餐，我住的是六楼，挺肃静的。', '短评打分': 5}
{'短评内容': '还不错，房间很宽敞，空调也很暖和，交通便利，临近太原街商圈', '短评打分': 5}
{'短评内容': '还不错，空调很暖和，设施也很齐全，服务态度也很好，交通便利', '短评打分': 5}
{'短评内容': '还不错，空调很暖和，设施也很齐全，洗澡水很热，地理位置也很好，交通便利', '短评打分': 5}
{'短评内容': '，干净', '短评打分': 3}
{'短评内容': '还不错呢 离火车站大概十分钟的步行路程，整体来讲性价比还是很好的 整体服务很好 入住时房间遇到小问题沟通后立即换房 专业精神值很不错 不足之处有些房间有点冷 住过两次', '短评打分': 5}
{'短评内容': '位置真不好找，还是打电话问问前台吧，附近有个麻辣烫，还可以', '短评打分': 5}
{'短评内容': '服务态度很好，跟七天环境差不多', '短评打分': 3}
{'短评内容': '还不错值得推荐，比之前去的同等价位的酒店要好，逛街也方便', '短评打分': 5}
{'短评内容': '离火车站和汽车站还都挺方便', '短评打分': 3}
{'短评内容': '好，速度很快。今天来的是正好赶上了最后一间特价房', '短评打分': 5}
{'短评内容': '房间比较大，地理位置也好。里火车站比较近，睡的不错', '短评打分': 5}
{'短评内容': '床垫特别舒服，睡眠不错。就是网络不太好，上网比较麻烦。其他都还可以。', '短评打分': 5}
{'短评内容': '服务不咋的，态度一点也不好，想要个用东西不是没有，就是还要下去取', '短评打分': 1}
{'短评内容': '该酒店晚上比较安静，早餐也不错，房间也比较干净。\n不足之处是该酒店不太好找，洗脸池龙头流出的水有点发黄。', '短评打分': 5}
{'短评内容': '酒店个方面不错，距离火车站也近。', '短评打分': 3}
{'短评内容': '服务态度好！位置也好！就是室内太冷了！冬天啊！', '短评打分': 5}
{'短评内容': '太冷了！被冻醒了！暖气可否改进啊！暖气可否改进啊！', '短评打分': 5}
{'短评内容': '空调一直吹的是自然风 第一晚就感冒了 后来加了被子好些 但房间里还是冷的要命', '短评打分': 5}
{'短评内容': '空调不行，太冷，冻的没脱衣服睡的觉.不过过年的时候入住的人太少了', '短评打分': 1}
{'短评内容': '太冷', '短评打分': 3}
{'短评内容': '还不错，但相对讲有些贵。中央空调声音有些大，影响休息', '短评打分': 5}
{'短评内容': '离沈阳站很近，坐车方便，环境不错，价位合理，而且含早餐！', '短评打分': 5}
{'短评内容': ',不错的宾馆,下次还会住.', '短评打分': 3}
{'短评内容': '住的特价房，非常不错！房间够大，服务也还好，0秒退房，很便宜，比想象中好的多！', '短评打分': 5}
{'短评内容': '环境不错，价钱合理。', '短评打分': 3}
{'短评内容': '住了两天，还行就是晚上睡觉时有点冷，卫生不错地段也好', '短评打分': 3}
{'短评内容': '地方很好找，离太原街很近，走路大概10分钟。但是门口车位很少，只好停在附近的路边。房间很干净，也很安静。整体来说都不错。唯一缺点是没找到香皂。。', '短评打分': 5}
{'短评内容': '酒店很好，卫生条件好，离火车站很近，室内温度也不错，就是中央空调有点噪音，其他都很好！', '短评打分': 5}
{'短评内容': '环境不错,服务也挺好', '短评打分': 3}
{'短评内容': '总体不错 大堂办事效率差点 有点小不爽 网上用优惠券到店里却说用不了...这个有点郁闷', '短评打分': 5}
{'短评内容': '感觉非常好，下次来还会住在这儿！值得大家的入住！', '短评打分': 5}
{'短评内容': '交通便利，房间设施整洁温馨，服务周到，价格很公道，以后还会选择住这里', '短评打分': 5}
{'短评内容': ' 挺方便的，下次还来汉庭', '短评打分': 3}
{'短评内容': '定的特价房 总的来说还可以吧 就是房间地板有点凉', '短评打分': 5}
{'短评内容': '方便快捷，环境不错~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '方便快捷，环境也不错，值得推荐~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': ' 汉庭的卫生还是挺让人满意的，虽然位置有些偏，入住的特大床房，性价比还是挺高的。还会再次光临…', '短评打分': 3}
{'短评内容': '酒店位置相对安静，性价比高，比较舒适，考虑下次继续住', '短评打分': 3}
{'短评内容': '非常不错 价格也是比较低的 条件非常好 离火车站也非常近', '短评打分': 5}
{'短评内容': '房间很好就是房间隔音不是很好，收拾的还是挺干净的 离商业街近走走就到了 方便', '短评打分': 5}
{'短评内容': '酒店还可以，就是有位置点偏， 不太好找。', '短评打分': 5}
{'短评内容': '总体还好，隔音稍差一些，服务也可以，退房时间精确，类似于发射火箭，稍感不爽！', '短评打分': 5}
{'短评内容': '，很好，房间比较大，干净，卫生不错！', '短评打分': 3}
{'短评内容': '很干净，舒适的酒店。\n住的很好！\n赞一个。', '短评打分': 5}
{'短评内容': '入住沈阳汉庭酒店(火车站店)后,感觉酒店本身性价比及卫生尚可,但周围街道环境不太好有点脏乱差。', '短评打分': 3}
{'短评内容': '离南站的客运站非常近 ，走一段就到了，如果坐长途客车，很方便', '短评打分': 5}
{'短评内容': '汉庭还是一如既往的好，很对得起这个价。', '短评打分': 3}
{'短评内容': '挺好的，但是房间等太暗。早餐还是不错的。值得推荐', '短评打分': 5}
{'短评内容': '房间卫生不错，服务态度很好。就是交通不太方便。总体很满意！', '短评打分': 3}
{'短评内容': '住的大床房，空间挺大的。\n床很舒服，只是电视不给力！！\n周围挺安静的，只是位置有点偏，还找了会才找到。', '短评打分': 5}
{'短评内容': '房间一般，是一个大的房间间隔成2个小的房间，对得起价格，但没有感觉物超所值。', '短评打分': 5}
{'短评内容': '不错,离沈阳火车站很近，附近有万达广场，出行购物很方便', '短评打分': 5}
{'短评内容': '酒店不错，装修很好，床单、浴巾都很新，热水供应也很稳定。卫生情况也不错，值得推荐！服务员态度也很好！', '短评打分': 5}
{'短评内容': '硬件都挺好的，就是地点比较蹩脚，不太好找！屋内设施都还不错，能洗澡，独立卫生间。连锁的快捷酒店都是这个样子！', '短评打分': 5}
{'短评内容': '酒店环境不错，服务也较好，性价比较高，就是离火车站有点远!', '短评打分': 3}
{'短评内容': '服务态度真挺不错的，就是屋内设施太旧了，地板啥的也太糟了，不过据说是要换新的啦，还是可以去的啦。。。。。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '房间还不错，服务人员态度很好，但是地毯味道较大需要一直开着窗和空调，离火车站有点远，叫火车站点有点不合实际。。。', '短评打分': 5}
{'短评内容': '主要是便宜，还是挺卫生的，隔音也很好，就是灯光很暗不知道为啥...', '短评打分': 5}
{'短评内容': '位置较好，面积中，服务也不错。缺点就是沐浴热水温度低了点，水量小了点。', '短评打分': 5}
{'短评内容': '挺好，干净舒适，地理位置好，交通方便，值得推荐！', '短评打分': 5}
{'短评内容': '酒店很好  也很干净   生活用品很齐全  出去逛街也方便', '短评打分': 5}
{'短评内容': '位置，环境都不错。房间也特别的大。就是晚上有蚊子.', '短评打分': 5}
{'短评内容': '很好、、、环境很好、服务态度不错、以后还会去的、、、', '短评打分': 5}
{'短评内容': '干调味道很重，床单被罩很潮，卫生间小的可怜，所以我只住了一晚就换地方了！但是地理位置很好，在市中心！', '短评打分': 1}
{'短评内容': '离火车站不太远，出火车站向右走至红绿灯，再向左转前行二三百米左右的右侧胡同里，对我来说挺好找的。酒店周边环境挺安静，内部设施干净整洁，周日百元房价格便宜，对这次入住挺满意。', '短评打分': 5}
{'短评内容': '非常不错，离沈阳站很近。不过沈阳的出租车很诡异，连火车站附近都不愿意去，不知道为啥。\n设施完备，服务很周到，推荐', '短评打分': 5}
{'短评内容': '服务态度都很好、房间也很好、、good、以后来沈阳还会再来~~~', '短评打分': 5}
{'短评内容': '不错，服务很好，环境也不错，下次还会再去！', '短评打分': 5}
{'短评内容': '服务态度不错，就是不太好找到酒店所在的那条街》。。。', '短评打分': 5}
{'短评内容': '地理位置不错，但下了火车不是很容易找到......', '短评打分': 5}
{'短评内容': '环境比较阴暗，始终感觉见不到阳光，卫生间的水箱一直在不停的漏水，所谓的特大床房是两张单人床拼凑在一起的，睡觉不舒服~~', '短评打分': 1}
{'短评内容': '服务态度较好。房间稍小。地毯不这么干净，空调声音有点大', '短评打分': 5}
{'短评内容': '离沈阳站很近，购物方便。房间刚进去的时候有味道，开开窗就好多了。浴室的地漏不好，会积水，其他还都挺不错的。', '短评打分': 5}
{'短评内容': '环境不错，还有落地窗。总体挺好的。。。。。', '短评打分': 5}
{'短评内容': '环境还可以,就是有股调料的味道太大了,熏得头疼,希望改进。', '短评打分': 3}
{'短评内容': '酒店位置不太好找，但是还算方便，离车站比较近。前台服务态度很好，房间舒适温馨，非常不错', '短评打分': 3}
{'短评内容': '很好，不错', '短评打分': 3}
{'短评内容': '酒店服务还好，但卫生简直不堪入目。我定的是双床房，晚上睡觉一转身竟然发现床底下有个用过的避孕套外壳，还是多乐士的。我晕。。。仔细发现床单也没有换过，上面还有**后的痕迹。哎！！！由于晚上很累也没有和酒店理论。整个酒店还充满了浓郁的胡椒味。后得知该酒店为加盟店。以后不会再入住。', '短评打分': 1}
{'短评内容': '怎么说呢，还是推荐吧，因为早餐很丰盛，很不错，往常定的酒店标间，都没有早餐，这次定的标间，174，还包有两份早餐，\n住宿么，有点不满意，因为刚一进去，哇塞！！满屋子的臭脚味儿！熏死我了！\n希望以后可以认真的清洁室内', '短评打分': 5}
{'短评内容': '交通便利，干净卫生，服务周到', '短评打分': 3}
{'短评内容': '离火车站很近，交通方便环境也很好，价钱还算便宜，就是服务态度还有待进步', '短评打分': 5}
{'短评内容': '楼层服务态度好，前台差，制度差！不会再住！', '短评打分': 1}
{'短评内容': '虽然是特价的，不过房间还是不错，很干净、安静。', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '房间很卫生，晚上管理不错，没有小广告，位置靠近火车站，出行还算方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '整体感觉不错', '短评打分': 3}
{'短评内容': '地点很好，距离太原街很近，出行、吃饭都很方便。只是设施不太好，我住的房间卫生间淋浴下面洗澡时漏水，无法排到地漏下面，所以满地水没法再用厕所。', '短评打分': 5}
{'短评内容': '环境不错，价格便宜。值得继续光顾。呵呵！', '短评打分': 5}
{'短评内容': '挺好的。。比较满意。。~~。。。。。，，，', '短评打分': 5}
{'短评内容': '不错不错不错不错不错不错不错不错不错不错\n就是有点闷', '短评打分': 5}
{'短评内容': '交通方便，房间干净，挺好', '短评打分': 3}
{'短评内容': '：我以入住，前台服务不错，房间设施也可以，比其他同档酒店好多了。叶茂林 ', '短评打分': 3}
{'短评内容': '酒店不错，服务也很好，就是不太好找，转了好几圈。帮以后住的朋友介绍一下怎么找，从沈阳站门前的主路向南（背对车站右手边），到南三马路左转（打听汽车站就知道了），一边走一边就朝右面看吧，两三分钟就看见了。', '短评打分': 5}
{'短评内容': '环境还好 离火车站，沃尔玛，亚惠美食 中兴都挺近的！', '短评打分': 5}
{'短评内容': '地点位置比较方便，性价比还可以，这个价位的酒店不错了', '短评打分': 5}
{'短评内容': '位置不错，离太原街很近，购物方便，卫生做的很好，床也比较大，支持！', '短评打分': 5}
{'短评内容': '不错，经长去!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '我选的是 特价房 ，环境一般，墙纸有些地方比较旧， 总体来说一般 ', '短评打分': 1}
{'短评内容': '干净卫生', '短评打分': 3}
{'短评内容': '酒店总体感觉不错，就是胡椒面的味道大了一些，其他的还好，离太原街大概十分钟的路程，逛街挺方便的。', '短评打分': 5}
{'短评内容': '酒店不错，就是调料味太浓。离太原街很近，逛街狠方便。', '短评打分': 5}
{'短评内容': '酒店离太原街大概十分钟的路程,挺方便的,住宿条件挺好的,就是楼里有很浓的调料味,总体看来还不错,性价比很高哦~', '短评打分': 3}
{'短评内容': '非常棒的宾馆，服务态度好，干净卫生，住着舒适，性价比高，下次还去住。', '短评打分': 3}
{'短评内容': '房间没有暖气，空调不热。室外零下二十多度。酒店人员称所有房间已住满，不能更换。第二天早上7点虽给调了另一个房间，可是顺便看到多个房间都是空的。酒店就是正常的经济型酒店，不过临近一个花椒批发市场，酒店大堂走廊都弥漫着花椒的味道。幸好房间里没有味道', '短评打分': 1}
{'短评内容': '服务比较好，房内装饰较新，只中央空调的温度不够高，有些冷。位置虽然离火车站很近，但还是不太好找。', '短评打分': 5}
{'短评内容': '环境不错，性价比高。', '短评打分': 3}
{'短评内容': '挺好的.非常棒.一百超值.环境很好.地点稍微有点偏', '短评打分': 3}
{'短评内容': '挺干净的，\n环境也还可以，交通也方便，距离火车站较近', '短评打分': 5}
{'短评内容': '服务态度很不错，环境也很好，只是房间有点冷，中央空调温度不够，我住的房间窗帘只有一层纱帘，晚上对面牌匾的灯光把屋里都照的很亮，不知道其他房间是不是也这样，热水很好，床也够舒服，电视，上网都还是很便利的。总体说很满意。', '短评打分': 5}
{'短评内容': '房间、服务都还不错，离火车站也很近，只是，周边环境稍显混杂。', '短评打分': 5}
{'短评内容': '房间不错。宽敞，网速也还好，下次还会选择这里。              ', '短评打分': 5}
{'短评内容': '級無敵喜歡,性價比超高的一家酒店,地理位置很好,周邊很熱鬧,真的不錯! \n', '短评打分': 5}
{'短评内容': '性价比不错。交通一般。卫生一般。环境一般。', '短评打分': 5}
{'短评内容': '经常住这里，不错，！！！！！!!!!!!!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '位置有点偏，但环境还不错，赞一个,下次到沈阳还是住这里。\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', '短评打分': 5}
{'短评内容': '汉庭还是老样子，非常好的经济型酒店，很好很强大', '短评打分': 5}
{'短评内容': 'haohaaohaoohaohaoahaoahoahohaohaoa\n', '短评打分': 5}
{'短评内容': '很好，这里每次来都觉得不错!!!!!!!!!!!!!!', '短评打分': 5}
{'短评内容': '-非常满意！', '短评打分': 3}
{'短评内容': '地点确实不太好找，但找到了地角确实也很方便，到太原街、沈阳站、公交车站都很近便。服务也还好，性价比不错。只是当时去的时候在清洗地毯，味道较大。', '短评打分': 5}
{'短评内容': '不错                                                    ', '短评打分': 5}
{'短评内容': '酒店位置较好，干净、交通便利、方便，适合我居住。', '短评打分': 5}
{'短评内容': '位置一般，不临主道，但比较安静，服务挺好！', '短评打分': 5}
{'短评内容': '环境很好，离火车站很近，但是就是找了好久才找到的~', '短评打分': 5}
{'短评内容': '房间服务都不错,就是不太好打车', '短评打分': 3}
{'短评内容': '还不错！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '哈哈哈！！！真好呀！！！哈哈哈！！！！！！！！', '短评打分': 5}
{'短评内容': '舒适 环境好 卫生 安静 性价比高 距离商业街很近', '短评打分': 5}
{'短评内容': '周围很安静，就是弹簧床有些硬，翻身的时候很大声音', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店位置还不错，距离太原街万达广场步行约5分钟，十分方便，环境很安静。值得推荐', '短评打分': 5}
{'短评内容': '服务非常好，卫生也很不错，就是地方有点儿偏，汉庭挺不错的\r\n', '短评打分': 5}
{'短评内容': '很好，经常住在这里，就是早上的时候交通有点混乱', '短评打分': 5}
{'短评内容': '上次入住晚上回来发现电视有问题后来服务人员很快给解决了。服务不错和卫生也比较整洁，就是房间隔音不好。', '短评打分': 3}
{'短评内容': '不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。不错。', '短评打分': 3}
{'短评内容': '地理位置优越,环境不错,很方便!干净卫生,性价比高,值得入住!', '短评打分': 3}
{'短评内容': '酒店比较好，卫生环境不错，就是位置不好找，总体还是满意！推荐入住', '短评打分': 3}
{'短评内容': '房间很干净，新房，设施齐备，晚上很安静。到火车站和太原街都很近，步行十分钟就到了！', '短评打分': 5}
{'短评内容': '酒店内为什么有那么重的胡椒味道呢，是要掩盖什么味道吗，回来以后我的睡衣都是胡椒味', '短评打分': 3}
{'短评内容': '汉庭酒店服务设施和态度都很好，环境也不错，我推荐这家酒店', '短评打分': 5}
{'短评内容': '房间较大，设施齐全，卫生比较好，就是位置有点偏！！总体性价比不错的。', '短评打分': 5}
{'短评内容': '酒店位置不太好找。\r\n服务不好，自来水龙头里面流出的水都是红色的\r\n还没有热水。', '短评打分': 3}
{'短评内容': '服务态度很好，环境很不错，性价比超高。下次还会来这里', '短评打分': 5}
{'短评内容': '酒店服务不错，走廊的隔音不好，交通挺方便的，下次还是会去的', '短评打分': 5}
{'短评内容': '很满意，建议汉庭客房可以增加电吹风', '短评打分': 5}
{'短评内容': '性价比很高  位置隐蔽点  不过离沈阳站和太原街都不远   缺点是隔音差了一点  还有点潮气   基本还好  推荐   还有就是前台第一天接待我的吧员人超级好   要赞一下    后来一直没看见她', '短评打分': 5}
{'短评内容': '＋态度很好   房间有点小', '短评打分': 5}
{'短评内容': ' 挺好', '短评打分': 5}
{'短评内容': '酒店基本情况评价-请根据您的入住体会，客观的做出评价:', '短评打分': 5}
{'短评内容': '有胡椒味有胡椒味有胡椒味有胡椒味有胡椒味有胡椒味有胡椒味有胡椒味', '短评打分': 5}
{'短评内容': '因为经常出差到东北，每次都会选择入住沈阳太原街南街店。前台迎宾的服务好，酒店的设施和装修基本都是新的，里面的住宿的环境非常的干净，而且紧邻沈阳站，沈阳太原街商业中心，出入方便。舒适度，性价比都非常的高。特别的喜欢和向推荐这家酒店。', '短评打分': 5}
{'短评内容': '离太原街很近，但是所在位置却很安静，性价比很高，服务态度也不错，网速很快', '短评打分': 5}
{'短评内容': '位置难找，浴室太小，水温不稳，其他感觉都不错，价格不贵', '短评打分': 3}
{'短评内容': ' 还行不错', '短评打分': 5}
{'短评内容': '找了半天，打了个电话还是对具体方位感到莫名其妙、、、不好找', '短评打分': 5}
{'短评内容': '+总体不错，位置难找', '短评打分': 5}
{'短评内容': '位置有点不好找，在一个胡同里，周围的汉庭不少，所以很容易找不到，呵呵。其他还不错，服务、设施、卫生都很好，值得推荐。', '短评打分': 5}
{'短评内容': '卫生可以；房间舒适度可以；房间隔音很不好，隔壁说话听得很清楚；临街有点吵；房间内没有宽带，不能上网；位置不太好找。', '短评打分': 5}
{'短评内容': '不错 价格便宜 这个价格在沈阳比较难住到这样的房间  ', '短评打分': 5}
{'短评内容': '位置好，离我办事的地方近，到沈阳常住地点。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 3}
{'短评内容': '房间上次入住的时候条件不错，这次入住房间照明超级暗。', '短评打分': 5}
{'短评内容': '不错哦，连锁酒店，质量值得信赖。支持。支持。', '短评打分': 3}
{'短评内容': '挺好的,希望大家都去.环境服务都很周到....................', '短评打分': 3}
{'短评内容': '环境卫生，服务员的态度比较好，安静舒适。', '短评打分': 3}
{'短评内容': '性价比高，方便购物、逛街。离火车站也近。', '短评打分': 3}
{'短评内容': '酒店位置很好，距离太原街很近的，总体来说还不错', '短评打分': 5}
{'短评内容': '设施有点陈旧，但是很齐全。总体感觉还可以。性价比还算可以。', '短评打分': 5}
{'短评内容': '第一次去，，找了半天 结果在沃尔玛那有个路标，直走600米就到了，还是不错的，服务很到位，房间非常干净！', '短评打分': 5}
{'短评内容': '服务可以，就是隔音效果不好，隔壁做爱声音太大', '短评打分': 3}
{'短评内容': '很干净，服务态度好…就是没有电脑！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '住进去的时候正好赶上服务员打扫房间，貌似干净的床单下面实际惨不忍睹，各种痕迹。\r\n不信的朋友可以翻开看看，保证你躺不下去。\r\n位置还可以，服务也可以，卫生实在太差。', '短评打分': 1}
{'短评内容': '第二次入住了，就是地点较偏僻，如果第一次去打车都不一定找的到，其他的还可以。', '短评打分': 5}
{'短评内容': '这家店很好&#183;我很喜欢 很不错&#183;&#183;建议居住', '短评打分': 3}
{'短评内容': '地段差一点  不过服务态度还是相当不错的 比一些3星的服务都要好', '短评打分': 3}
{'短评内容': '地理位置有点不好找，但还算是中心，服务很好。卫生一般，设施有点陈旧，整体来说还可以。', '短评打分': 5}
{'短评内容': '酒店中央空调没有劲，但保安前台服务不错。交通位置尚可，早班飞机最好预定出租车', '短评打分': 1}
{'短评内容': '服务很好，卫生也很好，当时旁边修路，有点乱，现在应该好了。', '短评打分': 5}
{'短评内容': '这个酒店除了地理位置不够好意外，其他都挺好的，服务很热情。', '短评打分': 3}
{'短评内容': '这家酒店的服务态度非常好，人很热情，推荐一下', '短评打分': 5}
{'短评内容': '房间很干净，服务态度很好，里车站很近，就是有些偏僻。', '短评打分': 3}
{'短评内容': '就是卫生间小了点儿，有点小，其他的都挺好的，沐浴露之类的不好', '短评打分': 3}
{'短评内容': '交通方便，周围超市娱乐购物方便！', '短评打分': 5}
{'短评内容': '汉庭的宾馆总是那么中规中矩，房间较大，床很舒适，只是卫生间的布局狭小，淋浴处就在马桶侧上方。估计不是特价房，会好些。但还是对他们热情的服务深感满意。', '短评打分': 5}
