{'descr': '给朋友订的，地点略难找，靠近老外街&hellip;以上', 'star': 1}
{'descr': '非常满意', 'star': 3}
{'descr': '浴室洗澡门只有一半，另一半门不见了；房间比较大，但空调没有热气，感觉冷', 'star': 5}
{'descr': '房间还可以，就是隔音效果不太好', 'star': 3}
{'descr': '这次应该是最后一次选择这家了，本人做了这么多年星级酒店，第一次听说快捷酒店驾驶证不可以登记，就算是现在年底查的严，或者你家不允许，你也不可以让客人在冰冷的总台等了几个小时之久，问前台服务员，就冷冰冰一句话：不可以登记就是不可以！你家酒店设施差，牙刷掉毛掉色，隔音差，不怪你，只是不明白为什么就连个笑容也没有？难道天气冷了，笑容也冻僵了吗？选择你，只是因为方便，不希望你们的便捷最后连起码的服务意识也便', 'star': 1}
{'descr': '交通便利 前台服务周到 房间设施环境都不错', 'star': 3}
{'descr': '锦江之星（南京火车站一店）（原中央门店）蛮好的', 'star': 5}
{'descr': '整体性价比不错，便宜实惠，地理位置也方便，整体满意', 'star': 5}
{'descr': '去晚了，打电话给保留的，入住直接刷消费了，发票也给直接开了，节省时间了。', 'star': 5}
{'descr': '隔音实在不好, 整晚都是大车的声音, 想选背对马路的房,还告诉我所有大床房都朝街.', 'star': 1}
{'descr': '地理位置较好，出行方便，酒店的环境和服务都不错。', 'star': 5}
{'descr': '酒店很干净很好', 'star': 3}
{'descr': '环境不错，交通也比较方便。总体感觉还可以。', 'star': 5}
{'descr': '服务不错，房间也还可以。但有些房间不在正楼，七拐八拐才能到，这对于行李多的人来说很麻烦。', 'star': 5}
{'descr': ' 刚住进来,宽带和WiFi还不错,不知道安全怎样,住一楼,阳台处感觉随便可以进出.', 'star': 3}
{'descr': '酒店不错，非常安静，离机场也很近，出行稍有不便。', 'star': 5}
{'descr': '隐蔽在万豪背后，古色古香，很有特色，服务一如既往的热情周到。就是没有电梯，如果有带旅行箱可能就不方便了。', 'star': 5}
{'descr': '环境可以，走进去有点远。早上有货车进入，装卸什么东西，很吵。别的都很满意。望能改进！！！下次还会考虑入住。', 'star': 5}
{'descr': '进酒店的路线标示不是很清楚，需要加大并清楚些！', 'star': 5}
{'descr': '不错。。。。。难找。。。。。环境一般。。。。。。', 'star': 5}
{'descr': '条件还不错，就是房间有点小了，还比较干净，基本满意', 'star': 5}
{'descr': '一贯的锦江之星风格，不错，挺好的，可以住。', 'star': 5}
{'descr': '昨天刚刚入住完，1428房间。感觉不错，采光很好，房间比较宽敞，喜欢那的刷房卡式的电梯，可以避免很多不必要的打扰，虽然距离火车站稍稍有点远，可我觉得走几步也没什么，下次有机会还会入住这家！', 'star': 5}
{'descr': '通过Elong定房前台说没有记录还是重新现场定的 互相推卸责任 房间分散没有电梯  电话也接不进来什么东西                                                                                                                            ', 'star': 1}
{'descr': '很好的酒店，在上海有这样的价格很好了，餐厅的价格高了一些最好到外面吃。', 'star': 5}
{'descr': '好，第二次入住，位置好，环境好，就是去新街口要转车', 'star': 5}
{'descr': '就在虹桥万豪酒店边上，可以到万豪酒店大堂打车。酒店房间很大，设施一般，网速稍慢，看网络视频不流畅。周边有餐厅，不远还有好又多超市，挺方便。下次还住', 'star': 5}
{'descr': '干净，服务很好！下次去的时候，再住那里。\n\n--------------------------------------------------------------------------------\n', 'star': 5}
{'descr': '环境不错，价格有点高', 'star': 3}
{'descr': '实惠的酒店，就是隔音不太好，早餐没有其他锦江店得丰富', 'star': 5}
{'descr': '老外住虹桥万豪，我没得选，只好住这里最近', 'star': 1}
{'descr': ' 酒店挺不错的，值得入住', 'star': 3}
{'descr': '还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,还行,', 'star': 5}
{'descr': '房间看门很大很大的一股霉味，非常难闻！！！大概是梅雨季节的缘故吧。\n其他都还好，也就是商务出差住住的。', 'star': 5}
{'descr': '靠马路的大床房有点吵，房间还算干净，交通挺方便。', 'star': 5}
{'descr': '再次住这家酒店就是因为方便，你火车站和商业街都近。', 'star': 5}
{'descr': '酒店坏境很好，离车站近，房间很大，前台服务也不错', 'star': 5}
{'descr': '干净，从前台到保安，到宝洁人员服务都很好！下次去的时候，再住那里。', 'star': 5}
{'descr': '房间比较干净，位置也方便，就是价格比7天贵。', 'star': 5}
{'descr': '旁边是铁路和鑫桥市场，吵的厉害，本人居住的房间窗户还关不严实，被折磨了几天。\n还有，锦江之星的收费标准不合理，入住的实际时间不足4天，却收了我五天的房费。\n总体感觉不是很好，下次不会再选择锦江之星了。', 'star': 1}
{'descr': '   挺好的  很不错', 'star': 3}
{'descr': '符合快捷酒店的一般水平，就是位置稍微偏了点', 'star': 5}
{'descr': '酒店在徽商会所边上，比较安静，听不到外面马路上车子的声音。', 'star': 5}
{'descr': '很幸运续订的时候看到了假日百元房~~~~', 'star': 5}
{'descr': '位置很好 ，房间很干净，就是卫生间的门坏了，餐厅的饮食非常好 ，', 'star': 5}
{'descr': '很好，服务很到位，东西丢那，保管的不错，下次还会光顾', 'star': 5}
{'descr': '位置很不错，进出都方便的。酒店比较安静，设施也简洁、干净。', 'star': 5}
{'descr': '帮别人订的房，因为我住过这里，所以就推荐了，离虹桥机场和高铁站比较近，方便！', 'star': 5}
{'descr': '地理位置好，逛商场很方便,房间干净，,进出办事交通便利适', 'star': 5}
{'descr': '酒店位置不错，房间蛮大的，也干净，性价比很高。', 'star': 5}
{'descr': '房间无服务指南 打电话 电话机表面灰尘', 'star': 3}
{'descr': '很安静，也很干净，位置也很不错，距离机场比较方便。周日特价房时入住的，比较划算。', 'star': 5}
{'descr': '经常出差,国内的连锁酒店都经常住,锦江应该是不错的,不过南京火车站一店我感觉一般,', 'star': 5}
{'descr': '卫生环境很好，但是地理位置较偏，离地铁比较远！周边就有一个苏果超市，买点生活用品很方便！总的来说很满意！', 'star': 5}
{'descr': '挺好的，很卫生温馨', 'star': 3}
{'descr': '看了评价选的这家，结果真的不错，位置就在万豪酒店旁边，安静，房间也还舒适干净，住的标间，房间也比较大，电视是液晶的，还包早餐，虽然种类不太多。周围打车吃饭都还比较方便。不好的地方就是无线宽带基本没有信号。', 'star': 5}
{'descr': '五一涨价，比别的锦江小点。早餐很丰富！', 'star': 3}
{'descr': '酒店环境挺好的，离机场还是蛮近的，环境不错,空气好,非常安静,，价格还是可以接受。', 'star': 5}
{'descr': ' 环境不错，服务人员挺周到', 'star': 3}
{'descr': '比较干净，就是靠马路有点吵', 'star': 3}
{'descr': '早餐很不错，营养、多样、还很可口。唯一的缺点是前台服务人员数量太少，客人多时服务有点慢。', 'star': 5}
{'descr': '锦江之星一贯的风格，下次还会住。离中央门长途车站还要走几分钟。\n', 'star': 5}
{'descr': '感觉不错的，位置去机场还是很方便的，服务也是很不错的，夜后还是会去的', 'star': 5}
{'descr': '服务好，设施洁净。地理位置也不错。是外出旅游、经商的好住处。', 'star': 5}
{'descr': '又住了一次，离虹桥机场和高铁还是比较近的，早晨有免费的早餐，在隔壁的的徽商会馆内。', 'star': 5}
{'descr': '干净整洁，交通便利，离火车站近，去东站坐扬州的大巴也不远。', 'star': 5}
{'descr': '酒店在万豪里面，要跟着路标走，房间比汉庭快捷要好，干净，舒适，离虹桥机场比较近。', 'star': 5}
{'descr': '不错，就是下水管道漏水，在南京性价比较高', 'star': 5}
{'descr': '很好的 周边交通方便 而且楼下就有工商 出行取钱很方便。酒店卫生田间很好 也很安静\n就是值得去住啦。', 'star': 5}
{'descr': '酒店不错小巧干净安静有点像欧洲小酒店', 'star': 3}
{'descr': '酒店离地铁近，房间设施较新，标间床大，总体不错。', 'star': 3}
{'descr': '总体来说还不错吧。。。周围交通挺方便的，服务态度一般。', 'star': 5}
{'descr': '房间装修卫生都还不错，酒店离虹桥机场二号航站楼比较近，服务和价格也很合适。', 'star': 5}
{'descr': '比较超值！加长。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '酒店的装修卫生挺好的，位置还是挺好找，价格还是比较合适，服务还是比较周到。', 'star': 5}
{'descr': '的确很小~设施有点陈旧~房间热水不是很热~~不过总体感觉还不错', 'star': 5}
{'descr': '还可以，就是附近吃饭的地方不多，离地铁有点远。', 'star': 5}
{'descr': '汉庭全季酒店前台服务员很热情、酒店设施很好、环境优雅，一楼可以免费上网。出门往西边走3分钟就可以找到好几家特色小饭店。去市中心可以走10号地铁线，比较方便。今后肯定还会去住。', 'star': 5}
{'descr': '距离火车站很近，但是后来发现里面的住宿环境方面，个人认为电视机太小，和偌大的房间不协调，其次毛巾很硬，用的时候很不舒服，其他的话一般吧。', 'star': 5}
{'descr': '酒店还可以，就是太小了。', 'star': 3}
{'descr': ' 地点佳，近火车站及汽车总站。出入方便。', 'star': 3}
{'descr': '性价比非常不错，关键返券也比较高。自己住非常合适。', 'star': 5}
{'descr': ' 卫生还可以就是房间太小', 'star': 3}
{'descr': '酒店环境挺好的，离机场还是蛮近的，价格还是可以接受。住着也很舒服。', 'star': 5}
{'descr': '不错的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1', 'star': 5}
{'descr': '为了给其他用户bucuo提供更有价值的意见，请您发表20个字以上的点评', 'star': 5}
{'descr': '典型的快捷酒店，干净整洁，价格实惠。比较安静，离南京火车站很近，打车10分钟就到。对于坐动车出行的朋友比较方便。就是旁边买东西和吃东西的地方较少。', 'star': 5}
{'descr': '环境不错,空气好,非常安静,就是不太好找.', 'star': 5}
{'descr': '感觉还可以.', 'star': 3}
{'descr': '酒店设施还不错，卫生环境也还行，交通还是很方便的！', 'star': 5}
{'descr': '卫生差，环境差，隔音更差，建议不要选大床房，临街，噪音不是一般的大', 'star': 1}
{'descr': '住宿条件不错，但隔音效果差  ', 'star': 3}
{'descr': '就是隔音效果不是很好，靠近大马路，交通方便，但是太吵了。房间内设施还是很不错的。比较暖和，这点好。', 'star': 5}
{'descr': '该旅馆挺干净整洁。可与欧美小旅馆比。值！', 'star': 5}
{'descr': '房间干净、设施齐备、服务高效，非常值得推荐的酒店', 'star': 3}
{'descr': '位置很明显，交通便利，房间很干净，就是浴室内的水管声响较大。隔音效果一般。', 'star': 5}
{'descr': '位置还不错，房间显旧，隔音不好，也比较吵。', 'star': 5}
{'descr': '位置很好，在酒店的旁边正好有个易初莲花，买东西比较方便，但是它家的酒店对面好像正在施工，晚上的时候车子进出声音很大，还有就是隔音效果不是很好，有人从房间的旁边进过会听到人家的说话声音，其他都蛮不错的', 'star': 5}
{'descr': '＋ok', 'star': 5}
{'descr': '+旅館条件不错，很干净很舒适，谢谢介绍', 'star': 5}
{'descr': '虽然是单人间，可是床却堪比双人床，很干净', 'star': 3}
{'descr': '还蛮好，南京很多分店，比较方便，在同行中算是性价比比较好的~比较推荐', 'star': 5}
{'descr': '锦江之星不错，比如家干净', 'star': 5}
{'descr': '前台服务很好，房间也很舒适呢，离火车站步行半小时就可以了。', 'star': 3}
{'descr': '前台服务很好，房间也很舒适呢，离火车站步行半小时就可以了。', 'star': 5}
{'descr': '帮马来西亚的客人预定的！貌似不错哦！！！！！！！！！！！！！！！！！！！！111', 'star': 3}
{'descr': '位置不错，床很舒适，总体也不错，态度也很好，厕所门坏了，马上换了一间，很不错', 'star': 5}
{'descr': '不错的酒店，帮马来西亚的客人预订的！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '卫生以及安全 服务 都比较不错 旁边就是大型超市 交通便利', 'star': 3}
{'descr': '＋房间虽然是单人间，但是床却可以睡两个人，卫生也很好，很满意，超值噢。', 'star': 5}
{'descr': '什么都好！\r\n\r\n不好的是，房间大，电视太小，另外，说是火车站店，离火车站步行差不多要30分钟，晕了', 'star': 5}
{'descr': '很不错很不错很不错很不错很不错很不错很不错很不错很不错很不错', 'star': 5}
{'descr': '外部环境不错，应该属于经济型酒店中的豪华了，内部设施也还好，电视小了点，呵呵', 'star': 5}
{'descr': '卫生可以，但缺电梯和出入不方便。', 'star': 5}
{'descr': '服务态度很好，房间也很不错，还比较大。就是外部环境有些杂乱', 'star': 3}
{'descr': '地理位置很不多，到各个车站都有公交车，也不远。旁边有kfc、药店、易初莲花，生活很方便。', 'star': 5}
{'descr': '除办理入住手续较慢外，其它方面都不错，以后旅行首选“锦江之星”。', 'star': 5}
{'descr': '延续了锦江的一惯作风。房间比较干净，楼下有好多小吃，还有肯德鸡，出行比较方便。比较满意。', 'star': 5}
{'descr': '好！', 'star': 5}
{'descr': '性价比还可以！就是窗户小点儿，窗户再大点儿就完美了', 'star': 3}
{'descr': '酒店还好 继续努力，服务态度继续保持，更加周到的为旅客服务', 'star': 5}
{'descr': '很不错很好服务很好很不错很好服务很好很不错很好服务很好很不错很好服务很好', 'star': 5}
{'descr': '  好评。离火车站很近，适合第二天赶火车的旅友。', 'star': 5}
{'descr': '+内容', 'star': 5}
{'descr': '环境挺好挺干净', 'star': 5}
{'descr': '与其他锦江差不多。前台服务较好。', 'star': 5}
{'descr': '酒店卫生，方便快捷，不错！', 'star': 5}
