{'descr': '老板及弟弟热情，周到。服务极佳。环境特别。有古城之味道', 'star': 5}
{'descr': '地理位置好，在平遥古城内，很方便。卫生条件好，老板和服务员服务态度好，吃饭都很好，还能上网。价格实惠。订的标准间，老板还给调了一个套房仍然是标准间的价格。很满意。', 'star': 5}
{'descr': '想起来就纠结！！！！！！！！！！！！！！', 'star': 1}
{'descr': '领略了一下百年前的清风格。位置不错。。早餐再丰富一些就好了。', 'star': 5}
{'descr': '酒店位置、设施、环境不错，就是服务有待改进。没有近处停车场。', 'star': 5}
{'descr': '住宿环境好 离东门城隍庙很近 老板很热情朴实 下回还会来 ', 'star': 3}
{'descr': '干净、方便、服务不是很热情。地址方便，很容易找到。', 'star': 5}
{'descr': '很好，不错，很喜欢，不过可能达不到四星级的标准', 'star': 5}
{'descr': '酒店位置不错，靠近汽车站，周边出行方便，房间一些基础的设施还算齐全，卫生很好干净整洁，住宿条件一般', 'star': 3}
{'descr': '房间内部装修的很好，硬件设施很新，很齐全，前台服务很好，热情周到，性价比不错，住宿环境很好', 'star': 5}
{'descr': '酒店的位置还不错就在古镇里面，房间还是很不错设施很好当时酒店还给我免费升级到套房感觉确实很不错，服务态度也很好，价格的话还行吧', 'star': 5}
{'descr': '大床啊！是那种硬光板床铺了一层被子硬的很，一晚上没睡好！再也不去这种农家旅馆了！', 'star': 3}
{'descr': '+位置佳，院子很大，要参观好一阵才能都转完。屋内布置的古香古色，面积虽不大却很温馨。老板人也很好！', 'star': 5}
{'descr': '位置离平遥汽车站（平遥北门）比较远。设施和卫生条件还可以。服务态度极其不好。', 'star': 1}
{'descr': '此酒店不能按照正常星级来评价，肯定达不到四星标准。床很硬。不能刷卡。不过古色古香。卫生和服务还可以。', 'star': 5}
{'descr': '地理位置还凑合，和衙门官舍、郑家在一条街上，但总体来看节假日的性价比不高，不过整个平遥县城这个时候价格都比较贵。', 'star': 3}
{'descr': '地理位置还凑合，和衙门官舍、郑家在一条街上，但总体来看节假日的性价比不高，不过整个平遥县城这个时候价格都比较贵。', 'star': 3}
{'descr': '酒店环境挺好的，房间也还行，不过酒店价格还是有些贵了，服务倒是挺好的。', 'star': 5}
{'descr': '酒店环境挺好的，房间也还行，不过酒店价格还是有些贵了，服务倒是挺好的。', 'star': 5}
