{'短评内容': '不错的酒店，狮子头好吃', '短评打分': 4}
{'短评内容': '在扬州出差多次，换了好几家酒店，终于算是选对了一家。\n酒店环境不错，早餐还可以（就是没有炒饭/炒面），房间布置卫生都不错。\n总体来说，物有所值。', '短评打分': 5}
{'短评内容': '酒店不错，性价比不错，房间很新很干净。下次还会住', '短评打分': 5}
{'短评内容': '酒店不错，服务不错。房间设施干净，性价比高。', '短评打分': 5}
{'短评内容': '挺好的，只是卫生间小了些，与酒店档次不称，另外，住的房间的窗户正好被广告牌遮挡，影响光线进入。', '短评打分': 5}
{'短评内容': '该酒店位置比较的便利，服务比较的周到，酒店设施一般，房间还是比较的整洁赶紧，餐厅价格比较合理，味道还行，总体来说还是不错的。', '短评打分': 5}
{'短评内容': '酒店距离瘦西湖风景区较近，店前停车场的俊男非常热情地帮忙挡的士，赞一个。', '短评打分': 5}
{'短评内容': '酒店位置好，前台服务热情，但房间太小，隔音效果不好。', '短评打分': 5}
{'短评内容': '名副其实，酒店环境也还好，下次还住。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '还好的酒店，服务态度很好啊。。。酒店话不错', '短评打分': 5}
{'短评内容': '招待热情,交通还算便利,吃饭贵了点.早点没有黄油.套房还可以,但没有免费茶叶', '短评打分': 5}
{'短评内容': '餐厅的淮扬菜做得挺好的，不过房间太小了，好像扬州的酒店都是这样，价高房间反而小，在新区如果办事住在酒店还是挺方便的', '短评打分': 5}
{'短评内容': '位置还行，对过就是乐天超市。服务员很热情，就是房价小了点，也许里面古色古香的家具多了点，觉得小了。卫生间太小，下水道有点噪音，但是洗澡可以隔着玻璃看外面的电视挺有意思。空调不是中央空调比较好控制，就是外面有点不隔音，有不太自觉的人晚上走廊比较吵。早餐内容太少了，不怎么样。但是推荐3楼的餐厅：蟹黄干丝，炒饭。。。都是非常好吃，不错', '短评打分': 5}
{'短评内容': '酒店的硬件设施还可以，卫生做的不错，打扫的很干净，服务周到热情，住宿环境还可以\n', '短评打分': 5}
{'短评内容': '交通便利，餐饮较为不错，房间较小是唯一的不足', '短评打分': 3}
{'短评内容': '竟然没有赠饮 抠门啊', '短评打分': 3}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '扬州食为天假日酒店  个人感觉餐饮业比较突出啊,果然如其名 ', '短评打分': 5}
{'短评内容': '这家店的淮扬菜在扬州是有名气的，喜欢淮扬菜的朋友可来这。', '短评打分': 5}
{'短评内容': '酒店的地理环境还行，整体的优势在于它是食宿一体的，楼下就是餐厅，而且很忙，定的是套间，环境优雅，床也很舒适，不过，它的卫生间很小，狭窄！没有浴缸，像套间的话，应该有浴缸的！', '短评打分': 5}
{'短评内容': '房间很小，特别是卫生间，所以就显得价钱有点小贵，房门质量不行，不密闭，所以外面有声就会很吵。作为一个集酒店和餐饮于一体的宾馆，停车是个大难题。房间还算干净，我们房间还提供电脑，这也算意外之喜了。', '短评打分': 1}
{'短评内容': '水太小 隔音不好 电视频道太少 其他还可以', '短评打分': 5}
{'短评内容': '水太小  隔音不好 电视频道太少……其他的还可以', '短评打分': 5}
{'短评内容': '房间超小，停车在吃饭时间很不方便！床垫很薄，睡觉感觉很冷！电视机很大在小房间占了近一个平方！早餐超简单，品种稀少，晚餐较丰富，但价格较贵。不会再来！', '短评打分': 1}
{'短评内容': '酒店挺不错的，干净，温馨，位置也可以，服务态度很好，如按三星标准，房间和卫生间太小啦，隔音也有点问题~\n但总体值得推荐！', '短评打分': 5}
{'短评内容': '房间设施也很新，服务相当好，随叫随到，很不错的酒店', '短评打分': 5}
{'短评内容': '服务相当好，随叫随到，很不错的酒店，但房间偏小，西区店的散客点餐订不上座：宴会包了！还会来的。', '短评打分': 5}
{'短评内容': '酒店性价比很好，位置不错，就在汽车西站对面，出行蛮方便的，服务态度不错，很整洁，舒适度蛮高的', '短评打分': 5}
{'短评内容': '套间不错，一家三口住很合适~卫生服务各方面也都不错~', '短评打分': 5}
{'短评内容': '饭菜不错，口味蛮好的，房间设施也很新，服务相当好，随叫随到，很不错的酒店', '短评打分': 5}
{'短评内容': '酒店的装修比较豪华，比较上档次，服务很好，周到热情，酒店餐饮不错，蛮适合我的口味的，住宿环境很不错', '短评打分': 5}
{'短评内容': '早很丰富，量也很大，房间设施很齐全，走廊里铺的是地毯，感觉蛮安静的，隔音效果很好，酒店位置还可以，对面就是一个大超市，住着很舒适', '短评打分': 5}
{'短评内容': '酒店餐饮不错，菜很好吃，房间布置的比较舒服，住着蛮温馨的。浴室设计的很有个性，用玻璃隔开的，住宿环境蛮好的', '短评打分': 5}
{'短评内容': '房间小不说，电视还不是液晶的，看不清。地板也不干净。早餐差的一塌糊涂。在扬州也就150的价钱。如家，锦江都比他强。下次绝对不住。', '短评打分': 1}
{'短评内容': '服务态度不错，客房很整洁，舒适感很高。', '短评打分': 5}
{'短评内容': '住宿条件占优势，房间温馨舒适，餐饮方面很棒。', '短评打分': 5}
{'短评内容': '以他们酒店的硬件来说这个价格还是偏高的，服务还算可以，位置还是很不错的。', '短评打分': 1}
{'短评内容': '饭店设施新，环境好，价格适中。', '短评打分': 5}
{'短评内容': '绝对质次价高,采光差,房间小,又没有相关康乐设施,甚至房间无地毯,就一经济型酒店,没有不远处的汉庭好,价格奇贵,实在不值,决不会去第二次,没有会议室,也没有休闲设施,何来集会议\\休闲为一体的酒店?', '短评打分': 1}
