{'短评内容': '哦咯咯咯啦', '短评打分': 5}
{'短评内容': '很好，比较舒适。就是老了点，没有宽带。早餐品种少些，但也能吃饱。', '短评打分': 5}
{'短评内容': '不错，离景区很近，酒店环境也挺不错的，停车场挺大，很适合自由行', '短评打分': 5}
{'短评内容': '离避暑山庄特别近，去市里也方便，酒店虽然老了店，但性价比不错。', '短评打分': 5}
{'短评内容': '酒店位置很好，交通便利，紧邻避暑山庄。门前有多路公交，出行十分便利。\n酒店设施较新，24小时热水，水温水压很好。够三星标准。\n服务到位，早餐也可以。\n', '短评打分': 5}
{'短评内容': '就是没电梯', '短评打分': 3}
{'短评内容': '节假日房价好贵啊', '短评打分': 3}
{'短评内容': '房间很大，还算舒服，最方便的是有免费停车场，并且离避暑山庄很近，步行就可以到达。', '短评打分': 5}
{'短评内容': '卫生一般，水是黄泥，离景点近比较好', '短评打分': 3}
{'短评内容': '三星的档次，假日是五星的价格，送的早餐绝对是中式经典老四样：米粥，花卷，酱菜，鸡蛋，去晚了是凉的。优势是离山庄绝对的近。', '短评打分': 3}
{'短评内容': '房间床位很舒适，干净。服务很好。但是我觉得淡季房间价格还是有点偏高', '短评打分': 5}
{'短评内容': '位置不错，离避暑山庄近。屋内潮气重，味道也很重，我媳妇回来后被不知道是什么虫子叮了，起了好多小疙瘩。', '短评打分': 1}
{'短评内容': '酒店位置好，房间干净总体满意!', '短评打分': 3}
{'短评内容': '酒店离避暑山庄很近，出门走两步就到了。房间设施比较简单，但很干净。', '短评打分': 5}
{'短评内容': '酒店地理位置不错,交通方便.内部装修有些陈旧,前台有些小姐态度不怎么样. ', '短评打分': 3}
{'短评内容': ' 还可以，推荐…', '短评打分': 3}
{'短评内容': '整体感觉还不错，主要是地理位置太好了 从房间窗户直接就能看见避暑山庄，房间也比较干净', '短评打分': 3}
{'短评内容': '住的标间，除了位置不错近邻避暑山庄，其他配套设施都非常一般。', '短评打分': 3}
{'短评内容': '位置很好，酒店设置还可以，周边购物旅游等都很方便', '短评打分': 5}
{'短评内容': '酒店地理位置不错，出行很方便，靠近避暑山庄很方便，前台服务热情，总是面带笑容的，房间里干净整洁，住宿环境不错 ', '短评打分': 5}
{'短评内容': '设施卫生很差就是一个农村的一个小院儿，环境也特别差外观看起来不错但是里面感觉真的是很差，房间也很小床也很小，服务也很差，价格还这么贵。', '短评打分': 1}
{'短评内容': '如果去避暑山庄可以选择这家酒店，走路就能过去很方便，服务很好，房间卫生条件没的说，没有卫生死角很干净，住着很放心', '短评打分': 5}
{'短评内容': '酒店地理位置真的不错，出门有超市便利店，去避暑山庄走3分钟左右能到，很方便，酒店餐饮很不错，尤其是烤牛肉干，很美味，客房服务很好周到热情，住着很舒服', '短评打分': 5}
{'短评内容': '酒店距离避暑山庄比较近，离丽正门不远，出行方便，酒店有停车场停车方便，旅游还是很方便的', '短评打分': 5}
{'短评内容': '房间布置很温馨，床单被罩干净整洁，给人感觉很舒服，酒店早餐和中餐都很好，很对我的口味，酒店靠近旅游景点，出行蛮方便的', '短评打分': 5}
{'短评内容': '酒店距离避暑山庄很近，出行很方便，前台服务员很友善，服务很贴心，房间卫生还可以，硬件设施比较齐全，住宿环境不错', '短评打分': 5}
{'短评内容': '服务员态度很好周到热情，都是面带微笑的，房间里采光很好，卫生条件也不错，总体感觉住着蛮舒服的', '短评打分': 5}
{'短评内容': '酒店距离主干道上比较近，交通出行很方便，酒店停车场很大，内部很好，房间干净整洁，装修的比较现代，前台服务员办事效率快，很满意', '短评打分': 5}
{'短评内容': '房间一般，位置出行不错，价格稍微有些贵，酒店的服务还不错。', '短评打分': 3}
{'短评内容': '酒店很好，离景区很近，环境和卫生及服务都很好，只是早餐品种少了些。', '短评打分': 5}
