{'短评内容': '地段距离地铁站很近很方便 价格能下调就好了 停车服务不好', '短评打分': 5}
{'短评内容': '非常好的酒店,,,不过价钱偏高..........', '短评打分': 5}
{'短评内容': '非常不错的酒店，4星，因为是第一次入住，给办了会员卡，并免费升级了房间。', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '不错！不错！不错！不错！不错！不错！值得推荐！周边环境也很好。下次还住！', '短评打分': 5}
{'短评内容': '四星酒店，在此位置，还算比较实惠，离华强北近，方便SHOPPING', '短评打分': 5}
{'短评内容': '酒店环境还可以', '短评打分': 3}
{'短评内容': '性价比很低。所谓的行政房房间很小。感觉像经济型酒店的房间。怎么都没有感觉像4星级酒店。装修比较新，房间还算干净。', '短评打分': 1}
{'短评内容': '酒店位置比较合适，出入办事相对方便，性价比高\n酒店位置比较合适，出入办事相对方便，性价比高\n酒店位置比较合适，出入办事相对方便，性价比高', '短评打分': 5}
{'短评内容': ' 酒店环境很好', '短评打分': 3}
{'短评内容': '不错的酒店,下次还住', '短评打分': 3}
{'短评内容': '十好', '短评打分': 3}
{'短评内容': '酒店交通便利，出差入住性价比较高，基本上是出差首选。', '短评打分': 5}
{'短评内容': '行政房比较干净整洁，性价比很高，就是行政楼层的早餐品种太少了。', '短评打分': 5}
{'短评内容': '入住了一个刚刚新装修的房间，才一个多月，甲醛严重超标，晚上根本无法入睡', '短评打分': 1}
{'短评内容': '服务很好，值得再住!只是，特价的机会不是太多!\n', '短评打分': 5}
{'短评内容': '酒店设施有点陈旧，大床比较舒服，卫生间太小了也很旧了，', '短评打分': 5}
{'短评内容': '不错的酒店，环境和服务都很好，位置也好，方便，以后深圳还住这里，大家以后可以放心入住些酒店。', '短评打分': 5}
{'短评内容': '   酒店很舒适，价格也很可观。', '短评打分': 3}
{'短评内容': '位置很好，出行很方便。这次入住的无烟楼层的高级双床房，房间设施略旧些，传统格局，但是很干净整洁，感觉舒适。', '短评打分': 5}
{'短评内容': '地段好，方便。酒店有些年头了，总的还不错。', '短评打分': 3}
{'短评内容': '位置非常好，服务很周到，中餐厅、西餐厅餐品质量很好，这次住的房间有些陈旧了。', '短评打分': 5}
{'短评内容': '地段好，有品位。\n只是房间送的三只苹果都有霉变。', '短评打分': 5}
{'短评内容': '不错，吃住行都很方便，已经住了好几次了，下次还是要考虑住的！！！！', '短评打分': 5}
{'短评内容': '服务、卫生、都不错，就是电视机太老古董了。', '短评打分': 5}
{'短评内容': '豪华大床房非常棒，房间宽敞，床舒服。灯光柔和很温馨。地点方便，很适合商旅。唯一隔音可以做得更好。', '短评打分': 3}
{'短评内容': '喜欢这家酒店，我和家人出差都是在这里入住，下次还会来的', '短评打分': 5}
{'短评内容': '酒店外观看起来很旧，感觉房间有点脏，与酒店4星际不符', '短评打分': 1}
{'短评内容': '感觉还好，交通方便，房间也很安静。但是有些旧，价格较贵了', '短评打分': 5}
{'短评内容': '酒店很好   位置也不错  设施服务都很不错', '短评打分': 5}
{'短评内容': '非常满意', '短评打分': 3}
{'短评内容': '格兰云天服务好,三楼粤菜点心便宜又好吃,房间新装修,无味道挺好的!', '短评打分': 3}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '酒店不错,星级是够了,价格稍高些,服务很赞.', '短评打分': 5}
{'短评内容': '入住', '短评打分': 3}
{'短评内容': '还好，环境不错，交通方便，服务整体还可以。', '短评打分': 5}
{'短评内容': ' 前台接待不错 总体服务较好 ', '短评打分': 3}
{'短评内容': '满干净的,就是卫生间有些旧了.周围的饭店实在太少,其他都满好.', '短评打分': 5}
{'短评内容': '还好，方便还好，方便还好，方便还好，方便还好，方便还好，方便', '短评打分': 5}
{'短评内容': '这个酒店的地段很好，在华强北附近，比较方便出行，几分钟内有地铁。', '短评打分': 5}
{'短评内容': '房间的装修设计很时尚前卫，感觉比较艺术性，前台服务员礼仪礼貌都很好，比较专业，房间硬件设施齐全，卫生条件不错，其他方面都还好 \n', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '格兰云天酒店很好', '短评打分': 5}
{'短评内容': '整体感觉都不错  出行也方便 就是早餐解决比较麻烦', '短评打分': 1}
{'短评内容': '一直都喜欢这里，每次来深圳都会选择这里，逛街吃饭都特方便', '短评打分': 3}
{'短评内容': '帮朋友定的，朋友很满意，下次还会介绍朋友来这里', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '地理位置不错，房间价格也可以，就是周围的饮食店太少，和老公在附近走了1个小时，也没找到家像样的饭店，火车站附近的餐饮就要稍好些。', '短评打分': 5}
{'短评内容': '我朋友新婚旅行,给订的豪华行政大床房,非常满意！', '短评打分': 5}
{'短评内容': '比较干净，房间偏小,交通便利，早餐还行。。', '短评打分': 3}
{'短评内容': '一直都喜欢住这，下次还会来的', '短评打分': 5}
{'短评内容': '不错，第二次住了', '短评打分': 5}
{'短评内容': '好得很', '短评打分': 3}
{'短评内容': '干净，出入方便', '短评打分': 5}
{'短评内容': '地理位置好，去逛街坐地铁都很方便，下次还会来的~~~', '短评打分': 3}
{'短评内容': '地理位置好，去逛街很方便，下次还会来的', '短评打分': 5}
{'短评内容': '下次不太想住了', '短评打分': 1}
{'短评内容': '还可以,就是有点吵', '短评打分': 5}
{'短评内容': '酒店各方面都还不错，就是小冰箱里面的东西补充不够及时。', '短评打分': 5}
{'短评内容': '服务一流，房间很舒适，位置也很不错。', '短评打分': 5}
{'短评内容': '不错的酒店，前台接待服务很好，地点也不错，酒店下面就是地铁站。总体来说性价比较高。', '短评打分': 5}
{'短评内容': '酒店位置很好，离地铁口、华强北很近，房间设施有正规四星级标准，只是有点旧，前台服务态度很好，二楼的餐厅优惠活动多，上次入住时泰国风味菜和自助餐68元两位，口味也不错，强力推荐。', '短评打分': 5}
{'短评内容': '基本算好', '短评打分': 3}
{'短评内容': '酒店位置很好,服务也可以.就是硬件有些老了', '短评打分': 5}
{'短评内容': '不错，交通方便，装修有点老', '短评打分': 5}
{'短评内容': '千万不要去住六楼的边间，又小又旧，暖气不足。', '短评打分': 5}
{'短评内容': '酒店不错，我是过年去的，深圳天气比较冷，房间空调不足。', '短评打分': 5}
{'短评内容': '出行比较方便', '短评打分': 5}
{'短评内容': '房间很干净的，卫生和设施还不错，服务也可以，位置还好，这边出行还是很方便的，整体感觉这家酒店的性价比还是较高的', '短评打分': 3}
{'短评内容': '总体比较满意，但是由于入住期间深圳气温骤降，房间内没有暖风，感觉很冷。找服务员加了一床被子才熬过两晚。建议关注天气预报。', '短评打分': 5}
{'短评内容': '酒店位置不错，离华强路地铁站很近。定的标准间房间也很大，就是有点烟味，开窗通风后就没有了。有免费的网线，网速很快，这点倒是很喜欢。有一点要批评的是因为酒店在装修，早上如果想睡懒觉会有点吵。', '短评打分': 5}
{'短评内容': '第二次入住此宾馆，感觉和第一次一样，还是不错的！', '短评打分': 3}
{'短评内容': '第二次入住此宾馆，感觉和第一次一样，还是不错的！', '短评打分': 5}
{'短评内容': '交通便利，饮食不错，就是配置的家俱太旧了。', '短评打分': 5}
{'短评内容': '酒店比较旧,但是位置很好,服务也不错,当然偶尔会遇到个别服务不好的服务员,我都忘记叫啥了,哈哈.\r\n周边环境确实比较热闹，吃饭的地方比较多。', '短评打分': 5}
{'短评内容': '西餐的优惠套餐一般.', '短评打分': 5}
{'短评内容': '酒店有点老旧', '短评打分': 1}
{'短评内容': '房間有異味, 蠻噁心的', '短评打分': 5}
{'短评内容': '很不错的酒店.', '短评打分': 3}
{'短评内容': '可推荐.', '短评打分': 5}
{'短评内容': '很不错的一家酒店，西餐也很好吃', '短评打分': 5}
{'短评内容': '位置比较不错，下回还要住那里！', '短评打分': 5}
