{'短评内容': '干净整洁，价格实惠', '短评打分': 4}
{'短评内容': '酒店地理位置非常好，性价比高。就是3，4层楼高，没有电梯。上楼比较辛苦。', '短评打分': 3}
{'短评内容': '房间有异味，设施陈旧，没有免费宽带，服务态度不好', '短评打分': 1}
{'短评内容': '卫生间跟卧室是合二为一的，中间一览无余，房子极旧，楼道里味道极难闻，幸好房子里闻不到。', '短评打分': 1}
{'短评内容': '位置极佳。对面有商场，附近小吃街。没有电梯，不方便。', '短评打分': 5}
{'短评内容': '地理位置非常方便,服务热情周到，性价比较高，下次还会入住', '短评打分': 5}
{'短评内容': '环境太吵！', '短评打分': 5}
{'短评内容': '位置和服务都还不错，只是那天我们房的电视不知为何没有台，回来太累了也没去问服务员，也许是我们没调好，后来也就没再开', '短评打分': 5}
{'短评内容': '酒店的位置还不错挺方便出行的,不过就是硬件和卫生条件方面有待改进.其它各方面还可以.', '短评打分': 5}
{'短评内容': '酒店环境还可以不过房间里面没有宽带，位置也不好找，价格还是有些贵了。其他的都还行吧。', '短评打分': 1}
{'短评内容': '这个酒店和青旅结合在一起，但没有体现青旅那种阳光互助、自助旅行的感觉，反倒更像一个外国人聚集的酒吧。晚班前台的女孩解答中国人问题很不耐烦，但与外国人聊天却热情得很，让人心里很不舒服。建议向西宁西凉驿青旅学习，那里的氛围特别好。', '短评打分': 1}
{'短评内容': '房间面积比较大，布置的很淳朴，浴室也很大，设施也比较齐全，感觉还不错。', '短评打分': 5}
{'短评内容': '房间布置的比较简洁大方，有点中西结合的风格，打扫的很干净。', '短评打分': 5}
{'短评内容': '还挺不错的。', '短评打分': 5}
{'短评内容': '~~那是旅馆 不是酒店', '短评打分': 1}
{'短评内容': '位置繁华地带，周边吃饭购物很方便，交通也很便利，离火车站也挺近的。', '短评打分': 5}
{'短评内容': '服务人员英语说的很流利，态度也很热情，酒店位置极好，周边娱乐购物吃饭都很方便。交通也很便利。', '短评打分': 5}
{'短评内容': '服务人员还不错，挺热情服务挺周到的，设施有些陈旧，但是比较实用，房间倒是挺干净的。', '短评打分': 5}
{'短评内容': '环境很差，走廊里味道不好，而且房间隔音不好，晚上整层楼只要有关门声就就能听到。洗澡水也不热，水流小，房间设施陈旧。', '短评打分': 1}
{'短评内容': '位置可以，条件太差，硬件配套也不好', '短评打分': 1}
{'短评内容': '房间内没有备用品，如避孕套之类的', '短评打分': 5}
