{'短评内容': '还不错，还不错，。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，这是第二次入住了，挺好的，吃饭的地方挺多', '短评打分': 5}
{'短评内容': '酒店感觉很好，而且价格也便宜，附近小吃挺多的', '短评打分': 5}
{'短评内容': '住了好几次了，还可以吧。这个价格已经算是很好了。东西都齐全。周边吃的也很多，蛮方便的。', '短评打分': 3}
{'短评内容': '环境很不错，床很舒服，下次还会入住', '短评打分': 3}
{'短评内容': '在市中心，第二人民医院对面，周围吃的很多，不错，房间还可以，不是很吵，服务不错，', '短评打分': 5}
{'短评内容': '酒店总体还行 房间不错 性价比还行 周围环境有点破', '短评打分': 5}
{'短评内容': '床头还有按摩服务，一看就知道是加盟的如家，烧开水的也没有就弄了个桶装水，前台服务也不好', '短评打分': 1}
{'短评内容': '服务还行。环境不错。交通方便。隔音不太好。总体来说凑合吧', '短评打分': 5}
{'短评内容': '窗户比较小，比较有味道，要开门通风会才行', '短评打分': 5}
{'短评内容': '交通还算方便，床不是很舒服，做活动的时候还算可以吧，周围比较热闹，有小吃街，不过第一天就遇到吵架的', '短评打分': 5}
{'短评内容': '提供24小时热水淋浴空调、电视、电视、免费宽带上网，让您在“温馨、干净”的房间内感受世界的变化，房间配有标准舒适的床具。', '短评打分': 5}
{'短评内容': '房间装饰很温馨，很干净，设施也比较齐全。就是感觉小了点有点挤… -------------------------... ', '短评打分': 5}
{'短评内容': '房间装饰很温馨，很干净，设施也比较齐全。就是感觉小了点有点挤…\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '打扫卫生的阿姨很热情，下次去安庆还会住如家', '短评打分': 5}
{'短评内容': '第一次去安庆，参加面试，前台不知道名字的一位姑娘很贴心，耐心的帮我指路，让我感到异乡的温暖，很感激，希望一切都好。', '短评打分': 5}
{'短评内容': '打扫卫生的阿姨很热情', '短评打分': 3}
{'短评内容': '房间很干净，位置有一点偏，不过也还好，安庆市本来也不大', '短评打分': 5}
{'短评内容': '以此价位整体来说算不错了，有机会会再入住', '短评打分': 5}
{'短评内容': '市中心价格便宜，旁边小吃很多哦，交通方便，值得入住，非常满意，不过服务大姐不太仔细哦，入住两夜，第二夜我们换客房时，发现里面有一只枕头有染色喔', '短评打分': 5}
{'短评内容': '房间装饰很温馨，很干净，设施也比较齐全。就是感觉小了点有点挤…', '短评打分': 3}
{'短评内容': '住了多次酒店…这次是最差了…毛巾又黑又薄…难道真的象网上说的也用来擦地…没有纸杯…瓷杯杯底一层垢…不敢用…以后不会再住了…如家…名不付实…比7天、汉庭差多了…个人意见…仅供参照…', '短评打分': 3}
{'短评内容': '价格很好，服务也很好，不错啦，就是网速不给力，电视也该换了', '短评打分': 5}
{'短评内容': '入住的感觉还行，服务很好，在安庆的一个街巷里，不过在市中心位置，比较好找，我定的是大床房，便宜吗，所以房间就小了点，反正是出差，便宜经济，值得推荐！', '短评打分': 5}
{'短评内容': '很不错，第二次入住了。环境还是可以的。如家的品质还是值得信赖的', '短评打分': 5}
{'短评内容': '这个价格凑合了。。。。。。。。。。。。。。。。。。。。。\n\n服务还行调了3间房服务员没嫌烦', '短评打分': 5}
{'短评内容': '感觉很好，就是网络不好', '短评打分': 3}
{'短评内容': '卫生干净、交通还是很便利便利、价格同质化的多、服务热情。', '短评打分': 5}
{'短评内容': '很好，很不错   推荐！旁边还有好多小吃！', '短评打分': 5}
{'短评内容': '有点吵 楼后面有个机房 声音24小时都有  有点堵车   网速有点慢  总体来说还不错 毕竟价格不高', '短评打分': 5}
{'短评内容': '环境好，服务好', '短评打分': 3}
{'短评内容': '卫生干净、交通还是很便利便利、价格同质化的多、服务热情。', '短评打分': 1}
{'短评内容': '卫生干净、交通不是很便利、价格实惠、服务热情。', '短评打分': 5}
{'短评内容': '很舒适', '短评打分': 3}
{'短评内容': '整体住宿环境不错，服务员态度还不错，就是网速有点慢，其他的都还好很实惠', '短评打分': 5}
{'短评内容': '价格挺合理,就是有的房间某些物品太陈旧了，希望改进', '短评打分': 5}
{'短评内容': '很好的酒店，新开的，环境很好，工作人员服务也不错。', '短评打分': 5}
{'短评内容': '整体还算不错，一如既往的如家风格、、、房间还是那么小、、、我当时住的好像是428房间，隔壁是洗衣房，服务员的话也忒多了，每天早上8点过就在那叽叽喳喳的聊天，声音那叫一个大、、、表示很郁闷、、、话多的服务员伤不起、、、', '短评打分': 5}
{'短评内容': '不错，就是地方太靠里不好找，周围吃饭点挺多的。', '短评打分': 5}
{'短评内容': '还行！没有第一次入住时的感觉好！······', '短评打分': 5}
{'短评内容': '房间干净、整洁，周边环境很好，实惠的价格，满意的报务。\n', '短评打分': 5}
{'短评内容': '房间虽然不大，但是设施很全。而且如家的被子每家都很暖和！', '短评打分': 5}
{'短评内容': '酒店无停车场。', '短评打分': 3}
{'短评内容': '不错，一如既往的干净，也很安静，吃饭也很方便，就是离我办事的地方远，也不错了。', '短评打分': 5}
{'短评内容': '房间虽然不大，但是设施很全。而且如家的被子每家都很暖和！', '短评打分': 3}
{'短评内容': '房间还是很干净的，晚上也比较安静，感觉很温馨，实惠的价格，满意的报务。\n', '短评打分': 5}
{'短评内容': '挺好的，但是没有吹风机，附近有很多吃的小店！！', '短评打分': 5}
{'短评内容': '附近的重庆火锅不错，早上临街有些吵，早餐可以接受。', '短评打分': 5}
{'短评内容': '房间还是很干净的，晚上也比较安静，感觉很温馨，下次还是会选择如家', '短评打分': 5}
{'短评内容': '大床房的房间比较小!设施比较旧！不过服务尚好！', '短评打分': 5}
{'短评内容': '服务很好很周到，卫生不错，隔音效果不行。隔壁房间的声音都听得到', '短评打分': 5}
{'短评内容': '房间干净、整洁，周边环境很好，实惠的价格，满意的报务。\n\n', '短评打分': 5}
{'短评内容': '酒店不错 ，位置也很安静，离最热闹的人民路只有走路5分钟就到了。', '短评打分': 5}
{'短评内容': '楼上卫生间漏水的', '短评打分': 3}
{'短评内容': '房间舒服，就是有点小', '短评打分': 3}
{'短评内容': '性价比不错，地点也挺好的。楼下就是安庆的北振街，一路都是餐馆。随便吃。', '短评打分': 5}
{'短评内容': '环境挺好的，很安静，信任如家', '短评打分': 3}
{'短评内容': '环境不错 很好 早餐也很丰盛还买一送一哦 不错顶！', '短评打分': 5}
{'短评内容': '帮老公订的，说环境还不错。之前从其他网站也订过住过一次，这次是第二入住次了。', '短评打分': 5}
{'短评内容': '隔音效果超级差，空调也不热，电视差劲，上网速度跟蚂蚁爬一样的慢', '短评打分': 1}
{'短评内容': '环境挺好的，也挺干净，服务人员也比较热情。', '短评打分': 3}
{'短评内容': '房间干净、整洁，周边环境很好，实惠的价格，满意的报务。', '短评打分': 5}
{'短评内容': '除了隔音效果差点，设施陈旧了点，其余都还不错.....', '短评打分': 5}
{'短评内容': '服务态度很好 房间比较干净 价格也很公道 交通便利', '短评打分': 5}
{'短评内容': '如家 确也如家！ 就是晚间墙体有微小的噪音 总体满意', '短评打分': 5}
{'短评内容': '服务态度还不错，晚上有点吵，其它还可以。', '短评打分': 5}
{'短评内容': '打扫房间的阿姨非常吵，早上自助餐很丰富，基本都有了。 \n', '短评打分': 5}
{'短评内容': '挺好的·~老主户了 条件，设备什么的都可以 经济实惠。赞！', '短评打分': 5}
{'短评内容': '面积虽然小了点，但很温馨，舒适、干净、卫生，很适合情侣住。', '短评打分': 5}
{'短评内容': '酒店设施很好，干净舒适，附近交通发达，主要是价格也是很实惠，希望能给大家提供参考', '短评打分': 5}
{'短评内容': '一如既往的干净整洁舒适,,,,还有令人惊喜的超低价格,,,,,赞!', '短评打分': 5}
{'短评内容': '酒店房间比较小，服务还不错，早餐东西比较少。', '短评打分': 5}
{'短评内容': '可惜没有早餐，房间还比较大。特别是洗澡的谁很大，这点很满意！', '短评打分': 5}
{'短评内容': '位置比较偏，而且房型小，比较拥挤，餐厅早餐种类比较少', '短评打分': 1}
{'短评内容': '房间不算很大  但是温馨舒适  卫生间布置的很好  喜欢   推荐哦', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': '价格便宜实惠，服务周到，环境干净卫生，地理位置优越，安庆出租车很便宜的，反正好评啦，以后有机会去的话还会再住的。。', '短评打分': 5}
{'短评内容': '挺好的· 环境还不错 挺温馨的~ 粉色淡雅墙壁 给人感觉很舒服·~ 尤其是淋浴的东东很赞~水压很大，非常之爽~~！赞一个。。望再接再厉。', '短评打分': 5}
{'短评内容': '都很干净、环境很好。洗手间的地板我喜欢、水量也很好', '短评打分': 5}
{'短评内容': '环境还不错，但是卫生不咋地，毛巾和椅子感觉很脏，入住时竟然在椅子上发现了用过的TT。', '短评打分': 1}
{'短评内容': '服务可以，前台小妹很漂亮，房间卫生很好。但是床是拼的，两张0.9米床垫拼合而成，且一张床垫一边已经塌陷，再就是路边很吵。', '短评打分': 5}
{'短评内容': '酒店还不错，如家一贯的服务品质，有停车位，但好像不是很多。早餐的选择太少。', '短评打分': 5}
{'短评内容': '地理位置还不错，房间较干净，就是服务态度一般，不过下次有机会还会入住', '短评打分': 5}
{'短评内容': '一般吧，没什么服务好的地方，感觉房间的床不够平坦，睡的不舒服', '短评打分': 1}
{'短评内容': '还算满意，特价房床很小。', '短评打分': 3}
{'短评内容': '每次都会来这里住，因为旁边就是北正街，今天吃什么呢，呵呵。', '短评打分': 5}
{'短评内容': '干净整洁清爽安全，是商务人员的首选。', '短评打分': 3}
{'短评内容': '\u3000感觉很好\u3000有种在家的感觉', '短评打分': 3}
{'短评内容': ' 舒服、性价比高。', '短评打分': 3}
{'短评内容': '卫生，价格便宜。交通方便，出门有小饭店。', '短评打分': 5}
{'短评内容': '交通马马虎虎，价格比较实惠，里面的装修还是统一的样子，马桶太高了，房间有些潮，没有晚餐供应。', '短评打分': 1}
{'短评内容': '挺好的，干净，整洁，舒适', '短评打分': 3}
{'短评内容': '环境很好，就是房间太小了。不在市区里，很安静，出门在小街上逛逛也很不错。', '短评打分': 5}
{'短评内容': '干净 卫生 方便 很不错的酒店 下次还会再定。 ', '短评打分': 5}
{'短评内容': '大床由两张小床拼成，舒适度不如七天。酒店临街，比较喧闹', '短评打分': 3}
{'短评内容': '早餐服务员态度太差！其他一般吧！电视太老了，现在小宾馆都换液晶了！', '短评打分': 1}
{'短评内容': '安庆就这一个如家，对于像我这样习惯了住如家的差旅人士来说，别无选择，不过这家店也是秉持了如家一贯的风格。不过在这些小城市，如家的性价比，更凸显啊。', '短评打分': 5}
{'短评内容': '连锁酒店模式都差不多，简洁，安静。但服务一般', '短评打分': 5}
{'短评内容': '不错·· 房间环境很优雅·· 单间也很大·· 很温馨·· ！·', '短评打分': 5}
{'短评内容': '服务很好，环境不错，比较安静。位置不好找', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全！很干净！下次还会住在这里。', '短评打分': 5}
{'短评内容': '环境很好，很温馨，真的有家的感觉，对得起如家的品牌', '短评打分': 5}
{'短评内容': '环境可以', '短评打分': 3}
{'短评内容': '房间偏小，用的桶装纯净水不太敢喝，要是换成开水壶就更好了，没有电吹风', '短评打分': 5}
{'短评内容': '如家快捷酒店（安庆孝肃路店)位置特别不好找，我延长了2小时退房，它竟收我1天的房费，特坑人，劝大家别住这家店。', '短评打分': 1}
{'短评内容': '房间卫生比不上大城市的，但还能过得去吧，门脸太破了。', '短评打分': 5}
{'短评内容': '离吃饭和逛街的地方不大远，蛮安静的，卫生也很好', '短评打分': 5}
{'短评内容': ' 环境不错。', '短评打分': 5}
{'短评内容': '不错  性价比还是高的 旁边吃点东西还是比较方便  就是我要到光彩市场那边办事  打车还是有点远', '短评打分': 3}
{'短评内容': '住了好几家，最后感觉最好的还是如家，如家真的很不错！\r\n', '短评打分': 5}
{'短评内容': '补充一下，对于房间内的矿泉水我也挺疑惑的。我入住的二天，正好是矿泉水要过期的最后两天，总觉得有点怪怪的。\r\n如果要出门打车的话，下楼就能打到，安庆的出租车好容易打啊。', '短评打分': 3}
{'短评内容': '我住的是窗户朝内的一边，很安静。我对面的房间窗户是对着街的，也许这就是前面有人说会有些吵的原因吧？\r\n服务是非常好的，房间也很干净，有什么需要打电话到总台能得到及时的解决。', '短评打分': 5}
{'短评内容': '卫生和环境都是还不错的  就是毛巾等用品有点旧了   总的性价比还是高的', '短评打分': 5}
{'短评内容': '酒店总的来说性价比很高，房间很舒适。里面的设计很人性化，就是不知道房间里的矿泉水放了多久了？', '短评打分': 5}
{'短评内容': '电视小了点，饮水机里的水貌似过期了，没敢喝，其它的都不错，性价比很高', '短评打分': 5}
{'短评内容': '总体还可以吧，就是位置偏了点，卫生也一般吧，没吃饭的地方', '短评打分': 5}
{'短评内容': '基本都还不错！ 住的也挺舒服的。就是通气效果可以一般，如果能多两个换气扇  就不错了~', '短评打分': 5}
{'短评内容': '位置处于市中心，逛街十分方便，价格合理，推荐入住', '短评打分': 5}
{'短评内容': '房间小了点，但是位置很好，很安静；而且在小吃街附近，很方便', '短评打分': 5}
{'短评内容': '没有餐厅吃晚饭,早饭跟锦江和莫泰比差蛮多的,感觉现在如家越来越不行了', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '其他都还好，就是有点小偏', '短评打分': 5}
{'短评内容': '性价比较高，下次回去再住', '短评打分': 5}
{'短评内容': '在安庆是很不错的酒店了，干净、安静。', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '在安庆能有这样酒店非常好，就在二院对面，很方便，服务也很好', '短评打分': 5}
{'短评内容': '不错了， 就是厕所里面隔音不好', '短评打分': 5}
{'短评内容': '总体来说还可以\r\n安庆物价真便宜', '短评打分': 5}
{'短评内容': '还不错,挺干净的.', '短评打分': 5}
{'短评内容': '很不错的酒店，不过唯一的缺点就是没有洗澡用的塑料拖鞋，只有两双一次性的拖鞋，洗澡很麻烦的说，不过总体来说很不错了', '短评打分': 5}
{'短评内容': '卫生状况还可以,但房内气味太重.尤其让人受不了的是隔音效果奇差!隔壁讲话都能清楚的听见,大清早的被一帮男女的嬉闹声给吵醒.不爽!', '短评打分': 1}
{'短评内容': '感觉酒店的设施很大,而且卫生和服务方面做的都比较好,性价比也不错,挺满意的.', '短评打分': 3}
{'短评内容': '酒店性价比还可以，位置也方便，上次在那住了一周，可是一直都没有换过床单被罩，这些我并不要求天天换，可是一周的时间最好能换一次，希望以后能改进', '短评打分': 5}
{'短评内容': '酒店本身环境还可以，干净卫生，价格也比较合理，可以推荐', '短评打分': 5}
{'短评内容': '我觉得酒店整体来说还是不错的，像是交通方便，房间干净整洁，都很好，就是在一下小的设施方面不是很完善，显示洗澡，只能用房间的一次性纸拖鞋不太方便，其他都不错。', '短评打分': 5}
{'短评内容': '整体感觉很好，价格挺合适的，唯一缺点不好是隔音效果，隔壁说话声音都能听到', '短评打分': 5}
{'短评内容': '为什么没有中餐、午餐呢！！', '短评打分': 5}
{'短评内容': '蛮好。就是酒店里的纸拖很不方便。为什么不提供槊拖呢？', '短评打分': 5}
{'短评内容': '隔音效果太差，隔壁悄悄话都能听的一清二楚，折腾死了，到凌晨3点用纸巾塞住耳朵才勉强入睡。唉！', '短评打分': 1}
